"ID","NAMES","EMIG9404_AsTheCrowFlies_ACC_0.005"
"TS1110","Carthage ",350.31909913786
"TS1111","La Medina ",0
"TS1112","Bab El Bhar ",0
"TS1113","Bab Souika ",0
"TS1114","El Omrane ",0
"TS1115","El Omrane Supérieur ",0
"TS1116","Ettahrir ",53.2197289037169
"TS1117","El Menzah ",0
"TS1118","Cité El Khadhra ",0
"TS1119","Le Bardo ",0
"TS111A","Sijoumi ",0
"TS111B","Ezzouhour ",0
"TS111C","El Hrairia ",3.94592990586858
"TS111D","Sidi Hassine ",173.563129138088
"TS111E","El Ouardia ",0
"TS111F","El Kabaria ",31.0841511276852
"TS111G","Sidi El Béchir ",48.2719421576388
"TS111H","Djebel Djelloud ",91.2274797077574
"TS111I","La Goulette ",146.445139748384
"TS111J","Le Kram ",46.2005171486554
"TS111K","La Marsa ",0
"TS1120","L Ariana Ville  ",0
"TS1121","Soukra ",104.311203021722
"TS1122","Raoued ",541.846798912862
"TS1123","Kalaât El Andalous ",10268.9049105636
"TS1124","Sidi Thabet ",1535.97257208469
"TS1125","Cité Ettadhamen ",0
"TS1126","El Mnihla ",250.890225640433
"TS1130","Ben Arous  ",0
"TS1131","La Nouvelle Medina ",146.351771667495
"TS1132","El Mourouj ",0
"TS1133","Hammam Lif ",0
"TS1134","Hammam Chôtt ",1441.80202082354
"TS1135","Bou Mhel El Bassatine ",594.158812710852
"TS1136","Ezzahra ",0
"TS1137","Radès ",0
"TS1138","Megrine ",56.2806935362099
"TS1139","Mohamedia ",1943.24275791961
"TS113A","Fouchana ",117.901619046101
"TS113B","Mornag ",4970.06535096808
"TS1140","Mannouba  ",0
"TS1141","Douar Hicher ",243.970278703623
"TS1142","Oued Ellil ",549.317803164572
"TS1143","Mornaguia ",10029.5347257119
"TS1144","Borj Amri ",10634.5596138091
"TS1145","Djedeida ",8066.89408259222
"TS1146","Tebourba ",10484.3671701759
"TS1147","El Battane ",10963.0735433433
"TS1150","Nabeul  ",0
"TS1151","Dar Châabane El Fehri ",3094.31271292032
"TS1152","Beni khiar ",5069.13572483483
"TS1153","Korba ",11195.8388299569
"TS1154","Menzel Temime ",11055.3425465346
"TS1155","El Mida ",11993.9369736595
"TS1156","Kelibia ",10370.6383093762
"TS1157","Hammam El Guezaz ",13699.8443129934
"TS1158","El Haouaria ",14411.2180123243
"TS1159","Takelsa ",14342.0935690715
"TS115A","Soliman ",10399.1219428483
"TS115B","Menzel Bouzelfa ",11097.848805614
"TS115C","Beni Khalled ",10470.738035652
"TS115D","Grombalia ",10116.0594128269
"TS115E","Bou Argoub ",7064.73660424186
"TS115F","Hammamet ",10224.2515943289
"TS1160","Zaghouan  ",10451.5836258738
"TS1161","Ez-Zeriba ",14978.2957947932
"TS1162","Bir Mchergua ",12682.7826510266
"TS1163","El Fahs ",19707.2057380015
"TS1164","En-Nadhour ",19796.2906979583
"TS1165","Saouaf ",18382.087155473
"TS1170","Bizerte Nord  ",0
"TS1171","Zarzouna ",3009.92006511847
"TS1172","Bizerte Sud ",11931.7572873288
"TS1173","Sedjnane ",19353.5169213701
"TS1174","Djoumine ",12257.0222193744
"TS1175","Mateur ",2713.96617358465
"TS1176","Ghezala ",15605.7951282501
"TS1177","Menzel Bourguiba ",0
"TS1178","Tinja ",10455.6517504875
"TS1179","Utique ",10695.9202227035
"TS117A","Ghar El Meleh ",12657.8103125016
"TS117B","Menzel Djemil ",8303.24416254648
"TS117C","El Alia ",10782.8806893673
"TS117D","Ras Djebel ",12888.5583584178
"TS1210","Béja Nord  ",0
"TS1211","Béja Sud ",11853.5860694356
"TS1212","Amdoun ",12232.5902766872
"TS1213","Nefza ",10285.6132531587
"TS1214","Teboursouk ",14901.9187658668
"TS1215","Tibar ",11960.3971221558
"TS1216","Testour ",15366.8266170772
"TS1217","Goubellat ",20028.2521341861
"TS1218","Medjez El Bab ",13288.6032370182
"TS1220","Jendouba  ",0
"TS1221","Jendouba Nord ",1843.99477952848
"TS1222","Bou Salem ",0
"TS1223","Tabarka ",12504.1487615322
"TS1224","Ain Draham ",10107.0742433202
"TS1225","Fernana ",11115.6955004634
"TS1226","Ghardimaou ",20451.1424859329
"TS1227","Oued Meliz ",13372.8636900099
"TS1228","Balta - Bou Aouane ",12974.5554644249
"TS1230","Kef Ouest  ",12200.74321981
"TS1231","Kef Est ",0
"TS1232","Nebeur ",11636.0247474692
"TS1233","Sakiet Sidi Youssef ",20549.2443198326
"TS1234","Tajerouine ",15206.4540427658
"TS1235","Kalâat Snan ",22939.9432405249
"TS1236","Kalâat Khasbah ",18208.2164802115
"TS1237","Djerissa ",17040.170225467
"TS1238","El Ksour ",16501.1672509557
"TS1239","Dahmani ",13247.821981624
"TS123A","Es-Sers ",12071.9631198783
"TS1240","Siliana Nord  ",0
"TS1241","Siliana Sud ",11546.0046985831
"TS1242","Bou Arada ",20148.1177337991
"TS1243","Gaâfour ",14683.3363753679
"TS1244","El Krib ",14096.3832579834
"TS1245","Bourouis ",12936.7192731099
"TS1246","Makthar ",10411.654931223
"TS1247","Er-Rouhia ",16143.7105439655
"TS1248","Kesra ",16098.2711388601
"TS1249","Bargou ",19199.7461916446
"TS124A","El Aroussa ",20001.9169124789
"TS2110","Sousse Medina  ",0
"TS2111","Sousse Riadh ",0
"TS2112","Sousse Jawhara ",487.636271741846
"TS2113","Sousse Sidi Abdelhamid ",707.212660108245
"TS2114","Hammam Sousse ",645.800720530975
"TS2115","Akouda ",3630.08242104229
"TS2116","Kalaâ Kebira ",10489.1243869328
"TS2117","Sidi Bou Ali ",11780.7520487444
"TS2118","Hergla ",13442.5103105747
"TS2119","Enfidha ",20061.5890242369
"TS211A","Bouficha ",16416.4571148531
"TS211B","Kondar ",13513.6307151228
"TS211C","Sidi El Héni ",12202.9825429717
"TS211D","M saken ",10364.6631138389
"TS211E","Kalaâ Seghira ",6317.51587258921
"TS2120","Monastir  ",0
"TS2121","Ouerdanine ",2935.01825527041
"TS2122","Sahline ",1907.00694856224
"TS2123","Zermadine ",11506.2594792159
"TS2124","Beni Hassen ",10663.4481264074
"TS2125","Jammel ",6254.68808248653
"TS2126","Bembla ",3547.09327567241
"TS2127","Moknine ",3735.93568381131
"TS2128","Bekalta ",8066.05400089156
"TS2129","Teboulba ",7523.97514598144
"TS212A","Ksar Helal ",4059.14354413254
"TS212B","Ksibet El Mediouni ",4254.47277053968
"TS212C","Sayada-Lamta Bou-Hjar ",5528.1423613414
"TS2130","Mahdia  ",0
"TS2131","Bou Merdès ",13327.2871204346
"TS2132","Ouled Chamekh ",16803.5605404724
"TS2133","Chorbane ",17589.6487665718
"TS2134","Hebira ",17340.1572415456
"TS2135","Essouassi ",14899.2108179531
"TS2136","El Djem ",14566.3034327884
"TS2137","Chebba ",18466.8757419608
"TS2138","Melloulech ",16189.9865300199
"TS2139","Sidi Alouane ",14012.1213602548
"TS213A","Ksour Essef ",12363.5890941031
"TS2140","Sfax Ville  ",0
"TS2141","Sfax Ouest ",0
"TS2142","Sakiet Ezzit ",0
"TS2143","Sakiet Eddaïer ",0
"TS2144","Sfax Sud ",0
"TS2145","Tina ",987.067108085681
"TS2146","Agareb ",11834.5103349937
"TS2147","Djebeniana ",13147.6318300365
"TS2148","El Amra ",10636.3382867861
"TS2149","El Hencha ",14234.5537951499
"TS214A","Menzel Chaker ",20043.5619705568
"TS214B","Ghraiba ",23207.6915476886
"TS214C","Bir ali Ben Kelifa ",0
"TS214D","Skhira ",26462.1173677453
"TS214E","Mahres ",18864.1312984525
"TS214F","Kerkenah ",23380.9550480871
"TS2210","Kairouan Nord  ",0
"TS2211","Kairouan Sud ",6038.06999141038
"TS2212","Echebika ",11900.4513234468
"TS2213","Sbikha ",11959.1421436167
"TS2214","EL Ouslatia ",14449.8867804526
"TS2215","Haffouz ",13084.4166314647
"TS2216","El Alâa ",15128.6605569399
"TS2217","Hajeb el Ayoun ",15204.7879045321
"TS2218","Nasrallah ",14820.1827167812
"TS2219","Echrarda ",18207.1048164301
"TS221A","Bouhajla ",11247.0986719371
"TS2220","Kasserine Nord  ",0
"TS2221","Kasserine Sud ",3858.96079312298
"TS2222","Ezzouhour ",3409.94013437076
"TS2223","Hassi Ferid ",20163.3215039444
"TS2224","Sbeitla ",10689.6818239223
"TS2225","Sbiba ",16898.6753237578
"TS2226","Djedeliane ",19622.6333447073
"TS2227","El Ayoun ",19215.8896420021
"TS2228","Thala ",13457.4153041134
"TS2229","Hidra ",21228.200488887
"TS222A","Foussana ",15502.5114239725
"TS222B","Feriana ",21961.4120914106
"TS222C","Majel Bel Abbès ",25012.0451179891
"TS2230","Sidi Bouzid Ouest  ",0
"TS2231","Sidi Bouzid Est ",11782.0997907017
"TS2232","Jilma ",18780.5933328267
"TS2233","Cebalet Ouled Asker ",15634.7531118149
"TS2234","Bir El Hafey ",13521.0635232154
"TS2235","Sidi Ali Ben Aoûn ",20914.5803732231
"TS2236","Menzel Bouzaïenne ",22010.6449849385
"TS2237","Meknassy ",21916.5392916814
"TS2238","Souk Jedid ",15664.3583851689
"TS2239","Mezzouna ",24690.6263928581
"TS223A","Regueb ",16558.8159723549
"TS223B","Ouled Haffouz ",16210.3363848929
"TS3110","Gabes Medina  ",0
"TS3111","Gabes Ouest ",4070.4481079183
"TS3112","Gabes Sud ",1777.02945224901
"TS3113","Ghanouch ",3080.79456863754
"TS3114","El Metouia ",13699.7675930665
"TS3115","Menzel El Habib ",26471.4507803617
"TS3116","El Hamma ",22379.6223237198
"TS3117","Matmata ",23842.9061910741
"TS3118","Nouvelle Matmata ",19263.8664426621
"TS3119","Mareth ",14116.3015597748
"TS3120","Medenine Nord  ",0
"TS3121","Medenine Sud ",13575.569125087
"TS3122","Beni Khedech ",18508.0556541782
"TS3123","Ben Guerdane ",28898.3125951653
"TS3124","Zarzis ",22408.8779548161
"TS3125","Djerba Houmet Souk ",0
"TS3126","Djerba Midoun ",12045.8511993184
"TS3127","Djerba Ajim ",11580.9536069454
"TS3128","Sidi Makhloulf ",16237.3537240079
"TS3130","Tataouine Nord  ",0
"TS3131","Tataouine Sud ",32075.7407851746
"TS3132","Smâr ",23705.3326170887
"TS3133","Bir Lahmar ",19624.6456869886
"TS3134","Ghomrassen ",21453.4555063641
"TS3135","Dhehiba ",77117.203146069
"TS3136","Remada ",103771.015530148
"TS3210","Gafsa Nord  ",0
"TS3211","Sidi Aïch ",15125.1932987749
"TS3212","El Ksar ",15930.9303230268
"TS3213","Gafsa Sud ",18833.4805861137
"TS3214","Oum El Araies ",21635.0971134
"TS3215","Redeyef ",22085.9304515949
"TS3216","Metlaoui ",20167.7276621799
"TS3217","Mdhila ",23252.1482518008
"TS3218","EL Guetar ",22822.7095354982
"TS3219","Belkhir ",27799.6785496255
"TS321A","Sned ",14424.5748342276
"TS3220","Tozeur  ",17309.8024678296
"TS3221","Degach ",24220.538322794
"TS3222","Tameghza ",36379.1784971075
"TS3223","Nefta ",29089.7310251292
"TS3224","Hazoua ",50631.0793170906
"TS3230","Kebili Sud  ",0
"TS3231","Kebeli Nord ",18399.5643331129
"TS3232","Souk El Ahed ",32118.5808731509
"TS3233","Douz Nord ",32830.9813226162
"TS3234","Douz Sud ",52410.5663437668
"TS3235","Faouar ",65197.0659401604
