"ID","NAMES","EMIG9404_AsTheCrowFlies_ACC_0.01"
"TS2127","Moknine ",11053.8732088126
"TS2128","Bekalta ",13562.3197470782
"TS2129","Teboulba ",12703.2053164643
"TS212A","Ksar Helal ",10652.2745101567
"TS212B","Ksibet El Mediouni ",9445.73700345762
"TS212C","Sayada-Lamta Bou-Hjar ",10963.197252737
"TS2130","Mahdia  ",11644.5075190439
"TS2131","Bou Merdès ",18141.755374171
"TS2132","Ouled Chamekh ",21562.5178766526
"TS2133","Chorbane ",24546.7723505136
"TS2134","Hebira ",23828.6853131657
"TS2135","Essouassi ",22074.5565711816
"TS2136","El Djem ",21128.3972838443
"TS2137","Chebba ",25314.9210917695
"TS2138","Melloulech ",23017.2098945063
"TS2139","Sidi Alouane ",20223.4977470993
"TS213A","Ksour Essef ",18088.654200278
"TS2140","Sfax Ville  ",0
"TS2141","Sfax Ouest ",184.132382980493
"TS2142","Sakiet Ezzit ",2399.62880381776
"TS2143","Sakiet Eddaïer ",1718.43746104756
"TS2144","Sfax Sud ",0
"TS2145","Tina ",2648.66808021238
"TS2146","Agareb ",14936.0333382463
"TS2147","Djebeniana ",20346.4381706229
"TS2148","El Amra ",12279.4665941131
"TS2149","El Hencha ",20650.1038905655
"TS214A","Menzel Chaker ",22888.504292474
"TS214B","Ghraiba ",30693.8132519448
"TS214C","Bir ali Ben Kelifa ",27934.0849866388
"TS214D","Skhira ",34026.2690862264
"TS214E","Mahres ",22178.7553325476
"TS214F","Kerkenah ",29139.9069791115
"TS2210","Kairouan Nord  ",0
"TS2211","Kairouan Sud ",13044.0533401012
"TS2212","Echebika ",15097.2937570409
"TS2213","Sbikha ",17440.099136238
"TS2214","EL Ouslatia ",23004.0095394148
"TS2215","Haffouz ",21701.9457991942
"TS2216","El Alâa ",22820.6252310329
"TS2217","Hajeb el Ayoun ",23081.7471466038
"TS2218","Nasrallah ",22630.7449756241
"TS2219","Echrarda ",25212.5682399519
"TS221A","Bouhajla ",21334.2080207384
"TS2220","Kasserine Nord  ",0
"TS2221","Kasserine Sud ",11086.978358662
"TS2222","Ezzouhour ",7608.21008794357
"TS2223","Hassi Ferid ",23999.3062431386
"TS2224","Sbeitla ",21249.9317426748
"TS2225","Sbiba ",24677.2236447666
"TS2226","Djedeliane ",24991.6556989892
"TS2227","El Ayoun ",23704.2673514658
"TS2228","Thala ",24839.7344607069
"TS2229","Hidra ",30002.2054022743
"TS222A","Foussana ",22742.4069780746
"TS222B","Feriana ",28558.6962902771
"TS222C","Majel Bel Abbès ",31864.9537053224
"TS2230","Sidi Bouzid Ouest  ",0
"TS2231","Sidi Bouzid Est ",17342.1915849873
"TS2232","Jilma ",23997.389508393
"TS2233","Cebalet Ouled Asker ",21415.8816423148
"TS2234","Bir El Hafey ",19318.1805208329
"TS2235","Sidi Ali Ben Aoûn ",25173.6216714831
"TS2236","Menzel Bouzaïenne ",29208.9376617114
"TS2237","Meknassy ",30805.2075474634
"TS2238","Souk Jedid ",21788.7210693932
"TS2239","Mezzouna ",33631.8957092971
"TS223A","Regueb ",25501.3539629028
"TS223B","Ouled Haffouz ",23809.2146852437
"TS3110","Gabes Medina  ",0
"TS3111","Gabes Ouest ",10480.3696789414
"TS3112","Gabes Sud ",7260.56142581402
"TS3113","Ghanouch ",6676.88983489233
"TS3114","El Metouia ",19288.8514030492
"TS3115","Menzel El Habib ",34237.7568511005
"TS3116","El Hamma ",32992.1132137057
"TS3117","Matmata ",33680.3386252843
"TS3118","Nouvelle Matmata ",23834.7767341951
"TS3119","Mareth ",22188.6415361648
