"ID","NAMES","IMMIG9404_AsTheCrowFlies_POT_0"
"TS1110","Carthage ",3265
"TS1111","La Medina ",2771
"TS1112","Bab El Bhar ",6812
"TS1113","Bab Souika ",2548
"TS1114","El Omrane ",3645
"TS1115","El Omrane Supérieur ",8805
"TS1116","Ettahrir ",3790
"TS1117","El Menzah ",5995
"TS1118","Cité El Khadhra ",6755
"TS1119","Le Bardo ",8507
"TS111A","Sijoumi ",1944
"TS111B","Ezzouhour ",3915
"TS111C","El Hrairia ",10600
"TS111D","Sidi Hassine ",10625
"TS111E","El Ouardia ",2356
"TS111F","El Kabaria ",10131
"TS111G","Sidi El Béchir ",3246
"TS111H","Djebel Djelloud ",1550
"TS111I","La Goulette ",3981
"TS111J","Le Kram ",7522
"TS111K","La Marsa ",7386
"TS1120","L Ariana Ville  ",16961
"TS1121","Soukra ",19129
"TS1122","Raoued ",14053
"TS1123","Kalaât El Andalous ",728
"TS1124","Sidi Thabet ",1298
"TS1125","Cité Ettadhamen ",5651
"TS1126","El Mnihla ",7258
"TS1130","Ben Arous  ",3963
"TS1131","La Nouvelle Medina ",6070
"TS1132","El Mourouj ",21829
"TS1133","Hammam Lif ",3130
"TS1134","Hammam Chôtt ",4997
"TS1135","Bou Mhel El Bassatine ",5831
"TS1136","Ezzahra ",5508
"TS1137","Radès ",7221
"TS1138","Megrine ",1880
"TS1139","Mohamedia ",6451
"TS113A","Fouchana ",8910
"TS113B","Mornag ",3515
"TS1140","Mannouba  ",7033
"TS1141","Douar Hicher ",7514
"TS1142","Oued Ellil ",6450
"TS1143","Mornaguia ",2806
"TS1144","Borj Amri ",842
"TS1145","Djedeida ",2445
"TS1146","Tebourba ",1628
"TS1147","El Battane ",716
"TS1150","Nabeul  ",4838
"TS1151","Dar Châabane El Fehri ",3406
"TS1152","Beni khiar ",2055
"TS1153","Korba ",2060
"TS1154","Menzel Temime ",1387
"TS1155","El Mida ",650
"TS1156","Kelibia ",2815
"TS1157","Hammam El Guezaz ",632
"TS1158","El Haouaria ",955
"TS1159","Takelsa ",552
"TS115A","Soliman ",3729
"TS115B","Menzel Bouzelfa ",876
"TS115C","Beni Khalled ",1944
"TS115D","Grombalia ",3310
"TS115E","Bou Argoub ",1028
"TS115F","Hammamet ",5265
"TS1160","Zaghouan  ",2189
"TS1161","Ez-Zeriba ",940
"TS1162","Bir Mchergua ",1638
"TS1163","El Fahs ",1523
"TS1164","En-Nadhour ",610
"TS1165","Saouaf ",280
"TS1170","Bizerte Nord  ",4478
"TS1171","Zarzouna ",3858
"TS1172","Bizerte Sud ",2293
"TS1173","Sedjnane ",754
"TS1174","Djoumine ",739
"TS1175","Mateur ",2108
"TS1176","Ghezala ",522
"TS1177","Menzel Bourguiba ",1488
"TS1178","Tinja ",1368
"TS1179","Utique ",499
"TS117A","Ghar El Meleh ",544
"TS117B","Menzel Djemil ",3107
"TS117C","El Alia ",936
"TS117D","Ras Djebel ",1703
"TS1210","Béja Nord  ",3213
"TS1211","Béja Sud ",2273
"TS1212","Amdoun ",675
"TS1213","Nefza ",1031
"TS1214","Teboursouk ",631
"TS1215","Tibar ",295
"TS1216","Testour ",1170
"TS1217","Goubellat ",420
"TS1218","Medjez El Bab ",1575
"TS1220","Jendouba  ",5403
"TS1221","Jendouba Nord ",2758
"TS1222","Bou Salem ",1100
"TS1223","Tabarka ",2271
"TS1224","Ain Draham ",1026
"TS1225","Fernana ",769
"TS1226","Ghardimaou ",933
"TS1227","Oued Meliz ",498
"TS1228","Balta - Bou Aouane ",1339
"TS1230","Kef Ouest  ",2909
"TS1231","Kef Est ",3214
"TS1232","Nebeur ",582
"TS1233","Sakiet Sidi Youssef ",510
"TS1234","Tajerouine ",1480
"TS1235","Kalâat Snan ",585
"TS1236","Kalâat Khasbah ",328
"TS1237","Djerissa ",438
"TS1238","El Ksour ",400
"TS1239","Dahmani ",812
"TS123A","Es-Sers ",928
"TS1240","Siliana Nord  ",2085
"TS1241","Siliana Sud ",1332
"TS1242","Bou Arada ",615
"TS1243","Gaâfour ",689
"TS1244","El Krib ",981
"TS1245","Bourouis ",317
"TS1246","Makthar ",766
"TS1247","Er-Rouhia ",685
"TS1248","Kesra ",353
"TS1249","Bargou ",450
"TS124A","El Aroussa ",292
"TS2110","Sousse Medina  ",4637
"TS2111","Sousse Riadh ",13648
"TS2112","Sousse Jawhara ",14111
"TS2113","Sousse Sidi Abdelhamid ",6900
"TS2114","Hammam Sousse ",4229
"TS2115","Akouda ",2516
"TS2116","Kalaâ Kebira ",1153
"TS2117","Sidi Bou Ali ",667
"TS2118","Hergla ",368
"TS2119","Enfidha ",1179
"TS211A","Bouficha ",1079
"TS211B","Kondar ",223
"TS211C","Sidi El Héni ",308
"TS211D","M saken ",4245
