"ID","NAMES","NBLOG2004_AsTheCrowFlies_ACC_0.005"
"TS1110","Carthage ",607.583959755524
"TS1111","La Medina ",138.76969758785
"TS1112","Bab El Bhar ",0
"TS1113","Bab Souika ",93.2972740064157
"TS1114","El Omrane ",89.2246752907176
"TS1115","El Omrane Supérieur ",0
"TS1116","Ettahrir ",225.120883441238
"TS1117","El Menzah ",0
"TS1118","Cité El Khadhra ",53.4859331800907
"TS1119","Le Bardo ",0
"TS111A","Sijoumi ",176.661192791162
"TS111B","Ezzouhour ",98.3151374762733
"TS111C","El Hrairia ",0
"TS111D","Sidi Hassine ",0
"TS111E","El Ouardia ",152.495017409829
"TS111F","El Kabaria ",0
"TS111G","Sidi El Béchir ",128.051100164006
"TS111H","Djebel Djelloud ",266.200584664738
"TS111I","La Goulette ",293.61438657332
"TS111J","Le Kram ",0
"TS111K","La Marsa ",0
"TS1120","L Ariana Ville  ",0
"TS1121","Soukra ",0
"TS1122","Raoued ",0
"TS1123","Kalaât El Andalous ",7234.38777394069
"TS1124","Sidi Thabet ",1148.66102380121
"TS1125","Cité Ettadhamen ",0
"TS1126","El Mnihla ",0
"TS1130","Ben Arous  ",174.397210371503
"TS1131","La Nouvelle Medina ",77.1959888493564
"TS1132","El Mourouj ",0
"TS1133","Hammam Lif ",126.271641028116
"TS1134","Hammam Chôtt ",1163.18348650222
"TS1135","Bou Mhel El Bassatine ",430.069732618298
"TS1136","Ezzahra ",200.259143162139
"TS1137","Radès ",0
"TS1138","Megrine ",261.43695739332
"TS1139","Mohamedia ",549.371792514684
"TS113A","Fouchana ",0
"TS113B","Mornag ",764.460508984551
"TS1140","Mannouba  ",0
"TS1141","Douar Hicher ",0
"TS1142","Oued Ellil ",0
"TS1143","Mornaguia ",5403.80853941314
"TS1144","Borj Amri ",10326.3538338251
"TS1145","Djedeida ",2971.28533539731
"TS1146","Tebourba ",10030.3120819122
"TS1147","El Battane ",10358.6529599812
"TS1150","Nabeul  ",0
"TS1151","Dar Châabane El Fehri ",515.602102443686
"TS1152","Beni khiar ",634.198478259949
"TS1153","Korba ",0
"TS1154","Menzel Temime ",0
"TS1155","El Mida ",5261.82243354128
"TS1156","Kelibia ",0
"TS1157","Hammam El Guezaz ",6230.28866918697
"TS1158","El Haouaria ",5811.52851899796
"TS1159","Takelsa ",11498.9616311126
"TS115A","Soliman ",2974.89307749632
"TS115B","Menzel Bouzelfa ",3966.57987280746
"TS115C","Beni Khalled ",3109.69657872987
"TS115D","Grombalia ",0
"TS115E","Bou Argoub ",3228.33830531088
"TS115F","Hammamet ",0
"TS1160","Zaghouan  ",11143.2760358301
"TS1161","Ez-Zeriba ",12154.0910355122
"TS1162","Bir Mchergua ",12173.6010232304
"TS1163","El Fahs ",14991.4632886172
"TS1164","En-Nadhour ",14924.4552431162
"TS1165","Saouaf ",14554.8687886563
"TS1170","Bizerte Nord  ",0
"TS1171","Zarzouna ",1917.15003120699
"TS1172","Bizerte Sud ",9466.42701729633
"TS1173","Sedjnane ",14041.8801982655
"TS1174","Djoumine ",12468.371508157
"TS1175","Mateur ",10135.5258144338
"TS1176","Ghezala ",12841.2605519502
"TS1177","Menzel Bourguiba ",0
"TS1178","Tinja ",6294.69131978545
"TS1179","Utique ",10318.644285717
"TS117A","Ghar El Meleh ",4207.6816797746
"TS117B","Menzel Djemil ",0
"TS117C","El Alia ",2921.83846196074
"TS117D","Ras Djebel ",0
"TS1210","Béja Nord  ",0
"TS1211","Béja Sud ",11010.512713128
"TS1212","Amdoun ",12069.1750062037
"TS1213","Nefza ",0
"TS1214","Teboursouk ",13685.3107695424
"TS1215","Tibar ",12439.8764072763
"TS1216","Testour ",13274.3608426794
"TS1217","Goubellat ",17481.0211761923
"TS1218","Medjez El Bab ",12051.7357859851
"TS1220","Jendouba  ",0
"TS1221","Jendouba Nord ",3409.42568525454
"TS1222","Bou Salem ",10600.5226566923
"TS1223","Tabarka ",16940.2854811143
"TS1224","Ain Draham ",10421.5074753059
"TS1225","Fernana ",64.0644195745303
"TS1226","Ghardimaou ",0
"TS1227","Oued Meliz ",12041.1002381022
"TS1228","Balta - Bou Aouane ",10603.3634358721
"TS1230","Kef Ouest  ",11101.382354338
"TS1231","Kef Est ",12745.5571215171
"TS1232","Nebeur ",11927.7141897057
"TS1233","Sakiet Sidi Youssef ",17640.3495760492
"TS1234","Tajerouine ",13849.2586426297
"TS1235","Kalâat Snan ",23102.1593631052
"TS1236","Kalâat Khasbah ",19107.6941861414
"TS1237","Djerissa ",17082.5232846766
"TS1238","El Ksour ",17525.448102113
"TS1239","Dahmani ",14119.6568335587
"TS123A","Es-Sers ",14669.7327157395
"TS1240","Siliana Nord  ",14770.427417045
"TS1241","Siliana Sud ",14622.2073203605
"TS1242","Bou Arada ",18214.6175561155
"TS1243","Gaâfour ",17569.0586632177
"TS1244","El Krib ",15138.8921809633
"TS1245","Bourouis ",16396.7590805028
"TS1246","Makthar ",16036.2618308495
"TS1247","Er-Rouhia ",16954.3157430547
"TS1248","Kesra ",17249.5883775657
"TS1249","Bargou ",20264.0040755581
"TS124A","El Aroussa ",17934.9209829934
"TS2110","Sousse Medina  ",78.4292832661572
"TS2111","Sousse Riadh ",0
"TS2112","Sousse Jawhara ",0
"TS2113","Sousse Sidi Abdelhamid ",142.835355846935
"TS2114","Hammam Sousse ",0
"TS2115","Akouda ",1783.86572367454
"TS2116","Kalaâ Kebira ",1573.23906614732
"TS2117","Sidi Bou Ali ",8932.78721727584
"TS2118","Hergla ",11371.7967732818
"TS2119","Enfidha ",11909.4868939958
"TS211A","Bouficha ",12080.9656505732
"TS211B","Kondar ",12618.9446912789
"TS211C","Sidi El Héni ",11616.0015771658
"TS211D","M saken ",0
"TS211E","Kalaâ Seghira ",2372.58830470346
"TS2120","Monastir  ",0
"TS2121","Ouerdanine ",1564.79758255992
"TS2122","Sahline ",1094.01420244741
"TS2123","Zermadine ",7302.58599973592
"TS2124","Beni Hassen ",4775.80538323767
"TS2125","Jammel ",0
"TS2126","Bembla ",1269.07795786599
"TS2127","Moknine ",0
"TS2128","Bekalta ",3780.9334565367
"TS2129","Teboulba ",2054.49648122182
"TS212A","Ksar Helal ",561.049622255606
"TS212B","Ksibet El Mediouni ",1225.96436745895
"TS212C","Sayada-Lamta Bou-Hjar ",1733.16206520352
"TS2130","Mahdia  ",0
"TS2131","Bou Merdès ",10525.3575466826
"TS2132","Ouled Chamekh ",13215.3739430763
"TS2133","Chorbane ",14999.4165743311
"TS2134","Hebira ",15238.906332684
"TS2135","Essouassi ",11396.4597073039
"TS2136","El Djem ",10334.3302396529
"TS2137","Chebba ",10464.5065265978
"TS2138","Melloulech ",10427.1586368442
"TS2139","Sidi Alouane ",9112.15989430054
"TS213A","Ksour Essef ",0
"TS2140","Sfax Ville  ",0
"TS2141","Sfax Ouest ",0
"TS2142","Sakiet Ezzit ",0
"TS2143","Sakiet Eddaïer ",0
"TS2144","Sfax Sud ",0
"TS2145","Tina ",168.008275504582
"TS2146","Agareb ",10979.5946053133
"TS2147","Djebeniana ",10008.7222110245
"TS2148","El Amra ",5338.71651316544
