"ID","NAMES","POPTO2004_AsTheCrowFlies_POT_20000"
"TS1110","Carthage ",1329401.10488863
"TS1111","La Medina ",1854311.26115482
"TS1112","Bab El Bhar ",1849420.77912165
"TS1113","Bab Souika ",1853320.56691654
"TS1114","El Omrane ",1842604.19548907
"TS1115","El Omrane Supérieur ",1782737.64099954
"TS1116","Ettahrir ",1802228.2712324
"TS1117","El Menzah ",1816851.36943527
"TS1118","Cité El Khadhra ",1776074.72416871
"TS1119","Le Bardo ",1815726.47353281
"TS111A","Sijoumi ",1849324.13162612
"TS111B","Ezzouhour ",1830271.62071636
"TS111C","El Hrairia ",1659167.69052024
"TS111D","Sidi Hassine ",1693325.5976533
"TS111E","El Ouardia ",1803339.26715468
"TS111F","El Kabaria ",1752815.71631135
"TS111G","Sidi El Béchir ",1846887.70144029
"TS111H","Djebel Djelloud ",1780271.51655397
"TS111I","La Goulette ",1461885.65396511
"TS111J","Le Kram ",1555874.51510105
"TS111K","La Marsa ",1244055.75273179
"TS1120","L Ariana Ville  ",1742980.88858157
"TS1121","Soukra ",1530666.87103161
"TS1122","Raoued ",1382726.68776451
"TS1123","Kalaât El Andalous ",727505.87392007
"TS1124","Sidi Thabet ",1197677.70544748
"TS1125","Cité Ettadhamen ",1709813.02256802
"TS1126","El Mnihla ",1644087.786486
"TS1130","Ben Arous  ",1693082.90362215
"TS1131","La Nouvelle Medina ",1587363.26578455
"TS1132","El Mourouj ",1655923.66628841
"TS1133","Hammam Lif ",1142644.14394267
"TS1134","Hammam Chôtt ",913772.57974045
"TS1135","Bou Mhel El Bassatine ",1295743.70439381
"TS1136","Ezzahra ",1429270.5626335
"TS1137","Radès ",1578637.41247638
"TS1138","Megrine ",1719832.64674247
"TS1139","Mohamedia ",1090724.32475817
"TS113A","Fouchana ",1560754.47427353
"TS113B","Mornag ",759577.85538729
"TS1140","Mannouba  ",1617756.88438035
"TS1141","Douar Hicher ",1581995.23990954
"TS1142","Oued Ellil ",1263664.42374271
"TS1143","Mornaguia ",757183.73399011
"TS1144","Borj Amri ",379951.04961182
"TS1145","Djedeida ",703613.5904478
"TS1146","Tebourba ",237174.30706764
"TS1147","El Battane ",254873.71961674
"TS1150","Nabeul  ",294168.78564485
"TS1151","Dar Châabane El Fehri ",312148.37756782
"TS1152","Beni khiar ",263555.50820447
"TS1153","Korba ",274115.54143362
"TS1154","Menzel Temime ",204957.02667205
"TS1155","El Mida ",244466.42591389
"TS1156","Kelibia ",159387.54317926
"TS1157","Hammam El Guezaz ",130978.27185822
"TS1158","El Haouaria ",140445.52571116
"TS1159","Takelsa ",178996.80523159
"TS115A","Soliman ",412103.94936497
"TS115B","Menzel Bouzelfa ",297526.74116378
"TS115C","Beni Khalled ",357478.00742989
"TS115D","Grombalia ",466395.00489771
"TS115E","Bou Argoub ",364504.1819487
"TS115F","Hammamet ",261517.49930457
"TS1160","Zaghouan  ",132707.11253791
"TS1161","Ez-Zeriba ",116167.89647325
"TS1162","Bir Mchergua ",170654.00432622
"TS1163","El Fahs ",73663.06740705
"TS1164","En-Nadhour ",97302.30302948
"TS1165","Saouaf ",103875.33099002
"TS1170","Bizerte Nord  ",222877.14188643
"TS1171","Zarzouna ",276193.82883847
"TS1172","Bizerte Sud ",182318.75233418
"TS1173","Sedjnane ",77970.45811053
"TS1174","Djoumine ",123641.14400967
"TS1175","Mateur ",179587.03638406
"TS1176","Ghezala ",121845.86329922
"TS1177","Menzel Bourguiba ",284003.70769416
"TS1178","Tinja ",251106.7343905
"TS1179","Utique ",455446.36001638
"TS117A","Ghar El Meleh ",224469.65472284
"TS117B","Menzel Djemil ",281927.51870014
"TS117C","El Alia ",289971.47067147
"TS117D","Ras Djebel ",195678.13578655
"TS1210","Béja Nord  ",153636.79570884
"TS1211","Béja Sud ",152182.37866205
"TS1212","Amdoun ",169631.75872371
"TS1213","Nefza ",114010.3394048
"TS1214","Teboursouk ",94924.82389182
"TS1215","Tibar ",129950.1321003
"TS1216","Testour ",94129.34149472
"TS1217","Goubellat ",72697.69844045
"TS1218","Medjez El Bab ",120417.03174799
"TS1220","Jendouba  ",183387.67004992
"TS1221","Jendouba Nord ",201487.8719867
"TS1222","Bou Salem ",169842.20663907
"TS1223","Tabarka ",113094.92017599
"TS1224","Ain Draham ",140377.12065611
"TS1225","Fernana ",161950.43138294
"TS1226","Ghardimaou ",90195.6796831
