"ID","NAMES","NBLOG2004_AsTheCrowFlies_ACC_0.05"
"TS2122","Sahline ",16099.9931075914
"TS2123","Zermadine ",23048.3768171749
"TS2124","Beni Hassen ",21722.2040793234
"TS2125","Jammel ",18294.8871384195
"TS2126","Bembla ",17103.3847930145
"TS2127","Moknine ",21926.1886159672
"TS2128","Bekalta ",27296.4163875002
"TS2129","Teboulba ",24869.3559937119
"TS212A","Ksar Helal ",20726.6110633716
"TS212B","Ksibet El Mediouni ",18994.8236733896
"TS212C","Sayada-Lamta Bou-Hjar ",21429.519787252
"TS2130","Mahdia  ",26645.7330952159
"TS2131","Bou Merdès ",26648.1456923971
"TS2132","Ouled Chamekh ",32959.6054909801
"TS2133","Chorbane ",38547.1468652821
"TS2134","Hebira ",40983.8819153203
"TS2135","Essouassi ",33099.7313802469
"TS2136","El Djem ",31350.9523123342
"TS2137","Chebba ",38192.7684318559
"TS2138","Melloulech ",35636.8800454653
"TS2139","Sidi Alouane ",31652.1213886488
"TS213A","Ksour Essef ",31608.5636770937
"TS2140","Sfax Ville  ",15213.1435624535
"TS2141","Sfax Ouest ",15905.3730790985
"TS2142","Sakiet Ezzit ",18154.5143407969
"TS2143","Sakiet Eddaïer ",17235.1217090355
"TS2144","Sfax Sud ",16753.0590643982
"TS2145","Tina ",19697.6116581783
"TS2146","Agareb ",30988.3366911283
"TS2147","Djebeniana ",31950.1781497312
"TS2148","El Amra ",25386.0873199074
"TS2149","El Hencha ",31589.8227353681
"TS214A","Menzel Chaker ",37776.6111290378
"TS214B","Ghraiba ",51323.5927301387
"TS214C","Bir ali Ben Kelifa ",49513.0701485253
"TS214D","Skhira ",60907.9742969614
"TS214E","Mahres ",41400.0686722543
"TS214F","Kerkenah ",49437.9145337403
"TS2210","Kairouan Nord  ",35804.1360329958
"TS2211","Kairouan Sud ",35958.9107922818
"TS2212","Echebika ",41432.3654163782
"TS2213","Sbikha ",40451.4108735391
"TS2214","EL Ouslatia ",47890.1700266049
"TS2215","Haffouz ",46187.3095034461
"TS2216","El Alâa ",48078.3114239182
"TS2217","Hajeb el Ayoun ",47889.0107354617
"TS2218","Nasrallah ",46301.146580201
"TS2219","Echrarda ",45770.7661952791
"TS221A","Bouhajla ",42391.5351492177
"TS2220","Kasserine Nord  ",58289.8898881506
"TS2221","Kasserine Sud ",58482.0117562072
