"ID","NAMES","NBLOG2004_AsTheCrowFlies_POT_50000"
"TS1110","Carthage ",720419.97323577
"TS1111","La Medina ",735857.31011454
"TS1112","Bab El Bhar ",736272.979018
"TS1113","Bab Souika ",735207.84546619
"TS1114","El Omrane ",733962.04824308
"TS1115","El Omrane Supérieur ",730140.958372
"TS1116","Ettahrir ",731249.46304539
"TS1117","El Menzah ",732433.55028066
"TS1118","Cité El Khadhra ",733246.5928038
"TS1119","Le Bardo ",732152.52653729
"TS111A","Sijoumi ",735718.32642612
"TS111B","Ezzouhour ",733456.20399508
"TS111C","El Hrairia ",724739.0461473
"TS111D","Sidi Hassine ",727794.8687308
"TS111E","El Ouardia ",736675.14559595
"TS111F","El Kabaria ",736519.80501391
"TS111G","Sidi El Béchir ",736574.50724789
"TS111H","Djebel Djelloud ",737194.7951953
"TS111I","La Goulette ",727507.46378383
"TS111J","Le Kram ",727429.15161896
"TS111K","La Marsa ",711359.44008163
"TS1120","L Ariana Ville  ",728528.10287302
"TS1121","Soukra ",720706.38796569
"TS1122","Raoued ",709819.61362136
"TS1123","Kalaât El Andalous ",659978.02573524
"TS1124","Sidi Thabet ",700277.55462351
"TS1125","Cité Ettadhamen ",726746.71287894
"TS1126","El Mnihla ",723374.87965266
"TS1130","Ben Arous  ",736305.34592514
"TS1131","La Nouvelle Medina ",734640.01485469
"TS1132","El Mourouj ",734812.01150886
"TS1133","Hammam Lif ",720609.10473982
"TS1134","Hammam Chôtt ",707446.47536152
"TS1135","Bou Mhel El Bassatine ",726828.4122761
"TS1136","Ezzahra ",731149.54799672
"TS1137","Radès ",734515.41380642
"TS1138","Megrine ",737002.83215821
"TS1139","Mohamedia ",700746.22955038
"TS113A","Fouchana ",729740.00721991
"TS113B","Mornag ",692071.75766598
"TS1140","Mannouba  ",722673.53552672
"TS1141","Douar Hicher ",720943.7886025
"TS1142","Oued Ellil ",705070.37492578
"TS1143","Mornaguia ",667844.66056139
"TS1144","Borj Amri ",613552.90174165
"TS1145","Djedeida ",662836.67728927
"TS1146","Tebourba ",551820.13132411
"TS1147","El Battane ",567454.79123936
"TS1150","Nabeul  ",379826.63111179
"TS1151","Dar Châabane El Fehri ",382036.78971053
"TS1152","Beni khiar ",325791.73446617
"TS1153","Korba ",338757.58614799
"TS1154","Menzel Temime ",261767.22967613
"TS1155","El Mida ",338428.89618417
"TS1156","Kelibia ",164995.8891723
"TS1157","Hammam El Guezaz ",131393.80118649
"TS1158","El Haouaria ",205122.59411462
"TS1159","Takelsa ",500390.14828379
"TS115A","Soliman ",637780.52789964
"TS115B","Menzel Bouzelfa ",508445.75421492
"TS115C","Beni Khalled ",494192.8254569
"TS115D","Grombalia ",639796.21854539
"TS115E","Bou Argoub ",500954.38258621
"TS115F","Hammamet ",488635.99448644
"TS1160","Zaghouan  ",530433.14994235
"TS1161","Ez-Zeriba ",430062.39846918
"TS1162","Bir Mchergua ",574359.80231443
"TS1163","El Fahs ",263737.08236408
"TS1164","En-Nadhour ",222528.81546911
"TS1165","Saouaf ",325015.51735908
"TS1170","Bizerte Nord  ",287359.88341981
"TS1171","Zarzouna ",372299.18591472
"TS1172","Bizerte Sud ",274585.1716194
"TS1173","Sedjnane ",146755.9526224
"TS1174","Djoumine ",258696.93442167
"TS1175","Mateur ",449248.5628887
"TS1176","Ghezala ",265842.52821461
"TS1177","Menzel Bourguiba ",493061.1391232
"TS1178","Tinja ",422708.61441358
"TS1179","Utique ",617436.49954543
"TS117A","Ghar El Meleh ",520845.83483917
"TS117B","Menzel Djemil ",434581.87633945
"TS117C","El Alia ",512268.0337833
"TS117D","Ras Djebel ",446409.60107317
"TS1210","Béja Nord  ",191401.78468917
"TS1211","Béja Sud ",181701.40606475
"TS1212","Amdoun ",157140.7435836
