"ID","NAMES","IMMIG9404_AsTheCrowFlies_ACC_0.01"
"TS1110","Carthage ",804.178399970293
"TS1111","La Medina ",294.056727983347
"TS1112","Bab El Bhar ",20.4315592942325
"TS1113","Bab Souika ",308.405590387931
"TS1114","El Omrane ",239.638672514234
"TS1115","El Omrane Supérieur ",0
"TS1116","Ettahrir ",247.145949540042
"TS1117","El Menzah ",80.6053361846006
"TS1118","Cité El Khadhra ",27.4168609871422
"TS1119","Le Bardo ",0
"TS111A","Sijoumi ",354.000079986461
"TS111B","Ezzouhour ",231.177695055235
"TS111C","El Hrairia ",0
"TS111D","Sidi Hassine ",0
"TS111E","El Ouardia ",360.503820511056
"TS111F","El Kabaria ",0
"TS111G","Sidi El Béchir ",267.380164719148
"TS111H","Djebel Djelloud ",434.273138394427
"TS111I","La Goulette ",492.676946208222
"TS111J","Le Kram ",0
"TS111K","La Marsa ",0
"TS1120","L Ariana Ville  ",0
"TS1121","Soukra ",0
"TS1122","Raoued ",0
"TS1123","Kalaât El Andalous ",8707.09666216725
"TS1124","Sidi Thabet ",1824.36241366195
"TS1125","Cité Ettadhamen ",131.032496471847
"TS1126","El Mnihla ",0
"TS1130","Ben Arous  ",291.90359328043
"TS1131","La Nouvelle Medina ",114.256143604414
"TS1132","El Mourouj ",0
"TS1133","Hammam Lif ",959.00914206447
"TS1134","Hammam Chôtt ",970.231634195286
"TS1135","Bou Mhel El Bassatine ",221.72195573354
"TS1136","Ezzahra ",224.409789955422
"TS1137","Radès ",0
"TS1138","Megrine ",449.198346627254
"TS1139","Mohamedia ",465.860326873984
"TS113A","Fouchana ",0
"TS113B","Mornag ",4529.53775631816
"TS1140","Mannouba  ",8.07479501005211
"TS1141","Douar Hicher ",0
"TS1142","Oued Ellil ",173.220505903635
"TS1143","Mornaguia ",10024.7963579017
"TS1144","Borj Amri ",11231.0274361464
"TS1145","Djedeida ",8690.03536313866
"TS1146","Tebourba ",13769.7726779242
"TS1147","El Battane ",13036.5662941416
"TS1150","Nabeul  ",4998.2582825589
"TS1151","Dar Châabane El Fehri ",5254.63746073127
"TS1152","Beni khiar ",8323.25110308052
"TS1153","Korba ",13452.6509392992
"TS1154","Menzel Temime ",20262.6029443061
"TS1155","El Mida ",16907.3852730712
"TS1156","Kelibia ",25489.6387029906
"TS1157","Hammam El Guezaz ",30858.9335270909
"TS1158","El Haouaria ",27304.2052422299
"TS1159","Takelsa ",17891.030495685
"TS115A","Soliman ",10442.7133425689
"TS115B","Menzel Bouzelfa ",12831.5448043853
"TS115C","Beni Khalled ",11558.855948327
"TS115D","Grombalia ",10286.8098399131
"TS115E","Bou Argoub ",10772.9681093558
"TS115F","Hammamet ",11375.9451863782
"TS1160","Zaghouan  ",16523.4480048764
"TS1161","Ez-Zeriba ",20830.5681336944
"TS1162","Bir Mchergua ",13255.3776323275
"TS1163","El Fahs ",29647.2703288535
"TS1164","En-Nadhour ",30498.3811998662
"TS1165","Saouaf ",24789.9552901134
"TS1170","Bizerte Nord  ",8824.92447658061
"TS1171","Zarzouna ",5513.05981829182
"TS1172","Bizerte Sud ",15677.0427127035
"TS1173","Sedjnane ",32116.2713911295
"TS1174","Djoumine ",23938.8430339243
"TS1175","Mateur ",19095.9417595576
"TS1176","Ghezala ",23778.9859102678
"TS1177","Menzel Bourguiba ",13006.3641593982
"TS1178","Tinja ",14054.3420571084
"TS1179","Utique ",11430.5146778753
"TS117A","Ghar El Meleh ",13264.9570927826
"TS117B","Menzel Djemil ",7816.14601422816
"TS117C","El Alia ",11378.5815460959
"TS117D","Ras Djebel ",14584.4111648018
"TS1210","Béja Nord  ",21805.1826619512
"TS1211","Béja Sud ",21013.0879805922
"TS1212","Amdoun ",20997.6868293647
"TS1213","Nefza ",28319.9327204024
"TS1214","Teboursouk ",25635.4171761767
"TS1215","Tibar ",21903.0696258647
"TS1216","Testour ",25749.2121437714
"TS1217","Goubellat ",22588.855016879
"TS1218","Medjez El Bab ",21008.3208190648
"TS1220","Jendouba  ",12788.8850899717
"TS1221","Jendouba Nord ",15742.1260765438
"TS1222","Bou Salem ",18451.2327157752
"TS1223","Tabarka ",28122.471428875
"TS1224","Ain Draham ",24973.9160035906
"TS1225","Fernana ",22471.8446538956
"TS1226","Ghardimaou ",33874.7660419566
"TS1227","Oued Meliz ",22219.5818293483
"TS1228","Balta - Bou Aouane ",20593.6196412205
"TS1230","Kef Ouest  ",23322.5742443289
"TS1231","Kef Est ",21656.1572367519
"TS1232","Nebeur ",18394.2601739357
"TS1233","Sakiet Sidi Youssef ",31557.1030940994
"TS1234","Tajerouine ",30459.2497197137
"TS1235","Kalâat Snan ",43632.208059448
"TS1236","Kalâat Khasbah ",40221.4895641234
"TS1237","Djerissa ",33584.7277050431
"TS1238","El Ksour ",31994.2169671952
"TS1239","Dahmani ",27240.3653354096
"TS123A","Es-Sers ",25396.9627902356
"TS1240","Siliana Nord  ",30145.13939707
"TS1241","Siliana Sud ",32808.7972170924
"TS1242","Bou Arada ",31531.8178641485
"TS1243","Gaâfour ",30622.9468023443
"TS1244","El Krib ",24461.7420191795
"TS1245","Bourouis ",25946.390472749
"TS1246","Makthar ",32118.0825433527
"TS1247","Er-Rouhia ",37181.1379465575
"TS1248","Kesra ",35335.3439035454
"TS1249","Bargou ",33717.5662318581
"TS124A","El Aroussa ",31000.6075918468
"TS2110","Sousse Medina  ",643.131756505772
"TS2111","Sousse Riadh ",0
"TS2112","Sousse Jawhara ",0
"TS2113","Sousse Sidi Abdelhamid ",55.6839165311226
"TS2114","Hammam Sousse ",953.414729938047
"TS2115","Akouda ",5330.48001629572
"TS2116","Kalaâ Kebira ",10667.9387007671
"TS2117","Sidi Bou Ali ",13117.3844946232
"TS2118","Hergla ",15660.7988068843
"TS2119","Enfidha ",22694.4405961951
"TS211A","Bouficha ",20299.3793913668
"TS211B","Kondar ",19733.1934239386
"TS211C","Sidi El Héni ",13993.6256565701
"TS211D","M saken ",10187.4405006412
"TS211E","Kalaâ Seghira ",4196.84898652084
"TS2120","Monastir  ",0
"TS2121","Ouerdanine ",2459.75944276939
"TS2122","Sahline ",1668.47956647266
"TS2123","Zermadine ",11965.6505937487
"TS2124","Beni Hassen ",11301.1156549738
"TS2125","Jammel ",5288.38431474512
"TS2126","Bembla ",2328.04335741499
"TS2127","Moknine ",7783.88199920007
"TS2128","Bekalta ",10721.9280055955
"TS2129","Teboulba ",9023.06449358602
"TS212A","Ksar Helal ",4078.16807582703
"TS212B","Ksibet El Mediouni ",3572.07741017654
"TS212C","Sayada-Lamta Bou-Hjar ",5095.46733908239
"TS2130","Mahdia  ",8508.18958784842
"TS2131","Bou Merdès ",16699.8245084695
"TS2132","Ouled Chamekh ",21670.1835098973
"TS2133","Chorbane ",30702.2263091699
"TS2134","Hebira ",31428.2424860841
"TS2135","Essouassi ",23432.4778259019
"TS2136","El Djem ",22071.3986807834
"TS2137","Chebba ",25426.7848933281
"TS2138","Melloulech ",23461.9675461388
"TS2139","Sidi Alouane ",20656.7139177801
"TS213A","Ksour Essef ",16722.5363680028
"TS2140","Sfax Ville  ",0
"TS2141","Sfax Ouest ",0
"TS2142","Sakiet Ezzit ",0
"TS2143","Sakiet Eddaïer ",0
"TS2144","Sfax Sud ",0
"TS2145","Tina ",0
"TS2146","Agareb ",13755.5864675252
"TS2147","Djebeniana ",19747.6027250565
"TS2148","El Amra ",10670.8669491679
"TS2149","El Hencha ",20771.4421938556
"TS214A","Menzel Chaker ",23857.3696653083
"TS214B","Ghraiba ",32452.6655728176
"TS214C","Bir ali Ben Kelifa ",33826.6600197879
"TS214D","Skhira ",39821.732533943
"TS214E","Mahres ",21317.1840476741
"TS214F","Kerkenah ",26936.3887959583
"TS2210","Kairouan Nord  ",15623.006288557
"TS2211","Kairouan Sud ",12259.1399959965
"TS2212","Echebika ",22089.4599578402
"TS2213","Sbikha ",26693.9559068384
"TS2214","EL Ouslatia ",33817.6705490373
"TS2215","Haffouz ",33948.4635220139
"TS2216","El Alâa ",35352.3557249155
"TS2217","Hajeb el Ayoun ",36708.2708967896
"TS2218","Nasrallah ",34888.9104462666
"TS2219","Echrarda ",37036.2955812877
"TS221A","Bouhajla ",29184.8425719081
"TS2220","Kasserine Nord  ",29350.5067171047
"TS2221","Kasserine Sud ",30788.800415985
"TS2222","Ezzouhour ",29958.6162412775
"TS2223","Hassi Ferid ",34259.4460711958
"TS2224","Sbeitla ",31495.0335686344
"TS2225","Sbiba ",36826.6405010222
"TS2226","Djedeliane ",36200.2128141707
"TS2227","El Ayoun ",35099.6958853818
"TS2228","Thala ",37406.6022158496
"TS2229","Hidra ",43198.3875578653
"TS222A","Foussana ",37819.2201025739
"TS222B","Feriana ",41801.1123519768
"TS222C","Majel Bel Abbès ",36441.3939791763
"TS2230","Sidi Bouzid Ouest  ",32301.0485143237
"TS2231","Sidi Bouzid Est ",33216.7714590481
"TS2232","Jilma ",35763.323305768
"TS2233","Cebalet Ouled Asker ",32175.0298266263
"TS2234","Bir El Hafey ",34587.8692032788
"TS2235","Sidi Ali Ben Aoûn ",37331.8162184563
"TS2236","Menzel Bouzaïenne ",42481.6890933079
"TS2237","Meknassy ",43840.3582219997
"TS2238","Souk Jedid ",35395.2039267733
"TS2239","Mezzouna ",44729.4948332455
"TS223A","Regueb ",40380.6879568884
"TS223B","Ouled Haffouz ",38517.9637320355
"TS3110","Gabes Medina  ",4708.49286290919
"TS3111","Gabes Ouest ",0
"TS3112","Gabes Sud ",6431.62298702502
"TS3113","Ghanouch ",9776.6766430344
"TS3114","El Metouia ",18924.8270819513
"TS3115","Menzel El Habib ",37620.8721239996
"TS3116","El Hamma ",32835.6213367827
"TS3117","Matmata ",36841.8307962739
"TS3118","Nouvelle Matmata ",21857.1856515015
"TS3119","Mareth ",23315.4989640314
"TS3120","Medenine Nord  ",21718.4882312541
"TS3121","Medenine Sud ",26367.2793082513
"TS3122","Beni Khedech ",34551.3228670893
"TS3123","Ben Guerdane ",52649.6694730823
"TS3124","Zarzis ",28219.3906946539
"TS3125","Djerba Houmet Souk ",9199.15543941494
"TS3126","Djerba Midoun ",9738.26133023721
"TS3127","Djerba Ajim ",14778.086908557
"TS3128","Sidi Makhloulf ",25765.2049472418
"TS3130","Tataouine Nord  ",47512.3246327582
"TS3131","Tataouine Sud ",51341.7248668268
"TS3132","Smâr ",47037.8999915798
"TS3133","Bir Lahmar ",30143.400574841
"TS3134","Ghomrassen ",36068.0594254671
"TS3135","Dhehiba ",104729.886924064
"TS3136","Remada ",130795.059055045
"TS3210","Gafsa Nord  ",29943.1523061038
"TS3211","Sidi Aïch ",30620.4539948127
"TS3212","El Ksar ",23097.9552493641
"TS3213","Gafsa Sud ",13742.4004051065
"TS3214","Oum El Araies ",33940.1928000155
"TS3215","Redeyef ",41326.5061508108
"TS3216","Metlaoui ",29984.6962674648
"TS3217","Mdhila ",30212.0557894922
"TS3218","EL Guetar ",37040.6824803996
"TS3219","Belkhir ",46155.0666269889
"TS321A","Sned ",39286.6263748288
"TS3220","Tozeur  ",53725.8148450829
"TS3221","Degach ",42429.2000492601
"TS3222","Tameghza ",56803.8911596794
"TS3223","Nefta ",66727.4372870518
"TS3224","Hazoua ",82984.3493607747
"TS3230","Kebili Sud  ",53877.9257056898
"TS3231","Kebeli Nord ",50227.4653672316
"TS3232","Souk El Ahed ",45801.2360972031
"TS3233","Douz Nord ",58592.9049399417
"TS3234","Douz Sud ",70362.6814869641
"TS3235","Faouar ",86706.1182642837
