"ID","NAMES","EMIG9404_AsTheCrowFlies_POT_20000"
"TS1110","Carthage ",158771.81051443
"TS1111","La Medina ",211624.8879643
"TS1112","Bab El Bhar ",211787.27889499
"TS1113","Bab Souika ",211190.93623119
"TS1114","El Omrane ",209678.62378004
"TS1115","El Omrane Supérieur ",202528.2826313
"TS1116","Ettahrir ",204642.53264149
"TS1117","El Menzah ",207277.63568553
"TS1118","Cité El Khadhra ",205977.29699338
"TS1119","Le Bardo ",206199.16571098
"TS111A","Sijoumi ",211087.02797989
"TS111B","Ezzouhour ",208189.86257117
"TS111C","El Hrairia ",188163.04837587
"TS111D","Sidi Hassine ",194020.63442418
"TS111E","El Ouardia ",208086.04331861
"TS111F","El Kabaria ",203630.59224482
"TS111G","Sidi El Béchir ",211505.8710096
"TS111H","Djebel Djelloud ",206435.72160253
"TS111I","La Goulette ",174084.59612099
"TS111J","Le Kram ",184887.02037723
"TS111K","La Marsa ",148211.72831571
"TS1120","L Ariana Ville  ",199709.92221144
"TS1121","Soukra ",179643.7394825
"TS1122","Raoued ",157155.05425223
"TS1123","Kalaât El Andalous ",66891.22158097
"TS1124","Sidi Thabet ",125858.28168738
"TS1125","Cité Ettadhamen ",193658.87377897
"TS1126","El Mnihla ",185687.73396342
"TS1130","Ben Arous  ",197914.64646398
"TS1131","La Nouvelle Medina ",186419.56529669
"TS1132","El Mourouj ",193663.49387909
"TS1133","Hammam Lif ",129324.06995514
"TS1134","Hammam Chôtt ",96336.0929709
"TS1135","Bou Mhel El Bassatine ",150098.77300347
"TS1136","Ezzahra ",167574.36941045
"TS1137","Radès ",186055.99685676
"TS1138","Megrine ",201026.55411
"TS1139","Mohamedia ",121320.82774121
"TS113A","Fouchana ",182298.27319294
"TS113B","Mornag ",76867.17176558
"TS1140","Mannouba  ",182520.31708089
"TS1141","Douar Hicher ",177779.73800411
"TS1142","Oued Ellil ",135400.91744696
"TS1143","Mornaguia ",71874.41330923
"TS1144","Borj Amri ",26108.74525434
"TS1145","Djedeida ",59581.29867969
"TS1146","Tebourba ",12807.94732186
"TS1147","El Battane ",14021.74664453
"TS1150","Nabeul  ",14243.19478423
"TS1151","Dar Châabane El Fehri ",14669.67504873
"TS1152","Beni khiar ",12691.21339315
"TS1153","Korba ",11090.33118957
"TS1154","Menzel Temime ",7439.11506869
"TS1155","El Mida ",8509.06334019
"TS1156","Kelibia ",6187.55786675
"TS1157","Hammam El Guezaz ",5162.42989443
"TS1158","El Haouaria ",5450.42794147
"TS1159","Takelsa ",6781.37424555
"TS115A","Soliman ",28378.95529426
"TS115B","Menzel Bouzelfa ",11839.25436333
"TS115C","Beni Khalled ",15440.80038412
"TS115D","Grombalia ",30526.08951501
"TS115E","Bou Argoub ",16841.16082168
"TS115F","Hammamet ",12034.06491392
"TS1160","Zaghouan  ",7049.734965
