"ID","NAMES","IMMIG9404_AsTheCrowFlies_POT_10000"
"TS1110","Carthage ",51006.27233636
"TS1111","La Medina ",150132.02213058
"TS1112","Bab El Bhar ",149850.51986593
"TS1113","Bab Souika ",150283.64883402
"TS1114","El Omrane ",147997.74422556
"TS1115","El Omrane Supérieur ",135045.23874902
"TS1116","Ettahrir ",137890.92320623
"TS1117","El Menzah ",143609.9585754
"TS1118","Cité El Khadhra ",134140.11537254
"TS1119","Le Bardo ",139505.61432528
"TS111A","Sijoumi ",147713.74107456
"TS111B","Ezzouhour ",141871.64842311
"TS111C","El Hrairia ",98953.75478469
"TS111D","Sidi Hassine ",100679.45456337
"TS111E","El Ouardia ",134067.50289805
"TS111F","El Kabaria ",121983.24770988
"TS111G","Sidi El Béchir ",147544.28794715
"TS111H","Djebel Djelloud ",129447.61808743
"TS111I","La Goulette ",67374.46754577
"TS111J","Le Kram ",85908.24075896
"TS111K","La Marsa ",51200.84234846
"TS1120","L Ariana Ville  ",129488.20020424
"TS1121","Soukra ",91271.10815948
"TS1122","Raoued ",67421.51988396
"TS1123","Kalaât El Andalous ",8051.04951627
"TS1124","Sidi Thabet ",33124.18736562
"TS1125","Cité Ettadhamen ",116558.602246
"TS1126","El Mnihla ",107299.40846423
"TS1130","Ben Arous  ",111575.58416515
"TS1131","La Nouvelle Medina ",96590.29653485
"TS1132","El Mourouj ",103717.87873317
"TS1133","Hammam Lif ",44571.21078392
"TS1134","Hammam Chôtt ",26716.0403377
"TS1135","Bou Mhel El Bassatine ",63256.52629881
"TS1136","Ezzahra ",76639.03222088
"TS1137","Radès ",93640.53822956
"TS1138","Megrine ",118181.63020914
"TS1139","Mohamedia ",20473.44325855
"TS113A","Fouchana ",85057.17340293
"TS113B","Mornag ",11439.0977625
"TS1140","Mannouba  ",95270.53409381
"TS1141","Douar Hicher ",91257.81402687
"TS1142","Oued Ellil ",44219.77769387
"TS1143","Mornaguia ",6906.94036935
"TS1144","Borj Amri ",3071.49376437
"TS1145","Djedeida ",7806.60073613
"TS1146","Tebourba ",2511.01284484
"TS1147","El Battane ",2299.8756453
"TS1150","Nabeul  ",9372.07941704
"TS1151","Dar Châabane El Fehri ",10444.06880615
"TS1152","Beni khiar ",8121.43958889
"TS1153","Korba ",3721.35789484
"TS1154","Menzel Temime ",2276.1230252
"TS1155","El Mida ",2024.82643372
"TS1156","Kelibia ",3787.81541166
"TS1157","Hammam El Guezaz ",3022.49364519
"TS1158","El Haouaria ",1648.1895392
"TS1159","Takelsa ",886.10827927
"TS115A","Soliman ",5458.87877521
"TS115B","Menzel Bouzelfa ",3276.08820966
"TS115C","Beni Khalled ",4488.70668324
"TS115D","Grombalia ",5904.45638182
"TS115E","Bou Argoub ",5745.71680481
"TS115F","Hammamet ",5652.14992079
"TS1160","Zaghouan  ",2510.74758211
"TS1161","Ez-Zeriba ",1750.88188865
"TS1162","Bir Mchergua ",1829.18140324
"TS1163","El Fahs ",1524.13885834
"TS1164","En-Nadhour ",620.67901448
"TS1165","Saouaf ",550.56368045
"TS1170","Bizerte Nord  ",7453.94614772
"TS1171","Zarzouna ",9746.2909074
"TS1172","Bizerte Sud ",2750.2594641
"TS1173","Sedjnane ",757.99252102
"TS1174","Djoumine ",838.52026502
"TS1175","Mateur ",2329.56790535
"TS1176","Ghezala ",556.39835213
"TS1177","Menzel Bourguiba ",3224.5112784
"TS1178","Tinja ",2844.74099563
"TS1179","Utique ",1308.40605266
"TS117A","Ghar El Meleh ",2785.18405083
"TS117B","Menzel Djemil ",8221.09330471
"TS117C","El Alia ",5370.68199604
"TS117D","Ras Djebel ",3461.32925523
"TS1210","Béja Nord  ",3313.55268298
"TS1211","Béja Sud ",2365.32232014
"TS1212","Amdoun ",852.52757997
"TS1213","Nefza ",1033.40539579
"TS1214","Teboursouk ",704.9044315
"TS1215","Tibar ",766.71398453
"TS1216","Testour ",1175.58279168
"TS1217","Goubellat ",426.83923798
"TS1218","Medjez El Bab ",1648.51440802
"TS1220","Jendouba  ",6044.72870851
"TS1221","Jendouba Nord ",4091.1975429
"TS1222","Bou Salem ",1400.77592836
"TS1223","Tabarka ",2289.56946458
"TS1224","Ain Draham ",1131.04124191
"TS1225","Fernana ",1326.41837704
"TS1226","Ghardimaou ",943.89372781
"TS1227","Oued Meliz ",795.59504068
"TS1228","Balta - Bou Aouane ",1458.13404548
"TS1230","Kef Ouest  ",2923.89869954
"TS1231","Kef Est ",3244.59996539
"TS1232","Nebeur ",871.24215391
"TS1233","Sakiet Sidi Youssef ",577.80917725
"TS1234","Tajerouine ",1493.83683365
"TS1235","Kalâat Snan ",596.02317716
"TS1236","Kalâat Khasbah ",386.01016429
"TS1237","Djerissa ",499.86469515
"TS1238","El Ksour ",426.27318222
"TS1239","Dahmani ",825.09054009
"TS123A","Es-Sers ",1016.03163912
"TS1240","Siliana Nord  ",2305.48559317
"TS1241","Siliana Sud ",1677.3194068
"TS1242","Bou Arada ",642.56323735
"TS1243","Gaâfour ",697.60077047
"TS1244","El Krib ",1000.80299054
"TS1245","Bourouis ",349.24303394
"TS1246","Makthar ",768.81475492
"TS1247","Er-Rouhia ",727.30206599
"TS1248","Kesra ",364.21986641
"TS1249","Bargou ",450.18947733
"TS124A","El Aroussa ",358.79310811
"TS2110","Sousse Medina  ",43000.05663718
"TS2111","Sousse Riadh ",43761.81091807
"TS2112","Sousse Jawhara ",44619.46734584
"TS2113","Sousse Sidi Abdelhamid ",43580.25037101
"TS2114","Hammam Sousse ",34386.39016521
"TS2115","Akouda ",11123.57377567
"TS2116","Kalaâ Kebira ",5214.25468989
"TS2117","Sidi Bou Ali ",2170.14020148
"TS2118","Hergla ",1291.670841
"TS2119","Enfidha ",1234.37804983
"TS211A","Bouficha ",1214.567638
"TS211B","Kondar ",382.0389865
"TS211C","Sidi El Héni ",610.49659613
"TS211D","M saken ",6404.68739778
"TS211E","Kalaâ Seghira ",12054.80492412
"TS2120","Monastir  ",21027.50289673
"TS2121","Ouerdanine ",25154.31647769
"TS2122","Sahline ",33096.5651641
"TS2123","Zermadine ",2639.59545243
"TS2124","Beni Hassen ",4032.86534418
"TS2125","Jammel ",10373.31949726
"TS2126","Bembla ",21430.40651605
"TS2127","Moknine ",8501.0888707
"TS2128","Bekalta ",6119.66182875
"TS2129","Teboulba ",7695.5445694
"TS212A","Ksar Helal ",12513.61615788
"TS212B","Ksibet El Mediouni ",16647.40278201
"TS212C","Sayada-Lamta Bou-Hjar ",12183.75365736
"TS2130","Mahdia  ",7359.41087528
"TS2131","Bou Merdès ",1196.10863599
"TS2132","Ouled Chamekh ",406.36125186
"TS2133","Chorbane ",459.06304317
"TS2134","Hebira ",373.96503128
"TS2135","Essouassi ",594.89140808
"TS2136","El Djem ",1145.41128044
"TS2137","Chebba ",1427.54188926
"TS2138","Melloulech ",1197.82399603
"TS2139","Sidi Alouane ",1185.22192641
"TS213A","Ksour Essef ",2262.21791842
"TS2140","Sfax Ville  ",46942.70152198
"TS2141","Sfax Ouest ",45321.27152326
"TS2142","Sakiet Ezzit ",25437.86554898
"TS2143","Sakiet Eddaïer ",32890.35969691
"TS2144","Sfax Sud ",32776.30567343
"TS2145","Tina ",30659.28315154
"TS2146","Agareb ",1275.6228444
"TS2147","Djebeniana ",1066.0405217
"TS2148","El Amra ",5227.04366486
"TS2149","El Hencha ",855.33072332
"TS214A","Menzel Chaker ",762.00506166
"TS214B","Ghraiba ",320.87473991
"TS214C","Bir ali Ben Kelifa ",1024.00021792
"TS214D","Skhira ",739.01727923
"TS214E","Mahres ",1291.45155882
"TS214F","Kerkenah ",1311
"TS2210","Kairouan Nord  ",4581.77029967
"TS2211","Kairouan Sud ",6369.0269147
"TS2212","Echebika ",365.32463101
"TS2213","Sbikha ",774.15060592
"TS2214","EL Ouslatia ",510.03794372
"TS2215","Haffouz ",739.49414043
"TS2216","El Alâa ",473.42069296
"TS2217","Hajeb el Ayoun ",619.30854134
"TS2218","Nasrallah ",345.14348897
"TS2219","Echrarda ",284.68714992
"TS221A","Bouhajla ",519.04335843
"TS2220","Kasserine Nord  ",4535.68983431
"TS2221","Kasserine Sud ",2808.27458906
"TS2222","Ezzouhour ",3949.7434783
"TS2223","Hassi Ferid ",239.52078286
"TS2224","Sbeitla ",1227.41230698
"TS2225","Sbiba ",858.02202448
"TS2226","Djedeliane ",394.03510448
"TS2227","El Ayoun ",330.53337084
"TS2228","Thala ",717.9407278
"TS2229","Hidra ",526.43744233
"TS222A","Foussana ",679.07580927
"TS222B","Feriana ",1150.00208635
