"ID","NAMES","IMMIG9404_AsTheCrowFlies_POT_50000"
"TS2129","Teboulba ",84900.98988743
"TS212A","Ksar Helal ",93037.43107032
"TS212B","Ksibet El Mediouni ",96754.08692467
"TS212C","Sayada-Lamta Bou-Hjar ",92333.17801434
"TS2130","Mahdia  ",77536.96473635
"TS2131","Bou Merdès ",92030.70551747
"TS2132","Ouled Chamekh ",75882.75834461
"TS2133","Chorbane ",61892.06178229
"TS2134","Hebira ",46702.74904426
"TS2135","Essouassi ",81579.37332439
"TS2136","El Djem ",83484.62084938
"TS2137","Chebba ",55704.02609053
"TS2138","Melloulech ",64930.80200287
"TS2139","Sidi Alouane ",75202.32458683
"TS213A","Ksour Essef ",67764.91243916
"TS2140","Sfax Ville  ",76275.35452321
"TS2141","Sfax Ouest ",76025.9064847
"TS2142","Sakiet Ezzit ",78744.07613337
"TS2143","Sakiet Eddaïer ",77433.83211859
"TS2144","Sfax Sud ",77675.02024411
"TS2145","Tina ",74708.2039357
"TS2146","Agareb ",69174.92568105
"TS2147","Djebeniana ",73840.00382805
"TS2148","El Amra ",77066.30308717
"TS2149","El Hencha ",79116.24212303
"TS214A","Menzel Chaker ",60402.14922863
"TS214B","Ghraiba ",34631.35712834
"TS214C","Bir ali Ben Kelifa ",29730.67029325
"TS214D","Skhira ",15907.53925858
"TS214E","Mahres ",57825.65866557
"TS214F","Kerkenah ",46204.59055985
"TS2210","Kairouan Nord  ",59134.1355916
"TS2211","Kairouan Sud ",56461.58363613
"TS2212","Echebika ",33955.7299512
"TS2213","Sbikha ",51138.54541319
"TS2214","EL Ouslatia ",21147.67906581
"TS2215","Haffouz ",19016.73994007
"TS2216","El Alâa ",17761.86009066
"TS2217","Hajeb el Ayoun ",15845.06369586
"TS2218","Nasrallah ",18016.44540817
"TS2219","Echrarda ",24082.99257101
"TS221A","Bouhajla ",32034.98297527
"TS2220","Kasserine Nord  ",13043.32872281
"TS2221","Kasserine Sud ",13323.34565224
"TS2222","Ezzouhour ",13762.68829657
"TS2223","Hassi Ferid ",15420.00917052
"TS2224","Sbeitla ",15147.09720555
"TS2225","Sbiba ",14643.92263146
"TS2226","Djedeliane ",15449.83797814
"TS2227","El Ayoun ",14467.62778446
"TS2228","Thala ",13225.55244606
"TS2229","Hidra ",9812.01297901
"TS222A","Foussana ",10436.63475656
"TS222B","Feriana ",10206.64599221
"TS222C","Majel Bel Abbès ",13430.70589771
"TS2230","Sidi Bouzid Ouest  ",13309.92192342
"TS2231","Sidi Bouzid Est ",13232.14479234
"TS2232","Jilma ",14667.47670826
"TS2233","Cebalet Ouled Asker ",14897.47700863
"TS2234","Bir El Hafey ",13682.19640912
"TS2235","Sidi Ali Ben Aoûn ",14609.05748986
"TS2236","Menzel Bouzaïenne ",10426.33088441
"TS2237","Meknassy ",9502.11819811
"TS2238","Souk Jedid ",11549.6379505
"TS2239","Mezzouna ",9963.17742328
"TS223A","Regueb ",13269.99477489
"TS223B","Ouled Haffouz ",14591.2996916
"TS3110","Gabes Medina  ",26140.59003359
"TS3111","Gabes Ouest ",25733.13028852
"TS3112","Gabes Sud ",27254.5538418
