"ID","NAMES","IMMIG9404_AsTheCrowFlies_ACC_0.05"
"TS1110","Carthage ",6756.47053826705
"TS1111","La Medina ",2222.44997533875
"TS1112","Bab El Bhar ",2007.09920844463
"TS1113","Bab Souika ",2231.90883583185
"TS1114","El Omrane ",2208.21919049848
"TS1115","El Omrane Supérieur ",2116.30223966187
"TS1116","Ettahrir ",2366.22159201704
"TS1117","El Menzah ",2145.56980619388
"TS1118","Cité El Khadhra ",2258.21124515785
"TS1119","Le Bardo ",2062.17830159039
"TS111A","Sijoumi ",2303.44444275479
"TS111B","Ezzouhour ",2291.02767871428
"TS111C","El Hrairia ",2820.62149602253
"TS111D","Sidi Hassine ",2764.57729056377
"TS111E","El Ouardia ",2518.02228888628
"TS111F","El Kabaria ",2269.9812046564
"TS111G","Sidi El Béchir ",2236.70359913217
"TS111H","Djebel Djelloud ",2656.12843366461
"TS111I","La Goulette ",4975.31547351121
"TS111J","Le Kram ",3571.95978897604
"TS111K","La Marsa ",6421.39706363428
"TS1120","L Ariana Ville  ",1649.40120844672
"TS1121","Soukra ",2272.21665934168
"TS1122","Raoued ",4022.64294506926
"TS1123","Kalaât El Andalous ",13310.9727494676
"TS1124","Sidi Thabet ",10209.1276699894
"TS1125","Cité Ettadhamen ",2693.25541217147
"TS1126","El Mnihla ",2825.15514664166
"TS1130","Ben Arous  ",2932.57988782877
"TS1131","La Nouvelle Medina ",3253.55209023883
"TS1132","El Mourouj ",1672.05244617103
"TS1133","Hammam Lif ",7816.19296040656
"TS1134","Hammam Chôtt ",10948.2861721675
"TS1135","Bou Mhel El Bassatine ",5170.21817884763
"TS1136","Ezzahra ",4219.4312472229
"TS1137","Radès ",3274.75135597517
"TS1138","Megrine ",2892.58628099232
"TS1139","Mohamedia ",11268.8356108276
"TS113A","Fouchana ",3494.71277931586
"TS113B","Mornag ",12770.2982561855
"TS1140","Mannouba  ",3228.58637115954
"TS1141","Douar Hicher ",3344.39627875243
"TS1142","Oued Ellil ",7696.96084409791
"TS1143","Mornaguia ",13596.0265110893
"TS1144","Borj Amri ",19905.5181836656
"TS1145","Djedeida ",14202.7869811753
"TS1146","Tebourba ",23637.0994982591
"TS1147","El Battane ",22661.5950917948
"TS1150","Nabeul  ",31184.5523072833
"TS1151","Dar Châabane El Fehri ",30883.0543498574
"TS1152","Beni khiar ",33584.4073175995
"TS1153","Korba ",32851.2653830079
"TS1154","Menzel Temime ",39397.9551528387
"TS1155","El Mida ",33413.0117890806
"TS1156","Kelibia ",46594.8373251118
"TS1157","Hammam El Guezaz ",50626.7305283082
"TS1158","El Haouaria ",42841.5333361608
"TS1159","Takelsa ",26106.9497857606
"TS115A","Soliman ",18088.7599405865
"TS115B","Menzel Bouzelfa ",24443.8710587904
"TS115C","Beni Khalled ",24128.6677635489
"TS115D","Grombalia ",17079.8741614027
"TS115E","Bou Argoub ",23577.3321036639
"TS115F","Hammamet ",25982.2361230881
"TS1160","Zaghouan  ",25204.4671135339
"TS1161","Ez-Zeriba ",31915.6852954419
"TS1162","Bir Mchergua ",22259.5075996679
"TS1163","El Fahs ",40640.5828733602
"TS1164","En-Nadhour ",43486.6697094905
"TS1165","Saouaf ",37580.0758730303
"TS1170","Bizerte Nord  ",35448.713984691
"TS1171","Zarzouna ",31170.2547262626
"TS1172","Bizerte Sud ",37600.0419662175
"TS1173","Sedjnane ",51156.0366280297
"TS1174","Djoumine ",41331.6636089257
"TS1175","Mateur ",30235.1677273751
"TS1176","Ghezala ",40378.7647736752
"TS1177","Menzel Bourguiba ",24631.8507947978
"TS1178","Tinja ",29980.9164807773
"TS1179","Utique ",18444.3224978461
"TS117A","Ghar El Meleh ",23123.3485361302
"TS117B","Menzel Djemil ",27198.361700037
"TS117C","El Alia ",23260.9080839961
"TS117D","Ras Djebel ",26799.5230341019
"TS1210","Béja Nord  ",47082.2595928083
"TS1211","Béja Sud ",49279.3542436669
"TS1212","Amdoun ",53981.6648154709
"TS1213","Nefza ",56307.9152626085
"TS1214","Teboursouk ",50168.3451699924
"TS1215","Tibar ",51889.2136389866
"TS1216","Testour ",41978.8475113011
"TS1217","Goubellat ",33017.5317140023
"TS1218","Medjez El Bab ",31699.7829901536
"TS1220","Jendouba  ",59762.3922555008
"TS1221","Jendouba Nord ",64264.9835334398
"TS1222","Bou Salem ",54204.2069781312
"TS1223","Tabarka ",64828.6736544483
"TS1224","Ain Draham ",68195.1397016293
"TS1225","Fernana ",69688.3501573118
"TS1226","Ghardimaou ",82430.9415142431
"TS1227","Oued Meliz ",71197.1318737236
"TS1228","Balta - Bou Aouane ",57506.4801187055
"TS1230","Kef Ouest  ",72056.1401529022
"TS1231","Kef Est ",62728.1948709594
"TS1232","Nebeur ",62776.9591931781
"TS1233","Sakiet Sidi Youssef ",81210.0027631768
"TS1234","Tajerouine ",79927.1307338987
"TS1235","Kalâat Snan ",91526.9172276652
"TS1236","Kalâat Khasbah ",86352.986244433
"TS1237","Djerissa ",79626.6625800972
"TS1238","El Ksour ",70789.1465517677
"TS1239","Dahmani ",70931.121801285
"TS123A","Es-Sers ",63926.5139549895
"TS1240","Siliana Nord  ",61046.6280017177
"TS1241","Siliana Sud ",61841.2499445351
"TS1242","Bou Arada ",45306.1634666233
"TS1243","Gaâfour ",53666.6549348211
"TS1244","El Krib ",54153.9410527894
