"ID","NAMES","NBLOG2004_AsTheCrowFlies_POT_10000"
"TS1110","Carthage ",105332.24092173
"TS1111","La Medina ",309196.69276789
"TS1112","Bab El Bhar ",306920.15601791
"TS1113","Bab Souika ",311033.30467525
"TS1114","El Omrane ",308129.20316145
"TS1115","El Omrane Supérieur ",283058.86378365
"TS1116","Ettahrir ",290941.48247511
"TS1117","El Menzah ",296885.96049867
"TS1118","Cité El Khadhra ",273911.5950976
"TS1119","Le Bardo ",295268.31664039
"TS111A","Sijoumi ",304426.75681322
"TS111B","Ezzouhour ",298470.04630382
"TS111C","El Hrairia ",214918.63436891
"TS111D","Sidi Hassine ",210811.09495981
"TS111E","El Ouardia ",269389.86948615
"TS111F","El Kabaria ",241407.17308017
"TS111G","Sidi El Béchir ",301313.11808652
"TS111H","Djebel Djelloud ",258053.27299764
"TS111I","La Goulette ",138162.30718344
"TS111J","Le Kram ",173870.6020923
"TS111K","La Marsa ",99514.42547014
"TS1120","L Ariana Ville  ",261788.18481283
"TS1121","Soukra ",174735.18175421
"TS1122","Raoued ",119899.3605346
"TS1123","Kalaât El Andalous ",15370.49274362
"TS1124","Sidi Thabet ",71305.69292344
"TS1125","Cité Ettadhamen ",249895.66748274
"TS1126","El Mnihla ",224700.13144453
"TS1130","Ben Arous  ",217577.42208398
"TS1131","La Nouvelle Medina ",183530.87572677
"TS1132","El Mourouj ",199837.42096592
"TS1133","Hammam Lif ",82191.94031004
"TS1134","Hammam Chôtt ",52500.65870079
"TS1135","Bou Mhel El Bassatine ",115023.384173
"TS1136","Ezzahra ",142512.02090907
"TS1137","Radès ",182133.16693967
"TS1138","Megrine ",233335.09017936
"TS1139","Mohamedia ",35338.03678921
"TS113A","Fouchana ",158642.01791664
"TS113B","Mornag ",24292.84078733
"TS1140","Mannouba  ",206929.92457544
"TS1141","Douar Hicher ",197240.48330892
"TS1142","Oued Ellil ",97839.25449778
"TS1143","Mornaguia ",16623.1750802
"TS1144","Borj Amri ",9898.52154301
"TS1145","Djedeida ",21226.70831059
"TS1146","Tebourba ",12319.44711657
"TS1147","El Battane ",10811.32842066
"TS1150","Nabeul  ",36531.6966733
"TS1151","Dar Châabane El Fehri ",42314.54417802
"TS1152","Beni khiar ",35021.48705199
"TS1153","Korba ",24296.17767962
"TS1154","Menzel Temime ",21219.47276122
"TS1155","El Mida ",18336.49512919
"TS1156","Kelibia ",23390.8396274
"TS1157","Hammam El Guezaz ",17681.4746505
"TS1158","El Haouaria ",14123.9102492
"TS1159","Takelsa ",6714.10132554
"TS115A","Soliman ",16356.37677963
"TS115B","Menzel Bouzelfa ",18523.78362275
"TS115C","Beni Khalled ",22110.58780998
"TS115D","Grombalia ",18461.39867506
"TS115E","Bou Argoub ",26045.89316733
"TS115F","Hammamet ",32216.72111737
"TS1160","Zaghouan  ",9963.8629392
"TS1161","Ez-Zeriba ",8271.8290932
"TS1162","Bir Mchergua ",4830.36686179
"TS1163","El Fahs ",9293.25518108
"TS1164","En-Nadhour ",5672.45279382
"TS1165","Saouaf ",3992.48229144
"TS1170","Bizerte Nord  ",30496.46449952
"TS1171","Zarzouna ",35903.56648887
"TS1172","Bizerte Sud ",12554.31431524
"TS1173","Sedjnane ",9187.89043332
"TS1174","Djoumine ",7326.07322026
"TS1175","Mateur ",12050.37361279
"TS1176","Ghezala ",6478.89670509
"TS1177","Menzel Bourguiba ",20903.23639605
"TS1178","Tinja ",16790.49458952
"TS1179","Utique ",9008.56402389
"TS117A","Ghar El Meleh ",23146.90957318
"TS117B","Menzel Djemil ",32346.60123003
"TS117C","El Alia ",27877.25559988
"TS117D","Ras Djebel ",26619.76281353
"TS1210","Béja Nord  ",17902.16920223
"TS1211","Béja Sud ",9689.56677101
"TS1212","Amdoun ",6090.22482879
"TS1213","Nefza ",12596.36061432
"TS1214","Teboursouk ",6407.78765343
"TS1215","Tibar ",6399.42224606
"TS1216","Testour ",7800.48287268
"TS1217","Goubellat ",3136.64296921
"TS1218","Medjez El Bab ",9007.61228088
"TS1220","Jendouba  ",19262.3412596
"TS1221","Jendouba Nord ",16473.39116782
"TS1222","Bou Salem ",10638.15808188
"TS1223","Tabarka ",1114.65472739
"TS1224","Ain Draham ",11743.8998006
"TS1225","Fernana ",15080.70088218
"TS1226","Ghardimaou ",16444.52796802
"TS1227","Oued Meliz ",6094.12483745
"TS1228","Balta - Bou Aouane ",10770.53537831
"TS1230","Kef Ouest  ",10955.73227737
"TS1231","Kef Est ",8054.93407853
"TS1232","Nebeur ",7634.47468053
"TS1233","Sakiet Sidi Youssef ",5396.32363166
"TS1234","Tajerouine ",8031.59177922
"TS1235","Kalâat Snan ",4217.73551235
"TS1236","Kalâat Khasbah ",2235.15112737
"TS1237","Djerissa ",3433.79094721
"TS1238","El Ksour ",3811.23174008
"TS1239","Dahmani ",7035.1736758
"TS123A","Es-Sers ",6042.04782591
"TS1240","Siliana Nord  ",7099.11949433
"TS1241","Siliana Sud ",7548.0336655
"TS1242","Bou Arada ",4939.49995089
"TS1243","Gaâfour ",4761.71240319
"TS1244","El Krib ",4981.54140049
"TS1245","Bourouis ",3381.27860306
"TS1246","Makthar ",6408.00950576
"TS1247","Er-Rouhia ",5733.73215658
"TS1248","Kesra ",3755.75869922
"TS1249","Bargou ",3135.62053522
"TS124A","El Aroussa ",3061.67391833
"TS2110","Sousse Medina  ",75062.73132599
"TS2111","Sousse Riadh ",76290.75904258
"TS2112","Sousse Jawhara ",77466.88908127
"TS2113","Sousse Sidi Abdelhamid ",76829.36210028
"TS2114","Hammam Sousse ",65826.15920103
"TS2115","Akouda ",30873.53611383
"TS2116","Kalaâ Kebira ",21803.96232997
"TS2117","Sidi Bou Ali ",13397.5105863
"TS2118","Hergla ",7656.00427273
"TS2119","Enfidha ",9661.10621182
"TS211A","Bouficha ",6030.93614599
"TS211B","Kondar ",3481.5662878
"TS211C","Sidi El Héni ",3668.27153234
"TS211D","M saken ",29286.64003051
"TS211E","Kalaâ Seghira ",29074.49180017
"TS2120","Monastir  ",49703.48162294
"TS2121","Ouerdanine ",55323.37403905
"TS2122","Sahline ",66576.49972316
"TS2123","Zermadine ",14851.95704732
"TS2124","Beni Hassen ",22233.52428782
"TS2125","Jammel ",34731.77686494
"TS2126","Bembla ",57393.35637
"TS2127","Moknine ",40018.52762808
"TS2128","Bekalta ",26576.88958624
"TS2129","Teboulba ",31557.52039918
"TS212A","Ksar Helal ",45886.94240259
"TS212B","Ksibet El Mediouni ",52175.96059501
"TS212C","Sayada-Lamta Bou-Hjar ",41861.24719185
"TS2130","Mahdia  ",33395.54931472
"TS2131","Bou Merdès ",9721.42110893
"TS2132","Ouled Chamekh ",5184.61011834
"TS2133","Chorbane ",6318.50664736
"TS2134","Hebira ",3122.33247591
"TS2135","Essouassi ",9557.96331666
"TS2136","El Djem ",11419.36487734
"TS2137","Chebba ",11395.31306306
"TS2138","Melloulech ",11341.17035572
"TS2139","Sidi Alouane ",12842.06296613
"TS213A","Ksour Essef ",20696.45984266
"TS2140","Sfax Ville  ",100590.85805209
"TS2141","Sfax Ouest ",96038.57265095
"TS2142","Sakiet Ezzit ",64016.90489799
"TS2143","Sakiet Eddaïer ",75913.89981276
"TS2144","Sfax Sud ",79675.72975266
"TS2145","Tina ",60078.1847738
"TS2146","Agareb ",8671.9000371
"TS2147","Djebeniana ",12415.91388712
"TS2148","El Amra ",17090.34493266
"TS2149","El Hencha ",10055.59855905
"TS214A","Menzel Chaker ",8261.0700266
"TS214B","Ghraiba ",3249.10195183
"TS214C","Bir ali Ben Kelifa ",11368.00220538
"TS214D","Skhira ",5459.17220911
"TS214E","Mahres ",9025.34625031
"TS214F","Kerkenah ",7497
"TS2210","Kairouan Nord  ",21470.46652227
"TS2211","Kairouan Sud ",19050.99836133
"TS2212","Echebika ",7078.13897958
"TS2213","Sbikha ",12910.71473882
"TS2214","EL Ouslatia ",8375.30290761
"TS2215","Haffouz ",8766.13697935
"TS2216","El Alâa ",6968.24517133
"TS2217","Hajeb el Ayoun ",7726.66099922
"TS2218","Nasrallah ",8181.39206939
"TS2219","Echrarda ",6141.44034491
"TS221A","Bouhajla ",14591.85329521
"TS2220","Kasserine Nord  ",18436.49429821
"TS2221","Kasserine Sud ",13538.88913732
"TS2222","Ezzouhour ",17284.25953812
"TS2223","Hassi Ferid ",3684.39363574
"TS2224","Sbeitla ",15144.27089835
"TS2225","Sbiba ",7913.13497831
"TS2226","Djedeliane ",2790.39049311
"TS2227","El Ayoun ",3796.94587068
"TS2228","Thala ",8331.19000197
"TS2229","Hidra ",2739.36217211
"TS222A","Foussana ",9259.29167626
"TS222B","Feriana ",9637.02608845
"TS222C","Majel Bel Abbès ",4582.05594858
"TS2230","Sidi Bouzid Ouest  ",15451.61950469
"TS2231","Sidi Bouzid Est ",10743.34606469
"TS2232","Jilma ",6820.03322368
"TS2233","Cebalet Ouled Asker ",4728.92252294
"TS2234","Bir El Hafey ",8652.21593411
