"ID","NAMES","NBLOG2004_AsTheCrowFlies_ACC_0.01"
"TS1110","Carthage ",1865.52022806511
"TS1111","La Medina ",552.18643962558
"TS1112","Bab El Bhar ",301.141192305853
"TS1113","Bab Souika ",506.065764934396
"TS1114","El Omrane ",506.21852574463
"TS1115","El Omrane Supérieur ",344.193458316914
"TS1116","Ettahrir ",661.778925248111
"TS1117","El Menzah ",394.628187783481
"TS1118","Cité El Khadhra ",526.7505840472
"TS1119","Le Bardo ",191.822004474146
"TS111A","Sijoumi ",595.217098641588
"TS111B","Ezzouhour ",528.995411433874
"TS111C","El Hrairia ",125.539461069092
"TS111D","Sidi Hassine ",333.971231465874
"TS111E","El Ouardia ",629.29421959932
"TS111F","El Kabaria ",218.733425224092
"TS111G","Sidi El Béchir ",553.211974181865
"TS111H","Djebel Djelloud ",759.2476200801
"TS111I","La Goulette ",1254.13062252433
"TS111J","Le Kram ",514.367055483052
"TS111K","La Marsa ",215.665380662851
"TS1120","L Ariana Ville  ",0
"TS1121","Soukra ",0
"TS1122","Raoued ",720.997461479186
"TS1123","Kalaât El Andalous ",10523.3227724246
"TS1124","Sidi Thabet ",3019.38721254419
"TS1125","Cité Ettadhamen ",281.392367987678
"TS1126","El Mnihla ",499.787639926062
"TS1130","Ben Arous  ",770.295937150285
"TS1131","La Nouvelle Medina ",798.745508161328
"TS1132","El Mourouj ",81.5245825000376
"TS1133","Hammam Lif ",1887.38463340902
"TS1134","Hammam Chôtt ",3907.56697437896
"TS1135","Bou Mhel El Bassatine ",1590.69509756225
"TS1136","Ezzahra ",1137.58392072703
"TS1137","Radès ",676.893583842866
"TS1138","Megrine ",809.924553669462
"TS1139","Mohamedia ",5684.34005603516
"TS113A","Fouchana ",763.007729695428
"TS113B","Mornag ",10033.5421950477
"TS1140","Mannouba  ",569.075976243985
"TS1141","Douar Hicher ",501.651360608741
"TS1142","Oued Ellil ",1362.15165796958
"TS1143","Mornaguia ",10486.7971452043
"TS1144","Borj Amri ",11923.2769558559
"TS1145","Djedeida ",10241.4736344431
"TS1146","Tebourba ",13132.2638220677
"TS1147","El Battane ",13096.5996394338
"TS1150","Nabeul  ",3454.76981425513
"TS1151","Dar Châabane El Fehri ",4465.44020083161
"TS1152","Beni khiar ",5794.41610262169
"TS1153","Korba ",10120.2660954915
"TS1154","Menzel Temime ",11139.3130465556
"TS1155","El Mida ",11463.5181681857
"TS1156","Kelibia ",10783.635424917
"TS1157","Hammam El Guezaz ",14122.1240896826
