"ID","NAMES","EMIG9404_AsTheCrowFlies_POT_10000"
"TS1110","Carthage ",35866.32635152
"TS1111","La Medina ",165871.74402394
"TS1112","Bab El Bhar ",164962.08917255
"TS1113","Bab Souika ",166024.35967283
"TS1114","El Omrane ",163432.99721217
"TS1115","El Omrane Supérieur ",145960.81422413
"TS1116","Ettahrir ",151974.28057082
"TS1117","El Menzah ",155687.64696697
"TS1118","Cité El Khadhra ",143134.55400473
"TS1119","Le Bardo ",155711.16716601
"TS111A","Sijoumi ",163974.39206585
"TS111B","Ezzouhour ",159204.17371006
"TS111C","El Hrairia ",102665.80031156
"TS111D","Sidi Hassine ",108468.50854727
"TS111E","El Ouardia ",147889.3010986
"TS111F","El Kabaria ",131554.44752884
"TS111G","Sidi El Béchir ",163145.485831
"TS111H","Djebel Djelloud ",141182.29323436
"TS111I","La Goulette ",56513.79639928
"TS111J","Le Kram ",76831.30579816
"TS111K","La Marsa ",28725.08493531
"TS1120","L Ariana Ville  ",131179.45175548
"TS1121","Soukra ",71868.20887682
"TS1122","Raoued ",40367.74781122
"TS1123","Kalaât El Andalous ",1801.83955476
"TS1124","Sidi Thabet ",19142.11145692
"TS1125","Cité Ettadhamen ",123016.52193444
"TS1126","El Mnihla ",103305.64614901
"TS1130","Ben Arous  ",114590.43580203
"TS1131","La Nouvelle Medina ",88192.49107077
"TS1132","El Mourouj ",103073.09832813
"TS1133","Hammam Lif ",27339.63047575
"TS1134","Hammam Chôtt ",15430.3327454
"TS1135","Bou Mhel El Bassatine ",41816.46341164
"TS1136","Ezzahra ",58366.17468796
"TS1137","Radès ",85967.39983664
"TS1138","Megrine ",123717.1703891
"TS1139","Mohamedia ",8631.53912671
"TS113A","Fouchana ",75393.32313879
"TS113B","Mornag ",5288.92240406
"TS1140","Mannouba  ",93170.40257441
"TS1141","Douar Hicher ",84893.9345937
"TS1142","Oued Ellil ",28380.22208103
"TS1143","Mornaguia ",3349.73925473
"TS1144","Borj Amri ",2023.79107792
"TS1145","Djedeida ",4010.81533686
"TS1146","Tebourba ",3080.98277059
"TS1147","El Battane ",2436.36781607
"TS1150","Nabeul  ",9134.3132707
"TS1151","Dar Châabane El Fehri ",9026.85095623
"TS1152","Beni khiar ",6095.91690804
"TS1153","Korba ",2528.23646643
"TS1154","Menzel Temime ",3093.51537534
"TS1155","El Mida ",2317.58280365
"TS1156","Kelibia ",3450.68604552
"TS1157","Hammam El Guezaz ",2606.45354332
"TS1158","El Haouaria ",2053.79707332
"TS1159","Takelsa ",1073.8757477
"TS115A","Soliman ",2520.03890508
"TS115B","Menzel Bouzelfa ",2530.12314058
"TS115C","Beni Khalled ",2964.83379972
"TS115D","Grombalia ",3235.3907526
"TS115E","Bou Argoub ",4719.26289183
"TS115F","Hammamet ",3357.55283327
"TS1160","Zaghouan  ",3386.70873326
"TS1161","Ez-Zeriba ",1698.21650521
"TS1162","Bir Mchergua ",840.65694019
"TS1163","El Fahs ",2119.40887464
"TS1164","En-Nadhour ",1051.47090422
"TS1165","Saouaf ",491.10802912
"TS1170","Bizerte Nord  ",10525.32119731
"TS1171","Zarzouna ",8668.54654056
"TS1172","Bizerte Sud ",1648.84322321
"TS1173","Sedjnane ",1911.00094278
"TS1174","Djoumine ",1861.35957459
"TS1175","Mateur ",3743.07032605
"TS1176","Ghezala ",972.64914199
"TS1177","Menzel Bourguiba ",4180.97930746
"TS1178","Tinja ",3052.31274004
"TS1179","Utique ",1653.07665878
"TS117A","Ghar El Meleh ",1716.46325558
"TS117B","Menzel Djemil ",4103.68725809
"TS117C","El Alia ",2715.28617636
"TS117D","Ras Djebel ",1882.99988724
"TS1210","Béja Nord  ",8401.21215258
"TS1211","Béja Sud ",1819.85333883
"TS1212","Amdoun ",1350.8991512
"TS1213","Nefza ",3428.60825356
"TS1214","Teboursouk ",1580.84497326
"TS1215","Tibar ",2083.89427421
"TS1216","Testour ",1607.14683176
"TS1217","Goubellat ",652.72354441
"TS1218","Medjez El Bab ",2297.578636
"TS1220","Jendouba  ",8120.20684794
"TS1221","Jendouba Nord ",5144.9610604
"TS1222","Bou Salem ",4853.14090668
"TS1223","Tabarka ",2578.99438264
"TS1224","Ain Draham ",3509.48124629
"TS1225","Fernana ",2808.728118
"TS1226","Ghardimaou ",2401.99373426
"TS1227","Oued Meliz ",968.61653222
"TS1228","Balta - Bou Aouane ",634.20164924
"TS1230","Kef Ouest  ",2162.4309999
"TS1231","Kef Est ",10091.96128303
"TS1232","Nebeur ",1507.55148579
"TS1233","Sakiet Sidi Youssef ",1301.56281134
"TS1234","Tajerouine ",2011.05764858
"TS1235","Kalâat Snan ",1337.72350735
"TS1236","Kalâat Khasbah ",708.99090432
"TS1237","Djerissa ",1050.96998259
"TS1238","El Ksour ",959.6888366
"TS1239","Dahmani ",1881.32430521
"TS123A","Es-Sers ",1530.14841931
"TS1240","Siliana Nord  ",7338.73530349
"TS1241","Siliana Sud ",2494.50897786
"TS1242","Bou Arada ",1466.37497548
"TS1243","Gaâfour ",1253.29404229
"TS1244","El Krib ",1169.13322877
"TS1245","Bourouis ",1064.36031791
"TS1246","Makthar ",3390.34640122
"TS1247","Er-Rouhia ",1712.91081364
"TS1248","Kesra ",917.02707454
"TS1249","Bargou ",767.49640451
"TS124A","El Aroussa ",497.77724664
"TS2110","Sousse Medina  ",27999.1086469
"TS2111","Sousse Riadh ",26356.77893418
"TS2112","Sousse Jawhara ",28055.46607731
"TS2113","Sousse Sidi Abdelhamid ",27928.50156441
"TS2114","Hammam Sousse ",24151.11200543
"TS2115","Akouda ",7832.20005414
"TS2116","Kalaâ Kebira ",2662.78434943
"TS2117","Sidi Bou Ali ",1701.8698631
"TS2118","Hergla ",1046.29034676
"TS2119","Enfidha ",1444.04653707
"TS211A","Bouficha ",830.22813725
"TS211B","Kondar ",523.60578008
"TS211C","Sidi El Héni ",534.81189776
"TS211D","M saken ",2818.44598963
"TS211E","Kalaâ Seghira ",5204.72121381
"TS2120","Monastir  ",8993.43622024
"TS2121","Ouerdanine ",10480.15706506
"TS2122","Sahline ",15426.86211049
"TS2123","Zermadine ",1771.43411905
"TS2124","Beni Hassen ",2680.54975527
"TS2125","Jammel ",4613.27477986
"TS2126","Bembla ",9053.64273046
"TS2127","Moknine ",6018.76853915
"TS2128","Bekalta ",4277.91933288
"TS2129","Teboulba ",4411.40620063
"TS212A","Ksar Helal ",6237.96601179
"TS212B","Ksibet El Mediouni ",7483.50471682
"TS212C","Sayada-Lamta Bou-Hjar ",5833.39720663
"TS2130","Mahdia  ",6120.95455209
"TS2131","Bou Merdès ",1097.24542872
"TS2132","Ouled Chamekh ",908.71070378
"TS2133","Chorbane ",1610.99697844
"TS2134","Hebira ",642.80432341
"TS2135","Essouassi ",1997.3250727
"TS2136","El Djem ",1573.02763679
"TS2137","Chebba ",1313.12054714
"TS2138","Melloulech ",1468.02116813
"TS2139","Sidi Alouane ",1306.76832662
"TS213A","Ksour Essef ",2085.63269726
"TS2140","Sfax Ville  ",39399.26444515
"TS2141","Sfax Ouest ",38516.43236415
"TS2142","Sakiet Ezzit ",15891.16310817
"TS2143","Sakiet Eddaïer ",24131.82970774
"TS2144","Sfax Sud ",25773.88473161
"TS2145","Tina ",22819.72581737
"TS2146","Agareb ",1451.08947105
"TS2147","Djebeniana ",2186.61556203
"TS2148","El Amra ",2176.48493168
"TS2149","El Hencha ",1760.34325447
"TS214A","Menzel Chaker ",2334.01794047
"TS214B","Ghraiba ",717.3975772
"TS214C","Bir ali Ben Kelifa ",3605.0004797
"TS214D","Skhira ",1470.03868369
"TS214E","Mahres ",1651.1479378
"TS214F","Kerkenah ",1396
"TS2210","Kairouan Nord  ",15758.03952012
"TS2211","Kairouan Sud ",3665.06625502
"TS2212","Echebika ",1440.46613738
"TS2213","Sbikha ",2282.43472579
"TS2214","EL Ouslatia ",2938.07707773
"TS2215","Haffouz ",2538.79877873
"TS2216","El Alâa ",1999.69292318
"TS2217","Hajeb el Ayoun ",1740.80419695
"TS2218","Nasrallah ",2099.77811258
"TS2219","Echrarda ",1374.78623169
"TS221A","Bouhajla ",3208.11303924
"TS2220","Kasserine Nord  ",11554.30921995
"TS2221","Kasserine Sud ",6426.34037355
"TS2222","Ezzouhour ",9127.92566529
"TS2223","Hassi Ferid ",1306.00277926
"TS2224","Sbeitla ",3380.71669225
"TS2225","Sbiba ",2001.51137518
"TS2226","Djedeliane ",690.36885235
"TS2227","El Ayoun ",618.54396763
"TS2228","Thala ",3053.17249041
"TS2229","Hidra ",615.54141841
"TS222A","Foussana ",1762.21230848
"TS222B","Feriana ",1769.0042192
"TS222C","Majel Bel Abbès ",729.0105766
"TS2230","Sidi Bouzid Ouest  ",8876.29958347
"TS2231","Sidi Bouzid Est ",2413.61120324
"TS2232","Jilma ",1602.13079186
"TS2233","Cebalet Ouled Asker ",626.43563187
"TS2234","Bir El Hafey ",1394.62882172
"TS2235","Sidi Ali Ben Aoûn ",816.78978302
"TS2236","Menzel Bouzaïenne ",1107.9435605
"TS2237","Meknassy ",1605.86273938
"TS2238","Souk Jedid ",782.11823403
"TS2239","Mezzouna ",994.7248297
"TS223A","Regueb ",2730.0334095
"TS223B","Ouled Haffouz ",2017.77179046
"TS3110","Gabes Medina  ",13210.37013684
"TS3111","Gabes Ouest ",6732.35298257
"TS3112","Gabes Sud ",8878.80484754
"TS3113","Ghanouch ",10386.72774913
"TS3114","El Metouia ",1200.74910221
"TS3115","Menzel El Habib ",1275
"TS3116","El Hamma ",2949
"TS3117","Matmata ",2440.1267695
"TS3118","Nouvelle Matmata ",825.67557263
"TS3119","Mareth ",2482.29327342
"TS3120","Medenine Nord  ",5581.8618154
"TS3121","Medenine Sud ",2618.58238012
"TS3122","Beni Khedech ",2581.45530811
"TS3123","Ben Guerdane ",3027.01064168
"TS3124","Zarzis ",2826
"TS3125","Djerba Houmet Souk ",4894.58174422
"TS3126","Djerba Midoun ",2926.16730011
"TS3127","Djerba Ajim ",3089.02579859
"TS3128","Sidi Makhloulf ",1010.6453594
"TS3130","Tataouine Nord  ",4944.00100532
"TS3131","Tataouine Sud ",1953
"TS3132","Smâr ",613.06065688
"TS3133","Bir Lahmar ",514.23968628
"TS3134","Ghomrassen ",1569.93341415
"TS3135","Dhehiba ",425
"TS3136","Remada ",911
"TS3210","Gafsa Nord  ",8077.97306841
"TS3211","Sidi Aïch ",876.75612781
"TS3212","El Ksar ",971.44089209
"TS3213","Gafsa Sud ",1418.09013856
"TS3214","Oum El Araies ",2179.01051078
"TS3215","Redeyef ",1924.08121898
"TS3216","Metlaoui ",2236.0650045
"TS3217","Mdhila ",1139.65185138
"TS3218","EL Guetar ",1023.57765536
"TS3219","Belkhir ",855.00001515
"TS321A","Sned ",1545.38513866
"TS3220","Tozeur  ",2950.64999888
"TS3221","Degach ",906.70874004
"TS3222","Tameghza ",223.0001924
"TS3223","Nefta ",1110.07710048
"TS3224","Hazoua ",177.49057812
"TS3230","Kebili Sud  ",3921.62506015
"TS3231","Kebeli Nord ",1402.14972485
"TS3232","Souk El Ahed ",835
"TS3233","Douz Nord ",1376
"TS3234","Douz Sud ",569
"TS3235","Faouar ",329
