"ID","NAMES","POPTO2004_AsTheCrowFlies_POT_50000"
"TS1110","Carthage ",2717092.40391912
"TS1111","La Medina ",2798082.76215679
"TS1112","Bab El Bhar ",2797365.54712877
"TS1113","Bab Souika ",2795496.52718093
"TS1114","El Omrane ",2790726.37939432
"TS1115","El Omrane Supérieur ",2776913.95612787
"TS1116","Ettahrir ",2782517.26746027
"TS1117","El Menzah ",2782340.438595
"TS1118","Cité El Khadhra ",2779465.12626267
"TS1119","Le Bardo ",2787376.24843118
"TS111A","Sijoumi ",2799226.65029793
"TS111B","Ezzouhour ",2793222.79179488
"TS111C","El Hrairia ",2768275.1170585
"TS111D","Sidi Hassine ",2780461.21326096
"TS111E","El Ouardia ",2802148.75240358
"TS111F","El Kabaria ",2800647.48444258
"TS111G","Sidi El Béchir ",2800663.19050856
"TS111H","Djebel Djelloud ",2801554.76931728
"TS111I","La Goulette ",2747615.54547416
"TS111J","Le Kram ",2749224.24690598
"TS111K","La Marsa ",2681221.97112936
"TS1120","L Ariana Ville  ",2764443.8788015
"TS1121","Soukra ",2724879.97730437
"TS1122","Raoued ",2685297.59797021
"TS1123","Kalaât El Andalous ",2490255.02906639
"TS1124","Sidi Thabet ",2666438.24108216
"TS1125","Cité Ettadhamen ",2769106.33247552
"TS1126","El Mnihla ",2752760.18068509
"TS1130","Ben Arous  ",2797195.84860338
"TS1131","La Nouvelle Medina ",2788704.68974739
"TS1132","El Mourouj ",2794428.0528864
"TS1133","Hammam Lif ",2723703.19179694
"TS1134","Hammam Chôtt ",2670962.73583114
"TS1135","Bou Mhel El Bassatine ",2752611.36409887
"TS1136","Ezzahra ",2769560.40947212
"TS1137","Radès ",2782053.18349836
"TS1138","Megrine ",2796852.54175639
"TS1139","Mohamedia ",2690885.6520198
"TS113A","Fouchana ",2781626.97335199
"TS113B","Mornag ",2635069.16539462
"TS1140","Mannouba  ",2758704.90334742
"TS1141","Douar Hicher ",2750312.39792346
"TS1142","Oued Ellil ",2699585.77642603
"TS1143","Mornaguia ",2582163.63835763
"TS1144","Borj Amri ",2391210.87760112
"TS1145","Djedeida ",2546336.58129414
"TS1146","Tebourba ",2156879.07369482
"TS1147","El Battane ",2222730.39903302
"TS1150","Nabeul  ",1416382.36838686
"TS1151","Dar Châabane El Fehri ",1422219.51123301
"TS1152","Beni khiar ",1209688.34773276
