"ID","NAMES","POPTO2004_AsTheCrowFlies_POT_10000"
"TS2128","Bekalta ",102015.63272711
"TS2129","Teboulba ",124184.11865196
"TS212A","Ksar Helal ",182934.89353074
"TS212B","Ksibet El Mediouni ",201605.32774445
"TS212C","Sayada-Lamta Bou-Hjar ",162983.18206753
"TS2130","Mahdia  ",124316.68001574
"TS2131","Bou Merdès ",44060.02215184
"TS2132","Ouled Chamekh ",22890.81529621
"TS2133","Chorbane ",29844.91143462
"TS2134","Hebira ",13043.31301288
"TS2135","Essouassi ",47640.69618381
"TS2136","El Djem ",50452.76651802
"TS2137","Chebba ",35456.12156918
"TS2138","Melloulech ",41736.84073841
"TS2139","Sidi Alouane ",50905.60576993
"TS213A","Ksour Essef ",67743.96821439
"TS2140","Sfax Ville  ",341781.17257165
"TS2141","Sfax Ouest ",326200.31457605
"TS2142","Sakiet Ezzit ",230100.93513778
"TS2143","Sakiet Eddaïer ",263975.2270179
"TS2144","Sfax Sud ",280022.26330298
"TS2145","Tina ",205674.67950675
"TS2146","Agareb ",36017.01910659
"TS2147","Djebeniana ",51145.65469168
"TS2148","El Amra ",65226.66488875
"TS2149","El Hencha ",44112.55036734
"TS214A","Menzel Chaker ",34119.33114916
"TS214B","Ghraiba ",14691.59348488
"TS214C","Bir ali Ben Kelifa ",50059.00996936
"TS214D","Skhira ",29616.88881196
"TS214E","Mahres ",30724.88283693
"TS214F","Kerkenah ",14400
"TS2210","Kairouan Nord  ",85452.57854778
"TS2211","Kairouan Sud ",82053.44321283
"TS2212","Echebika ",34612.47765001
"TS2213","Sbikha ",67530.04115304
"TS2214","EL Ouslatia ",36196.35987569
"TS2215","Haffouz ",46773.02401318
"TS2216","El Alâa ",32810.04260194
"TS2217","Hajeb el Ayoun ",38630.63703337
"TS2218","Nasrallah ",37128.27548909
"TS2219","Echrarda ",25953.53068608
"TS221A","Bouhajla ",70630.63446201
"TS2220","Kasserine Nord  ",80800.7594009
"TS2221","Kasserine Sud ",59802.89534351
"TS2222","Ezzouhour ",76270.0385417
"TS2223","Hassi Ferid ",16905.09742728
"TS2224","Sbeitla ",69796.87458978
"TS2225","Sbiba ",43624.63449133
"TS2226","Djedeliane ",14292.69298024
"TS2227","El Ayoun ",19588.81337884
"TS2228","Thala ",34662.04415412
"TS2229","Hidra ",8937.44182776
"TS222A","Foussana ",41241.23834371
"TS222B","Feriana ",45787.12460831
"TS222C","Majel Bel Abbès ",21909.26442926
"TS2230","Sidi Bouzid Ouest  ",67957.45546384
"TS2231","Sidi Bouzid Est ",50052.01683899
"TS2232","Jilma ",37582.66529961
"TS2233","Cebalet Ouled Asker ",20112.2041135
"TS2234","Bir El Hafey ",35932.95225585
"TS2235","Sidi Ali Ben Aoûn ",25037.93237555
"TS2236","Menzel Bouzaïenne ",23780.51062691
"TS2237","Meknassy ",22743.76467565
"TS2238","Souk Jedid ",19226.391836
"TS2239","Mezzouna ",22849.58975415
"TS223A","Regueb ",58776.44435135
"TS223B","Ouled Haffouz ",19924.90247572
"TS3110","Gabes Medina  ",108570.01985016
"TS3111","Gabes Ouest ",82145.21184063
"TS3112","Gabes Sud ",102268.9079624
"TS3113","Ghanouch ",77480.31312626
"TS3114","El Metouia ",28924.18500741
"TS3115","Menzel El Habib ",11477
"TS3116","El Hamma ",62390
"TS3117","Matmata ",5768.45379654
"TS3118","Nouvelle Matmata ",15977.03583929
"TS3119","Mareth ",61342.59489364
"TS3120","Medenine Nord  ",48144.3674591
"TS3121","Medenine Sud ",48280.51593056
"TS3122","Beni Khedech ",28591.32063365
"TS3123","Ben Guerdane ",70907.24001936
"TS3124","Zarzis ",73549
"TS3125","Djerba Houmet Souk ",89515.64757179
"TS3126","Djerba Midoun ",69382.83637729
"TS3127","Djerba Ajim ",62492.70269863
"TS3128","Sidi Makhloulf ",24166.49496526
"TS3130","Tataouine Nord  ",54362.02267464
"TS3131","Tataouine Sud ",33783
"TS3132","Smâr ",13827.3200992
"TS3133","Bir Lahmar ",9283.44284598
