"ID","NAMES","POPTO2004_AsTheCrowFlies_ACC_0.01"
"TS2123","Zermadine ",11253.4571827662
"TS2124","Beni Hassen ",10119.0144645784
"TS2125","Jammel ",5144.72274138897
"TS2126","Bembla ",3900.05026528732
"TS2127","Moknine ",2663.9750168376
"TS2128","Bekalta ",9670.86821761211
"TS2129","Teboulba ",7304.59349989965
"TS212A","Ksar Helal ",4135.72895908889
"TS212B","Ksibet El Mediouni ",4071.34226985977
"TS212C","Sayada-Lamta Bou-Hjar ",5438.71725689239
"TS2130","Mahdia  ",5207.40078113779
"TS2131","Bou Merdès ",12551.9526373595
"TS2132","Ouled Chamekh ",17872.5469798774
"TS2133","Chorbane ",20887.7241068841
"TS2134","Hebira ",20196.8691986667
"TS2135","Essouassi ",15641.2221986817
"TS2136","El Djem ",13747.8355628229
"TS2137","Chebba ",17615.9162888637
"TS2138","Melloulech ",15910.3358660846
"TS2139","Sidi Alouane ",13120.5407494488
"TS213A","Ksour Essef ",12051.3127356213
"TS2140","Sfax Ville  ",0
"TS2141","Sfax Ouest ",0
"TS2142","Sakiet Ezzit ",1689.36245131201
"TS2143","Sakiet Eddaïer ",7.31693005464622
"TS2144","Sfax Sud ",0
"TS2145","Tina ",3340.77955543591
"TS2146","Agareb ",14593.951666207
"TS2147","Djebeniana ",14308.2170172567
"TS2148","El Amra ",11285.3552125781
"TS2149","El Hencha ",15499.1941268107
"TS214A","Menzel Chaker ",22343.853532999
"TS214B","Ghraiba ",28383.2016825143
"TS214C","Bir ali Ben Kelifa ",25171.0589172234
"TS214D","Skhira ",32052.7966460911
"TS214E","Mahres ",21788.69519503
"TS214F","Kerkenah ",30757.078177219
"TS2210","Kairouan Nord  ",11364.9145792424
"TS2211","Kairouan Sud ",11713.0365791286
"TS2212","Echebika ",16039.0667528733
"TS2213","Sbikha ",15651.5216835802
"TS2214","EL Ouslatia ",22945.1713936946
"TS2215","Haffouz ",18052.3287619979
"TS2216","El Alâa ",21032.0715328113
"TS2217","Hajeb el Ayoun ",18955.8607993267
"TS2218","Nasrallah ",20343.9240131716
"TS2219","Echrarda ",22427.1255716862
"TS221A","Bouhajla ",15012.1691474484
"TS2220","Kasserine Nord  ",14687.0009526388
"TS2221","Kasserine Sud ",17674.3693264706
"TS2222","Ezzouhour ",15021.2810209977
"TS2223","Hassi Ferid ",24834.4888267852
"TS2224","Sbeitla ",18250.8190727309
"TS2225","Sbiba ",20757.7887493441
"TS2226","Djedeliane ",23390.2527463132
"TS2227","El Ayoun ",22753.2421345998
"TS2228","Thala ",24821.9007808081
"TS2229","Hidra ",30065.8455348801
