"ID","NAMES","EMIG9404_AsTheCrowFlies_POT_50000"
"TS1110","Carthage ",249657.14762654
"TS1111","La Medina ",256969.4258105
"TS1112","Bab El Bhar ",256794.42427219
"TS1113","Bab Souika ",256917.04082985
"TS1114","El Omrane ",256782.69073374
"TS1115","El Omrane Supérieur ",256244.96834332
"TS1116","Ettahrir ",256547.95171958
"TS1117","El Menzah ",256323.18525793
"TS1118","Cité El Khadhra ",255602.92576331
"TS1119","Le Bardo ",256785.71789213
"TS111A","Sijoumi ",257052.80807841
"TS111B","Ezzouhour ",256996.35308084
"TS111C","El Hrairia ",255724.77887651
"TS111D","Sidi Hassine ",256107.32713093
"TS111E","El Ouardia ",256794.68502216
"TS111F","El Kabaria ",256409.6264085
"TS111G","Sidi El Béchir ",256963.43913636
"TS111H","Djebel Djelloud ",256519.63307542
"TS111I","La Goulette ",251880.83984935
"TS111J","Le Kram ",252830.08219561
"TS111K","La Marsa ",247799.33149054
"TS1120","L Ariana Ville  ",255300.99453882
"TS1121","Soukra ",252131.69583059
"TS1122","Raoued ",249858.48085129
"TS1123","Kalaât El Andalous ",233262.71220027
"TS1124","Sidi Thabet ",247826.34485962
"TS1125","Cité Ettadhamen ",255899.4248788
"TS1126","El Mnihla ",254871.55327324
"TS1130","Ben Arous  ",255819.09247069
"TS1131","La Nouvelle Medina ",254750.07291523
"TS1132","El Mourouj ",255624.75872528
"TS1133","Hammam Lif ",247762.1338421
"TS1134","Hammam Chôtt ",242189.38813203
"TS1135","Bou Mhel El Bassatine ",250763.63478832
"TS1136","Ezzahra ",252613.20948978
"TS1137","Radès ",254181.33212094
"TS1138","Megrine ",255832.90171737
"TS1139","Mohamedia ",247893.9657641
"TS113A","Fouchana ",254808.57370554
"TS113B","Mornag ",239185.69277518
"TS1140","Mannouba  ",255182.45277437
"TS1141","Douar Hicher ",254639.62809079
"TS1142","Oued Ellil ",250281.62141499
"TS1143","Mornaguia ",239187.30861498
"TS1144","Borj Amri ",219995.90684999
"TS1145","Djedeida ",234938.84093868
"TS1146","Tebourba ",192435.83397224
"TS1147","El Battane ",200874.25152426
"TS1150","Nabeul  ",107017.86547826
"TS1151","Dar Châabane El Fehri ",108252.77220758
"TS1152","Beni khiar ",86466.32078035
"TS1153","Korba ",92427.68465612
"TS1154","Menzel Temime ",67724.37124089
"TS1155","El Mida ",94188.04365387
"TS1156","Kelibia ",36228.7589876
"TS1157","Hammam El Guezaz ",26904.02999196
"TS1158","El Haouaria ",52672.24270852
"TS1159","Takelsa ",159901.18480523
"TS115A","Soliman ",213136.0481668
"TS115B","Menzel Bouzelfa ",160480.45165964
"TS115C","Beni Khalled ",153948.89771301
"TS115D","Grombalia ",214509.03668384
"TS115E","Bou Argoub ",156554.71487258
"TS115F","Hammamet ",152121.03987529
"TS1160","Zaghouan  ",179161.19233775
"TS1161","Ez-Zeriba ",136331.30427967
"TS1162","Bir Mchergua ",203940.6217415
"TS1163","El Fahs ",86401.11466959
"TS1164","En-Nadhour ",64781.5013936
"TS1165","Saouaf ",96766.80329841
"TS1170","Bizerte Nord  ",85927.02606636
"TS1171","Zarzouna ",119413.71937622
"TS1172","Bizerte Sud ",80313.38966319
"TS1173","Sedjnane ",39909.16272789
"TS1174","Djoumine ",78235.3714925
"TS1175","Mateur ",149234.50880559
"TS1176","Ghezala ",78484.09277615
"TS1177","Menzel Bourguiba ",166304.76846779
"TS1178","Tinja ",137752.23621341
"TS1179","Utique ",216460.32818232
"TS117A","Ghar El Meleh ",180800.78098099
"TS117B","Menzel Djemil ",144708.26388143
"TS117C","El Alia ",175794.00486733
"TS117D","Ras Djebel ",151575.78588746
"TS1210","Béja Nord  ",56183.32928285
"TS1211","Béja Sud ",55857.06917714
"TS1212","Amdoun ",46638.4665675
"TS1213","Nefza ",37112.11215764
"TS1214","Teboursouk ",56141.44802136
"TS1215","Tibar ",55587.39860745
"TS1216","Testour ",78983.24307795
