"ID","NAMES","POPTO2004_AsTheCrowFlies_ACC_0.005"
"TS1110","Carthage ",854.730968882048
"TS1111","La Medina ",204.658787148178
"TS1112","Bab El Bhar ",89.970476363058
"TS1113","Bab Souika ",145.622543990042
"TS1114","El Omrane ",79.5408089745256
"TS1115","El Omrane Supérieur ",0
"TS1116","Ettahrir ",258.45472254432
"TS1117","El Menzah ",59.6563050142885
"TS1118","Cité El Khadhra ",136.128684681972
"TS1119","Le Bardo ",0
"TS111A","Sijoumi ",122.038594099633
"TS111B","Ezzouhour ",84.1284719635724
"TS111C","El Hrairia ",0
"TS111D","Sidi Hassine ",0
"TS111E","El Ouardia ",164.212912453211
"TS111F","El Kabaria ",0
"TS111G","Sidi El Béchir ",181.532246768306
"TS111H","Djebel Djelloud ",250.956806281335
"TS111I","La Goulette ",472.354645754016
"TS111J","Le Kram ",0
"TS111K","La Marsa ",0
"TS1120","L Ariana Ville  ",0
"TS1121","Soukra ",0
"TS1122","Raoued ",0
"TS1123","Kalaât El Andalous ",7020.81981393593
"TS1124","Sidi Thabet ",1124.69482224951
"TS1125","Cité Ettadhamen ",0
"TS1126","El Mnihla ",0
"TS1130","Ben Arous  ",225.433494241365
"TS1131","La Nouvelle Medina ",110.775832619746
"TS1132","El Mourouj ",0
"TS1133","Hammam Lif ",439.941951082847
"TS1134","Hammam Chôtt ",1514.49861951315
"TS1135","Bou Mhel El Bassatine ",556.457032796279
"TS1136","Ezzahra ",368.629402916781
"TS1137","Radès ",77.5775787511681
"TS1138","Megrine ",311.374436987527
"TS1139","Mohamedia ",296.218245707471
"TS113A","Fouchana ",0
"TS113B","Mornag ",0
"TS1140","Mannouba  ",0
"TS1141","Douar Hicher ",0
"TS1142","Oued Ellil ",0
"TS1143","Mornaguia ",3573.55382925297
"TS1144","Borj Amri ",10049.3733931741
"TS1145","Djedeida ",1686.67897628504
"TS1146","Tebourba ",4458.18834259056
"TS1147","El Battane ",8900.9314626104
"TS1150","Nabeul  ",0
"TS1151","Dar Châabane El Fehri ",944.497160978077
"TS1152","Beni khiar ",1645.21577540054
"TS1153","Korba ",0
"TS1154","Menzel Temime ",0
"TS1155","El Mida ",5344.36687890308
"TS1156","Kelibia ",0
"TS1157","Hammam El Guezaz ",7091.45785471754
"TS1158","El Haouaria ",7029.55703553182
"TS1159","Takelsa ",11285.2462264978
"TS115A","Soliman ",3511.4242805635
"TS115B","Menzel Bouzelfa ",3800.17047191202
"TS115C","Beni Khalled ",2834.83412475784
"TS115D","Grombalia ",0
"TS115E","Bou Argoub ",3127.90383956524
"TS115F","Hammamet ",0
"TS1160","Zaghouan  ",10890.6731953277
"TS1161","Ez-Zeriba ",11745.2746408812
"TS1162","Bir Mchergua ",11801.678369812
"TS1163","El Fahs ",11948.0656957106
"TS1164","En-Nadhour ",12986.3435256593
"TS1165","Saouaf ",13624.0747433422
"TS1170","Bizerte Nord  ",0
"TS1171","Zarzouna ",2699.78177645223
"TS1172","Bizerte Sud ",6032.7215390475
"TS1173","Sedjnane ",12018.3680289995
"TS1174","Djoumine ",11418.6554905659
"TS1175","Mateur ",3752.72965994572
"TS1176","Ghezala ",12233.3449623844
"TS1177","Menzel Bourguiba ",0
"TS1178","Tinja ",6511.93145456237
"TS1179","Utique ",10239.5506500329
"TS117A","Ghar El Meleh ",5213.51135707545
"TS117B","Menzel Djemil ",1414.04353669027
"TS117C","El Alia ",3432.92453849315
"TS117D","Ras Djebel ",0
"TS1210","Béja Nord  ",0
"TS1211","Béja Sud ",10813.9042393431
"TS1212","Amdoun ",11575.4807192157
"TS1213","Nefza ",0
"TS1214","Teboursouk ",13349.8168817369
"TS1215","Tibar ",12278.8155235349
"TS1216","Testour ",12718.1133806778
"TS1217","Goubellat ",15877.9571692087
"TS1218","Medjez El Bab ",11103.5617412523
"TS1220","Jendouba  ",0
"TS1221","Jendouba Nord ",2097.73997149019
"TS1222","Bou Salem ",10483.2707812491
"TS1223","Tabarka ",10497.7442748431
"TS1224","Ain Draham ",10420.5885754015
"TS1225","Fernana ",0
"TS1226","Ghardimaou ",0
"TS1227","Oued Meliz ",11889.3341704871
"TS1228","Balta - Bou Aouane ",10270.0202318988
"TS1230","Kef Ouest  ",13282.1629959181
"TS1231","Kef Est ",11292.5448407984
"TS1232","Nebeur ",11705.7714002702
"TS1233","Sakiet Sidi Youssef ",19840.2837920809
"TS1234","Tajerouine ",14547.7396817692
"TS1235","Kalâat Snan ",23458.8181358407
"TS1236","Kalâat Khasbah ",19397.4965048184
"TS1237","Djerissa ",17093.0006975616
"TS1238","El Ksour ",15909.6345255487
"TS1239","Dahmani ",13353.4503655972
"TS123A","Es-Sers ",13421.4224309846
