"ID","NAMES","IMMIG9404_AsTheCrowFlies_POT_20000"
"TS1110","Carthage ",185500.74462803
"TS1111","La Medina ",249585.65020795
"TS1112","Bab El Bhar ",249869.29674761
"TS1113","Bab Souika ",249176.42703347
"TS1114","El Omrane ",247082.67465356
"TS1115","El Omrane Supérieur ",236698.14393684
"TS1116","Ettahrir ",239529.80383728
"TS1117","El Menzah ",243666.61138486
"TS1118","Cité El Khadhra ",241475.41095548
"TS1119","Le Bardo ",241497.7678348
"TS111A","Sijoumi ",248350.95962166
"TS111B","Ezzouhour ",243988.43013588
"TS111C","El Hrairia ",215023.87944575
"TS111D","Sidi Hassine ",221775.59914888
"TS111E","El Ouardia ",242581.85439006
"TS111F","El Kabaria ",235796.57277587
"TS111G","Sidi El Béchir ",248913.38490235
"TS111H","Djebel Djelloud ",240317.56855153
"TS111I","La Goulette ",202533.40799723
"TS111J","Le Kram ",214829.03731034
"TS111K","La Marsa ",173730.01695637
"TS1120","L Ariana Ville  ",233060.82128352
"TS1121","Soukra ",208084.96345247
"TS1122","Raoued ",183230.61670334
"TS1123","Kalaât El Andalous ",91018.20920717
"TS1124","Sidi Thabet ",147746.16132543
"TS1125","Cité Ettadhamen ",223798.3940156
"TS1126","El Mnihla ",214327.3184236
"TS1130","Ben Arous  ",228244.20512006
"TS1131","La Nouvelle Medina ",213908.04399626
"TS1132","El Mourouj ",222005.13011095
"TS1133","Hammam Lif ",153036.59314064
"TS1134","Hammam Chôtt ",119569.96904336
"TS1135","Bou Mhel El Bassatine ",174043.98172049
"TS1136","Ezzahra ",193134.04015385
"TS1137","Radès ",215057.38233161
"TS1138","Megrine ",233239.52139507
"TS1139","Mohamedia ",139068.84374258
"TS113A","Fouchana ",206977.73789948
"TS113B","Mornag ",98368.91545895
"TS1140","Mannouba  ",208499.28806399
"TS1141","Douar Hicher ",203204.24885284
"TS1142","Oued Ellil ",153740.71139849
"TS1143","Mornaguia ",86478.96116066
"TS1144","Borj Amri ",35830.76555001
"TS1145","Djedeida ",73750.10295979
"TS1146","Tebourba ",14695.40046603
"TS1147","El Battane ",18121.60943708
"TS1150","Nabeul  ",17872.71994993
"TS1151","Dar Châabane El Fehri ",18264.46595175
"TS1152","Beni khiar ",15285.77097027
"TS1153","Korba ",13519.31362403
"TS1154","Menzel Temime ",6904.96697194
"TS1155","El Mida ",9378.43907508
"TS1156","Kelibia ",5660.78615113
"TS1157","Hammam El Guezaz ",4909.94511597
"TS1158","El Haouaria ",4863.6212915
"TS1159","Takelsa ",8766.1205592
"TS115A","Soliman ",42624.49061881
"TS115B","Menzel Bouzelfa ",16795.78171552
"TS115C","Beni Khalled ",21267.31486424
"TS115D","Grombalia ",47736.82930681
"TS115E","Bou Argoub ",23321.25683999
"TS115F","Hammamet ",16205.62322471
"TS1160","Zaghouan  ",9552.27288354
"TS1161","Ez-Zeriba ",5549.13142904
"TS1162","Bir Mchergua ",18033.34937557
"TS1163","El Fahs ",2496.46779539
"TS1164","En-Nadhour ",2079.54860661
"TS1165","Saouaf ",3593.72041759
"TS1170","Bizerte Nord  ",14399.50527971
"TS1171","Zarzouna ",16471.86955078
"TS1172","Bizerte Sud ",10419.72886259
"TS1173","Sedjnane ",1517.45407294
"TS1174","Djoumine ",4256.50935235
"TS1175","Mateur ",7578.81226164
"TS1176","Ghezala ",4008.92045406
"TS1177","Menzel Bourguiba ",16129.59700952
"TS1178","Tinja ",13350.7835159
"TS1179","Utique ",41824.2010807
"TS117A","Ghar El Meleh ",16013.73752468
"TS117B","Menzel Djemil ",16264.77582102
"TS117C","El Alia ",17945.69439824
"TS117D","Ras Djebel ",11407.65128834
"TS1210","Béja Nord  ",6184.50157935
"TS1211","Béja Sud ",6491.34892934
"TS1212","Amdoun ",6492.17569243
"TS1213","Nefza ",3362.86026658
"TS1214","Teboursouk ",3591.65162205
"TS1215","Tibar ",5606.21854326
"TS1216","Testour ",3659.13053299
"TS1217","Goubellat ",2971.6277932
"TS1218","Medjez El Bab ",5053.3275
"TS1220","Jendouba  ",9843.81421153
"TS1221","Jendouba Nord ",9338.47427792
"TS1222","Bou Salem ",8149.4648634
"TS1223","Tabarka ",3981.78977778
"TS1224","Ain Draham ",4371.83514762
"TS1225","Fernana ",5687.34052342
"TS1226","Ghardimaou ",1610.38204075
"TS1227","Oued Meliz ",5831.72346019
"TS1228","Balta - Bou Aouane ",6592.15476109
"TS1230","Kef Ouest  ",5520.59732264
"TS1231","Kef Est ",6066.32181144
"TS1232","Nebeur ",8296.5634055
"TS1233","Sakiet Sidi Youssef ",2744.48676139
"TS1234","Tajerouine ",3600.03374975
"TS1235","Kalâat Snan ",1441.08697764
"TS1236","Kalâat Khasbah ",1912.39864908
"TS1237","Djerissa ",2418.85343105
"TS1238","El Ksour ",1931.59254663
"TS1239","Dahmani ",3535.82027407
"TS123A","Es-Sers ",4280.09974093
"TS1240","Siliana Nord  ",4065.55438376
"TS1241","Siliana Sud ",3693.54750409
"TS1242","Bou Arada ",1992.31978888
"TS1243","Gaâfour ",2614.6238082
"TS1244","El Krib ",3544.97924869
"TS1245","Bourouis ",3801.1897714
"TS1246","Makthar ",2476.62918223
"TS1247","Er-Rouhia ",1790.17000866
"TS1248","Kesra ",2052.18267848
"TS1249","Bargou ",1727.28711687
"TS124A","El Aroussa ",1989.96015442
"TS2110","Sousse Medina  ",64882.55336083
"TS2111","Sousse Riadh ",67629.15956319
"TS2112","Sousse Jawhara ",68105.1919421
"TS2113","Sousse Sidi Abdelhamid ",63798.23844508
"TS2114","Hammam Sousse ",57663.94974827
"TS2115","Akouda ",42908.07881946
"TS2116","Kalaâ Kebira ",33510.19424152
"TS2117","Sidi Bou Ali ",17997.8631116
"TS2118","Hergla ",11559.79616623
"TS2119","Enfidha ",3718.26267616
"TS211A","Bouficha ",6681.71677304
"TS211B","Kondar ",7288.51944025
"TS211C","Sidi El Héni ",16870.79228305
"TS211D","M saken ",43726.53618856
"TS211E","Kalaâ Seghira ",48041.16885889
"TS2120","Monastir  ",59048.42482099
"TS2121","Ouerdanine ",66592.53286578
"TS2122","Sahline ",68493.05328278
"TS2123","Zermadine ",25352.96354424
"TS2124","Beni Hassen ",27638.64277126
"TS2125","Jammel ",50345.64083945
"TS2126","Bembla ",57893.17319827
"TS2127","Moknine ",27462.22032975
"TS2128","Bekalta ",19757.97705712
"TS2129","Teboulba ",25470.68280658
"TS212A","Ksar Helal ",36438.34438235
"TS212B","Ksibet El Mediouni ",43874.02649372
"TS212C","Sayada-Lamta Bou-Hjar ",35813.04871757
"TS2130","Mahdia  ",17293.63327167
"TS2131","Bou Merdès ",10014.46105185
"TS2132","Ouled Chamekh ",4448.26240247
"TS2133","Chorbane ",1462.69414713
"TS2134","Hebira ",1442.90515397
"TS2135","Essouassi ",2860.49998314
"TS2136","El Djem ",4456.15549991
"TS2137","Chebba ",3626.0959722
"TS2138","Melloulech ",3759.06493947
"TS2139","Sidi Alouane ",6402.52364992
"TS213A","Ksour Essef ",9464.90425066
"TS2140","Sfax Ville  ",64915.85274551
"TS2141","Sfax Ouest ",64012.62528951
"TS2142","Sakiet Ezzit ",56932.05322875
"TS2143","Sakiet Eddaïer ",60967.62454174
"TS2144","Sfax Sud ",62640.87212277
"TS2145","Tina ",56042.48544209
"TS2146","Agareb ",16795.50823647
"TS2147","Djebeniana ",7260.59896711
"TS2148","El Amra ",33208.84150821
"TS2149","El Hencha ",5494.29196181
"TS214A","Menzel Chaker ",1741.79832009
"TS214B","Ghraiba ",1174.92509623
"TS214C","Bir ali Ben Kelifa ",1297.59196855
"TS214D","Skhira ",963.70321343
"TS214E","Mahres ",4651.54318874
"TS214F","Kerkenah ",1437.476334
"TS2210","Kairouan Nord  ",9067.76866226
