"ID","NAMES","POPTO2004_AsTheCrowFlies_POT_0"
"TS1110","Carthage ",20715
"TS1111","La Medina ",26703
"TS1112","Bab El Bhar ",39806
"TS1113","Bab Souika ",33284
"TS1114","El Omrane ",40801
"TS1115","El Omrane Supérieur ",62138
"TS1116","Ettahrir ",21956
"TS1117","El Menzah ",43320
"TS1118","Cité El Khadhra ",36818
"TS1119","Le Bardo ",70244
"TS111A","Sijoumi ",36171
"TS111B","Ezzouhour ",40434
"TS111C","El Hrairia ",96245
"TS111D","Sidi Hassine ",79381
"TS111E","El Ouardia ",33734
"TS111F","El Kabaria ",81261
"TS111G","Sidi El Béchir ",29911
"TS111H","Djebel Djelloud ",26490
"TS111I","La Goulette ",28407
"TS111J","Le Kram ",58152
"TS111K","La Marsa ",77890
"TS1120","L Ariana Ville  ",97687
"TS1121","Soukra ",89151
"TS1122","Raoued ",60896
"TS1123","Kalaât El Andalous ",23045
"TS1124","Sidi Thabet ",19404
"TS1125","Cité Ettadhamen ",78311
"TS1126","El Mnihla ",53752
"TS1130","Ben Arous  ",32329
"TS1131","La Nouvelle Medina ",42603
"TS1132","El Mourouj ",81986
"TS1133","Hammam Lif ",38401
"TS1134","Hammam Chôtt ",24847
"TS1135","Bou Mhel El Bassatine ",27977
"TS1136","Ezzahra ",31792
"TS1137","Radès ",44857
"TS1138","Megrine ",24031
"TS1139","Mohamedia ",46613
"TS113A","Fouchana ",56628
"TS113B","Mornag ",53709
"TS1140","Mannouba  ",51398
"TS1141","Douar Hicher ",75959
"TS1142","Oued Ellil ",58544
"TS1143","Mornaguia ",35129
"TS1144","Borj Amri ",16184
"TS1145","Djedeida ",40327
"TS1146","Tebourba ",41050
"TS1147","El Battane ",17321
"TS1150","Nabeul  ",59490
"TS1151","Dar Châabane El Fehri ",39477
"TS1152","Beni khiar ",35565
"TS1153","Korba ",60564
"TS1154","Menzel Temime ",59463
"TS1155","El Mida ",23667
"TS1156","Kelibia ",53648
"TS1157","Hammam El Guezaz ",14324
"TS1158","El Haouaria ",39378
"TS1159","Takelsa ",20169
"TS115A","Soliman ",41846
"TS115B","Menzel Bouzelfa ",33599
"TS115C","Beni Khalled ",33897
"TS115D","Grombalia ",55489
"TS115E","Bou Argoub ",27846
"TS115F","Hammamet ",95468
"TS1160","Zaghouan  ",34367
"TS1161","Ez-Zeriba ",20765
"TS1162","Bir Mchergua ",21508
"TS1163","El Fahs ",43678
"TS1164","En-Nadhour ",28550
"TS1165","Saouaf ",12095
"TS1170","Bizerte Nord  ",75234
"TS1171","Zarzouna ",24428
"TS1172","Bizerte Sud ",45227
"TS1173","Sedjnane ",42156
"TS1174","Djoumine ",35213
"TS1175","Mateur ",47562
"TS1176","Ghezala ",27799
"TS1177","Menzel Bourguiba ",54804
"TS1178","Tinja ",19444
"TS1179","Utique ",18266
"TS117A","Ghar El Meleh ",18525
