"ID","NAMES","EMIG9404_AsTheCrowFlies_ACC_0.05"
"TS1110","Carthage ",9896.95314941011
"TS1111","La Medina ",0
"TS1112","Bab El Bhar ",1498.75783261598
"TS1113","Bab Souika ",1783.23222804859
"TS1114","El Omrane ",1954.57808153517
"TS1115","El Omrane Supérieur ",2088.0524401427
"TS1116","Ettahrir ",2195.6886925921
"TS1117","El Menzah ",1926.01846342275
"TS1118","Cité El Khadhra ",2261.46257497815
"TS1119","Le Bardo ",1587.64941310802
"TS111A","Sijoumi ",1956.06292915933
"TS111B","Ezzouhour ",1909.23057223795
"TS111C","El Hrairia ",3228.17408075445
"TS111D","Sidi Hassine ",3167.78174407592
"TS111E","El Ouardia ",2056.51023114576
"TS111F","El Kabaria ",2520.86332537099
"TS111G","Sidi El Béchir ",2041.76362997334
"TS111H","Djebel Djelloud ",2392.86520464591
"TS111I","La Goulette ",6094.32251406448
"TS111J","Le Kram ",4388.69256504284
"TS111K","La Marsa ",10568.7803148887
"TS1120","L Ariana Ville  ",1736.03894270467
"TS1121","Soukra ",4735.08764919679
"TS1122","Raoued ",8754.90579034066
"TS1123","Kalaât El Andalous ",15180.4778898749
"TS1124","Sidi Thabet ",11534.831929192
"TS1125","Cité Ettadhamen ",2570.76154767312
"TS1126","El Mnihla ",3375.2963160245
"TS1130","Ben Arous  ",2484.59178596751
"TS1131","La Nouvelle Medina ",3868.1281124527
"TS1132","El Mourouj ",3057.3710110424
"TS1133","Hammam Lif ",10802.2419465181
"TS1134","Hammam Chôtt ",12483.2493012367
"TS1135","Bou Mhel El Bassatine ",8452.55974497742
"TS1136","Ezzahra ",5798.64803762765
"TS1137","Radès ",3867.4303560661
"TS1138","Megrine ",2701.74222890954
"TS1139","Mohamedia ",12386.1816152977
"TS113A","Fouchana ",4515.40676355501
"TS113B","Mornag ",14223.6751898256
"TS1140","Mannouba  ",3112.76936441161
"TS1141","Douar Hicher ",4078.30510874649
"TS1142","Oued Ellil ",10667.2567296029
"TS1143","Mornaguia ",14694.8797917204
"TS1144","Borj Amri ",21167.0592371584
"TS1145","Djedeida ",15670.3546141111
"TS1146","Tebourba ",24592.4111479035
"TS1147","El Battane ",23715.311273185
"TS1150","Nabeul  ",34177.1431566173
"TS1151","Dar Châabane El Fehri ",33705.4256256422
"TS1152","Beni khiar ",37347.5370929206
"TS1153","Korba ",35831.4264880553
"TS1154","Menzel Temime ",41568.5056198394
"TS1155","El Mida ",36010.7049432089
"TS1156","Kelibia ",49666.8997066275
"TS1157","Hammam El Guezaz ",52665.5327716343
"TS1158","El Haouaria ",44860.7017960318
"TS1159","Takelsa ",28685.4755770465
"TS115A","Soliman ",20906.3057897526
"TS115B","Menzel Bouzelfa ",27317.823019934
"TS115C","Beni Khalled ",27789.7667002131
"TS115D","Grombalia ",20648.5766845618
"TS115E","Bou Argoub ",27520.8017296697
"TS115F","Hammamet ",30084.6517884037
"TS1160","Zaghouan  ",27469.7591660865
"TS1161","Ez-Zeriba ",33480.5926698804
"TS1162","Bir Mchergua ",23627.2387655181
"TS1163","El Fahs ",40686.6152454664
"TS1164","En-Nadhour ",42236.1783227674
