"ID","NAMES","POPTO2004_AsTheCrowFlies_ACC_0.05"
"TS1110","Carthage ",11414.8374569067
"TS1111","La Medina ",4198.97759091031
"TS1112","Bab El Bhar ",4206.1361058226
"TS1113","Bab Souika ",4137.30359597569
"TS1114","El Omrane ",4132.19544028568
"TS1115","El Omrane Supérieur ",4363.39157726198
"TS1116","Ettahrir ",4435.08062647311
"TS1117","El Menzah ",4327.30689537653
"TS1118","Cité El Khadhra ",4902.94813886766
"TS1119","Le Bardo ",4086.84258975356
"TS111A","Sijoumi ",4188.87232144191
"TS111B","Ezzouhour ",4198.04429035177
"TS111C","El Hrairia ",5337.33103422503
"TS111D","Sidi Hassine ",5605.35246908927
"TS111E","El Ouardia ",4793.5128792804
"TS111F","El Kabaria ",5118.30929126867
"TS111G","Sidi El Béchir ",4303.09947211516
"TS111H","Djebel Djelloud ",5103.64013702365
"TS111I","La Goulette ",10197.1610737824
"TS111J","Le Kram ",8118.0922609942
"TS111K","La Marsa ",11751.3536799462
"TS1120","L Ariana Ville  ",4683.36490463638
"TS1121","Soukra ",7963.506580209
"TS1122","Raoued ",10776.2346348011
"TS1123","Kalaât El Andalous ",16520.7537479164
"TS1124","Sidi Thabet ",12285.9172234168
"TS1125","Cité Ettadhamen ",4757.73765673281
"TS1126","El Mnihla ",5537.24346849611
"TS1130","Ben Arous  ",6062.22951866412
"TS1131","La Nouvelle Medina ",7217.99361452826
"TS1132","El Mourouj ",6281.49480499784
"TS1133","Hammam Lif ",12393.533516759
"TS1134","Hammam Chôtt ",14237.5772849339
"TS1135","Bou Mhel El Bassatine ",10906.8524584964
"TS1136","Ezzahra ",9624.42352309612
"TS1137","Radès ",7443.15428317102
"TS1138","Megrine ",5752.25872916124
"TS1139","Mohamedia ",13700.5531668157
"TS113A","Fouchana ",8022.80655930686
"TS113B","Mornag ",15989.4360380302
"TS1140","Mannouba  ",5834.80832812487
"TS1141","Douar Hicher ",6021.29204173183
"TS1142","Oued Ellil ",11017.3883281233
"TS1143","Mornaguia ",16161.8771198215
"TS1144","Borj Amri ",21539.893181824
"TS1145","Djedeida ",16581.0538902788
"TS1146","Tebourba ",24601.717337241
"TS1147","El Battane ",23998.4062577263
"TS1150","Nabeul  ",30219.0941134598
"TS1151","Dar Châabane El Fehri ",29275.0093734855
"TS1152","Beni khiar ",31852.6943623209
"TS1153","Korba ",30713.3419271655
"TS1154","Menzel Temime ",36782.5302274633
"TS1155","El Mida ",31425.5746928244
"TS1156","Kelibia ",45405.2569838128
"TS1157","Hammam El Guezaz ",50135.0448768322
"TS1158","El Haouaria ",42858.5015613486
"TS1159","Takelsa ",27255.3849443757
"TS115A","Soliman ",21062.7494921725
"TS115B","Menzel Bouzelfa ",24750.5444199497
"TS115C","Beni Khalled ",23989.2182026853
"TS115D","Grombalia ",20389.6145172561
"TS115E","Bou Argoub ",23907.2574089155
"TS115F","Hammamet ",26931.8949649773
"TS1160","Zaghouan  ",27852.1331793889
"TS1161","Ez-Zeriba ",32463.5154735296
"TS1162","Bir Mchergua ",24851.4311728667
"TS1163","El Fahs ",40224.1352798545
"TS1164","En-Nadhour ",40930.1672693603
"TS1165","Saouaf ",36401.9784110233
"TS1170","Bizerte Nord  ",35261.997909306
"TS1171","Zarzouna ",31151.6973745303
"TS1172","Bizerte Sud ",35662.9457801093
"TS1173","Sedjnane ",45058.1884566656
"TS1174","Djoumine ",36309.6673849508
"TS1175","Mateur ",29156.8850118907
"TS1176","Ghezala ",36410.4494751756
"TS1177","Menzel Bourguiba ",24936.3920404527
"TS1178","Tinja ",28542.3118293868
"TS1179","Utique ",20490.4767278503
"TS117A","Ghar El Meleh ",25191.2450271873
"TS117B","Menzel Djemil ",28097.5561064702
"TS117C","El Alia ",24354.533592982
"TS117D","Ras Djebel ",29433.0582564415
"TS1210","Béja Nord  ",38723.4793663823
"TS1211","Béja Sud ",38693.5988969424
"TS1212","Amdoun ",39175.8900361684
"TS1213","Nefza ",45328.6378273079
"TS1214","Teboursouk ",41647.4442706586
"TS1215","Tibar ",39459.3275883791
"TS1216","Testour ",39264.5911459148
"TS1217","Goubellat ",33911.5434457578
"TS1218","Medjez El Bab ",31836.7550077848
"TS1220","Jendouba  ",38929.3335255908
"TS1221","Jendouba Nord ",40411.3711407256
"TS1222","Bou Salem ",37482.3895886062
"TS1223","Tabarka ",47487.8937506038
"TS1224","Ain Draham ",45404.3345672556
"TS1225","Fernana ",44223.7082646603
"TS1226","Ghardimaou ",57202.1785465831
"TS1227","Oued Meliz ",45793.6584088109
"TS1228","Balta - Bou Aouane ",37553.8932109046
"TS1230","Kef Ouest  ",50024.1305470839
"TS1231","Kef Est ",44963.8065715797
"TS1232","Nebeur ",42153.3077916899
"TS1233","Sakiet Sidi Youssef ",57100.1253699076
"TS1234","Tajerouine ",57177.5173099516
"TS1235","Kalâat Snan ",67068.0729306937
"TS1236","Kalâat Khasbah ",61279.0439510018
"TS1237","Djerissa ",56223.8063858991
"TS1238","El Ksour ",50127.0241137261
"TS1239","Dahmani ",50718.9359070052
"TS123A","Es-Sers ",47328.4463590148
"TS1240","Siliana Nord  ",48528.1884699552
"TS1241","Siliana Sud ",48598.6028572019
"TS1242","Bou Arada ",43313.2791094337
"TS1243","Gaâfour ",46348.3307348278
"TS1244","El Krib ",42297.9469010946
"TS1245","Bourouis ",45747.4320699834
"TS1246","Makthar ",49070.695929061
"TS1247","Er-Rouhia ",47736.7635310585
"TS1248","Kesra ",47592.8998264757
"TS1249","Bargou ",46720.9278555976
"TS124A","El Aroussa ",43413.4448212853
"TS2110","Sousse Medina  ",20327.0874243042
"TS2111","Sousse Riadh ",18550.1074096632
"TS2112","Sousse Jawhara ",18853.0284093736
"TS2113","Sousse Sidi Abdelhamid ",20254.5806291776
"TS2114","Hammam Sousse ",22696.8890867676
"TS2115","Akouda ",26814.8831526077
"TS2116","Kalaâ Kebira ",26732.6669058599
"TS2117","Sidi Bou Ali ",30867.4103530224
"TS2118","Hergla ",32886.2906812362
"TS2119","Enfidha ",35655.7183817868
"TS211A","Bouficha ",33329.1909133996
"TS211B","Kondar ",31913.1572850249
"TS211C","Sidi El Héni ",27740.4249579214
"TS211D","M saken ",22549.6090508456
"TS211E","Kalaâ Seghira ",23162.8679488047
"TS2120","Monastir  ",19567.0627187525
"TS2121","Ouerdanine ",17809.1649416784
"TS2122","Sahline ",17800.5468855981
"TS2123","Zermadine ",23449.5083729749
"TS2124","Beni Hassen ",22002.5898467387
"TS2125","Jammel ",19077.4087797875
"TS2126","Bembla ",18275.5740053437
"TS2127","Moknine ",22552.3158540305
"TS2128","Bekalta ",28541.1404616962
"TS2129","Teboulba ",26054.1660670479
"TS212A","Ksar Helal ",21664.8145829285
"TS212B","Ksibet El Mediouni ",19905.0717579948
"TS212C","Sayada-Lamta Bou-Hjar ",22498.7411149827
"TS2130","Mahdia  ",27608.7340701675
"TS2131","Bou Merdès ",26615.8110304202
"TS2132","Ouled Chamekh ",32571.8033788124
"TS2133","Chorbane ",37916.3393038256
"TS2134","Hebira ",40170.1277756906
"TS2135","Essouassi ",32749.0102509559
"TS2136","El Djem ",31190.8368400105
"TS2137","Chebba ",39176.8367153915
"TS2138","Melloulech ",36562.180856343
"TS2139","Sidi Alouane ",31964.0243075976
"TS213A","Ksour Essef ",32342.4078092829
"TS2140","Sfax Ville  ",19075.8840071879
"TS2141","Sfax Ouest ",19557.9263667928
"TS2142","Sakiet Ezzit ",20438.2810635029
"TS2143","Sakiet Eddaïer ",19741.0876641243
"TS2144","Sfax Sud ",19215.3293080004
"TS2145","Tina ",24414.7844118918
"TS2146","Agareb ",33399.4728185616
"TS2147","Djebeniana ",33132.450117537
"TS2148","El Amra ",27469.2780790622
"TS2149","El Hencha ",32006.4555825777
"TS214A","Menzel Chaker ",38118.015911636
"TS214B","Ghraiba ",51734.9701911629
"TS214C","Bir ali Ben Kelifa ",49258.3327875504
"TS214D","Skhira ",59827.838905894
"TS214E","Mahres ",43708.1063898595
"TS214F","Kerkenah ",53167.2629349931
"TS2210","Kairouan Nord  ",34752.5365061555
"TS2211","Kairouan Sud ",34877.9387678099
"TS2212","Echebika ",39080.1279344812
"TS2213","Sbikha ",38986.2025265489
"TS2214","EL Ouslatia ",44822.6151065719
"TS2215","Haffouz ",42772.8265572444
"TS2216","El Alâa ",44330.6646317425
"TS2217","Hajeb el Ayoun ",44001.7174366973
"TS2218","Nasrallah ",43254.0327817178
"TS2219","Echrarda ",44262.3879618694
"TS221A","Bouhajla ",40834.6657871741
"TS2220","Kasserine Nord  ",53732.0227095164
"TS2221","Kasserine Sud ",54207.4058851146
"TS2222","Ezzouhour ",52331.9704263615
"TS2223","Hassi Ferid ",51412.6020653852
"TS2224","Sbeitla ",47074.8160689638
"TS2225","Sbiba ",47051.6380789017
"TS2226","Djedeliane ",50232.4387584004
"TS2227","El Ayoun ",50175.8274266976
"TS2228","Thala ",55314.7493481141
"TS2229","Hidra ",64349.1425199136
"TS222A","Foussana ",62427.9430552144
"TS222B","Feriana ",64800.83790129
"TS222C","Majel Bel Abbès ",62135.3715267282
"TS2230","Sidi Bouzid Ouest  ",48142.8538723814
"TS2231","Sidi Bouzid Est ",46571.6663246485
"TS2232","Jilma ",44916.8075701479
"TS2233","Cebalet Ouled Asker ",45623.7911667391
"TS2234","Bir El Hafey ",50562.1614051467
"TS2235","Sidi Ali Ben Aoûn ",52946.5782781168
"TS2236","Menzel Bouzaïenne ",57580.7405732239
"TS2237","Meknassy ",57515.8353394865
"TS2238","Souk Jedid ",51814.2412576661
"TS2239","Mezzouna ",59832.8990080758
"TS223A","Regueb ",51103.7716931059
"TS223B","Ouled Haffouz ",46677.5239325999
"TS3110","Gabes Medina  ",61517.442358229
"TS3111","Gabes Ouest ",62925.3313849403
"TS3112","Gabes Sud ",61318.2393553682
"TS3113","Ghanouch ",62080.2066657846
"TS3114","El Metouia ",62790.5684031761
"TS3115","Menzel El Habib ",64589.5074315644
"TS3116","El Hamma ",69232.4679043704
"TS3117","Matmata ",72606.2613591852
"TS3118","Nouvelle Matmata ",64922.46249185
"TS3119","Mareth ",59754.5063259145
"TS3120","Medenine Nord  ",62039.7717924538
"TS3121","Medenine Sud ",63244.0711338434
"TS3122","Beni Khedech ",72269.1321162326
"TS3123","Ben Guerdane ",110290.347951757
"TS3124","Zarzis ",76096.4251084672
"TS3125","Djerba Houmet Souk ",69603.8182488766
"TS3126","Djerba Midoun ",73963.8270980692
"TS3127","Djerba Ajim ",67776.5908793704
"TS3128","Sidi Makhloulf ",58880.2334968826
"TS3130","Tataouine Nord  ",103626.178233406
"TS3131","Tataouine Sud ",96797.438624734
"TS3132","Smâr ",107722.143978605
"TS3133","Bir Lahmar ",68643.9766069661
"TS3134","Ghomrassen ",76749.1837087359
"TS3135","Dhehiba ",170367.651511114
"TS3136","Remada ",188994.193797064
"TS3210","Gafsa Nord  ",58665.2405794532
"TS3211","Sidi Aïch ",56966.1235531128
"TS3212","El Ksar ",64192.2521795697
"TS3213","Gafsa Sud ",64154.2519846151
"TS3214","Oum El Araies ",71782.7132258944
"TS3215","Redeyef ",83930.7186549138
"TS3216","Metlaoui ",74923.5486766617
"TS3217","Mdhila ",70154.9569227626
"TS3218","EL Guetar ",65503.5619726963
"TS3219","Belkhir ",63254.4768636158
"TS321A","Sned ",59299.5137280966
"TS3220","Tozeur  ",103580.495863999
"TS3221","Degach ",88786.45234665
"TS3222","Tameghza ",103392.911335438
