"ID","NAMES","EMIG9404_AsTheCrowFlies_POT_0"
"TS2215","Haffouz ",2394
"TS2216","El Alâa ",1943
"TS2217","Hajeb el Ayoun ",1570
"TS2218","Nasrallah ",2099
"TS2219","Echrarda ",1372
"TS221A","Bouhajla ",3206
"TS2220","Kasserine Nord  ",10393
"TS2221","Kasserine Sud ",1746
"TS2222","Ezzouhour ",667
"TS2223","Hassi Ferid ",1305
"TS2224","Sbeitla ",3373
"TS2225","Sbiba ",1919
"TS2226","Djedeliane ",656
"TS2227","El Ayoun ",563
"TS2228","Thala ",3047
"TS2229","Hidra ",597
"TS222A","Foussana ",1762
"TS222B","Feriana ",1769
"TS222C","Majel Bel Abbès ",729
"TS2230","Sidi Bouzid Ouest  ",8788
"TS2231","Sidi Bouzid Est ",2189
"TS2232","Jilma ",1574
"TS2233","Cebalet Ouled Asker ",557
"TS2234","Bir El Hafey ",1144
"TS2235","Sidi Ali Ben Aoûn ",812
"TS2236","Menzel Bouzaïenne ",1100
"TS2237","Meknassy ",1600
"TS2238","Souk Jedid ",780
"TS2239","Mezzouna ",994
"TS223A","Regueb ",2730
"TS223B","Ouled Haffouz ",2017
"TS3110","Gabes Medina  ",11031
"TS3111","Gabes Ouest ",1369
"TS3112","Gabes Sud ",2401
"TS3113","Ghanouch ",509
"TS3114","El Metouia ",1111
"TS3115","Menzel El Habib ",1275
"TS3116","El Hamma ",2949
"TS3117","Matmata ",2440
"TS3118","Nouvelle Matmata ",825
"TS3119","Mareth ",2482
"TS3120","Medenine Nord  ",5580
"TS3121","Medenine Sud ",2610
"TS3122","Beni Khedech ",2581
"TS3123","Ben Guerdane ",3027
"TS3124","Zarzis ",2826
"TS3125","Djerba Houmet Souk ",4003
"TS3126","Djerba Midoun ",1831
"TS3127","Djerba Ajim ",875
"TS3128","Sidi Makhloulf ",983
"TS3130","Tataouine Nord  ",4944
"TS3131","Tataouine Sud ",1953
"TS3132","Smâr ",613
"TS3133","Bir Lahmar ",513
"TS3134","Ghomrassen ",1569
"TS3135","Dhehiba ",425
"TS3136","Remada ",911
"TS3210","Gafsa Nord  ",8061
"TS3211","Sidi Aïch ",758
"TS3212","El Ksar ",958
"TS3213","Gafsa Sud ",1412
"TS3214","Oum El Araies ",2179
"TS3215","Redeyef ",1924
"TS3216","Metlaoui ",2236
"TS3217","Mdhila ",1138
"TS3218","EL Guetar ",1022
"TS3219","Belkhir ",855
"TS321A","Sned ",1515
"TS3220","Tozeur  ",2949
"TS3221","Degach ",905
"TS3222","Tameghza ",223
"TS3223","Nefta ",1107
"TS3224","Hazoua ",177
"TS3230","Kebili Sud  ",3829
"TS3231","Kebeli Nord ",1071
"TS3232","Souk El Ahed ",835
"TS3233","Douz Nord ",1376
"TS3234","Douz Sud ",569
"TS3235","Faouar ",329
