"ID","NAMES","NBLOG2004_AsTheCrowFlies_POT_20000"
"TS2129","Teboulba ",91550.37464285
"TS212A","Ksar Helal ",119000.92885059
"TS212B","Ksibet El Mediouni ",132482.4146489
"TS212C","Sayada-Lamta Bou-Hjar ",113795.44787919
"TS2130","Mahdia  ",83765.28663352
"TS2131","Bou Merdès ",61488.04953643
"TS2132","Ouled Chamekh ",27752.4669528
"TS2133","Chorbane ",18564.96233196
"TS2134","Hebira ",20909.79980655
"TS2135","Essouassi ",30203.43320212
"TS2136","El Djem ",41977.62738212
"TS2137","Chebba ",33907.52499255
"TS2138","Melloulech ",37089.20748791
"TS2139","Sidi Alouane ",53878.76530554
"TS213A","Ksour Essef ",60611.68204704
"TS2140","Sfax Ville  ",146281.79608699
"TS2141","Sfax Ouest ",144082.32360289
"TS2142","Sakiet Ezzit ",138078.08448273
"TS2143","Sakiet Eddaïer ",142942.90379852
"TS2144","Sfax Sud ",145918.99790824
"TS2145","Tina ",126416.18375105
"TS2146","Agareb ",47148.22424771
"TS2147","Djebeniana ",41200.02930171
"TS2148","El Amra ",90543.51378963
"TS2149","El Hencha ",34891.55890198
"TS214A","Menzel Chaker ",13379.39683033
"TS214B","Ghraiba ",9918.49613697
"TS214C","Bir ali Ben Kelifa ",13940.42807463
"TS214D","Skhira ",7410.64947638
"TS214E","Mahres ",18873.37214545
"TS214F","Kerkenah ",7819.20181331
"TS2210","Kairouan Nord  ",43087.8990274
"TS2211","Kairouan Sud ",42159.63858141
"TS2212","Echebika ",31844.43506325
"TS2213","Sbikha ",25588.74272287
"TS2214","EL Ouslatia ",13941.26573596
"TS2215","Haffouz ",22283.22927318
"TS2216","El Alâa ",17787.28096758
"TS2217","Hajeb el Ayoun ",20757.75485856
"TS2218","Nasrallah ",20304.76544757
"TS2219","Echrarda ",16767.39236844
"TS221A","Bouhajla ",27658.85274005
"TS2220","Kasserine Nord  ",27090.59961114
"TS2221","Kasserine Sud ",25035.47949039
"TS2222","Ezzouhour ",27431.15206736
"TS2223","Hassi Ferid ",10445.76252682
"TS2224","Sbeitla ",22838.66435533
"TS2225","Sbiba ",16969.65451655
"TS2226","Djedeliane ",13253.73120612
"TS2227","El Ayoun ",13704.8255747
"TS2228","Thala ",14666.41863157
"TS2229","Hidra ",10670.44637441
"TS222A","Foussana ",14801.09617795
"TS222B","Feriana ",11959.36408537
"TS222C","Majel Bel Abbès ",8238.66649284
"TS2230","Sidi Bouzid Ouest  ",29432.57045217
"TS2231","Sidi Bouzid Est ",23919.4109495
"TS2232","Jilma ",17302.88387824
"TS2233","Cebalet Ouled Asker ",22212.41802469
"TS2234","Bir El Hafey ",22251.85778019
"TS2235","Sidi Ali Ben Aoûn ",12407.67948561
"TS2236","Menzel Bouzaïenne ",12112.41218682
"TS2237","Meknassy ",11953.59834528
"TS2238","Souk Jedid ",17969.25246468
"TS2239","Mezzouna ",8226.05764205
"TS223A","Regueb ",17342.11883908
"TS223B","Ouled Haffouz ",16884.18907314
"TS3110","Gabes Medina  ",39197.62987511
"TS3111","Gabes Ouest ",38864.14411511
"TS3112","Gabes Sud ",40469.4058996
"TS3113","Ghanouch ",37328.28870256
"TS3114","El Metouia ",19549.38382309
"TS3115","Menzel El Habib ",4117.38537223
"TS3116","El Hamma ",13363.91870322
"TS3117","Matmata ",3973.14154144
"TS3118","Nouvelle Matmata ",15675.48555597
"TS3119","Mareth ",23439.00524685
"TS3120","Medenine Nord  ",25206.47924856
"TS3121","Medenine Sud ",20515.43811215
"TS3122","Beni Khedech ",12405.82477828
"TS3123","Ben Guerdane ",16757.1137675
"TS3124","Zarzis ",23081.08747178
"TS3125","Djerba Houmet Souk ",39582.0505387
"TS3126","Djerba Midoun ",38866.73282237
"TS3127","Djerba Ajim ",37820.06953712
"TS3128","Sidi Makhloulf ",19920.12985453
"TS3130","Tataouine Nord  ",12417.04686127
"TS3131","Tataouine Sud ",8204.29230963
"TS3132","Smâr ",9259.09751072
"TS3133","Bir Lahmar ",12306.41720078
"TS3134","Ghomrassen ",11061.89429319
"TS3135","Dhehiba ",998
"TS3136","Remada ",2261
"TS3210","Gafsa Nord  ",12695.83017135
"TS3211","Sidi Aïch ",9728.71133244
"TS3212","El Ksar ",23019.92238567
"TS3213","Gafsa Sud ",28727.08921439
"TS3214","Oum El Araies ",12787.2264345
"TS3215","Redeyef ",10171.76214477
"TS3216","Metlaoui ",15389.83016983
"TS3217","Mdhila ",11375.943695
"TS3218","EL Guetar ",8728.53972966
"TS3219","Belkhir ",4505.05333198
"TS321A","Sned ",11247.12749046
"TS3220","Tozeur  ",14051.69662696
"TS3221","Degach ",10981.85182822
"TS3222","Tameghza ",2270.04915922
"TS3223","Nefta ",9287.4723092
"TS3224","Hazoua ",2605.98068992
"TS3230","Kebili Sud  ",11169.22099095
"TS3231","Kebeli Nord ",11741.49619619
"TS3232","Souk El Ahed ",6651.71679367
"TS3233","Douz Nord ",5228.62976368
"TS3234","Douz Sud ",3053.21224673
"TS3235","Faouar ",3528
