"ID","NAMES","P09_POP_AsTheCrowFlies_POT_5000"
"97201","L'AJOUPA-BOUILLON",12464.44387094
"97202","LES ANSES-D'ARLET",10119.51356224
"97203","BASSE-POINTE",8252.77636227
"97204","LE CARBET",8138.29839559
"97205","CASE-PILOTE",46567.0749159
"97206","LE DIAMANT",14038.73903091
"97207","DUCOS",40004.68441883
"97208","FONDS-SAINT-DENIS",8302.85241297
"97209","FORT-DE-FRANCE",117588.26506982
"97210","LE FRANCOIS",26138.9917141
"97211","GRAND'RIVIERE",4312.16747038
"97212","GROS-MORNE",27696.66190164
"97213","LE LAMENTIN",50956.26593802
"97214","LE LORRAIN",15652.84348388
"97215","MACOUBA",5953.48342287
"97216","LE MARIGOT",24209.56954645
"97217","LE MARIN",19307.32677496
"97218","LE MORNE-ROUGE",11499.58311621
"97219","LE PRECHEUR",3758.78553946
"97220","RIVIERE-PILOTE",28081.12697194
"97221","RIVIERE-SALEE",29230.16403942
"97222","LE ROBERT",28987.83154276
"97223","SAINT-ESPRIT",33441.43002755
"97224","SAINT-JOSEPH",77889.53549762
"97225","SAINT-PIERRE",7838.68396854
"97226","SAINTE-ANNE",8820.53558743
"97227","SAINTE-LUCE",21713.45372713
"97228","SAINTE-MARIE",25634.37942825
"97229","SCHOELCHER",99888.12257888
"97230","LA TRINITE",18655.41573144
"97231","LES TROIS-ILETS",14440.07200302
"97232","LE VAUCLIN",17099.83970498
"97233","LE MORNE-VERT",12023.34349918
"97234","BELLEFONTAINE",16453.07455837
