"ID","NAMES","P09_POP4559_AsTheCrowFlies_POT_2000"
"97201","L'AJOUPA-BOUILLON",460.34640187
"97202","LES ANSES-D'ARLET",935.06870882
"97203","BASSE-POINTE",790.72155786
"97204","LE CARBET",803.49703245
"97205","CASE-PILOTE",1431.26529062
"97206","LE DIAMANT",1340.38751708
"97207","DUCOS",3933.00306179
"97208","FONDS-SAINT-DENIS",211.48370814
"97209","FORT-DE-FRANCE",18429.19190236
"97210","LE FRANCOIS",4213.00117972
"97211","GRAND'RIVIERE",184.83096401
"97212","GROS-MORNE",2389.44434432
"97213","LE LAMENTIN",7681.00007866
"97214","LE LORRAIN",1583.49606252
"97215","MACOUBA",339.96929708
"97216","LE MARIGOT",880.07745331
"97217","LE MARIN",1986.03324528
"97218","LE MORNE-ROUGE",1053.02005033
"97219","LE PRECHEUR",331.33501846
"97220","RIVIERE-PILOTE",3015.01992126
"97221","RIVIERE-SALEE",2707.05043531
"97222","LE ROBERT",4771
"97223","SAINT-ESPRIT",2034.00762284
"97224","SAINT-JOSEPH",3777.11466431
"97225","SAINT-PIERRE",969.00023166
"97226","SAINTE-ANNE",1017.00663324
"97227","SAINTE-LUCE",2255.06036675
"97228","SAINTE-MARIE",3892.23828336
"97229","SCHOELCHER",5304.02865233
"97230","LA TRINITE",2900
"97231","LES TROIS-ILETS",1586.36763215
"97232","LE VAUCLIN",1897.00009045
"97233","LE MORNE-VERT",458.68666368
"97234","BELLEFONTAINE",378.34233512
