"ID","NAMES","P09_POP75P_AsTheCrowFlies_POT_5000"
"97201","L'AJOUPA-BOUILLON",1143.38623829
"97202","LES ANSES-D'ARLET",599.49377068
"97203","BASSE-POINTE",775.69087992
"97204","LE CARBET",659.33696697
"97205","CASE-PILOTE",3360.97937498
"97206","LE DIAMANT",686.44613607
"97207","DUCOS",2042.92057438
"97208","FONDS-SAINT-DENIS",662.47397133
"97209","FORT-DE-FRANCE",8965.81424866
"97210","LE FRANCOIS",1711.82729169
"97211","GRAND'RIVIERE",497.38964635
"97212","GROS-MORNE",1993.64128767
"97213","LE LAMENTIN",2655.22671989
"97214","LE LORRAIN",1414.99256327
"97215","MACOUBA",613.50864222
"97216","LE MARIGOT",2008.2180835
"97217","LE MARIN",1367.52312386
"97218","LE MORNE-ROUGE",1037.91336473
"97219","LE PRECHEUR",446.51164041
"97220","RIVIERE-PILOTE",1872.81878071
"97221","RIVIERE-SALEE",1470.93879907
"97222","LE ROBERT",1695.38473388
"97223","SAINT-ESPRIT",2060.31178798
"97224","SAINT-JOSEPH",5794.55818286
"97225","SAINT-PIERRE",790.46167575
"97226","SAINTE-ANNE",582.34897119
"97227","SAINTE-LUCE",1132.9099488
"97228","SAINTE-MARIE",1992.98465369
"97229","SCHOELCHER",7597.12914247
"97230","LA TRINITE",1188.71981258
"97231","LES TROIS-ILETS",732.83399414
"97232","LE VAUCLIN",1240.92552938
"97233","LE MORNE-VERT",881.01233846
"97234","BELLEFONTAINE",1120.81684214
