"ID","NAMES","P09_POP_AsTheCrowFlies_POT_2500"
"97201","L'AJOUPA-BOUILLON",2884.37412288
"97202","LES ANSES-D'ARLET",3878.76181997
"97203","BASSE-POINTE",4493.84514366
"97204","LE CARBET",4244.09296556
"97205","CASE-PILOTE",10355.56310005
"97206","LE DIAMANT",6218.73217532
"97207","DUCOS",16730.63577939
"97208","FONDS-SAINT-DENIS",1282.4947335
"97209","FORT-DE-FRANCE",92567.27677754
"97210","LE FRANCOIS",19479.88744828
"97211","GRAND'RIVIERE",1103.59178854
"97212","GROS-MORNE",11076.0567426
"97213","LE LAMENTIN",39163.93932542
"97214","LE LORRAIN",8082.37809499
"97215","MACOUBA",2086.78581791
"97216","LE MARIGOT",6067.02567412
"97217","LE MARIN",8872.32980901
"97218","LE MORNE-ROUGE",5131.61068734
"97219","LE PRECHEUR",1702.20443978
"97220","RIVIERE-PILOTE",13496.36357721
"97221","RIVIERE-SALEE",12990.05406672
"97222","LE ROBERT",23533.00236691
"97223","SAINT-ESPRIT",9220.48386057
"97224","SAINT-JOSEPH",17711.73672524
"97225","SAINT-PIERRE",4455.06342499
"97226","SAINTE-ANNE",4716.87770428
"97227","SAINTE-LUCE",9741.04891329
"97228","SAINTE-MARIE",19032.86711638
"97229","SCHOELCHER",38985.96182898
"97230","LA TRINITE",13923.00400061
"97231","LES TROIS-ILETS",7772.71847788
"97232","LE VAUCLIN",9088.99843908
"97233","LE MORNE-VERT",3157.63105326
"97234","BELLEFONTAINE",3240.6435649
