"ID","NAMES","P09_POP1529_AsTheCrowFlies_ACC_0.02"
"97201","L'AJOUPA-BOUILLON",4222.21210467567
"97202","LES ANSES-D'ARLET",4653.07109573111
"97203","BASSE-POINTE",5200.6962357456
"97204","LE CARBET",5250.45627882024
"97205","CASE-PILOTE",2189.50198457687
"97206","LE DIAMANT",3636.58371357635
"97207","DUCOS",0
"97208","FONDS-SAINT-DENIS",5071.38337652146
"97209","FORT-DE-FRANCE",0
"97210","LE FRANCOIS",0
"97211","GRAND'RIVIERE",7126.85973496883
"97212","GROS-MORNE",0
"97213","LE LAMENTIN",0
"97214","LE LORRAIN",2941.16750293489
"97215","MACOUBA",6467.97639466118
"97216","LE MARIGOT",2742.35237085607
"97217","LE MARIN",2634.81021787043
"97218","LE MORNE-ROUGE",4356.047059367
"97219","LE PRECHEUR",7375.08278359475
"97220","RIVIERE-PILOTE",0
"97221","RIVIERE-SALEE",0
"97222","LE ROBERT",0
"97223","SAINT-ESPRIT",0
"97224","SAINT-JOSEPH",0
"97225","SAINT-PIERRE",5225.09518316539
"97226","SAINTE-ANNE",5244.64390896854
"97227","SAINTE-LUCE",0
"97228","SAINTE-MARIE",0
"97229","SCHOELCHER",0
"97230","LA TRINITE",0
"97231","LES TROIS-ILETS",3131.35126169745
"97232","LE VAUCLIN",0
"97233","LE MORNE-VERT",4327.55604928825
"97234","BELLEFONTAINE",3775.69661664012
