"ID","NAMES","P09_POP75P_AsTheCrowFlies_ACC_0.1"
"97201","L'AJOUPA-BOUILLON",9007.53807187784
"97202","LES ANSES-D'ARLET",10844.8272675199
"97203","BASSE-POINTE",10632.3254827251
"97204","LE CARBET",8572.71144580444
"97205","CASE-PILOTE",4581.05678430115
"97206","LE DIAMANT",10098.1979881044
"97207","DUCOS",5723.6513294884
"97208","FONDS-SAINT-DENIS",7037.61473342281
"97209","FORT-DE-FRANCE",0
"97210","LE FRANCOIS",6516.52308027216
"97211","GRAND'RIVIERE",13665.9990673103
"97212","GROS-MORNE",5596.03679076365
"97213","LE LAMENTIN",5037.40736873835
"97214","LE LORRAIN",7668.67827547745
"97215","MACOUBA",12635.3628506388
"97216","LE MARIGOT",6568.52832790443
"97217","LE MARIN",8682.81755520557
"97218","LE MORNE-ROUGE",7992.6120245923
"97219","LE PRECHEUR",13549.948452846
"97220","RIVIERE-PILOTE",6357.76286702219
"97221","RIVIERE-SALEE",6834.90990700503
"97222","LE ROBERT",6421.58835833543
"97223","SAINT-ESPRIT",5710.22188064295
"97224","SAINT-JOSEPH",3579.77331788939
"97225","SAINT-PIERRE",10165.1249325686
"97226","SAINTE-ANNE",12287.7139934618
"97227","SAINTE-LUCE",7987.08769768245
"97228","SAINTE-MARIE",6430.08566503827
"97229","SCHOELCHER",2391.90582031414
"97230","LA TRINITE",7528.4532006495
"97231","LES TROIS-ILETS",8504.66187619926
"97232","LE VAUCLIN",7530.89642451074
"97233","LE MORNE-VERT",6903.04096653468
"97234","BELLEFONTAINE",6578.17346464003
