"ID","NAMES","P09_POP6074_AsTheCrowFlies_POT_5000"
"97201","L'AJOUPA-BOUILLON",1889.51365831
"97202","LES ANSES-D'ARLET",1267.03285447
"97203","BASSE-POINTE",1269.99705073
"97204","LE CARBET",1250.4292676
"97205","CASE-PILOTE",6378.38065081
"97206","LE DIAMANT",1564.24487335
"97207","DUCOS",4787.97747504
"97208","FONDS-SAINT-DENIS",1303.61905259
"97209","FORT-DE-FRANCE",15679.6478751
"97210","LE FRANCOIS",3375.62826631
"97211","GRAND'RIVIERE",658.57309302
"97212","GROS-MORNE",3723.19566793
"97213","LE LAMENTIN",6181.45127981
"97214","LE LORRAIN",2328.27073934
"97215","MACOUBA",928.74312898
"97216","LE MARIGOT",3510.67886687
"97217","LE MARIN",2598.97178157
"97218","LE MORNE-ROUGE",1729.50990899
"97219","LE PRECHEUR",538.28091095
"97220","RIVIERE-PILOTE",3626.72051975
"97221","RIVIERE-SALEE",3439.51944281
"97222","LE ROBERT",3397.99215444
"97223","SAINT-ESPRIT",4247.62445423
"97224","SAINT-JOSEPH",10313.56913906
"97225","SAINT-PIERRE",1105.93683275
"97226","SAINTE-ANNE",1248.93202835
"97227","SAINTE-LUCE",2572.39258488
"97228","SAINTE-MARIE",3649.87032339
"97229","SCHOELCHER",13424.04509109
"97230","LA TRINITE",2364.46699237
"97231","LES TROIS-ILETS",1670.4220477
"97232","LE VAUCLIN",2335.60704874
"97233","LE MORNE-VERT",1812.95731851
"97234","BELLEFONTAINE",2387.74480521
