ID,NAMES,POPTO2004,NBLOG2004,IMMIG9404,EMIG9404
TS2113,Sousse Sidi Abdelhamid ,46257,11508,6900,1697
TS2114,Hammam Sousse ,34685,12503,4229,2130
TS2115,Akouda ,25717,8439,2516,1113
TS2116,Kalaâ Kebira ,51196,10693,1153,1178
TS2117,Sidi Bou Ali ,17606,4435,667,610
TS2118,Hergla ,7913,2111,368,285
TS2119,Enfidha ,43426,9325,1179,1399
TS211A,Bouficha ,23581,5241,1079,748
TS211B,Kondar ,11636,2186,223,368
TS211C,Sidi El Héni ,11614,2727,308,436
TS211D,M saken ,85380,25073,4245,2076
TS211E,Kalaâ Seghira ,27726,7267,3524,717
TS2120,Monastir  ,81294,27047,12093,5605
TS2121,Ouerdanine ,18852,4486,1216,674
TS2122,Sahline ,21799,5791,1899,754
TS2123,Zermadine ,25947,5914,649,717
TS2124,Beni Hassen ,12650,3489,542,329
TS2125,Jammel ,55272,13239,3435,1780
TS2126,Bembla ,27382,5907,2757,528
TS2127,Moknine ,75885,16561,2198,2081
TS2128,Bekalta ,13695,3847,539,525
TS2129,Teboulba ,31154,7498,1643,941
TS212A,Ksar Helal ,39991,10453,3379,1717
TS212B,Ksibet El Mediouni ,28722,6889,1801,641
TS212C,Sayada-Lamta Bou-Hjar ,22947,6273,1827,732
TS2130,Mahdia  ,71719,20666,5649,4616
TS2131,Bou Merdès ,29559,6291,802,651
TS2132,Ouled Chamekh ,22732,5152,403,902
TS2133,Chorbane ,28577,6033,430,1553
TS2134,Hebira ,11057,2703,345,536
TS2135,Essouassi ,46276,9263,564,1952
TS2136,El Djem ,41064,9330,913,1347
TS2137,Chebba ,23334,8513,1191,1000
TS2138,Melloulech ,19464,4425,364,508
TS2139,Sidi Alouane ,35272,8325,807,883
TS213A,Ksour Essef ,48799,15569,1194,1166
TS2140,Sfax Ville  ,105958,34872,13415,26561
TS2141,Sfax Ouest ,104998,30495,17961,6515
TS2142,Sakiet Ezzit ,72481,20266,8514,4330
TS2143,Sakiet Eddaïer ,98988,27219,12881,3571
TS2144,Sfax Sud ,101904,27426,8331,7176
TS2145,Tina ,45647,11627,7410,1442
TS2146,Agareb ,35841,8625,1256,1442
TS2147,Djebeniana ,44029,10751,898,2000
TS2148,El Amra ,28723,7116,973,604
TS2149,El Hencha ,43170,9826,836,1718
TS214A,Menzel Chaker ,34119,8261,762,2334
TS214B,Ghraiba ,14647,3236,319,715
TS214C,Bir ali Ben Kelifa ,50059,11368,1024,3605
TS214D,Skhira ,29616,5459,739,1470
TS214E,Mahres ,30676,9014,1290,1649
TS214F,Kerkenah ,14400,7497,1311,1396
TS2210,Kairouan Nord  ,83794,21092,4467,15689
TS2211,Kairouan Sud ,80444,18651,6288,3380
TS2212,Echebika ,33889,6901,321,1340
TS2213,Sbikha ,67315,12868,769,2272
TS2214,EL Ouslatia ,36195,8375,510,2938
TS2215,Haffouz ,43792,8157,693,2394
TS2216,El Alâa ,31773,6775,457,1943
TS2217,Hajeb el Ayoun ,35403,7128,567,1570
TS2218,Nasrallah ,37112,8178,345,2099
TS2219,Echrarda ,25903,6130,284,1372
TS221A,Bouhajla ,70589,14582,518,3206
TS2220,Kasserine Nord  ,58343,13467,3578,10393
TS2221,Kasserine Sud ,21139,4823,581,1746
TS2222,Ezzouhour ,20277,4402,1052,667
TS2223,Hassi Ferid ,16890,3681,239,1305
TS2224,Sbeitla ,69539,15083,1223,3373
TS2225,Sbiba ,42091,7640,823,1919
TS2226,Djedeliane ,13205,2579,376,656
TS2227,El Ayoun ,18634,3601,305,563
TS2228,Thala ,34508,8298,714,3047
TS2229,Hidra ,8716,2685,519,597
TS222A,Foussana ,41240,9259,679,1762
TS222B,Feriana ,45787,9637,1150,1769
TS222C,Majel Bel Abbès ,21909,4582,364,729
TS2230,Sidi Bouzid Ouest  ,65761,14955,3486,8788
TS2231,Sidi Bouzid Est ,48371,10361,1079,2189
TS2232,Jilma ,36861,6665,680,1574
TS2233,Cebalet Ouled Asker ,18618,4424,318,557
TS2234,Bir El Hafey ,33979,8208,781,1144
TS2235,Sidi Ali Ben Aoûn ,24896,5628,372,812
TS2236,Menzel Bouzaïenne ,23668,6120,289,1100
TS2237,Meknassy ,22617,5578,765,1600
TS2238,Souk Jedid ,19210,4034,213,780
TS2239,Mezzouna ,22839,4425,444,994
TS223A,Regueb ,58776,13042,1296,2730
TS223B,Ouled Haffouz ,19910,5864,504,2017
TS3110,Gabes Medina  ,47057,12096,4586,11031
TS3111,Gabes Ouest ,28389,6720,10096,1369
TS3112,Gabes Sud ,61699,15309,2296,2401
TS3113,Ghanouch ,22681,3700,546,509
TS3114,El Metouia ,25862,6228,1138,1111
TS3115,Menzel El Habib ,11477,2666,385,1275
TS3116,El Hamma ,62390,13111,1715,2949
TS3117,Matmata ,5766,2083,298,2440
TS3118,Nouvelle Matmata ,15969,5070,1085,825
TS3119,Mareth ,61340,15042,1880,2482
TS3120,Medenine Nord  ,48102,12298,4691,5580
TS3121,Medenine Sud ,48087,11376,2193,2610
TS3122,Beni Khedech ,28586,8836,836,2581
TS3123,Ben Guerdane ,70907,16008,2988,3027
TS3124,Zarzis ,73549,21992,3736,2826
TS3125,Djerba Houmet Souk ,64919,19642,5407,4003
TS3126,Djerba Midoun ,50459,16046,5700,1831
TS3127,Djerba Ajim ,24166,7015,862,875
TS3128,Sidi Makhloulf ,23728,6795,599,983
TS3130,Tataouine Nord  ,54362,11859,3444,4944
TS3131,Tataouine Sud ,33783,7797,1861,1953
TS3132,Smâr ,13826,2948,546,613
TS3133,Bir Lahmar ,9270,2687,814,513
TS3134,Ghomrassen ,18335,6027,917,1569
