"ID","NAMES","total_AsTheCowRolls_POT_0"
"77192","Fontenay-Tresigny",2625
"77193","Forfry",148
"77194","Forges",220
"77195","Fouju",303
"77196","Fresnes-sur-Marne",384
"77197","Fretoy",72
"77198","Fromont",96
"77199","Fublaines",622
"77200","Garentreville",63
"77201","Gastins",431
"77202","La Genevraye",328
"77203","Germigny-l'Eveque",652
"77204","Germigny-sous-Coulombs",98
"77205","Gesvres-le-Chapitre",83
"77206","Giremoutiers",56
"77207","Gironville",63
"77208","Gouaix",673
"77209","Gouvernes",562
"77210","La Grande-Paroisse",1247
"77211","Grandpuits-Bailly-Carrois",524
"77212","Gravon",62
"77214","Gressy",455
"77215","Gretz-Armainvilliers",3987
"77216","Grez-sur-Loing",680
"77217","Grisy-Suisnes",1290
"77218","Grisy-sur-Seine",42
"77219","Guerard",1165
"77220","Guercheville",164
"77221","Guermantes",707
"77222","Guignes",1759
"77223","Gurcy-le-Chatel",236
"77224","Hautefeuille",168
"77225","La Haute-Maison",206
"77226","Hericy",1191
"77227","Herme",284
"77228","Hondevilliers",128
"77229","La Houssaye-en-Brie",872
"77230","Ichy",98
"77231","Isles-les-Meldeuses",397
"77232","Isles-les-Villenoy",480
"77233","Iverny",328
"77234","Jablines",355
"77235","Jaignes",155
"77236","Jaulnes",177
"77237","Jossigny",352
"77238","Jouarre",1954
"77239","Jouy-le-Chatel",769
"77240","Jouy-sur-Morin",1022
"77241","Juilly",1040
"77242","Jutigny",255
"77243","Lagny-sur-Marne",10575
"77244","Larchant",368
"77245","Laval-en-Brie",208
"77246","Lechelle",258
"77247","Lescherolles",240
"77248","Lesches",347
"77249","Lesigny",3595
"77250","Leudon-en-Brie",76
"77251","Lieusaint",5767
"77252","Limoges-Fourches",256
"77253","Lissy",112
"77254","Liverdy-en-Brie",660
"77255","Livry-sur-Seine",832
"77256","Lizines",86
"77257","Lizy-sur-Ourcq",1676
"77258","Lognes",8185
"77259","Longperrier",1406
"77260","Longueville",742
"77261","Lorrez-le-Bocage-Preaux",542
"77262","Louan-Villegruis-Fontaine",231
"77263","Luisetaines",107
"77264","Lumigny-Nesles-Ormeaux",808
"77265","Luzancy",556
"77266","Machault",442
"77267","La Madeleine-sur-Loing",148
"77268","Magny-le-Hongre",3888
"77269","Maincy",839
"77270","Maisoncelles-en-Brie",378
"77271","Maisoncelles-en-Gatinais",59
"77272","Maison-Rouge",461
"77273","Marchemoret",296
"77274","Marcilly",218
"77275","Les Marets",48
"77276","Mareuil-les-Meaux",1120
"77277","Marles-en-Brie",708
"77278","Marolles-en-Brie",206
"77279","Marolles-sur-Seine",733
"77280","Mary-sur-Marne",581
"77281","Mauperthuis",304
"77282","Mauregard",199
"77283","May-en-Multien",460
"77284","Meaux",25106
"77285","Le Mee-sur-Seine",9836
"77286","Meigneux",120
"77287","Meilleray",224
"77288","Melun",20117
"77289","Melz-sur-Seine",193
"77290","Mery-sur-Marne",346
"77291","Le Mesnil-Amelot",444
"77292","Messy",579
"77293","Misy-sur-Yonne",400
"77294","Mitry-Mory",9402
"77295","Moisenay",612
"77296","Moissy-Cramayel",9026
"77297","Mondreville",248
"77298","Mons-en-Montois",220
"77299","Montarlot",112
"77300","Montceaux-les-Meaux",300
"77301","Montceaux-les-Provins",167
"77302","Montcourt-Fromonville",995
"77303","Montdauphin",101
"77304","Montenils",18
"77305","Montereau-Fault-Yonne",6601
"77306","Montereau-sur-le-Jard",319
"77307","Montevrain",5535
"77308","Montge-en-Goele",346
"77309","Monthyon",888
"77310","Montigny-le-Guesdier",155
"77311","Montigny-Lencoup",548
"77312","Montigny-sur-Loing",1375
"77313","Montmachoux",120
"77314","Montolivet",140
"77315","Montry",1649
"77316","Moret-sur-Loing",1983
"77317","Mormant",2167
"77318","Mortcerf",746
"77319","Mortery",77
"77320","Mouroux",2397
"77321","Mousseaux-les-Bray",321
"77322","Moussy-le-Neuf",1593
"77323","Moussy-le-Vieux",576
"77325","Mouy-sur-Seine",163
"77326","Nandy",3064
"77327","Nangis",3702
"77328","Nanteau-sur-Essonne",204
"77329","Nanteau-sur-Lunain",238
"77330","Nanteuil-les-Meaux",2808
"77331","Nanteuil-sur-Marne",222
"77332","Nantouillet",144
"77333","Nemours",5521
"77335","Chauconin-Neufmontiers",999
"77336","Neufmoutiers-en-Brie",588
"77337","Noisiel",7686
"77338","Noisy-Rudignon",295
"77339","Noisy-sur-Ecole",946
"77340","Nonville",343
"77341","Noyen-sur-Seine",200
"77342","Obsonville",70
"77343","Ocquerre",205
"77344","Oissery",1177
"77345","Orly-sur-Morin",324
"77347","Les Ormes-sur-Voulzie",370
"77348","Ormesson",124
"77349","Othis",3308
"77350","Ozoir-la-Ferriere",10148
"77352","Ozouer-le-Voulgis",984
"77353","Paley",204
"77354","Pamfou",477
"77355","Paroy",96
"77356","Passy-sur-Seine",33
"77357","Pecy",396
"77358","Penchard",513
"77359","Perthes",1020
"77360","Pezarches",207
"77361","Pierre-Levee",277
"77363","Le Pin",660
"77364","Le Plessis-aux-Bois",139
"77365","Le Plessis-Feu-Aussoux",312
"77366","Le Plessis-l'Eveque",140
"77367","Le Plessis-Placy",149
"77368","Poigny",255
"77369","Poincy",360
"77370","Poligny",399
"77371","Pommeuse",1480
"77372","Pomponne",1774
"77373","Pontault-Combault",18915
"77374","Pontcarre",1058
"77376","Precy-sur-Marne",476
"77377","Presles-en-Brie",1243
"77378","Pringy",1248
"77379","Provins",5332
"77380","Puisieux",168
"77381","Quiers",395
"77382","Quincy-Voisins",2718
"77383","Rampillon",432
"77384","Reau",535
"77385","Rebais",924
"77386","Recloses",348
"77387","Remauville",210
"77388","Reuil-en-Brie",445
"77389","La Rochette",1496
"77390","Roissy-en-Brie",11368
"77391","Rouilly",216
"77392","Rouvres",320
"77393","Rozay-en-Brie",1309
"77394","Rubelles",788
"77395","Rumont",80
"77396","Rupereux",44
"77397","Saacy-sur-Marne",801
"77398","Sablonnieres",354
"77399","Saint-Ange-le-Viel",112
"77400","Saint-Augustin",812
"77401","Sainte-Aulde",344
"77402","Saint-Barthelemy",213
"77403","Saint-Brice",288
"77404","Sainte-Colombe",851
"77405","Saint-Cyr-sur-Morin",954
"77406","Saint-Denis-les-Rebais",494
"77407","Saint-Fargeau-Ponthierry",6404
"77408","Saint-Fiacre",195
"77409","Saint-Germain-Laval",1288
"77410","Saint-Germain-Laxis",278
"77411","Saint-Germain-sous-Doue",236
"77412","Saint-Germain-sur-Ecole",211
"77413","Saint-Germain-sur-Morin",1822
"77414","Saint-Hilliers",241
"77415","Saint-Jean-les-Deux-Jumeaux",583
"77416","Saint-Just-en-Brie",128
"77417","Saint-Leger",97
"77418","Saint-Loup-de-Naud",396
"77419","Saint-Mammes",1515
"77420","Saint-Mard",1994
"77421","Saint-Mars-Vieux-Maisons",116
"77423","Saint-Martin-des-Champs",388
"77424","Saint-Martin-du-Boschet",123
"77425","Saint-Martin-en-Biere",373
"77426","Saint-Mery",163
"77427","Saint-Mesmes",314
"77428","Saint-Ouen-en-Brie",452
"77429","Saint-Ouen-sur-Morin",260
"77430","Saint-Pathus",3168
"77431","Saint-Pierre-les-Nemours",2440
"77432","Saint-Remy-la-Vanne",462
"77433","Saints",662
"77434","Saint-Sauveur-les-Bray",145
"77435","Saint-Sauveur-sur-Ecole",527
"77436","Saint-Simeon",443
"77437","Saint-Soupplets",1739
"77438","Saint-Thibault-des-Vignes",3296
"77439","Salins",472
"77440","Sammeron",512
"77441","Samois-sur-Seine",881
"77442","Samoreau",1080
"77443","Sancy",224
"77444","Sancy-les-Provins",168
"77445","Savigny-le-Temple",14738
"77446","Savins",276
"77447","Seine-Port",954
"77448","Sept-Sorts",236
"77449","Serris",4755
"77450","Servon",1537
"77451","Signy-Signets",267
"77452","Sigy",44
"77453","Sivry-Courtry",535
"77454","Sognolles-en-Montois",199
"77455","Soignolles-en-Brie",1146
"77456","Soisy-Bouy",415
"77457","Solers",763
"77458","Souppes-sur-Loing",2372
"77459","Sourdun",681
"77460","Tancrou",211
"77461","Thenisy",152
"77462","Thieux",415
"77463","Thomery",1577
"77464","Thorigny-sur-Marne",4716
"77465","Thoury-Ferottes",337
"77466","Tigeaux",195
"77467","La Tombe",82
"77468","Torcy",12146
"77469","Touquin",576
"77470","Tournan-en-Brie",3998
"77471","Tousson",217
"77472","La Tretoire",244
"77473","Treuzy-Levelay",277
"77474","Trilbardou",396
"77475","Trilport",2520
"77476","Trocy-en-Multien",154
"77477","Ury",382
"77478","Ussy-sur-Marne",432
"77479","Vaires-sur-Marne",6050
"77480","Valence-en-Brie",403
"77481","Vanville",112
"77482","Varennes-sur-Seine",1425
"77483","Varreddes",896
"77484","Vaucourtois",101
"77485","Le Vaudoue",369
"77486","Vaudoy-en-Brie",424
"77487","Vaux-le-Penil",5543
"77489","Vaux-sur-Lunain",60
"77490","Vendrest",360
"77491","Veneux-les-Sablons",2205
"77492","Verdelot",339
"77493","Verneuil-l'Etang",1687
"77494","Vernou-la-Celle-sur-Seine",1386
"77495","Vert-Saint-Denis",3343
"77496","Vieux-Champagne",96
"77498","Vignely",152
"77500","Villebeon",204
"77501","Villecerf",344
"77504","Villemarechal",468
"77505","Villemareuil",216
"77506","Villemer",360
"77507","Villenauxe-la-Petite",220
"77508","Villeneuve-le-Comte",950
"77509","Villeneuve-les-Bordes",296
"77510","Villeneuve-Saint-Denis",329
"77511","Villeneuve-sous-Dammartin",358
"77512","Villeneuve-sur-Bellot",516
"77513","Villenoy",2368
"77514","Villeparisis",12858
"77515","Villeroy",359
"77516","Ville-Saint-Jacques",368
"77517","Villevaude",924
"77518","Villiers-en-Biere",124
"77519","Villiers-Saint-Georges",509
"77520","Villiers-sous-Grez",340
"77521","Villiers-sur-Morin",944
"77522","Villiers-sur-Seine",148
"77523","Villuis",78
"77524","Vimpelles",276
"77525","Vinantes",192
"77526","Vincy-Manoeuvre",137
"77527","Voinsles",307
"77528","Voisenon",522
"77529","Voulangis",781
"77530","Voulton",132
"77531","Voulx",738
"77532","Vulaines-les-Provins",43
"77533","Vulaines-sur-Seine",1160
"77534","Yebles",323
"78003","Ablis",1682
"78005","Acheres",10437
"78006","Adainville",368
"78007","Aigremont",452
"78009","Allainville",158
"78010","Les Alluets-le-Roi",581
"78013","Andelu",251
"78015","Andresy",5899
"78020","Arnouville-les-Mantes",448
"78029","Aubergenville",6137
"78030","Auffargis",938
"78031","Auffreville-Brasseuil",281
"78033","Aulnay-sur-Mauldre",660
"78034","Auteuil",424
"78036","Autouillet",233
"78043","Bailly",1645
"78048","Bazainville",773
"78049","Bazemont",642
"78050","Bazoches-sur-Guyonne",295
"78053","Behoust",206
"78057","Bennecourt",888
"78062","Beynes",4084
"78068","Blaru",436
"78070","Boinville-en-Mantois",160
"78071","Boinville-le-Gaillard",321
"78072","Boinvilliers",126
"78073","Bois-d'Arcy",7006
"78076","Boissets",134
"78077","La Boissiere-Ecole",372
"78082","Boissy-Mauvoisin",321
"78084","Boissy-sans-Avoir",308
"78087","Bonnelles",1078
"78089","Bonnieres-sur-Seine",2077
"78090","Bouafle",1060
"78092","Bougival",4194
"78096","Bourdonne",256
"78104","Breuil-Bois-Robert",359
"78107","Breval",1017
"78108","Les Breviaires",659
"78113","Brueil-en-Vexin",358
"78117","Buc",2488
"78118","Buchelay",1148
"78120","Bullion",928
"78123","Carrieres-sous-Poissy",8397
"78124","Carrieres-sur-Seine",8339
"78125","La Celle-les-Bordes",439
"78126","La Celle-Saint-Cloud",9812
"78128","Cernay-la-Ville",796
"78133","Chambourcy",2752
"78138","Chanteloup-les-Vignes",4406
"78140","Chapet",569
"78143","Chateaufort",831
"78146","Chatou",15037
"78147","Chaufour-les-Bonnieres",215
"78152","Chavenay",788
"78158","Le Chesnay",14025
"78160","Chevreuse",2818
"78162","Choisel",249
"78163","Civry-la-Foret",172
"78164","Clairefontaine-en-Yvelines",412
"78165","Les Clayes-sous-Bois",8840
"78168","Coignieres",2327
"78171","Conde-sur-Vesgre",563
"78172","Conflans-Sainte-Honorine",17535
"78185","Courgent",196
"78188","Cravent",211
"78189","Crespieres",734
"78190","Croissy-sur-Seine",4555
"78192","Dammartin-en-Serve",544
"78193","Dampierre-en-Yvelines",539
"78194","Dannemarie",128
"78196","Davron",154
"78202","Drocourt",310
"78206","Ecquevilly",1875
"78208","Elancourt",13885
"78209","Emance",422
"78217","Epone",3056
"78220","Les Essarts-le-Roi",3102
"78224","L'Etang-la-Ville",2083
"78227","Evecquemont",404
"78230","La Falaise",341
"78231","Favrieux",69
"78233","Feucherolles",1208
"78234","Flacourt",72
"78236","Flexanville",284
"78237","Flins-Neuve-Eglise",84
