"ID","NAMES","ouvrier_AsTheCowRolls_POT_5"
"75101","Paris 1er Arrondissement",27911.50548481
"75102","Paris 2e  Arrondissement",31999.37180835
"75103","Paris 3e  Arrondissement",43752.89304912
"75104","Paris 4e  Arrondissement",35890.11092055
"75105","Paris 5e  Arrondissement",29733.67875456
"75106","Paris 6e  Arrondissement",24980.2292502
"75107","Paris 7e  Arrondissement",19435.3899621
"75108","Paris 8e  Arrondissement",34863.72763915
"75109","Paris 9e  Arrondissement",45357.00371267
"75110","Paris 10e  Arrondissement",60627.88821075
"75111","Paris 11e  Arrondissement",44552.84443561
"75112","Paris 12e  Arrondissement",32494.70230346
"75113","Paris 13e  Arrondissement",34956.56197986
"75114","Paris 14e  Arrondissement",27989.67434899
"75115","Paris 15e  Arrondissement",19464.07082539
"75116","Paris 16e  Arrondissement",11329.22726481
"75117","Paris 17e  Arrondissement",39930.16933138
"75118","Paris 18e  Arrondissement",45563.30242635
"75119","Paris 19e  Arrondissement",48221.9424361
"75120","Paris 20e  Arrondissement",47530.21390511
"77001","Acheres-la-Foret",160.64795938
"77002","Amillis",149.91905613
"77003","Amponville",140.06450865
"77004","Andrezel",318.40518658
"77005","Annet-sur-Marne",779.90742633
"77006","Arbonne-la-Foret",95.3124039
"77007","Argentieres",624.49346743
"77008","Armentieres-en-Brie",231.11943533
"77009","Arville",52.77417848
"77010","Aubepierre-Ozouer-le-Repos",747.52780457
"77011","Aufferville",149.1329659
"77012","Augers-en-Brie",143.8649037
"77013","Aulnoy",733.54410581
"77014","Avon",1856.46548969
"77015","Baby",95.67620277
"77016","Bagneaux-sur-Loing",1412.85275523
"77018","Bailly-Romainvilliers",1207.01968244
"77019","Balloy",175.58413405
"77020","Bannost-Villegagnon",142.26984203
"77021","Barbey",223.48428431
"77022","Barbizon",314.92950526
"77023","Barcy",806.6807288
"77024","Bassevelle",84.69799535
"77025","Bazoches-les-Bray",325.04492864
"77026","Beauchery-Saint-Martin",89.06433799
"77027","Beaumont-du-Gatinais",117.23406148
"77028","Beautheil",200.69447479
"77029","Beauvoir",819.85118836
"77030","Bellot",295.53142479
"77031","Bernay-Vilbert",357.13860819
"77032","Beton-Bazoches",227.00046958
"77033","Bezalles",150.15897595
"77034","Blandy",225.29117329
"77035","Blennes",66.93434208
"77036","Boisdon",213.50562504
"77037","Bois-le-Roi",404.58402086
"77038","Boissettes",1728.84040356
"77039","Boissise-la-Bertrand",1704.55082817
"77040","Boissise-le-Roi",942.77345309
"77041","Boissy-aux-Cailles",30.16824149
"77042","Boissy-le-Chatel",958.19270071
"77043","Boitron",121.12673212
"77044","Bombon",190.25350731
"77045","Bougligny",191.82656758
"77046","Boulancourt",122.45311129
"77047","Bouleurs",480.5088735
"77048","Bourron-Marlotte",370.69880514
"77049","Boutigny",465.58895819
"77050","Bransles",255.08359196
"77051","Bray-sur-Seine",611.20965484
"77052","Breau",424.44593021
"77053","Brie-Comte-Robert",1848.08174143
"77054","La Brosse-Montceaux",364.02949625
"77055","Brou-sur-Chantereine",4569.89476252
"77056","Burcy",47.01597661
"77057","Bussieres",152.40134523
"77058","Bussy-Saint-Georges",3962.358761
"77059","Bussy-Saint-Martin",4975.67705793
"77060","Buthiers",179.38015592
"77061","Cannes-Ecluse",1137.28989165
"77062","Carnetin",1750.29844129
"77063","La Celle-sur-Morin",717.6182828
"77065","Cely",333.34548135
"77066","Cerneux",168.32509076
"77067","Cesson",3765.7538971
"77068","Cessoy-en-Montois",220.10410081
"77069","Chailly-en-Biere",578.0809393
"77070","Chailly-en-Brie",1630.30033016
"77071","Chaintreaux",414.81896711
"77072","Chalautre-la-Grande",78.00099735
"77073","Chalautre-la-Petite",357.28814649
"77075","Chalifert",1550.58607035
"77076","Chalmaison",328.24028121
"77077","Chambry",1599.79528344
"77078","Chamigny",762.22489419
"77079","Champagne-sur-Seine",1461.07037265
"77080","Champcenest",61.21533125
"77081","Champdeuil",205.11828238
"77082","Champeaux",217.42716025
"77083","Champs-sur-Marne",10833.25899368
"77084","Changis-sur-Marne",309.19920851
"77085","Chanteloup-en-Brie",2636.37400517
"77086","La Chapelle-Gauthier",419.69926842
"77087","La Chapelle-Iger",213.02637849
"77088","La Chapelle-la-Reine",372.39491138
"77089","La Chapelle-Rablais",237.40098924
"77090","La Chapelle-Saint-Sulpice",208.91940791
"77091","Les Chapelles-Bourbon",285.3240947
"77093","La Chapelle-Moutils",126.21368487
"77094","Charmentray",306.01770836
"77095","Charny",297.53421711
"77096","Chartrettes",365.79530771
"77097","Chartronges",96.17364772
"77098","Chateaubleau",157.18025663
"77099","Chateau-Landon",436.90787622
"77100","Le Chatelet-en-Brie",587.01196632
"77101","Chatenay-sur-Seine",198.452274
"77102","Chatenoy",282.05581299
"77103","Chatillon-la-Borde",248.29654276
"77104","Chatres",258.38554309
"77106","Chauffry",235.12162988
"77107","Chaumes-en-Brie",891.85442847
"77108","Chelles",8479.87017295
"77109","Chenoise",214.14203658
"77110","Chenou",305.32505514
"77111","Chessy",2214.36388087
"77112","Chevrainvilliers",235.89218327
"77113","Chevru",268.60639397
"77114","Chevry-Cossigny",1021.33010228
"77115","Chevry-en-Sereine",191.57216882
"77116","Choisy-en-Brie",281.91188461
"77117","Citry",394.18023269
"77118","Claye-Souilly",1611.69620397
"77119","Clos-Fontaine",294.0154295
"77120","Cocherel",167.13784553
"77121","Collegien",5656.72234231
"77122","Combs-la-Ville",3641.17037518
"77123","Compans",1486.57212124
"77124","Conches-sur-Gondoire",3453.18551269
"77125","Conde-Sainte-Libiaire",1076.37892499
"77126","Congis-sur-Therouanne",434.20632566
"77127","Coubert",808.08300535
"77128","Couilly-Pont-aux-Dames",1570.09252268
"77129","Coulombs-en-Valois",158.43652565
"77130","Coulommes",327.53283183
"77131","Coulommiers",2531.43662769
