"ID","NAMES","intermediaires_AsTheCowRolls_ACC_0.005"
"77117","Citry",21.530368027784
"77118","Claye-Souilly",5.99018687350483
"77119","Clos-Fontaine",19.3653999967494
"77120","Cocherel",16.9841814784044
"77121","Collegien",3.78325130130704
"77122","Combs-la-Ville",5.44572467356527
"77123","Compans",7.74019129437477
"77124","Conches-sur-Gondoire",5.0808906990929
"77125","Conde-Sainte-Libiaire",7.74616453943391
"77126","Congis-sur-Therouanne",14.1654442235437
"77127","Coubert",9.24151946845636
"77128","Couilly-Pont-aux-Dames",6.59360834162326
"77129","Coulombs-en-Valois",21.203612400345
"77130","Coulommes",10.4006401983539
"77131","Coulommiers",13.3870961331829
"77132","Coupvray",6.50937675166511
"77133","Courcelles-en-Bassee",20.1843940156497
"77134","Courchamp",25.4391398357751
"77135","Courpalay",15.8550690254031
"77136","Courquetaine",11.5845597463809
"77137","Courtacon",21.465949023526
"77138","Courtomer",16.1722508089481
"77139","Courtry",5.35144439834945
"77140","Coutencon",19.4304932687854
"77141","Coutevroult",7.27184987814987
"77142","Crecy-la-Chapelle",10.3289392793542
"77143","Cregy-les-Meaux",7.1707067764424
"77144","Crevecoeur-en-Brie",12.7814477154964
"77145","Crisenoy",10.1728595165322
"77146","Croissy-Beaubourg",5.21455108962241
"77147","La Croix-en-Brie",20.8512445507387
"77148","Crouy-sur-Ourcq",21.420177555125
"77149","Cucharmoy",22.7304576541426
"77150","Cuisy",11.8922305986871
"77151","Dagny",18.6226083642239
"77152","Dammarie-les-Lys",5.99821771138434
"77153","Dammartin-en-Goele",10.459674327523
"77154","Dammartin-sur-Tigeaux",12.086728492211
"77155","Dampmart",6.47875279621332
"77156","Darvault",15.0021752476754
"77157","Dhuisy",17.4699766221587
"77158","Diant",22.0338708312064
"77159","Donnemarie-Dontilly",21.0291329145129
"77161","Dormelles",17.2379858227655
"77162","Doue",18.2820571361128
"77163","Douy-la-Ramee",15.8521316573686
"77164","Echouboulains",17.2788549885832
"77165","Les Ecrennes",13.4860040621476
"77166","Ecuelles",12.1140260313151
"77167","Egligny",22.5739407943758
"77168","Egreville",20.689233044851
"77169","Emerainville",4.94549846926596
"77170","Episy",12.0347832026847
"77171","Esbly",6.75931107278593
"77172","Esmans",15.8161114056543
"77173","Etrepilly",12.3467040966187
"77174","Everly",25.8455109148301
"77175","Evry-Gregy-sur-Yerre",8.01812885030011
"77176","Faremoutiers",13.0059633644853
"77177","Favieres",10.2069065831716
"77178","Fay-les-Nemours",18.7457946852345
"77179","Fericy",12.5654561267743
"77180","Ferolles-Attilly",6.64682331299693
