"ID","NAMES","agriculteurs_AsTheCrowFlies_ACC_0.01"
"75101","Paris 1er Arrondissement",504.846694389734
"75102","Paris 2e  Arrondissement",592.093705764548
"75103","Paris 3e  Arrondissement",554.277746002501
"75104","Paris 4e  Arrondissement",607.031294968612
"75105","Paris 5e  Arrondissement",606.287900904902
"75106","Paris 6e  Arrondissement",195.655829166863
"75107","Paris 7e  Arrondissement",380.800947509742
"75108","Paris 8e  Arrondissement",264.8746355064
"75109","Paris 9e  Arrondissement",185.385288117332
"75110","Paris 10e  Arrondissement",612.954679922974
"75111","Paris 11e  Arrondissement",265.214381314026
"75112","Paris 12e  Arrondissement",2615.71655947218
"75113","Paris 13e  Arrondissement",1347.73675576983
"75114","Paris 14e  Arrondissement",588.479470488322
"75115","Paris 15e  Arrondissement",0
"75116","Paris 16e  Arrondissement",0
"75117","Paris 17e  Arrondissement",0
"75118","Paris 18e  Arrondissement",343.19204487344
"75119","Paris 19e  Arrondissement",1146.9200196654
"75120","Paris 20e  Arrondissement",1441.35952463446
"77001","Acheres-la-Foret",7244.21854082166
"77002","Amillis",6519.01281859923
"77003","Amponville",6047.03046418473
"77004","Andrezel",7879.59670879627
"77005","Annet-sur-Marne",7643.62745517253
"77006","Arbonne-la-Foret",7539.09426811962
"77007","Argentieres",6654.93459856375
"77008","Armentieres-en-Brie",6771.37940121401
"77009","Arville",5902.4301217625
"77010","Aubepierre-Ozouer-le-Repos",7517.43138931435
"77011","Aufferville",5146.35413769384
"77012","Augers-en-Brie",6497.82070344398
"77013","Aulnoy",6138.41894750882
"77014","Avon",9531.3676649869
"77015","Baby",10992.3319227612
"77016","Bagneaux-sur-Loing",6800.97130230608
"77018","Bailly-Romainvilliers",7307.03709674151
"77019","Balloy",7997.05436248602
"77020","Bannost-Villegagnon",5498.87746952816
"77021","Barbey",8466.61426696055
"77022","Barbizon",7106.14423673226
"77023","Barcy",7947.22526036454
"77024","Bassevelle",7664.47990479372
"77025","Bazoches-les-Bray",8132.03774705632
"77026","Beauchery-Saint-Martin",7726.60148139358
"77027","Beaumont-du-Gatinais",10068.4922489766
"77028","Beautheil",6366.59576080423
"77029","Beauvoir",6994.6897678069
"77030","Bellot",6038.94748621155
"77031","Bernay-Vilbert",5531.6047781192
"77032","Beton-Bazoches",4916.42217196647
"77033","Bezalles",4941.77957407367
"77034","Blandy",8785.57748330498
"77035","Blennes",9427.3443502123
"77036","Boisdon",4920.64450547097
"77037","Bois-le-Roi",8075.07442961671
"77038","Boissettes",6994.71681386179
"77039","Boissise-la-Bertrand",7141.47446038046
"77040","Boissise-le-Roi",6909.07820005891
"77041","Boissy-aux-Cailles",6252.22850506517
"77042","Boissy-le-Chatel",6712.5548138776
"77043","Boitron",6790.86870871967
"77044","Bombon",9004.17628500866
"77045","Bougligny",6118.11803450225
"77046","Boulancourt",8210.04234904348
"77047","Bouleurs",5867.71557286103
"77048","Bourron-Marlotte",8663.82664571389
"77049","Boutigny",6164.71344024101
"77050","Bransles",9713.68623774022
"77051","Bray-sur-Seine",7885.90981043439
"77052","Breau",9115.81953683226
"77053","Brie-Comte-Robert",5736.400094349
"77054","La Brosse-Montceaux",8265.41019925252
"77055","Brou-sur-Chantereine",7276.97364177048
"77056","Burcy",6321.54059898073
"77057","Bussieres",6968.92873529623
"77058","Bussy-Saint-Georges",7878.6864470463
"77059","Bussy-Saint-Martin",7566.93806318067
"77060","Buthiers",7526.62027838563
"77061","Cannes-Ecluse",7456.04261589226
"77062","Carnetin",7697.11060992434
"77063","La Celle-sur-Morin",6151.39010822368
"77065","Cely",6784.46411503027
"77066","Cerneux",6224.67839886366
