"ID","NAMES","ouvrier_AsTheCrowFlies_ACC_0.01"
"77135","Courpalay",14456.4061286475
"77136","Courquetaine",9567.98546198608
"77137","Courtacon",18811.4020137871
"77138","Courtomer",13179.4329694627
"77139","Courtry",3238.4495498366
"77140","Coutencon",14045.2708904265
"77141","Coutevroult",8426.75383030516
"77142","Crecy-la-Chapelle",9746.96792987152
"77143","Cregy-les-Meaux",6326.4162985636
"77144","Crevecoeur-en-Brie",11848.1007764809
"77145","Crisenoy",9018.0340954955
"77146","Croissy-Beaubourg",3880.928627666
"77147","La Croix-en-Brie",16051.8774282995
"77148","Crouy-sur-Ourcq",17620.8555145817
"77149","Cucharmoy",17227.9972507404
"77150","Cuisy",9569.13365438135
"77151","Dagny",16052.3669548946
"77152","Dammarie-les-Lys",4544.32286515093
"77153","Dammartin-en-Goele",9423.67628684115
"77154","Dammartin-sur-Tigeaux",10669.7278041107
"77155","Dampmart",6094.57100304468
"77156","Darvault",14502.3574949019
"77157","Dhuisy",17573.4100520981
"77158","Diant",18153.1451635874
"77159","Donnemarie-Dontilly",15923.5971967051
"77161","Dormelles",13798.0812284289
"77162","Doue",13478.1750126431
"77163","Douy-la-Ramee",11901.1391333941
"77164","Echouboulains",12792.687427554
"77165","Les Ecrennes",12211.3277478241
"77166","Ecuelles",11949.1731105204
"77167","Egligny",16448.0301824593
"77168","Egreville",21522.4670392987
"77169","Emerainville",3154.62986424058
"77170","Episy",12360.4517091035
"77171","Esbly",7107.86214607398
"77172","Esmans",15095.9561504375
"77173","Etrepilly",10865.7139926484
"77174","Everly",20470.9786678319
"77175","Evry-Gregy-sur-Yerre",6934.42780135939
"77176","Faremoutiers",12800.6878155451
"77177","Favieres",7765.27986610674
"77178","Fay-les-Nemours",18146.6791098133
"77179","Fericy",10740.5883639933
"77180","Ferolles-Attilly",5830.13058798873
"77181","Ferrieres-en-Brie",5252.83146057182
"77182","La Ferte-Gaucher",18826.3970550549
"77183","La Ferte-sous-Jouarre",13211.5178193116
"77184","Flagy",14624.1864213392
"77185","Fleury-en-Biere",10583.8551500483
"77186","Fontainebleau",11188.6591771153
"77187","Fontaine-Fourches",27763.855202223
"77188","Fontaine-le-Port",9573.0190152178
"77190","Fontains",14831.3435725719
"77191","Fontenailles",13546.1898304693
"77192","Fontenay-Tresigny",12064.2755366587
"77193","Forfry",11221.5430291485
"77194","Forges",12987.2916796878
"77195","Fouju",9415.87080943651
"77196","Fresnes-sur-Marne",7525.85647082302
"77197","Fretoy",16724.4780335312
"77198","Fromont",19986.691327568
"77199","Fublaines",6702.34740550167
"77200","Garentreville",19965.5045948685
"77201","Gastins",15527.9013391436
"77202","La Genevraye",12910.2011065616
"77203","Germigny-l'Eveque",7890.23416648684
"77204","Germigny-sous-Coulombs",18978.9869058588
"77205","Gesvres-le-Chapitre",10156.0051525883
"77206","Giremoutiers",11179.7140169512
"77207","Gironville",24844.286003994
"77208","Gouaix",21504.7552451679
"77209","Gouvernes",4331.96280514122
"77210","La Grande-Paroisse",12170.6015340854
"77211","Grandpuits-Bailly-Carrois",15026.1421966668
"77212","Gravon",17895.8998781011
"77214","Gressy",5844.48109093057
"77215","Gretz-Armainvilliers",7417.12236178222
"77216","Grez-sur-Loing",14118.6296825913
"77217","Grisy-Suisnes",7854.28439763378
"77218","Grisy-sur-Seine",23327.7512798054
"77219","Guerard",11069.3433811318
"77220","Guercheville",18549.1800262153
"77221","Guermantes",4862.80777496345
"77222","Guignes",10930.7828794287
"77223","Gurcy-le-Chatel",15370.0598555971
"77224","Hautefeuille",12606.2517429768
"77225","La Haute-Maison",10069.6221246861
"77226","Hericy",10766.9672389929
"77227","Herme",23440.8173243254
"77228","Hondevilliers",19492.8639137508
"77229","La Houssaye-en-Brie",11005.9016509164
"77230","Ichy",21874.6574399176
"77231","Isles-les-Meldeuses",10210.3812506064
"77232","Isles-les-Villenoy",6889.40607409163
"77233","Iverny",8704.73561836833
"77234","Jablines",6889.78984801233
"77235","Jaignes",12046.8197962984
"77236","Jaulnes",22323.4645054041
"77237","Jossigny",6541.19724017697
"77238","Jouarre",12164.5070840089
"77239","Jouy-le-Chatel",16278.3702188445
"77240","Jouy-sur-Morin",17602.8890158159
"77241","Juilly",8648.12196415754
"77242","Jutigny",18506.6700634947
"77243","Lagny-sur-Marne",4932.74857437314
