"ID","NAMES","total_AsTheCowRolls_POT_20"
"75101","Paris 1er Arrondissement",3323809.85986114
"75102","Paris 2e  Arrondissement",3286507.52236984
"75103","Paris 3e  Arrondissement",3338389.3802466
"75104","Paris 4e  Arrondissement",3373282.35772387
"75105","Paris 5e  Arrondissement",3339098.93171182
"75106","Paris 6e  Arrondissement",3311759.63782731
"75107","Paris 7e  Arrondissement",3244241.17967247
"75108","Paris 8e  Arrondissement",3339845.86427402
"75109","Paris 9e  Arrondissement",3358421.10568789
"75110","Paris 10e  Arrondissement",3409181.99288097
"75111","Paris 11e  Arrondissement",3289066.51403486
"75112","Paris 12e  Arrondissement",3308274.73192306
"75113","Paris 13e  Arrondissement",3317776.39172402
"75114","Paris 14e  Arrondissement",3273815.69087646
"75115","Paris 15e  Arrondissement",3113189.34674644
"75116","Paris 16e  Arrondissement",3163115.76294523
"75117","Paris 17e  Arrondissement",3287331.99758262
"75118","Paris 18e  Arrondissement",3253409.67945968
"75119","Paris 19e  Arrondissement",3208670.85823567
"75120","Paris 20e  Arrondissement",3254345.92371077
"77001","Acheres-la-Foret",76530.34602232
"77002","Amillis",36425.49322455
"77003","Amponville",43491.00779881
"77004","Andrezel",121240.15844108
"77005","Annet-sur-Marne",694616.59163582
"77006","Arbonne-la-Foret",144352.86464782
"77007","Argentieres",82637.52465946
"77008","Armentieres-en-Brie",68576.34233246
"77009","Arville",17190.34747078
"77010","Aubepierre-Ozouer-le-Repos",68302.89359085
"77011","Aufferville",28620.97527709
"77012","Augers-en-Brie",14373.63557042
"77013","Aulnoy",52876.2097254
"77014","Avon",115151.19144625
"77015","Baby",10981.63563159
"77016","Bagneaux-sur-Loing",40925.04237474
"77018","Bailly-Romainvilliers",501568.08066173
"77019","Balloy",25948.03628062
"77020","Bannost-Villegagnon",26905.1152776
"77021","Barbey",33224.10327599
"77022","Barbizon",207553.79677995
"77023","Barcy",153182.08809871
"77024","Bassevelle",20688.83307282
"77025","Bazoches-les-Bray",23896.91140492
"77026","Beauchery-Saint-Martin",11773.89032367
"77027","Beaumont-du-Gatinais",8763.86355902
"77028","Beautheil",36879.97793703
"77029","Beauvoir",95650.69378117
"77030","Bellot",19933.93763169
"77031","Bernay-Vilbert",71066.07821271
"77032","Beton-Bazoches",27434.43202262
"77033","Bezalles",20286.95209704
"77034","Blandy",153207.89648465
"77035","Blennes",14132.54503196
"77036","Boisdon",24651.48967138
"77037","Bois-le-Roi",167704.24055827
"77038","Boissettes",233828.20261854
"77039","Boissise-la-Bertrand",240980.17198479
"77040","Boissise-le-Roi",323087.71438364
"77041","Boissy-aux-Cailles",34977.27616821
"77042","Boissy-le-Chatel",43380.8609108
"77043","Boitron",21336.72195158
"77044","Bombon",66182.58756322
"77045","Bougligny",24530.2678892
"77046","Boulancourt",14686.73180597
"77047","Bouleurs",271824.5753196
"77048","Bourron-Marlotte",63409.91470309
"77049","Boutigny",205153.55609868
"77050","Bransles",22073.59549251
"77051","Bray-sur-Seine",20034.83032572
"77052","Breau",90161.26510154
"77053","Brie-Comte-Robert",750658.47336758
"77054","La Brosse-Montceaux",37036.15607943
"77055","Brou-sur-Chantereine",1127213.54575107
"77056","Burcy",21511.59555577
"77057","Bussieres",34867.0300565
"77058","Bussy-Saint-Georges",1155993.45617154
"77059","Bussy-Saint-Martin",1013638.83895181
"77060","Buthiers",25029.00279287
"77061","Cannes-Ecluse",43940.00855409
"77062","Carnetin",604993.46155045
"77063","La Celle-sur-Morin",91304.17325158
"77065","Cely",299784.16955074
"77066","Cerneux",16232.72989329
"77067","Cesson",378808.42474738
"77068","Cessoy-en-Montois",20967.77035004
"77069","Chailly-en-Biere",253283.99594839
"77070","Chailly-en-Brie",53171.88303732
"77071","Chaintreaux",28355.11723417
"77072","Chalautre-la-Grande",7773.78154636
"77073","Chalautre-la-Petite",18345.59498924
"77075","Chalifert",532172.84574209
"77076","Chalmaison",18911.60394628
"77077","Chambry",179299.83693021
"77078","Chamigny",47930.05670737
"77079","Champagne-sur-Seine",81704.77782233
"77080","Champcenest",17999.78879083
"77081","Champdeuil",255474.36616733
"77082","Champeaux",123688.16776972
"77083","Champs-sur-Marne",1689460.6753606
"77084","Changis-sur-Marne",115650.40350273
"77085","Chanteloup-en-Brie",779966.0366381
"77086","La Chapelle-Gauthier",93003.10793298
"77087","La Chapelle-Iger",45490.76467346
"77088","La Chapelle-la-Reine",92520.99096309
"77089","La Chapelle-Rablais",38020.78561206
"77090","La Chapelle-Saint-Sulpice",24426.20260506
"77091","Les Chapelles-Bourbon",197650.30571975
"77093","La Chapelle-Moutils",11546.86218751
"77094","Charmentray",337977.58665402
"77095","Charny",327085.15653814
"77096","Chartrettes",145045.79391052
"77097","Chartronges",21137.35533525
"77098","Chateaubleau",23347.93036743
"77099","Chateau-Landon",19053.91924033
"77100","Le Chatelet-en-Brie",139371.77052844
"77101","Chatenay-sur-Seine",26113.92198056
"77102","Chatenoy",33202.65152866
"77103","Chatillon-la-Borde",125091.95658663
"77104","Chatres",252916.987748
"77106","Chauffry",30129.16086243
"77107","Chaumes-en-Brie",150275.45314404
"77108","Chelles",1510554.48781835
"77109","Chenoise",26102.16965645
"77110","Chenou",17287.72421837
"77111","Chessy",620167.57438061
"77112","Chevrainvilliers",33757.46550373
"77113","Chevru",29267.159901
"77114","Chevry-Cossigny",585969.35232855
"77115","Chevry-en-Sereine",22674.69861221
"77116","Choisy-en-Brie",30235.82932427
"77117","Citry",20828.63320028
"77118","Claye-Souilly",954483.91598696
"77119","Clos-Fontaine",31250.84084824
"77120","Cocherel",46261.66258592
"77121","Collegien",1386738.15476173
"77122","Combs-la-Ville",620801.01679656
