"ID","NAMES","total_AsTheCrowFlies_POT_10000"
"75101","Paris 1er Arrondissement",2331884.80519562
"75102","Paris 2e  Arrondissement",2332130.67070956
"75103","Paris 3e  Arrondissement",2324677.73605527
"75104","Paris 4e  Arrondissement",2319366.68978604
"75105","Paris 5e  Arrondissement",2292207.32526029
"75106","Paris 6e  Arrondissement",2301083.01480256
"75107","Paris 7e  Arrondissement",2272458.00620234
"75108","Paris 8e  Arrondissement",2272580.63206906
"75109","Paris 9e  Arrondissement",2307969.60608866
"75110","Paris 10e  Arrondissement",2297285.02578932
"75111","Paris 11e  Arrondissement",2277895.84718735
"75112","Paris 12e  Arrondissement",1996655.79537089
"75113","Paris 13e  Arrondissement",2179171.32814583
"75114","Paris 14e  Arrondissement",2164841.35742666
"75115","Paris 15e  Arrondissement",2119366.69977857
"75116","Paris 16e  Arrondissement",1985493.33254115
"75117","Paris 17e  Arrondissement",2195195.26414147
"75118","Paris 18e  Arrondissement",2219683.83277961
"75119","Paris 19e  Arrondissement",2177301.23773902
"75120","Paris 20e  Arrondissement",2184026.45846816
"77001","Acheres-la-Foret",15810.43852348
"77002","Amillis",15607.23281926
"77003","Amponville",9630.87614236
"77004","Andrezel",30755.64583977
"77005","Annet-sur-Marne",185812.51801853
"77006","Arbonne-la-Foret",26395.60531307
"77007","Argentieres",22845.77037069
"77008","Armentieres-en-Brie",39895.82010998
"77009","Arville",5288.1854225
"77010","Aubepierre-Ozouer-le-Repos",19796.81879387
"77011","Aufferville",10669.99570003
"77012","Augers-en-Brie",5549.63655201
"77013","Aulnoy",26708.30581497
"77014","Avon",43689.41616988
"77015","Baby",3563.27309879
"77016","Bagneaux-sur-Loing",17697.18457155
"77018","Bailly-Romainvilliers",98581.47973618
"77019","Balloy",8697.86850029
"77020","Bannost-Villegagnon",7713.21168694
"77021","Barbey",14785.19387619
"77022","Barbizon",52608.74173229
"77023","Barcy",47499.36483568
"77024","Bassevelle",9899.34493584
"77025","Bazoches-les-Bray",7222.25984199
"77026","Beauchery-Saint-Martin",5632.12972647
"77027","Beaumont-du-Gatinais",1484.94963373
"77028","Beautheil",20706.58541815
"77029","Beauvoir",22937.98503853
"77030","Bellot",9531.88192407
"77031","Bernay-Vilbert",19235.69205134
"77032","Beton-Bazoches",8052.50258488
"77033","Bezalles",7602.43449333
"77034","Blandy",40817.51795368
"77035","Blennes",4612.66387761
"77036","Boisdon",7495.82040446
"77037","Bois-le-Roi",68964.27222215
"77038","Boissettes",104547.2444409
"77039","Boissise-la-Bertrand",117720.61441293
"77040","Boissise-le-Roi",100953.06093552
"77041","Boissy-aux-Cailles",8984.06507499
"77042","Boissy-le-Chatel",23626.47697648
"77043","Boitron",12786.92511007
"77044","Bombon",21311.53918512
"77045","Bougligny",14262.65054904
"77046","Boulancourt",4167.04788184
"77047","Bouleurs",68149.04503538
"77048","Bourron-Marlotte",30901.45383368
"77049","Boutigny",66167.52055747
"77050","Bransles",6148.13079763
"77051","Bray-sur-Seine",7418.2469239
"77052","Breau",19781.50307265
"77053","Brie-Comte-Robert",184700.27499245
"77054","La Brosse-Montceaux",14841.6841677
"77055","Brou-sur-Chantereine",411942.00211108
"77056","Burcy",6478.83644279
"77057","Bussieres",13670.98772883
"77058","Bussy-Saint-Georges",203084.9847921
"77059","Bussy-Saint-Martin",306553.11204447
"77060","Buthiers",5841.55527643
"77061","Cannes-Ecluse",19779.55829539
"77062","Carnetin",225579.91879394
"77063","La Celle-sur-Morin",28972.1611536
"77065","Cely",47244.57226703
"77066","Cerneux",5517.88423042
"77067","Cesson",137843.62960615
"77068","Cessoy-en-Montois",12459.88749497
"77069","Chailly-en-Biere",69009.53623298
"77070","Chailly-en-Brie",22097.77722732
"77071","Chaintreaux",10943.59465967
"77072","Chalautre-la-Grande",4810.2114506
"77073","Chalautre-la-Petite",13040.49019275
"77075","Chalifert",131904.26317568
"77076","Chalmaison",13468.61834392
"77077","Chambry",53860.24891398
"77078","Chamigny",17242.31082229
"77079","Champagne-sur-Seine",39939.58048823
"77080","Champcenest",7212.74342627
"77081","Champdeuil",60192.060183
"77082","Champeaux",31748.71653988
"77083","Champs-sur-Marne",638542.2731133
"77084","Changis-sur-Marne",39755.94821491
"77085","Chanteloup-en-Brie",178642.77919335
"77086","La Chapelle-Gauthier",22519.84349052
"77087","La Chapelle-Iger",14628.88462324
"77088","La Chapelle-la-Reine",13869.56180639
"77089","La Chapelle-Rablais",15596.82916671
