"ID","NAMES","population_AsTheCowRolls_POT_0"
"75101","Paris 1er Arrondissement",17443
"75102","Paris 2e  Arrondissement",22927
"75103","Paris 3e  Arrondissement",36120
"75104","Paris 4e  Arrondissement",27887
"75105","Paris 5e  Arrondissement",60800
"75106","Paris 6e  Arrondissement",43880
"75107","Paris 7e  Arrondissement",57786
"75108","Paris 8e  Arrondissement",40589
"75109","Paris 9e  Arrondissement",60120
"75110","Paris 10e  Arrondissement",94027
"75111","Paris 11e  Arrondissement",154647
"75112","Paris 12e  Arrondissement",144402
"75113","Paris 13e  Arrondissement",183260
"75114","Paris 14e  Arrondissement",140317
"75115","Paris 15e  Arrondissement",238395
"75116","Paris 16e  Arrondissement",169942
"75117","Paris 17e  Arrondissement",170174
"75118","Paris 18e  Arrondissement",203127
"75119","Paris 19e  Arrondissement",186090
"75120","Paris 20e  Arrondissement",198042
"77001","Acheres-la-Foret",1232
"77002","Amillis",781
"77003","Amponville",388
"77004","Andrezel",299
"77005","Annet-sur-Marne",3229
"77006","Arbonne-la-Foret",1025
"77007","Argentieres",395
"77008","Armentieres-en-Brie",1399
"77009","Arville",127
"77010","Aubepierre-Ozouer-le-Repos",895
"77011","Aufferville",547
"77012","Augers-en-Brie",304
"77013","Aulnoy",386
"77014","Avon",14084
"77015","Baby",94
"77016","Bagneaux-sur-Loing",1695
"77018","Bailly-Romainvilliers",6884
"77019","Balloy",325
"77020","Bannost-Villegagnon",649
"77021","Barbey",195
"77022","Barbizon",1357
"77023","Barcy",249
"77024","Bassevelle",349
"77025","Bazoches-les-Bray",826
"77026","Beauchery-Saint-Martin",411
"77027","Beaumont-du-Gatinais",1159
"77028","Beautheil",724
"77029","Beauvoir",194
"77030","Bellot",799
"77031","Bernay-Vilbert",843
"77032","Beton-Bazoches",812
"77033","Bezalles",236
"77034","Blandy",735
"77035","Blennes",566
"77036","Boisdon",97
"77037","Bois-le-Roi",5649
"77038","Boissettes",463
"77039","Boissise-la-Bertrand",1068
"77040","Boissise-le-Roi",3616
"77041","Boissy-aux-Cailles",311
"77042","Boissy-le-Chatel",3110
"77043","Boitron",396
"77044","Bombon",860
"77045","Bougligny",720
"77046","Boulancourt",370
"77047","Bouleurs",1453
"77048","Bourron-Marlotte",2683
"77049","Boutigny",878
"77050","Bransles",519
"77051","Bray-sur-Seine",2427
"77052","Breau",346
"77053","Brie-Comte-Robert",16075
"77054","La Brosse-Montceaux",727
"77055","Brou-sur-Chantereine",4324
"77056","Burcy",152
"77057","Bussieres",461
"77058","Bussy-Saint-Georges",25135
"77059","Bussy-Saint-Martin",726
"77060","Buthiers",756
"77061","Cannes-Ecluse",2540
"77062","Carnetin",488
"77063","La Celle-sur-Morin",1269
"77065","Cely",1226
"77066","Cerneux",311
"77067","Cesson",9092
"77068","Cessoy-en-Montois",214
"77069","Chailly-en-Biere",1974
"77070","Chailly-en-Brie",1443
"77071","Chaintreaux",917
"77072","Chalautre-la-Grande",698
"77073","Chalautre-la-Petite",579
"77075","Chalifert",1234
"77076","Chalmaison",745
"77077","Chambry",920
"77078","Chamigny",1300
"77079","Champagne-sur-Seine",6499
"77080","Champcenest",147
"77081","Champdeuil",662
"77082","Champeaux",810
"77083","Champs-sur-Marne",24499
"77084","Changis-sur-Marne",1084
"77085","Chanteloup-en-Brie",2403
"77086","La Chapelle-Gauthier",1491
"77087","La Chapelle-Iger",157
"77088","La Chapelle-la-Reine",2567
"77089","La Chapelle-Rablais",962
"77090","La Chapelle-Saint-Sulpice",220
"77091","Les Chapelles-Bourbon",413
"77093","La Chapelle-Moutils",412
"77094","Charmentray",266
"77095","Charny",1225
"77096","Chartrettes",2573
"77097","Chartronges",285
"77098","Chateaubleau",338
"77099","Chateau-Landon",3125
"77100","Le Chatelet-en-Brie",4413
"77101","Chatenay-sur-Seine",955
"77102","Chatenoy",155
"77103","Chatillon-la-Borde",217
"77104","Chatres",593
"77106","Chauffry",1021
"77107","Chaumes-en-Brie",3045
"77108","Chelles",52817
"77109","Chenoise",1289
"77110","Chenou",313
"77111","Chessy",4355
"77112","Chevrainvilliers",223
"77113","Chevru",1081
"77114","Chevry-Cossigny",3897
"77115","Chevry-en-Sereine",507
"77116","Choisy-en-Brie",1356
"77117","Citry",808
"77118","Claye-Souilly",11122
"77119","Clos-Fontaine",265
"77120","Cocherel",614
"77121","Collegien",3099
"77122","Combs-la-Ville",21908
"77123","Compans",723
"77124","Conches-sur-Gondoire",1735
"77125","Conde-Sainte-Libiaire",1416
"77126","Congis-sur-Therouanne",1765
"77127","Coubert",1962
"77128","Couilly-Pont-aux-Dames",2155
"77129","Coulombs-en-Valois",625
"77130","Coulommes",409
"77131","Coulommiers",14622
"77132","Coupvray",2656
"77133","Courcelles-en-Bassee",234
"77134","Courchamp",153
"77135","Courpalay",1413
"77136","Courquetaine",201
"77137","Courtacon",215
"77138","Courtomer",535
"77139","Courtry",6280
"77140","Coutencon",289
"77141","Coutevroult",996
"77142","Crecy-la-Chapelle",4250
"77143","Cregy-les-Meaux",4339
"77144","Crevecoeur-en-Brie",303
"77145","Crisenoy",624
"77146","Croissy-Beaubourg",1988
"77147","La Croix-en-Brie",669
"77148","Crouy-sur-Ourcq",1745
"77149","Cucharmoy",237
"77150","Cuisy",439
"77151","Dagny",337
"77152","Dammarie-les-Lys",20661
"77153","Dammartin-en-Goele",8258
"77154","Dammartin-sur-Tigeaux",913
"77155","Dampmart",3179
"77156","Darvault",818
"77157","Dhuisy",281
"77158","Diant",196
"77159","Donnemarie-Dontilly",2838
"77161","Dormelles",862
"77162","Doue",1009
"77163","Douy-la-Ramee",301
"77164","Echouboulains",505
"77165","Les Ecrennes",608
"77166","Ecuelles",2443
"77167","Egligny",311
"77168","Egreville",2182
"77169","Emerainville",7253
"77170","Episy",527
"77171","Esbly",5882
"77172","Esmans",889
"77173","Etrepilly",848
"77174","Everly",592
"77175","Evry-Gregy-sur-Yerre",2485
"77176","Faremoutiers",2465
"77177","Favieres",1101
"77178","Fay-les-Nemours",486
"77179","Fericy",582
"77180","Ferolles-Attilly",1135
"77181","Ferrieres-en-Brie",2243
"77182","La Ferte-Gaucher",4557
"77183","La Ferte-sous-Jouarre",9222
"77184","Flagy",645
"77185","Fleury-en-Biere",639
"77186","Fontainebleau",14708
"77187","Fontaine-Fourches",595
"77188","Fontaine-le-Port",939
"77190","Fontains",253
"77191","Fontenailles",1062
"77192","Fontenay-Tresigny",5218
"77193","Forfry",271
"77194","Forges",413
"77195","Fouju",562
"77196","Fresnes-sur-Marne",657
"77197","Fretoy",155
"77198","Fromont",212
"77199","Fublaines",1167
"77200","Garentreville",103
"77201","Gastins",684
"77202","La Genevraye",622
"77203","Germigny-l'Eveque",1357
"77204","Germigny-sous-Coulombs",203
"77205","Gesvres-le-Chapitre",165
"77206","Giremoutiers",146
"77207","Gironville",170
"77208","Gouaix",1446
"77209","Gouvernes",1101
"77210","La Grande-Paroisse",2610
"77211","Grandpuits-Bailly-Carrois",1007
"77212","Gravon",145
"77214","Gressy",902
"77215","Gretz-Armainvilliers",8066
"77216","Grez-sur-Loing",1424
"77217","Grisy-Suisnes",2395
"77218","Grisy-sur-Seine",100
"77219","Guerard",2250
"77220","Guercheville",284
"77221","Guermantes",1217
"77222","Guignes",3364
"77223","Gurcy-le-Chatel",581
"77224","Hautefeuille",315
"77225","La Haute-Maison",363
"77226","Hericy",2538
"77227","Herme",624
"77228","Hondevilliers",240
"77229","La Houssaye-en-Brie",1618
"77230","Ichy",173
"77231","Isles-les-Meldeuses",776
"77232","Isles-les-Villenoy",911
"77233","Iverny",585
"77234","Jablines",650
"77235","Jaignes",291
"77236","Jaulnes",357
"77237","Jossigny",632
"77238","Jouarre",4184
"77239","Jouy-le-Chatel",1469
"77240","Jouy-sur-Morin",2171
"77241","Juilly",2189
"77242","Jutigny",560
"77243","Lagny-sur-Marne",20306
"77244","Larchant",751
"77245","Laval-en-Brie",462
"77246","Lechelle",563
"77247","Lescherolles",482
"77248","Lesches",701
"77249","Lesigny",7429
"77250","Leudon-en-Brie",164
"77251","Lieusaint",10441
"77252","Limoges-Fourches",469
"77253","Lissy",196
"77254","Liverdy-en-Brie",1298
"77255","Livry-sur-Seine",1927
"77256","Lizines",174
"77257","Lizy-sur-Ourcq",3621
"77258","Lognes",14410
"77259","Longperrier",2464
