"ID","NAMES","employe_AsTheCowRolls_POT_20"
"75101","Paris 1er Arrondissement",865005.76764293
"75102","Paris 2e  Arrondissement",856305.22253498
"75103","Paris 3e  Arrondissement",876964.7264571
"75104","Paris 4e  Arrondissement",882866.46586417
"75105","Paris 5e  Arrondissement",869531.05160619
"75106","Paris 6e  Arrondissement",857183.33155712
"75107","Paris 7e  Arrondissement",835284.26644318
"75108","Paris 8e  Arrondissement",868603.8449267
"75109","Paris 9e  Arrondissement",879662.05187392
"75110","Paris 10e  Arrondissement",900537.60468787
"75111","Paris 11e  Arrondissement",870177.50081066
"75112","Paris 12e  Arrondissement",877233.3894723
"75113","Paris 13e  Arrondissement",865573.53232289
"75114","Paris 14e  Arrondissement",842905.86263909
"75115","Paris 15e  Arrondissement",791656.0026956
"75116","Paris 16e  Arrondissement",807577.48719724
"75117","Paris 17e  Arrondissement",857517.31850751
"75118","Paris 18e  Arrondissement",857297.16804295
"75119","Paris 19e  Arrondissement",854207.91861273
"75120","Paris 20e  Arrondissement",869390.01706606
"77001","Acheres-la-Foret",22468.69123351
"77002","Amillis",11381.24674423
"77003","Amponville",12643.68237449
"77004","Andrezel",37474.92764011
"77005","Annet-sur-Marne",214966.44618524
"77006","Arbonne-la-Foret",42938.13843764
"77007","Argentieres",25457.37111693
"77008","Armentieres-en-Brie",22548.59936994
"77009","Arville",5387.37405922
"77010","Aubepierre-Ozouer-le-Repos",21013.87812475
"77011","Aufferville",8740.95199279
"77012","Augers-en-Brie",4592.32752636
"77013","Aulnoy",16831.84004413
"77014","Avon",34329.01481661
"77015","Baby",3626.4143835
"77016","Bagneaux-sur-Loing",12377.0615755
"77018","Bailly-Romainvilliers",148594.93432363
"77019","Balloy",8353.92249048
"77020","Bannost-Villegagnon",8379.30773798
"77021","Barbey",10381.46594092
"77022","Barbizon",62348.4279366
"77023","Barcy",49308.6596207
"77024","Bassevelle",6923.76112372
"77025","Bazoches-les-Bray",7769.12327034
"77026","Beauchery-Saint-Martin",3899.52873282
"77027","Beaumont-du-Gatinais",2756.48256491
"77028","Beautheil",11420.29662239
"77029","Beauvoir",29467.74927608
"77030","Bellot",6474.32271177
"77031","Bernay-Vilbert",21598.48581674
"77032","Beton-Bazoches",8642.79102885
"77033","Bezalles",6392.21690534
"77034","Blandy",47692.5522797
"77035","Blennes",4511.02844558
"77036","Boisdon",7684.94810835
"77037","Bois-le-Roi",50752.66211141
"77038","Boissettes",71587.26775747
"77039","Boissise-la-Bertrand",73716.46072818
"77040","Boissise-le-Roi",96571.3399067
"77041","Boissy-aux-Cailles",10041.47159471
"77042","Boissy-le-Chatel",13597.40918482
"77043","Boitron",7099.4972254
"77044","Bombon",20666.60901492
"77045","Bougligny",7632.72494424
"77046","Boulancourt",4194.42335097
"77047","Bouleurs",82781.96677124
"77048","Bourron-Marlotte",18783.29541585
"77049","Boutigny",63383.87537383
"77050","Bransles",6987.66514237
"77051","Bray-sur-Seine",6604.67390338
"77052","Breau",28158.08611604
"77053","Brie-Comte-Robert",226222.77119617
"77054","La Brosse-Montceaux",11442.36177966
"77055","Brou-sur-Chantereine",334881.36523605
"77056","Burcy",6442.35381943
"77057","Bussieres",11610.28223851
"77058","Bussy-Saint-Georges",332647.59325801
"77059","Bussy-Saint-Martin",296312.75091011
