"ID","NAMES","intermediaires_AsTheCowRolls_POT_10"
"77143","Cregy-les-Meaux",12045.51662465
"77144","Crevecoeur-en-Brie",2351.91433406
"77145","Crisenoy",7054.84268809
"77146","Croissy-Beaubourg",53165.54303874
"77147","La Croix-en-Brie",1003.06411347
"77148","Crouy-sur-Ourcq",562.09401801
"77149","Cucharmoy",907.80461929
"77150","Cuisy",3620.09450473
"77151","Dagny",1061.65380143
"77152","Dammarie-les-Lys",16279.01208847
"77153","Dammartin-en-Goele",5934.02622743
"77154","Dammartin-sur-Tigeaux",3141.03651901
"77155","Dampmart",18663.54747825
"77156","Darvault",3429.54302652
"77157","Dhuisy",1001.30757279
"77158","Diant",868.23164101
"77159","Donnemarie-Dontilly",1063.82097021
"77161","Dormelles",1506.822228
"77162","Doue",1598.33375637
"77163","Douy-la-Ramee",1403.92969918
"77164","Echouboulains",982.06087782
"77165","Les Ecrennes",2300.16413969
"77166","Ecuelles",5262.71583182
"77167","Egligny",792.84426057
"77168","Egreville",1052.76238475
"77169","Emerainville",57544.36696064
"77170","Episy",5238.11086494
"77171","Esbly",15951.17461891
"77172","Esmans",3100.14505173
"77173","Etrepilly",4529.57794661
"77174","Everly",1200.48487568
"77175","Evry-Gregy-sur-Yerre",12616.37324068
"77176","Faremoutiers",4665.87714815
"77177","Favieres",6653.28275953
"77178","Fay-les-Nemours",2261.18384318
"77179","Fericy",3700.74415291
"77180","Ferolles-Attilly",20051.93288381
"77181","Ferrieres-en-Brie",42359.05321513
"77182","La Ferte-Gaucher",1261.34170167
"77183","La Ferte-sous-Jouarre",3160.3026278
"77184","Flagy",1307.90400441
"77185","Fleury-en-Biere",4745.74897809
"77186","Fontainebleau",8528.33373054
"77187","Fontaine-Fourches",360.4912594
"77188","Fontaine-le-Port",5336.61668864
"77190","Fontains",1312.75116372
"77191","Fontenailles",2464.23730425
"77192","Fontenay-Tresigny",3480.13087416
"77193","Forfry",2672.99571083
"77194","Forges",2747.35905964
"77195","Fouju",3483.4308642
"77196","Fresnes-sur-Marne",11281.13886753
"77197","Fretoy",692.31736571
