"ID","NAMES","employe_AsTheCowRolls_ACC_0.005"
"77118","Claye-Souilly",5.97011034640881
"77119","Clos-Fontaine",18.556401760468
"77120","Cocherel",16.1890919847258
"77121","Collegien",3.68878141984579
"77122","Combs-la-Ville",5.39365593336713
"77123","Compans",7.43033059566238
"77124","Conches-sur-Gondoire",5.29609614066277
"77125","Conde-Sainte-Libiaire",7.82771724421015
"77126","Congis-sur-Therouanne",12.7843886835416
"77127","Coubert",9.37813435968276
"77128","Couilly-Pont-aux-Dames",6.67568883919772
"77129","Coulombs-en-Valois",20.5768178641717
"77130","Coulommes",10.3018667530839
"77131","Coulommiers",12.5426040762852
"77132","Coupvray",6.65028957586798
"77133","Courcelles-en-Bassee",19.0577301392119
"77134","Courchamp",23.0042612811118
"77135","Courpalay",15.6416929810486
"77136","Courquetaine",11.596027951898
"77137","Courtacon",20.3132422288371
"77138","Courtomer",16.0101456473629
"77139","Courtry",5.27760121315378
"77140","Coutencon",18.6206588469878
"77141","Coutevroult",7.27407961654668
"77142","Crecy-la-Chapelle",10.4292728515959
"77143","Cregy-les-Meaux",5.97853380201577
"77144","Crevecoeur-en-Brie",12.9303662545226
"77145","Crisenoy",9.88381995784206
"77146","Croissy-Beaubourg",5.13824433145926
"77147","La Croix-en-Brie",20.165122487491
"77148","Crouy-sur-Ourcq",20.3891137632341
"77149","Cucharmoy",21.0025076082873
"77150","Cuisy",11.6057492212408
"77151","Dagny",17.5641556022514
"77152","Dammarie-les-Lys",5.18206682838523
"77153","Dammartin-en-Goele",10.4379248331353
"77154","Dammartin-sur-Tigeaux",12.211636335876
"77155","Dampmart",6.57252785245896
"77156","Darvault",13.8666577273963
"77157","Dhuisy",16.6959922449914
"77158","Diant",21.0367639062172
"77159","Donnemarie-Dontilly",19.4894910325334
"77161","Dormelles",16.5302146968028
"77162","Doue",16.8931117874034
"77163","Douy-la-Ramee",15.2714106037981
"77164","Echouboulains",16.9388297148296
"77165","Les Ecrennes",13.4985069924901
"77166","Ecuelles",11.9501709138873
"77167","Egligny",21.1170684059476
"77168","Egreville",19.7459270452347
"77169","Emerainville",4.54609453374267
"77170","Episy",11.9140670768463
"77171","Esbly",6.84651414616907
"77172","Esmans",15.0585926902524
"77173","Etrepilly",11.2382215788149
"77174","Everly",22.8347895670526
"77175","Evry-Gregy-sur-Yerre",7.91427567234468
"77176","Faremoutiers",12.9746747193849
"77177","Favieres",10.2482531034006
"77178","Fay-les-Nemours",17.3908784875558
"77179","Fericy",12.898409300865
"77180","Ferolles-Attilly",6.69810637171841
"77181","Ferrieres-en-Brie",5.29847248701334
"77182","La Ferte-Gaucher",20.5210137286577
"77183","La Ferte-sous-Jouarre",12.9277000072323
"77184","Flagy",17.4196254180621
"77185","Fleury-en-Biere",10.7472944193705
"77186","Fontainebleau",9.93705677880939
"77187","Fontaine-Fourches",27.0523103320221
"77188","Fontaine-le-Port",11.3569245413728
"77190","Fontains",18.9412437993138
"77191","Fontenailles",15.5399562317051
"77192","Fontenay-Tresigny",12.2973950275332
"77193","Forfry",13.6021160417129
"77194","Forges",15.0356822309924
"77195","Fouju",11.3949663610603
"77196","Fresnes-sur-Marne",8.28448922569606
"77197","Fretoy",19.8612974707674
"77198","Fromont",20.0832032956857
"77199","Fublaines",9.05757202018891
"77200","Garentreville",21.2384071840192
"77201","Gastins",17.8896472733903
"77202","La Genevraye",13.1123303666385
"77203","Germigny-l'Eveque",10.1655252350777
"77204","Germigny-sous-Coulombs",20.9246242909283
"77205","Gesvres-le-Chapitre",12.4715162327937
"77206","Giremoutiers",12.6490796506766
"77207","Gironville",23.4854435550051
"77208","Gouaix",25.4201851885993
"77209","Gouvernes",4.46664895406988
"77210","La Grande-Paroisse",14.9081324518349
"77211","Grandpuits-Bailly-Carrois",16.1938313083588
"77212","Gravon",20.4249932641318
"77214","Gressy",6.94150790732634
"77215","Gretz-Armainvilliers",7.33545193069041
"77216","Grez-sur-Loing",12.4064896476755
"77217","Grisy-Suisnes",8.54783071880448
"77218","Grisy-sur-Seine",24.0007518984277
"77219","Guerard",12.0057873586855
"77220","Guercheville",19.0455111050518
"77221","Guermantes",4.60449062736767
"77222","Guignes",10.9465722561091
"77223","Gurcy-le-Chatel",19.5184324159905
"77224","Hautefeuille",15.3709501546574
"77225","La Haute-Maison",12.6590345787544
"77226","Hericy",11.3095323238714
"77227","Herme",23.8594002721121
"77228","Hondevilliers",20.2943385221061
"77229","La Houssaye-en-Brie",11.9559072113412
"77230","Ichy",22.9988159725922
"77231","Isles-les-Meldeuses",11.742492376543
"77232","Isles-les-Villenoy",7.75745221261055
"77233","Iverny",10.1043925850393
"77234","Jablines",10.0366216706338
"77235","Jaignes",14.4726938024179
"77236","Jaulnes",22.0618080202472
"77237","Jossigny",5.71267263402145
"77238","Jouarre",13.5545317712368
"77239","Jouy-le-Chatel",16.8142700385714
"77240","Jouy-sur-Morin",20.3877016724318
"77241","Juilly",10.6413302933023
"77242","Jutigny",21.0931290278959
"77243","Lagny-sur-Marne",3.86916533705728
"77244","Larchant",15.8404774001061
"77245","Laval-en-Brie",15.9335699956391
"77246","Lechelle",27.2110948238336
"77247","Lescherolles",23.931220146949
"77248","Lesches",8.227153064025
"77249","Lesigny",5.82815243740803
"77250","Leudon-en-Brie",21.4165731444894
"77251","Lieusaint",5.4290810042663
"77252","Limoges-Fourches",7.93806911457589
"77253","Lissy",8.30581159345953
"77254","Liverdy-en-Brie",11.4839431073001
"77255","Livry-sur-Seine",6.50075457641755
"77256","Lizines",20.9800939993222
"77257","Lizy-sur-Ourcq",13.0003741654306
"77258","Lognes",2.84524362918429
"77259","Longperrier",10.5840557880952
"77260","Longueville",21.3128693932873
"77261","Lorrez-le-Bocage-Preaux",18.9880778306459
"77262","Louan-Villegruis-Fontaine",31.7130986260082
"77263","Luisetaines",21.605643038628
"77264","Lumigny-Nesles-Ormeaux",13.6888459490412
"77265","Luzancy",16.5730984930041
