"ID","NAMES","population_AsTheCrowFlies_ACC_0.005"
"75101","Paris 1er Arrondissement",228.836161111392
"75102","Paris 2e  Arrondissement",176.236987491874
"75103","Paris 3e  Arrondissement",106.261675837187
"75104","Paris 4e  Arrondissement",156.353889679119
"75105","Paris 5e  Arrondissement",0
"75106","Paris 6e  Arrondissement",88.2631520979376
"75107","Paris 7e  Arrondissement",10.0615618778652
"75108","Paris 8e  Arrondissement",122.181785802509
"75109","Paris 9e  Arrondissement",0
"75110","Paris 10e  Arrondissement",0
"75111","Paris 11e  Arrondissement",0
"75112","Paris 12e  Arrondissement",0
"75113","Paris 13e  Arrondissement",0
"75114","Paris 14e  Arrondissement",0
"75115","Paris 15e  Arrondissement",0
"75116","Paris 16e  Arrondissement",0
"75117","Paris 17e  Arrondissement",0
"75118","Paris 18e  Arrondissement",0
"75119","Paris 19e  Arrondissement",0
"75120","Paris 20e  Arrondissement",0
"77001","Acheres-la-Foret",12078.4628253005
"77002","Amillis",13577.490969443
"77003","Amponville",14990.9659894369
"77004","Andrezel",9933.88081021529
"77005","Annet-sur-Marne",5208.54771726712
"77006","Arbonne-la-Foret",10143.7782089711
"77007","Argentieres",11150.2337155349
"77008","Armentieres-en-Brie",8464.83609250494
"77009","Arville",19713.8226284538
"77010","Aubepierre-Ozouer-le-Repos",12062.3832850857
"77011","Aufferville",17011.1572225289
"77012","Augers-en-Brie",19474.1723549232
"77013","Aulnoy",10383.0149213229
"77014","Avon",7180.7989421935
"77015","Baby",23944.2491713222
"77016","Bagneaux-sur-Loing",13848.6178220094
"77018","Bailly-Romainvilliers",5580.20769827212
"77019","Balloy",16369.6215816556
"77020","Bannost-Villegagnon",15529.3643692006
"77021","Barbey",14126.6954558463
"77022","Barbizon",7935.52530549762
"77023","Barcy",7470.09179418463
"77024","Bassevelle",16427.8641316578
"77025","Bazoches-les-Bray",17637.3968239632
"77026","Beauchery-Saint-Martin",22786.5482392148
"77027","Beaumont-du-Gatinais",23770.9038703657
"77028","Beautheil",12393.6736016449
"77029","Beauvoir",11057.3034448592
"77030","Bellot",17542.1349267935
"77031","Bernay-Vilbert",12177.9983221185
"77032","Beton-Bazoches",16097.8369319161
"77033","Bezalles",16365.7995668292
"77034","Blandy",8833.148470794
"77035","Blennes",18026.4286700557
"77036","Boisdon",16041.2936252978
"77037","Bois-le-Roi",6353.30432019824
"77038","Boissettes",3466.11356464203
"77039","Boissise-la-Bertrand",3964.99457473904
"77040","Boissise-le-Roi",5245.44345218324
"77041","Boissy-aux-Cailles",15006.6881218427
"77042","Boissy-le-Chatel",11279.9236129644
"77043","Boitron",15042.2054116438
"77044","Bombon",11027.0051505394
"77045","Bougligny",15988.1001915173
"77046","Boulancourt",17944.3125168673
"77047","Bouleurs",6743.34384794097
"77048","Bourron-Marlotte",9365.73567090865
"77049","Boutigny",5939.14003759756
"77050","Bransles",19832.4494290701
"77051","Bray-sur-Seine",18845.5818744433
"77052","Breau",11270.2240613691
"77053","Brie-Comte-Robert",5055.15316409416
"77054","La Brosse-Montceaux",14077.2195323068
"77055","Brou-sur-Chantereine",3042.53193421172
"77056","Burcy",17536.7856192874
"77057","Bussieres",14697.9447442097
"77058","Bussy-Saint-Georges",3742.1909796827
"77059","Bussy-Saint-Martin",3117.3075045109
"77060","Buthiers",16722.2231813106
"77061","Cannes-Ecluse",12219.7252480501
"77062","Carnetin",4304.79195059621
"77063","La Celle-sur-Morin",10151.8161644675
"77065","Cely",8412.35982439686
"77066","Cerneux",19042.9616942765
"77067","Cesson",3670.96341628113
"77068","Cessoy-en-Montois",14723.460897614
"77069","Chailly-en-Biere",6653.14497273918
"77070","Chailly-en-Brie",11947.611600267
"77071","Chaintreaux",16332.6779434175
"77072","Chalautre-la-Grande",24679.8693958556
"77073","Chalautre-la-Petite",19272.1436680981
"77075","Chalifert",4885.61447088794
"77076","Chalmaison",17516.0664361219
"77077","Chambry",6100.18641653049
"77078","Chamigny",12859.0883841615
"77079","Champagne-sur-Seine",7652.75028145999
"77080","Champcenest",17140.8302903167
"77081","Champdeuil",8032.33496840394
"77082","Champeaux",9776.34067270192
"77083","Champs-sur-Marne",1572.51824432897
"77084","Changis-sur-Marne",8544.52987945919
"77085","Chanteloup-en-Brie",3623.69798989741
"77086","La Chapelle-Gauthier",10704.6274722663
"77087","La Chapelle-Iger",13449.7524157956
"77088","La Chapelle-la-Reine",12986.1656533692
"77089","La Chapelle-Rablais",12404.6488038638
"77090","La Chapelle-Saint-Sulpice",15535.7270182639
"77091","Les Chapelles-Bourbon",8952.44176674164
"77093","La Chapelle-Moutils",20346.6412550261
"77094","Charmentray",6646.04563268546
"77095","Charny",7372.17793640256
"77096","Chartrettes",6047.05623843168
"77097","Chartronges",15944.4846865872
"77098","Chateaubleau",15069.4130598779
"77099","Chateau-Landon",19578.9547849569
"77100","Le Chatelet-en-Brie",8773.63932634924
"77101","Chatenay-sur-Seine",14305.8170652204
"77102","Chatenoy",14832.4202123361
"77103","Chatillon-la-Borde",9811.10616915247
"77104","Chatres",9091.78710210109
"77106","Chauffry",12145.87470436
"77107","Chaumes-en-Brie",10512.5278212925
"77108","Chelles",688.08225021587
"77109","Chenoise",15868.6336537577
"77110","Chenou",18762.472487945
"77111","Chessy",4160.0170378386
"77112","Chevrainvilliers",14664.8103661606
"77113","Chevru",14668.4990567478
"77114","Chevry-Cossigny",5652.17825873787
"77115","Chevry-en-Sereine",16111.9609042138
"77116","Choisy-en-Brie",14284.4983677226
"77117","Citry",15975.4414739336
"77118","Claye-Souilly",5130.92764554404
"77119","Clos-Fontaine",14166.9323520882
"77120","Cocherel",12809.0711399919
"77121","Collegien",3374.8837251696
"77122","Combs-la-Ville",3833.75549564009
"77123","Compans",5600.85047593429
"77124","Conches-sur-Gondoire",3299.61500041452
"77125","Conde-Sainte-Libiaire",5467.94166416926
"77126","Congis-sur-Therouanne",8585.88099422916
"77127","Coubert",7592.12850983468
"77128","Couilly-Pont-aux-Dames",5853.09864907244
"77129","Coulombs-en-Valois",16852.788600308
"77130","Coulommes",6794.18188660275
"77131","Coulommiers",10984.0373743466
"77132","Coupvray",4852.57198275154
"77133","Courcelles-en-Bassee",13324.9743674617
"77134","Courchamp",17680.2660968611
"77135","Courpalay",12923.5523584484
"77136","Courquetaine",8217.82696375174
"77137","Courtacon",17283.2993143804
"77138","Courtomer",11667.0327073672
"77139","Courtry",2839.96720874429
"77140","Coutencon",12394.3181101993
"77141","Coutevroult",6050.37564581999
"77142","Crecy-la-Chapelle",8057.682375108
"77143","Cregy-les-Meaux",4723.82366911759
"77144","Crevecoeur-en-Brie",10236.4127112937
"77145","Crisenoy",8025.62347164503
"77146","Croissy-Beaubourg",3195.51499051396
"77147","La Croix-en-Brie",14834.1144324778
"77148","Crouy-sur-Ourcq",15943.3027528951
"77149","Cucharmoy",15687.3337207178
"77150","Cuisy",8436.94110550793
"77151","Dagny",14588.9204912405
"77152","Dammarie-les-Lys",3676.42214695595
"77153","Dammartin-en-Goele",8258.27065191183
"77154","Dammartin-sur-Tigeaux",8761.46989690167
"77155","Dampmart",4488.06870947431
"77156","Darvault",11067.4823259623
"77157","Dhuisy",15748.1253916458
"77158","Diant",15441.1902369332
"77159","Donnemarie-Dontilly",14384.420296684
"77161","Dormelles",11113.3699654482
"77162","Doue",11565.7285584553
"77163","Douy-la-Ramee",10592.412262465
"77164","Echouboulains",10851.2282704968
"77165","Les Ecrennes",10585.4302879636
"77166","Ecuelles",8792.83202904979
"77167","Egligny",14740.7181523411
"77168","Egreville",18238.6278695717
"77169","Emerainville",2695.41758281906
"77170","Episy",9319.46001331227
"77171","Esbly",5413.56096730063
"77172","Esmans",12043.6127657865
"77173","Etrepilly",9562.95480180635
"77174","Everly",18276.2364553922
"77175","Evry-Gregy-sur-Yerre",5579.44892964819
"77176","Faremoutiers",10783.8244482238
"77177","Favieres",6252.82864292686
"77178","Fay-les-Nemours",14187.0943053219
"77179","Fericy",8385.16489299841
"77180","Ferolles-Attilly",4906.87860211231
"77181","Ferrieres-en-Brie",3746.19757180905
"77182","La Ferte-Gaucher",16973.9552283205
"77183","La Ferte-sous-Jouarre",11566.1124028639
"77184","Flagy",11862.7069144096
"77185","Fleury-en-Biere",8871.15420080925
"77186","Fontainebleau",8202.47084231878
"77187","Fontaine-Fourches",25453.7401931621
"77188","Fontaine-le-Port",7692.92176828525
"77190","Fontains",13396.5290290985
"77191","Fontenailles",12202.5858508797
"77192","Fontenay-Tresigny",10453.803114637
"77193","Forfry",10013.0636774433
"77194","Forges",10488.2014476186
"77195","Fouju",8275.24858874162
"77196","Fresnes-sur-Marne",6225.49311048989
"77197","Fretoy",15296.4190493764
"77198","Fromont",16960.4177353244
"77199","Fublaines",5005.22841964229
"77200","Garentreville",16427.5235577275
