"ID","NAMES","employe_AsTheCrowFlies_POT_10000"
"75101","Paris 1er Arrondissement",574575.21830952
"75102","Paris 2e  Arrondissement",579726.63959859
"75103","Paris 3e  Arrondissement",581594.35577374
"75104","Paris 4e  Arrondissement",576169.73611373
"75105","Paris 5e  Arrondissement",563297.32204089
"75106","Paris 6e  Arrondissement",560467.76576955
"75107","Paris 7e  Arrondissement",548955.47775483
"75108","Paris 8e  Arrondissement",556023.25341346
"75109","Paris 9e  Arrondissement",575384.40484326
"75110","Paris 10e  Arrondissement",580873.94938784
"75111","Paris 11e  Arrondissement",576165.85060876
"75112","Paris 12e  Arrondissement",516331.0039429
"75113","Paris 13e  Arrondissement",536690.98818928
"75114","Paris 14e  Arrondissement",519984.68732053
"75115","Paris 15e  Arrondissement",500715.56951876
"75116","Paris 16e  Arrondissement",466608.110455
"75117","Paris 17e  Arrondissement",542578.00354337
"75118","Paris 18e  Arrondissement",565125.55381313
"75119","Paris 19e  Arrondissement",564379.03720228
"75120","Paris 20e  Arrondissement",562805.28153552
"77001","Acheres-la-Foret",4321.70331793
"77002","Amillis",4932.81967747
"77003","Amponville",2762.46990052
"77004","Andrezel",9490.36368427
"77005","Annet-sur-Marne",58160.1701514
"77006","Arbonne-la-Foret",7078.90169903
"77007","Argentieres",6935.40633553
"77008","Armentieres-en-Brie",13509.10507768
"77009","Arville",1644.13257514
"77010","Aubepierre-Ozouer-le-Repos",6095.30350816
"77011","Aufferville",3416.85023321
"77012","Augers-en-Brie",1766.78519263
"77013","Aulnoy",8498.13727375
"77014","Avon",12043.59427659
"77015","Baby",1158.02618383
"77016","Bagneaux-sur-Loing",5737.95878824
"77018","Bailly-Romainvilliers",29496.17690111
"77019","Balloy",2794.57271986
"77020","Bannost-Villegagnon",2434.23656816
"77021","Barbey",4843.20632881
"77022","Barbizon",15101.3176434
"77023","Barcy",15909.20896731
"77024","Bassevelle",3271.47451374
"77025","Bazoches-les-Bray",2319.53407517
"77026","Beauchery-Saint-Martin",1859.5273494
"77027","Beaumont-du-Gatinais",458.87266518
"77028","Beautheil",6482.85698502
"77029","Beauvoir",6986.78946189
"77030","Bellot",3032.97733723
"77031","Bernay-Vilbert",5712.37884074
"77032","Beton-Bazoches",2552.05977486
"77033","Bezalles",2441.53007144
"77034","Blandy",12481.47688075
"77035","Blennes",1467.00537575
"77036","Boisdon",2388.01835749
"77037","Bois-le-Roi",20302.97184501
"77038","Boissettes",32234.61876908
"77039","Boissise-la-Bertrand",36546.1401289
"77040","Boissise-le-Roi",30877.21988513
"77041","Boissy-aux-Cailles",2456.86157192
"77042","Boissy-le-Chatel",7618.81486049
"77043","Boitron",4201.14663672
"77044","Bombon",6478.36069146
"77045","Bougligny",4669.16881044
"77046","Boulancourt",1132.94738634
"77047","Bouleurs",21324.77419172
"77048","Bourron-Marlotte",8972.66186957
"77049","Boutigny",21313.93537661
"77050","Bransles",2038.54791455
"77051","Bray-sur-Seine",2421.7731896
"77052","Breau",5992.42525752
"77053","Brie-Comte-Robert",56489.30177027
"77054","La Brosse-Montceaux",4853.16718156
"77055","Brou-sur-Chantereine",129407.81630712
"77056","Burcy",1924.52370816
"77057","Bussieres",4602.83027654
"77058","Bussy-Saint-Georges",62086.04614616
"77059","Bussy-Saint-Martin",94219.23043279
"77060","Buthiers",1584.2496061
"77061","Cannes-Ecluse",6417.96971165
"77062","Carnetin",70503.11360323
"77063","La Celle-sur-Morin",8552.02214915
"77065","Cely",13471.49938532
"77066","Cerneux",1731.85741719
"77067","Cesson",43392.66349348
"77068","Cessoy-en-Montois",4101.84460088
"77069","Chailly-en-Biere",20367.86200663
"77070","Chailly-en-Brie",7073.54602534
"77071","Chaintreaux",3601.22186855
"77072","Chalautre-la-Grande",1600.53531044
"77073","Chalautre-la-Petite",4441.74054268
"77075","Chalifert",40290.52998034
"77076","Chalmaison",4538.4026305
"77077","Chambry",18001.65563512
"77078","Chamigny",5824.76682193
"77079","Champagne-sur-Seine",11343.08907
"77080","Champcenest",2318.0259184
"77081","Champdeuil",19029.45458345
"77082","Champeaux",9789.71316318
"77083","Champs-sur-Marne",192122.82040757
"77084","Changis-sur-Marne",13432.11073216
"77085","Chanteloup-en-Brie",54597.56510751
"77086","La Chapelle-Gauthier",6601.31289883
"77087","La Chapelle-Iger",4401.23910416
"77088","La Chapelle-la-Reine",3961.59788842
"77089","La Chapelle-Rablais",4890.58726576
"77090","La Chapelle-Saint-Sulpice",4421.12968324
"77091","Les Chapelles-Bourbon",12070.27973177
"77093","La Chapelle-Moutils",1905.4079665
"77094","Charmentray",29601.73169927
"77095","Charny",27248.59694286
"77096","Chartrettes",21325.33107051
"77097","Chartronges",3365.01086838
