"ID","NAMES","employe_AsTheCowRolls_POT_5"
"75101","Paris 1er Arrondissement",73694.30833355
"75102","Paris 2e  Arrondissement",78266.2281511
"75103","Paris 3e  Arrondissement",104012.19385727
"75104","Paris 4e  Arrondissement",93455.31388507
"75105","Paris 5e  Arrondissement",84653.68548783
"75106","Paris 6e  Arrondissement",75194.21944777
"75107","Paris 7e  Arrondissement",59851.20129191
"75108","Paris 8e  Arrondissement",85586.90702182
"75109","Paris 9e  Arrondissement",105324.23988739
"75110","Paris 10e  Arrondissement",134821.33728298
"75111","Paris 11e  Arrondissement",105328.26564442
"75112","Paris 12e  Arrondissement",82222.18636703
"75113","Paris 13e  Arrondissement",94378.72111158
"75114","Paris 14e  Arrondissement",83916.71901524
"75115","Paris 15e  Arrondissement",62801.94895163
"75116","Paris 16e  Arrondissement",38616.61039675
"75117","Paris 17e  Arrondissement",91247.86523985
"75118","Paris 18e  Arrondissement",93927.14858528
"75119","Paris 19e  Arrondissement",96407.78752048
"75120","Paris 20e  Arrondissement",101900.80184346
"77001","Acheres-la-Foret",275.00757715
"77002","Amillis",248.80925635
"77003","Amponville",243.09245384
"77004","Andrezel",519.64833808
"77005","Annet-sur-Marne",1315.32014454
"77006","Arbonne-la-Foret",246.85733185
"77007","Argentieres",813.56490827
"77008","Armentieres-en-Brie",319.04839563
"77009","Arville",77.5551894
"77010","Aubepierre-Ozouer-le-Repos",865.6199701
"77011","Aufferville",179.06838156
"77012","Augers-en-Brie",114.27816936
"77013","Aulnoy",952.07837169
"77014","Avon",3785.45619275
"77015","Baby",109.20415671
"77016","Bagneaux-sur-Loing",1561.90586489
"77018","Bailly-Romainvilliers",3743.81010304
"77019","Balloy",182.97005633
"77020","Bannost-Villegagnon",143.61864484
"77021","Barbey",332.26315555
"77022","Barbizon",390.80807512
"77023","Barcy",1161.22732759
"77024","Bassevelle",103.8566862
"77025","Bazoches-les-Bray",319.99299305
"77026","Beauchery-Saint-Martin",137.76139468
"77027","Beaumont-du-Gatinais",169.86558368
"77028","Beautheil",330.81658195
"77029","Beauvoir",1051.98707859
"77030","Bellot",306.22032241
"77031","Bernay-Vilbert",437.98355788
"77032","Beton-Bazoches",221.23935347
"77033","Bezalles",144.7188958
"77034","Blandy",369.05649813
"77035","Blennes",146.20936952
"77036","Boisdon",201.90028507
"77037","Bois-le-Roi",808.57107781
"77038","Boissettes",2444.95407723
"77039","Boissise-la-Bertrand",2408.0198813
"77040","Boissise-le-Roi",1416.23069053
"77041","Boissy-aux-Cailles",88.4499712
"77042","Boissy-le-Chatel",1260.90102941
"77043","Boitron",154.20727692
"77044","Bombon",303.69143707
"77045","Bougligny",200.92776513
"77046","Boulancourt",110.94937133
"77047","Bouleurs",762.82885678
"77048","Bourron-Marlotte",542.43694488
"77049","Boutigny",777.71730627
"77050","Bransles",279.95394162
"77051","Bray-sur-Seine",576.79416644
"77052","Breau",569.90258004
"77053","Brie-Comte-Robert",2886.55247017
"77054","La Brosse-Montceaux",394.58385097
"77055","Brou-sur-Chantereine",7924.40501557
"77056","Burcy",86.09418445
"77057","Bussieres",184.50850629
"77058","Bussy-Saint-Georges",8323.48210472
"77059","Bussy-Saint-Martin",9924.80709272
"77060","Buthiers",156.45079632
"77061","Cannes-Ecluse",1217.23653364
"77062","Carnetin",2764.28811534
"77063","La Celle-sur-Morin",1027.97246949
"77065","Cely",472.23928112
"77066","Cerneux",137.04240254
"77067","Cesson",6231.89457314
"77068","Cessoy-en-Montois",285.79825473
"77069","Chailly-en-Biere",675.5272517
"77070","Chailly-en-Brie",2084.72813526
"77071","Chaintreaux",464.6355263
"77072","Chalautre-la-Grande",98.00061038
"77073","Chalautre-la-Petite",474.12407394
"77075","Chalifert",3685.87861951
"77076","Chalmaison",427.15686857
"77077","Chambry",2388.37048555
"77078","Chamigny",1297.56789659
"77079","Champagne-sur-Seine",2159.93309483
"77080","Champcenest",84.17059634
"77081","Champdeuil",370.36896272
"77082","Champeaux",356.00510958
"77083","Champs-sur-Marne",20396.95353589
"77084","Changis-sur-Marne",543.1475735
"77085","Chanteloup-en-Brie",5680.77731969
"77086","La Chapelle-Gauthier",557.26702277
"77087","La Chapelle-Iger",235.87393727
"77088","La Chapelle-la-Reine",616.55638018
"77089","La Chapelle-Rablais",328.28848642
"77090","La Chapelle-Saint-Sulpice",218.71607269
"77091","Les Chapelles-Bourbon",385.29096736
"77093","La Chapelle-Moutils",123.08348101
"77094","Charmentray",454.43248731
"77095","Charny",473.94154851
"77096","Chartrettes",675.4105642
"77097","Chartronges",155.28750715
"77098","Chateaubleau",177.90806471
"77099","Chateau-Landon",584.02846566
"77100","Le Chatelet-en-Brie",846.00825133
"77101","Chatenay-sur-Seine",237.23806777
"77102","Chatenoy",343.86402048
"77103","Chatillon-la-Borde",360.24040984
"77104","Chatres",365.07648533
"77106","Chauffry",299.11933526
"77107","Chaumes-en-Brie",1202.258534
"77108","Chelles",14607.08155697
"77109","Chenoise",261.712297
"77110","Chenou",398.95341069
"77111","Chessy",5053.10236091
"77112","Chevrainvilliers",287.63318068
"77113","Chevru",355.40483196
"77114","Chevry-Cossigny",1582.02907348
"77115","Chevry-en-Sereine",347.67510099
"77116","Choisy-en-Brie",351.38427645
"77117","Citry",547.94527821
"77118","Claye-Souilly",2829.12308199
"77119","Clos-Fontaine",349.53102592
"77120","Cocherel",203.84126736
"77121","Collegien",10927.25975933
"77122","Combs-la-Ville",6579.08212964
"77123","Compans",1970.69118142
"77124","Conches-sur-Gondoire",6819.6826115
"77125","Conde-Sainte-Libiaire",2481.94416359
"77126","Congis-sur-Therouanne",533.74003417
"77127","Coubert",1272.51506435
"77128","Couilly-Pont-aux-Dames",3360.07116533
"77129","Coulombs-en-Valois",143.13894047
"77130","Coulommes",562.93126275
"77131","Coulommiers",3357.25494511
"77132","Coupvray",3681.74800392
"77133","Courcelles-en-Bassee",311.4938218
"77134","Courchamp",79.03436323
"77135","Courpalay",450.50370725
"77136","Courquetaine",453.18369784
"77137","Courtacon",203.9321564
"77138","Courtomer",307.09680041
"77139","Courtry",5608.64445305
"77140","Coutencon",116.31543448
"77141","Coutevroult",2876.46195216
"77142","Crecy-la-Chapelle",1036.12412757
"77143","Cregy-les-Meaux",6495.02584696
"77144","Crevecoeur-en-Brie",328.94087172
"77145","Crisenoy",325.40082847
"77146","Croissy-Beaubourg",6798.51779334
"77147","La Croix-en-Brie",161.26254582
"77148","Crouy-sur-Ourcq",286.21749446
