"ID","NAMES","artisans_AsTheCowRolls_POT_10"
"77146","Croissy-Beaubourg",8239.62149747
"77147","La Croix-en-Brie",210.95608947
"77148","Crouy-sur-Ourcq",62.2646751
"77149","Cucharmoy",201.80480884
"77150","Cuisy",519.80719331
"77151","Dagny",285.84781453
"77152","Dammarie-les-Lys",2416.07442955
"77153","Dammartin-en-Goele",731.98694992
"77154","Dammartin-sur-Tigeaux",697.67574057
"77155","Dampmart",2740.17621005
"77156","Darvault",738.37966912
"77157","Dhuisy",153.84830033
"77158","Diant",228.64057821
"77159","Donnemarie-Dontilly",221.84774071
"77161","Dormelles",326.03604887
"77162","Doue",322.78060757
"77163","Douy-la-Ramee",186.84826475
"77164","Echouboulains",150.5553399
"77165","Les Ecrennes",347.5362425
"77166","Ecuelles",846.64799065
"77167","Egligny",153.12225272
"77168","Egreville",268.81667317
"77169","Emerainville",9329.3944752
"77170","Episy",935.90262159
"77171","Esbly",2488.92166101
"77172","Esmans",518.20249281
"77173","Etrepilly",697.63563135
"77174","Everly",244.0040308
"77175","Evry-Gregy-sur-Yerre",1909.44412675
"77176","Faremoutiers",989.53189225
"77177","Favieres",1117.9278342
"77178","Fay-les-Nemours",526.34775584
"77179","Fericy",631.95035602
"77180","Ferolles-Attilly",3574.48352107
"77181","Ferrieres-en-Brie",6479.53785789
"77182","La Ferte-Gaucher",398.00015736
"77183","La Ferte-sous-Jouarre",584.86591106
"77184","Flagy",302.17862634
"77185","Fleury-en-Biere",1106.65028314
"77186","Fontainebleau",1558.34238713
"77187","Fontaine-Fourches",132.32864043
"77188","Fontaine-le-Port",858.12462777
"77190","Fontains",201.4938326
"77191","Fontenailles",376.48415902
"77192","Fontenay-Tresigny",726.08840301
"77193","Forfry",339.28535053
"77194","Forges",438.02419697
"77195","Fouju",546.1192444
"77196","Fresnes-sur-Marne",1812.44864611
"77197","Fretoy",193.95578511
"77198","Fromont",199.29797205
"77199","Fublaines",1189.71891881
"77200","Garentreville",216.77402552
"77201","Gastins",288.27285024
"77202","La Genevraye",779.10194613
"77203","Germigny-l'Eveque",925.77308558
"77204","Germigny-sous-Coulombs",31.7517307
"77205","Gesvres-le-Chapitre",437.06704147
"77206","Giremoutiers",861.44871245
"77207","Gironville",159.30127854
"77208","Gouaix",195.29422793
"77209","Gouvernes",5640.73513717
"77210","La Grande-Paroisse",501.17987545
"77211","Grandpuits-Bailly-Carrois",381.52959205
"77212","Gravon",177.57203518
"77214","Gressy",2664.72719556
"77215","Gretz-Armainvilliers",2517.36754173
"77216","Grez-sur-Loing",961.82274128
"77217","Grisy-Suisnes",1927.44993715
"77218","Grisy-sur-Seine",180.36698176
"77219","Guerard",926.31811231
"77220","Guercheville",222.74604706
"77221","Guermantes",4970.10777926
"77222","Guignes",889.76735941
"77223","Gurcy-le-Chatel",173.76921107
"77224","Hautefeuille",496.87534844
"77225","La Haute-Maison",557.95241142
