"ID","NAMES","ouvrier_AsTheCowRolls_POT_0"
"77195","Fouju",58
"77196","Fresnes-sur-Marne",92
"77197","Fretoy",4
"77198","Fromont",12
"77199","Fublaines",130
"77200","Garentreville",8
"77201","Gastins",102
"77202","La Genevraye",76
"77203","Germigny-l'Eveque",116
"77204","Germigny-sous-Coulombs",27
"77205","Gesvres-le-Chapitre",8
"77206","Giremoutiers",4
"77207","Gironville",4
"77208","Gouaix",199
"77209","Gouvernes",79
"77210","La Grande-Paroisse",261
"77211","Grandpuits-Bailly-Carrois",144
"77212","Gravon",19
"77214","Gressy",33
"77215","Gretz-Armainvilliers",1098
"77216","Grez-sur-Loing",151
"77217","Grisy-Suisnes",206
"77218","Grisy-sur-Seine",19
"77219","Guerard",149
"77220","Guercheville",20
"77221","Guermantes",88
"77222","Guignes",385
"77223","Gurcy-le-Chatel",36
"77224","Hautefeuille",76
"77225","La Haute-Maison",56
"77226","Hericy",168
"77227","Herme",85
"77228","Hondevilliers",12
"77229","La Houssaye-en-Brie",159
"77230","Ichy",23
"77231","Isles-les-Meldeuses",111
"77232","Isles-les-Villenoy",85
"77233","Iverny",72
"77234","Jablines",71
"77235","Jaignes",25
"77236","Jaulnes",77
"77237","Jossigny",64
"77238","Jouarre",430
"77239","Jouy-le-Chatel",180
"77240","Jouy-sur-Morin",369
"77241","Juilly",301
"77242","Jutigny",70
"77243","Lagny-sur-Marne",2102
"77244","Larchant",44
"77245","Laval-en-Brie",86
"77246","Lechelle",81
"77247","Lescherolles",72
"77248","Lesches",32
"77249","Lesigny",316
"77250","Leudon-en-Brie",12
"77251","Lieusaint",1066
"77252","Limoges-Fourches",45
"77253","Lissy",25
"77254","Liverdy-en-Brie",114
"77255","Livry-sur-Seine",128
"77256","Lizines",27
"77257","Lizy-sur-Ourcq",569
"77258","Lognes",1626
"77259","Longperrier",251
"77260","Longueville",212
"77261","Lorrez-le-Bocage-Preaux",129
"77262","Louan-Villegruis-Fontaine",49
"77263","Luisetaines",25
"77264","Lumigny-Nesles-Ormeaux",124
"77265","Luzancy",104
"77266","Machault",92
"77267","La Madeleine-sur-Loing",43
"77268","Magny-le-Hongre",364
"77269","Maincy",151
"77270","Maisoncelles-en-Brie",36
"77271","Maisoncelles-en-Gatinais",17
"77272","Maison-Rouge",140
"77273","Marchemoret",56
"77274","Marcilly",67
"77275","Les Marets",8
"77276","Mareuil-les-Meaux",221
"77277","Marles-en-Brie",128
"77278","Marolles-en-Brie",32
"77279","Marolles-sur-Seine",147
"77280","Mary-sur-Marne",131
"77281","Mauperthuis",75
"77282","Mauregard",57
"77283","May-en-Multien",144
"77284","Meaux",6427
"77285","Le Mee-sur-Seine",2712
"77286","Meigneux",8
"77287","Meilleray",76
"77288","Melun",4702
"77289","Melz-sur-Seine",45
"77290","Mery-sur-Marne",62
"77291","Le Mesnil-Amelot",120
"77292","Messy",87
"77293","Misy-sur-Yonne",73
"77294","Mitry-Mory",2247
"77295","Moisenay",120
"77296","Moissy-Cramayel",1929
"77297","Mondreville",76
"77298","Mons-en-Montois",73
"77299","Montarlot",31
"77300","Montceaux-les-Meaux",56
"77301","Montceaux-les-Provins",39
"77302","Montcourt-Fromonville",161
"77303","Montdauphin",41
"77304","Montenils",9
"77305","Montereau-Fault-Yonne",2305
"77306","Montereau-sur-le-Jard",55
"77307","Montevrain",567
"77308","Montge-en-Goele",60
"77309","Monthyon",156
"77310","Montigny-le-Guesdier",48
"77311","Montigny-Lencoup",120
"77312","Montigny-sur-Loing",224
"77313","Montmachoux",20
"77314","Montolivet",52
"77315","Montry",238
"77316","Moret-sur-Loing",259
"77317","Mormant",626
"77318","Mortcerf",91
"77319","Mortery",30
"77320","Mouroux",466
"77321","Mousseaux-les-Bray",88
"77322","Moussy-le-Neuf",295
"77323","Moussy-le-Vieux",116
"77325","Mouy-sur-Seine",48
"77326","Nandy",568
"77327","Nangis",1064
"77328","Nanteau-sur-Essonne",31
"77329","Nanteau-sur-Lunain",32
"77330","Nanteuil-les-Meaux",522
"77331","Nanteuil-sur-Marne",61
"77332","Nantouillet",36
"77333","Nemours",1712
"77335","Chauconin-Neufmontiers",143
"77336","Neufmoutiers-en-Brie",92
"77337","Noisiel",1512
"77338","Noisy-Rudignon",74
"77339","Noisy-sur-Ecole",61
"77340","Nonville",73
"77341","Noyen-sur-Seine",50
"77342","Obsonville",12
"77343","Ocquerre",49
"77344","Oissery",279
"77345","Orly-sur-Morin",80
"77347","Les Ormes-sur-Voulzie",52
