"ID","NAMES","total_AsTheCowRolls_POT_5"
"75101","Paris 1er Arrondissement",384298.34717281
"75102","Paris 2e  Arrondissement",395863.76886398
"75103","Paris 3e  Arrondissement",499589.90203353
"75104","Paris 4e  Arrondissement",462156.19029301
"75105","Paris 5e  Arrondissement",424047.65884707
"75106","Paris 6e  Arrondissement",391505.80008974
"75107","Paris 7e  Arrondissement",318938.42520476
"75108","Paris 8e  Arrondissement",421789.00306824
"75109","Paris 9e  Arrondissement",506171.26749142
"75110","Paris 10e  Arrondissement",612467.46662472
"75111","Paris 11e  Arrondissement",487556.43891171
"75112","Paris 12e  Arrondissement",372939.86143953
"75113","Paris 13e  Arrondissement",428741.45371954
"75114","Paris 14e  Arrondissement",401917.70579806
"75115","Paris 15e  Arrondissement",324732.05609163
"75116","Paris 16e  Arrondissement",204030.17467376
"75117","Paris 17e  Arrondissement",428791.65346662
"75118","Paris 18e  Arrondissement",414081.2474416
"75119","Paris 19e  Arrondissement",381832.49135757
"75120","Paris 20e  Arrondissement",434645.80853006
"77001","Acheres-la-Foret",1033.58624353
"77002","Amillis",712.29386346
"77003","Amponville",766.60502595
"77004","Andrezel",1500.25911395
"77005","Annet-sur-Marne",5023.26973363
"77006","Arbonne-la-Foret",917.77578152
"77007","Argentieres",2668.09863318
"77008","Armentieres-en-Brie",986.76046726
"77009","Arville",278.24910019
"77010","Aubepierre-Ozouer-le-Repos",2812.80181592
"77011","Aufferville",695.4573558
"77012","Augers-en-Brie",499.74376026
"77013","Aulnoy",2686.68575136
"77014","Avon",13453.61129988
"77015","Baby",366.51349023
"77016","Bagneaux-sur-Loing",4513.21692968
"77018","Bailly-Romainvilliers",11115.04983203
"77019","Balloy",622.89626018
"77020","Bannost-Villegagnon",545.76219437
"77021","Barbey",1037.29101208
"77022","Barbizon",1844.71475121
"77023","Barcy",3500.83105781
"77024","Bassevelle",347.84521829
"77025","Bazoches-les-Bray",1037.25905271
"77026","Beauchery-Saint-Martin",395.8200886
"77027","Beaumont-du-Gatinais",481.29082989
"77028","Beautheil",1088.31512756
"77029","Beauvoir",3431.21357855
"77030","Bellot",1066.67042002
