"ID","NAMES","intermediaires_AsTheCowRolls_POT_5"
"75101","Paris 1er Arrondissement",87191.55150233
"75102","Paris 2e  Arrondissement",90837.02203167
"75103","Paris 3e  Arrondissement",119572.15080297
"75104","Paris 4e  Arrondissement",110932.4279407
"75105","Paris 5e  Arrondissement",99481.3441157
"75106","Paris 6e  Arrondissement",89553.26374861
"75107","Paris 7e  Arrondissement",70708.15310628
"75108","Paris 8e  Arrondissement",95292.39569853
"75109","Paris 9e  Arrondissement",117454.24714906
"75110","Paris 10e  Arrondissement",146042.44697141
"75111","Paris 11e  Arrondissement",120970.72091856
"75112","Paris 12e  Arrondissement",94408.67410203
"75113","Paris 13e  Arrondissement",104879.26745453
"75114","Paris 14e  Arrondissement",95644.87745264
"75115","Paris 15e  Arrondissement",74796.57935582
"75116","Paris 16e  Arrondissement",43426.51592411
"75117","Paris 17e  Arrondissement",98357.82441616
"75118","Paris 18e  Arrondissement",96688.14919941
"75119","Paris 19e  Arrondissement",92797.41826165
"75120","Paris 20e  Arrondissement",109241.70495367
"77001","Acheres-la-Foret",252.78208649
"77002","Amillis",192.57586477
"77003","Amponville",178.69530407
"77004","Andrezel",388.34327569
"77005","Annet-sur-Marne",1609.64154006
"77006","Arbonne-la-Foret",265.55279528
"77007","Argentieres",724.66558164
"77008","Armentieres-en-Brie",295.52750846
"77009","Arville",71.619962
"77010","Aubepierre-Ozouer-le-Repos",762.70296287
"77011","Aufferville",201.52312309
"77012","Augers-en-Brie",133.41174233
"77013","Aulnoy",645.90603211
"77014","Avon",3760.95864696
"77015","Baby",94.66399021
"77016","Bagneaux-sur-Loing",894.45280386
"77018","Bailly-Romainvilliers",3216.95439288
"77019","Balloy",147.6922992
"77020","Bannost-Villegagnon",149.86090867
"77021","Barbey",323.92600945
"77022","Barbizon",528.02720548
"77023","Barcy",980.79386684
"77024","Bassevelle",72.15084394
"77025","Bazoches-les-Bray",233.43836215
"77026","Beauchery-Saint-Martin",92.22747024
"77027","Beaumont-du-Gatinais",89.9644369
"77028","Beautheil",300.27346231
"77029","Beauvoir",927.08777325
"77030","Bellot",259.54064112
"77031","Bernay-Vilbert",404.41412421
"77032","Beton-Bazoches",148.66667235
"77033","Bezalles",84.68756197
"77034","Blandy",425.73704474
"77035","Blennes",164.89694036
"77036","Boisdon",158.1953293
"77037","Bois-le-Roi",1337.85238899
"77038","Boissettes",1726.58042283
"77039","Boissise-la-Bertrand",1730.01442818
"77040","Boissise-le-Roi",1585.74901624
"77041","Boissy-aux-Cailles",72.80377363
"77042","Boissy-le-Chatel",990.31945014
"77043","Boitron",117.45437109
"77044","Bombon",335.36866243
"77045","Bougligny",162.6199601
"77046","Boulancourt",124.14697285
"77047","Bouleurs",829.00386638
"77048","Bourron-Marlotte",538.7374041
"77049","Boutigny",789.63362946
"77050","Bransles",167.76619105
"77051","Bray-sur-Seine",398.36199338
"77052","Breau",607.96705284
"77053","Brie-Comte-Robert",2930.9306243
"77054","La Brosse-Montceaux",418.62303609
"77055","Brou-sur-Chantereine",7419.36758847
"77056","Burcy",81.47922282
"77057","Bussieres",135.61884774
"77058","Bussy-Saint-Georges",8969.80871605
"77059","Bussy-Saint-Martin",10219.72781627
"77060","Buthiers",175.05154346
"77061","Cannes-Ecluse",956.36014134
"77062","Carnetin",2771.06472955
"77063","La Celle-sur-Morin",1181.45143835
"77065","Cely",601.96278522
"77066","Cerneux",152.60256146
"77067","Cesson",6074.24873874
"77068","Cessoy-en-Montois",230.92900867
"77069","Chailly-en-Biere",833.41132009
"77070","Chailly-en-Brie",1510.12671616
"77071","Chaintreaux",396.94984832
"77072","Chalautre-la-Grande",59.00118419
"77073","Chalautre-la-Petite",342.04326758
"77075","Chalifert",3700.22426747
"77076","Chalmaison",278.23263412
"77077","Chambry",1802.94909921
"77078","Chamigny",888.43179139
"77079","Champagne-sur-Seine",1819.93404464
"77080","Champcenest",42.97291904
"77081","Champdeuil",339.6057102
"77082","Champeaux",378.83821019
"77083","Champs-sur-Marne",17775.85506564
"77084","Changis-sur-Marne",494.64904999
"77085","Chanteloup-en-Brie",6228.6237782
"77086","La Chapelle-Gauthier",643.3201928
"77087","La Chapelle-Iger",207.89636495
"77088","La Chapelle-la-Reine",465.99523142
"77089","La Chapelle-Rablais",283.30355701
"77090","La Chapelle-Saint-Sulpice",186.36114627
"77091","Les Chapelles-Bourbon",483.31592636
"77093","La Chapelle-Moutils",111.98271381
"77094","Charmentray",549.85822039
"77095","Charny",520.88839461
"77096","Chartrettes",1112.02438189
"77097","Chartronges",101.05541358
"77098","Chateaubleau",158.31063807
"77099","Chateau-Landon",350.69356497
"77100","Le Chatelet-en-Brie",1031.75836257
"77101","Chatenay-sur-Seine",216.42407886
"77102","Chatenoy",305.91984867
"77103","Chatillon-la-Borde",402.77595328
"77104","Chatres",448.80810184
"77106","Chauffry",248.81323069
"77107","Chaumes-en-Brie",1060.48857861
"77108","Chelles",13102.25981836
"77109","Chenoise",131.33608442
"77110","Chenou",235.38297716
"77111","Chessy",5035.78245065
"77112","Chevrainvilliers",239.4599532
"77113","Chevru",240.35603348
"77114","Chevry-Cossigny",1653.46765867
"77115","Chevry-en-Sereine",252.27225779
"77116","Choisy-en-Brie",277.0335587
"77117","Citry",328.83644888
"77118","Claye-Souilly",3186.08023013
"77119","Clos-Fontaine",250.11426489
"77120","Cocherel",152.78701433
"77121","Collegien",10128.04614558
"77122","Combs-la-Ville",6111.41538289
"77123","Compans",1752.18742193
"77124","Conches-sur-Gondoire",7458.78179575
"77125","Conde-Sainte-Libiaire",2637.21148128
"77126","Congis-sur-Therouanne",512.00869437
"77127","Coubert",1305.69943313
"77128","Couilly-Pont-aux-Dames",3587.74879786
"77129","Coulombs-en-Valois",146.42349104
"77130","Coulommes",610.62344336
"77131","Coulommiers",2458.38325596
"77132","Coupvray",3774.15056428
"77133","Courcelles-en-Bassee",310.12760972
"77134","Courchamp",70.19326891
"77135","Courpalay",420.43850248
"77136","Courquetaine",453.94766133
"77137","Courtacon",159.72550833
"77138","Courtomer",334.97611908
"77139","Courtry",5141.46507376
"77140","Coutencon",112.70908313
"77141","Coutevroult",2894.96827141
"77142","Crecy-la-Chapelle",1201.83235699
"77143","Cregy-les-Meaux",4552.45865995
"77144","Crevecoeur-en-Brie",346.98941773
"77145","Crisenoy",314.70835041
"77146","Croissy-Beaubourg",5771.83046522
"77147","La Croix-en-Brie",124.70945504
"77148","Crouy-sur-Ourcq",273.53394609
"77149","Cucharmoy",86.24763658
"77150","Cuisy",359.0292975
"77151","Dagny",184.10615822
"77152","Dammarie-les-Lys",5691.84557447
"77153","Dammartin-en-Goele",2544.87764916
"77154","Dammartin-sur-Tigeaux",494.38887437
"77155","Dampmart",3245.65454166
"77156","Darvault",1313.4885451
"77157","Dhuisy",89.96859629
"77158","Diant",313.18252878
"77159","Donnemarie-Dontilly",333.46826946
"77161","Dormelles",324.77014828
"77162","Doue",245.94247461
"77163","Douy-la-Ramee",94.96299259
"77164","Echouboulains",115.37980921
"77165","Les Ecrennes",386.15953074
"77166","Ecuelles",1351.16721731
"77167","Egligny",155.32635633
"77168","Egreville",298.48147981
"77169","Emerainville",7876.27276068
"77170","Episy",742.10438377
"77171","Esbly",3383.36912776
"77172","Esmans",600.28998702
"77173","Etrepilly",326.34395125
"77174","Everly",296.22906975
"77175","Evry-Gregy-sur-Yerre",479.18601383
"77176","Faremoutiers",1280.4742422
"77177","Favieres",1137.89069778
"77178","Fay-les-Nemours",347.25301608
"77179","Fericy",590.58028694
"77180","Ferolles-Attilly",1790.99851182
"77181","Ferrieres-en-Brie",6068.9029633
"77182","La Ferte-Gaucher",533.77953051
"77183","La Ferte-sous-Jouarre",1503.80652821
"77184","Flagy",337.26652874
"77185","Fleury-en-Biere",603.05583751
"77186","Fontainebleau",3692.23154564
"77187","Fontaine-Fourches",80.00911674
"77188","Fontaine-le-Port",852.78899436
"77190","Fontains",215.87156857
"77191","Fontenailles",1115.62443334
"77192","Fontenay-Tresigny",854.74268494
"77193","Forfry",599.20681959
"77194","Forges",283.06524977
"77195","Fouju",359.32938333
"77196","Fresnes-sur-Marne",1252.2170547
"77197","Fretoy",107.36255935
"77198","Fromont",119.14453655
"77199","Fublaines",1413.130142
"77200","Garentreville",96.74161232
"77201","Gastins",202.39503877
"77202","La Genevraye",540.2663852
"77203","Germigny-l'Eveque",604.83525877
"77204","Germigny-sous-Coulombs",92.92425143
"77205","Gesvres-le-Chapitre",422.9649668
"77206","Giremoutiers",1063.43114527
"77207","Gironville",77.11639201
"77208","Gouaix",257.55207584
"77209","Gouvernes",9452.38987014
"77210","La Grande-Paroisse",554.42529581
"77211","Grandpuits-Bailly-Carrois",573.82297633
"77212","Gravon",80.39815964
"77214","Gressy",1957.71621111
"77215","Gretz-Armainvilliers",2337.74663911
"77216","Grez-sur-Loing",805.0525952
"77217","Grisy-Suisnes",1850.63946948
"77218","Grisy-sur-Seine",134.5405298
"77219","Guerard",1003.57043837
"77220","Guercheville",123.19493293
"77221","Guermantes",9558.69933852
"77222","Guignes",1113.92994414
"77223","Gurcy-le-Chatel",250.31148353
"77224","Hautefeuille",177.37622292
"77225","La Haute-Maison",197.05966224
"77226","Hericy",1025.59719087
"77227","Herme",216.54310321
"77228","Hondevilliers",134.25042022
"77229","La Houssaye-en-Brie",485.21674206
"77230","Ichy",92.53514877
"77231","Isles-les-Meldeuses",782.53479855
"77232","Isles-les-Villenoy",1595.88275116
"77233","Iverny",500.46453559
"77234","Jablines",649.20749482
"77235","Jaignes",279.62411044
"77236","Jaulnes",373.62855977
"77237","Jossigny",5084.00355772
"77238","Jouarre",744.42769405
"77239","Jouy-le-Chatel",276.20163997
"77240","Jouy-sur-Morin",420.64058843
"77241","Juilly",776.19874527
"77242","Jutigny",499.25943619
"77243","Lagny-sur-Marne",9983.32892271
"77244","Larchant",297.58737184
"77245","Laval-en-Brie",488.6855585
"77246","Lechelle",131.49777168
"77247","Lescherolles",219.14023001
"77248","Lesches",1749.87815709
"77249","Lesigny",3373.78345053
"77250","Leudon-en-Brie",76.8790296
"77251","Lieusaint",5280.17332561
"77252","Limoges-Fourches",735.38126317
