"ID","NAMES","employe_AsTheCrowFlies_POT_7500"
"77142","Crecy-la-Chapelle",7203.11270145
"77143","Cregy-les-Meaux",15212.57941682
"77144","Crevecoeur-en-Brie",3345.01315013
"77145","Crisenoy",7222.85725887
"77146","Croissy-Beaubourg",58268.11988512
"77147","La Croix-en-Brie",1962.62466632
"77148","Crouy-sur-Ourcq",1206.84808619
"77149","Cucharmoy",1975.45731372
"77150","Cuisy",6639.30114602
"77151","Dagny",1520.57255566
"77152","Dammarie-les-Lys",21080.31776484
"77153","Dammartin-en-Goele",7086.93620948
"77154","Dammartin-sur-Tigeaux",5486.6287189
"77155","Dampmart",24782.47861534
"77156","Darvault",4708.06637137
"77157","Dhuisy",1716.52496818
"77158","Diant",1491.6258412
"77159","Donnemarie-Dontilly",1869.67139353
"77161","Dormelles",3227.79579119
"77162","Doue",4088.84780752
"77163","Douy-la-Ramee",3530.66022556
"77164","Echouboulains",3009.51899224
"77165","Les Ecrennes",2514.84517494
"77166","Ecuelles",6084.63667874
"77167","Egligny",1834.19151641
"77168","Egreville",1012.76043543
"77169","Emerainville",87779.56083737
"77170","Episy",4921.13506593
"77171","Esbly",18825.08190119
"77172","Esmans",4427.66214894
"77173","Etrepilly",5200.83950769
"77174","Everly",2240.62284324
"77175","Evry-Gregy-sur-Yerre",17795.96910583
"77176","Faremoutiers",4364.85246179
"77177","Favieres",14396.11867296
"77178","Fay-les-Nemours",3963.90613564
"77179","Fericy",5762.77483855
"77180","Ferolles-Attilly",27671.85813974
"77181","Ferrieres-en-Brie",37038.6849129
"77182","La Ferte-Gaucher",2059.08172695
"77183","La Ferte-sous-Jouarre",4495.48062541
"77184","Flagy",2983.81390483
"77185","Fleury-en-Biere",3799.80835115
"77186","Fontainebleau",5959.46381336
"77187","Fontaine-Fourches",431.88353554
"77188","Fontaine-le-Port",7249.51917218
"77190","Fontains",2451.46989019
"77191","Fontenailles",2621.4638466
"77192","Fontenay-Tresigny",4303.94865488
"77193","Forfry",4496.80424663
"77194","Forges",4969.30319044
"77195","Fouju",6524.74427594
"77196","Fresnes-sur-Marne",14844.0403777
"77197","Fretoy",1296.72873238
"77198","Fromont",775.69478358
"77199","Fublaines",14913.4903294
"77200","Garentreville",1184.88309642
"77201","Gastins",2061.79009438
"77202","La Genevraye",4745.56756029
"77203","Germigny-l'Eveque",12229.38730679
"77204","Germigny-sous-Coulombs",930.80129788
"77205","Gesvres-le-Chapitre",6455.88212899
"77206","Giremoutiers",5087.54516544
"77207","Gironville",432.16810542
"77208","Gouaix",2408.957463
"77209","Gouvernes",44306.80556914
"77210","La Grande-Paroisse",6580.06231259
"77211","Grandpuits-Bailly-Carrois",2910.94596777
"77212","Gravon",1402.77203734
"77214","Gressy",24113.47197004
"77215","Gretz-Armainvilliers",14744.62285018
"77216","Grez-sur-Loing",4356.67132662
"77217","Grisy-Suisnes",12272.00420929
"77218","Grisy-sur-Seine",1452.48425225
"77219","Guerard",4789.73930542
"77220","Guercheville",1517.6835947
