"ID","NAMES","ouvrier_AsTheCrowFlies_POT_5000"
"75101","Paris 1er Arrondissement",88941.30837812
"75102","Paris 2e  Arrondissement",95103.60060766
"75103","Paris 3e  Arrondissement",97979.5382919
"75104","Paris 4e  Arrondissement",92343.78741127
"75105","Paris 5e  Arrondissement",83915.30371442
"75106","Paris 6e  Arrondissement",79561.01827582
"75107","Paris 7e  Arrondissement",72445.28501809
"75108","Paris 8e  Arrondissement",79845.47284126
"75109","Paris 9e  Arrondissement",95667.74430926
"75110","Paris 10e  Arrondissement",104584.87095084
"75111","Paris 11e  Arrondissement",98832.00100598
"75112","Paris 12e  Arrondissement",76935.09121843
"75113","Paris 13e  Arrondissement",77334.73098412
"75114","Paris 14e  Arrondissement",66594.19771768
"75115","Paris 15e  Arrondissement",55613.3326652
"75116","Paris 16e  Arrondissement",47967.21812116
"75117","Paris 17e  Arrondissement",81441.22250362
"75118","Paris 18e  Arrondissement",104618.29911707
"75119","Paris 19e  Arrondissement",111599.66821545
"75120","Paris 20e  Arrondissement",99317.72569504
"77001","Acheres-la-Foret",485.77454425
"77002","Amillis",465.15648342
"77003","Amponville",381.65509502
"77004","Andrezel",1381.67217817
"77005","Annet-sur-Marne",4546.6504066
"77006","Arbonne-la-Foret",314.95140076
"77007","Argentieres",1692.84900216
"77008","Armentieres-en-Brie",1501.42125657
"77009","Arville",183.93036084
"77010","Aubepierre-Ozouer-le-Repos",1312.02728705
"77011","Aufferville",314.61910717
"77012","Augers-en-Brie",234.09572236
"77013","Aulnoy",2269.74476004
"77014","Avon",2600.91334863
"77015","Baby",200.74415778
"77016","Bagneaux-sur-Loing",2362.00974512
"77018","Bailly-Romainvilliers",3149.68812259
"77019","Balloy",441.76876225
"77020","Bannost-Villegagnon",447.59964213
"77021","Barbey",1003.53132365
"77022","Barbizon",880.97140766
"77023","Barcy",2367.46159199
"77024","Bassevelle",468.73336706
"77025","Bazoches-les-Bray",640.46208554
"77026","Beauchery-Saint-Martin",210.71295306
"77027","Beaumont-du-Gatinais",128.15923102
"77028","Beautheil",1299.99876523
"77029","Beauvoir",1738.76172045
"77030","Bellot",793.04268785
"77031","Bernay-Vilbert",1083.21284001
"77032","Beton-Bazoches",394.73064284
"77033","Bezalles",365.14054999
"77034","Blandy",698.21780302
"77035","Blennes",137.95049517
"77036","Boisdon",398.23000413
"77037","Bois-le-Roi",1967.28754802
"77038","Boissettes",10549.45807687
"77039","Boissise-la-Bertrand",9636.31185056
"77040","Boissise-le-Roi",5328.43583176
"77041","Boissy-aux-Cailles",369.65967989
"77042","Boissy-le-Chatel",2465.20755075
"77043","Boitron",700.528427
"77044","Bombon",987.85366051
"77045","Bougligny",1037.65107548
"77046","Boulancourt",198.68114481
"77047","Bouleurs",2215.39593617
"77048","Bourron-Marlotte",894.03907917
"77049","Boutigny",4604.22383397
"77050","Bransles",335.65202964
"77051","Bray-sur-Seine",830.19022258
"77052","Breau",901.30371063
"77053","Brie-Comte-Robert",4779.43188531
"77054","La Brosse-Montceaux",926.53579055
"77055","Brou-sur-Chantereine",15846.84668502
"77056","Burcy",139.52987678
"77057","Bussieres",811.82901689
"77058","Bussy-Saint-Georges",6903.68270012
"77059","Bussy-Saint-Martin",12525.5886115
"77060","Buthiers",250.25168605
"77061","Cannes-Ecluse",2920.12730646
"77062","Carnetin",6856.26348226
"77063","La Celle-sur-Morin",1279.85304046
"77065","Cely",782.41156068
"77066","Cerneux",227.95647853
"77067","Cesson",10161.91065007
"77068","Cessoy-en-Montois",700.44995836
"77069","Chailly-en-Biere",2388.35823346
"77070","Chailly-en-Brie",2269.93870726
"77071","Chaintreaux",737.95934155
"77072","Chalautre-la-Grande",186.31807513
"77073","Chalautre-la-Petite",1734.16485493
"77075","Chalifert",4783.99985021
"77076","Chalmaison",1113.23083338
"77077","Chambry",5209.14940567
"77078","Chamigny",1437.64090118
"77079","Champagne-sur-Seine",2835.10862592
"77080","Champcenest",287.4739998
"77081","Champdeuil",1029.15562309
"77082","Champeaux",1049.76017507
"77083","Champs-sur-Marne",27871.31293785
"77084","Changis-sur-Marne",1335.78712838
"77085","Chanteloup-en-Brie",7371.14210819
"77086","La Chapelle-Gauthier",722.08744205
"77087","La Chapelle-Iger",698.85763388
"77088","La Chapelle-la-Reine",551.71014597
