"ID","NAMES","cadres_AsTheCowRolls_POT_0"
"75101","Paris 1er Arrondissement",5230
"75102","Paris 2e  Arrondissement",7138
"75103","Paris 3e  Arrondissement",11154
"75104","Paris 4e  Arrondissement",7770
"75105","Paris 5e  Arrondissement",16527
"75106","Paris 6e  Arrondissement",10687
"75107","Paris 7e  Arrondissement",14397
"75108","Paris 8e  Arrondissement",10395
"75109","Paris 9e  Arrondissement",17955
"75110","Paris 10e  Arrondissement",23634
"75111","Paris 11e  Arrondissement",40738
"75112","Paris 12e  Arrondissement",36343
"75113","Paris 13e  Arrondissement",37109
"75114","Paris 14e  Arrondissement",33942
"75115","Paris 15e  Arrondissement",63059
"75116","Paris 16e  Arrondissement",37053
"75117","Paris 17e  Arrondissement",43538
"75118","Paris 18e  Arrondissement",41525
"75119","Paris 19e  Arrondissement",28736
"75120","Paris 20e  Arrondissement",34351
"77001","Acheres-la-Foret",147
"77002","Amillis",31
"77003","Amponville",44
"77004","Andrezel",40
"77005","Annet-sur-Marne",424
"77006","Arbonne-la-Foret",96
"77007","Argentieres",37
"77008","Armentieres-en-Brie",57
"77009","Arville",4
"77010","Aubepierre-Ozouer-le-Repos",49
"77011","Aufferville",44
"77012","Augers-en-Brie",16
"77013","Aulnoy",40
"77014","Avon",1483
"77015","Baby",4
"77016","Bagneaux-sur-Loing",44
"77018","Bailly-Romainvilliers",824
"77019","Balloy",20
"77020","Bannost-Villegagnon",39
"77021","Barbey",0
"77022","Barbizon",125
"77023","Barcy",7
"77024","Bassevelle",45
"77025","Bazoches-les-Bray",33
"77026","Beauchery-Saint-Martin",20
"77027","Beaumont-du-Gatinais",40
"77028","Beautheil",71
"77029","Beauvoir",21
"77030","Bellot",61
"77031","Bernay-Vilbert",85
"77032","Beton-Bazoches",33
"77033","Bezalles",15
"77034","Blandy",95
"77035","Blennes",68
"77036","Boisdon",0
"77037","Bois-le-Roi",1044
"77038","Boissettes",72
"77039","Boissise-la-Bertrand",148
"77040","Boissise-le-Roi",358
"77041","Boissy-aux-Cailles",48
"77042","Boissy-le-Chatel",152
"77043","Boitron",28
"77044","Bombon",64
"77045","Bougligny",43
"77046","Boulancourt",16
"77047","Bouleurs",121
"77048","Bourron-Marlotte",217
"77049","Boutigny",68
"77050","Bransles",29
"77051","Bray-sur-Seine",41
"77052","Breau",54
"77053","Brie-Comte-Robert",1285
"77054","La Brosse-Montceaux",16
"77055","Brou-sur-Chantereine",206
"77056","Burcy",0
"77057","Bussieres",4
"77058","Bussy-Saint-Georges",4001
"77059","Bussy-Saint-Martin",92
"77060","Buthiers",32
"77061","Cannes-Ecluse",100
"77062","Carnetin",93
"77063","La Celle-sur-Morin",112
"77065","Cely",191
"77066","Cerneux",8
"77067","Cesson",1005
"77068","Cessoy-en-Montois",8
"77069","Chailly-en-Biere",195
"77070","Chailly-en-Brie",68
"77071","Chaintreaux",41
"77072","Chalautre-la-Grande",35
"77073","Chalautre-la-Petite",51
"77075","Chalifert",136
"77076","Chalmaison",32
"77077","Chambry",51
"77078","Chamigny",97
"77079","Champagne-sur-Seine",276
"77080","Champcenest",9
"77081","Champdeuil",48
"77082","Champeaux",59
"77083","Champs-sur-Marne",2573
"77084","Changis-sur-Marne",114
"77085","Chanteloup-en-Brie",282
"77086","La Chapelle-Gauthier",66
"77087","La Chapelle-Iger",12
"77088","La Chapelle-la-Reine",150
"77089","La Chapelle-Rablais",78
"77090","La Chapelle-Saint-Sulpice",15
"77091","Les Chapelles-Bourbon",53
"77093","La Chapelle-Moutils",12
"77094","Charmentray",16
"77095","Charny",71
"77096","Chartrettes",360
"77097","Chartronges",8
"77098","Chateaubleau",28
"77099","Chateau-Landon",128
"77100","Le Chatelet-en-Brie",275
"77101","Chatenay-sur-Seine",40
"77102","Chatenoy",7
"77103","Chatillon-la-Borde",36
"77104","Chatres",57
"77106","Chauffry",54
"77107","Chaumes-en-Brie",206
"77108","Chelles",4439
"77109","Chenoise",44
"77110","Chenou",12
"77111","Chessy",632
"77112","Chevrainvilliers",16
"77113","Chevru",44
"77114","Chevry-Cossigny",419
"77115","Chevry-en-Sereine",28
"77116","Choisy-en-Brie",83
"77117","Citry",40
"77118","Claye-Souilly",1017
"77119","Clos-Fontaine",8
"77120","Cocherel",33
"77121","Collegien",340
"77122","Combs-la-Ville",1895
"77123","Compans",46
"77124","Conches-sur-Gondoire",283
"77125","Conde-Sainte-Libiaire",179
"77126","Congis-sur-Therouanne",84
"77127","Coubert",114
"77128","Couilly-Pont-aux-Dames",201
"77129","Coulombs-en-Valois",36
"77130","Coulommes",24
"77131","Coulommiers",542
"77132","Coupvray",273
"77133","Courcelles-en-Bassee",20
"77134","Courchamp",12
"77135","Courpalay",111
"77136","Courquetaine",36
"77137","Courtacon",7
"77138","Courtomer",78
"77139","Courtry",553
"77140","Coutencon",8
"77141","Coutevroult",102
"77142","Crecy-la-Chapelle",464
"77143","Cregy-les-Meaux",268
"77144","Crevecoeur-en-Brie",8
"77145","Crisenoy",44
"77146","Croissy-Beaubourg",283
"77147","La Croix-en-Brie",24
"77148","Crouy-sur-Ourcq",92
"77149","Cucharmoy",13
"77150","Cuisy",36
"77151","Dagny",16
"77152","Dammarie-les-Lys",1073
"77153","Dammartin-en-Goele",647
"77154","Dammartin-sur-Tigeaux",119
"77155","Dampmart",276
"77156","Darvault",59
"77157","Dhuisy",24
"77158","Diant",13
"77159","Donnemarie-Dontilly",105
"77161","Dormelles",118
"77162","Doue",64
"77163","Douy-la-Ramee",31
"77164","Echouboulains",23
"77165","Les Ecrennes",36
"77166","Ecuelles",152
"77167","Egligny",4
"77168","Egreville",93
"77169","Emerainville",753
"77170","Episy",80
"77171","Esbly",650
"77172","Esmans",44
"77173","Etrepilly",40
"77174","Everly",16
"77175","Evry-Gregy-sur-Yerre",317
"77176","Faremoutiers",162
"77177","Favieres",116
"77178","Fay-les-Nemours",46
"77179","Fericy",106
"77180","Ferolles-Attilly",141
"77181","Ferrieres-en-Brie",259
"77182","La Ferte-Gaucher",64
"77183","La Ferte-sous-Jouarre",448
"77184","Flagy",61
"77185","Fleury-en-Biere",76
"77186","Fontainebleau",1874
"77187","Fontaine-Fourches",24
"77188","Fontaine-le-Port",124
"77190","Fontains",13
"77191","Fontenailles",96
"77192","Fontenay-Tresigny",322
"77193","Forfry",24
"77194","Forges",16
"77195","Fouju",31
"77196","Fresnes-sur-Marne",72
"77197","Fretoy",12
"77198","Fromont",32
"77199","Fublaines",110
"77200","Garentreville",4
"77201","Gastins",43
"77202","La Genevraye",68
"77203","Germigny-l'Eveque",128
"77204","Germigny-sous-Coulombs",8
"77205","Gesvres-le-Chapitre",17
"77206","Giremoutiers",16
"77207","Gironville",0
"77208","Gouaix",24
"77209","Gouvernes",146
"77210","La Grande-Paroisse",149
"77211","Grandpuits-Bailly-Carrois",44
"77212","Gravon",8
"77214","Gressy",131
"77215","Gretz-Armainvilliers",461
"77216","Grez-sur-Loing",73
"77217","Grisy-Suisnes",239
"77218","Grisy-sur-Seine",4
"77219","Guerard",237
"77220","Guercheville",20
"77221","Guermantes",226
"77222","Guignes",132
"77223","Gurcy-le-Chatel",40
"77224","Hautefeuille",24
"77225","La Haute-Maison",4
"77226","Hericy",306
"77227","Herme",35
"77228","Hondevilliers",20
"77229","La Houssaye-en-Brie",163
"77230","Ichy",11
"77231","Isles-les-Meldeuses",32
"77232","Isles-les-Villenoy",69
"77233","Iverny",32
"77234","Jablines",55
"77235","Jaignes",38
"77236","Jaulnes",24
"77237","Jossigny",52
"77238","Jouarre",201
"77239","Jouy-le-Chatel",103
"77240","Jouy-sur-Morin",53
"77241","Juilly",73
"77242","Jutigny",21
"77243","Lagny-sur-Marne",1992
"77244","Larchant",84
"77245","Laval-en-Brie",4
"77246","Lechelle",32
"77247","Lescherolles",36
"77248","Lesches",93
"77249","Lesigny",965
"77250","Leudon-en-Brie",0
"77251","Lieusaint",742
"77252","Limoges-Fourches",29
"77253","Lissy",4
"77254","Liverdy-en-Brie",114
"77255","Livry-sur-Seine",124
"77256","Lizines",8
"77257","Lizy-sur-Ourcq",112
"77258","Lognes",1191
"77259","Longperrier",183
"77260","Longueville",65
"77261","Lorrez-le-Bocage-Preaux",59
"77262","Louan-Villegruis-Fontaine",28
"77263","Luisetaines",33
"77264","Lumigny-Nesles-Ormeaux",116
"77265","Luzancy",60
"77266","Machault",58
"77267","La Madeleine-sur-Loing",12
"77268","Magny-le-Hongre",996
"77269","Maincy",195
"77270","Maisoncelles-en-Brie",87
"77271","Maisoncelles-en-Gatinais",4
"77272","Maison-Rouge",45
"77273","Marchemoret",32
"77274","Marcilly",38
"77275","Les Marets",8
"77276","Mareuil-les-Meaux",237
"77277","Marles-en-Brie",84
"77278","Marolles-en-Brie",24
"77279","Marolles-sur-Seine",72
"77280","Mary-sur-Marne",40
"77281","Mauperthuis",59
"77282","Mauregard",0
"77283","May-en-Multien",40
"77284","Meaux",2548
"77285","Le Mee-sur-Seine",788
"77286","Meigneux",19
"77287","Meilleray",12
"77288","Melun",2950
"77289","Melz-sur-Seine",0
"77290","Mery-sur-Marne",66
"77291","Le Mesnil-Amelot",36
"77292","Messy",102
"77293","Misy-sur-Yonne",36
"77294","Mitry-Mory",1032
"77295","Moisenay",84
"77296","Moissy-Cramayel",1069
"77297","Mondreville",16
"77298","Mons-en-Montois",49
"77299","Montarlot",12
"77300","Montceaux-les-Meaux",60
"77301","Montceaux-les-Provins",12
"77302","Montcourt-Fromonville",153
"77303","Montdauphin",8
"77304","Montenils",0
"77305","Montereau-Fault-Yonne",428
"77306","Montereau-sur-le-Jard",51
"77307","Montevrain",1226
"77308","Montge-en-Goele",68
"77309","Monthyon",112
"77310","Montigny-le-Guesdier",12
"77311","Montigny-Lencoup",60
"77312","Montigny-sur-Loing",358
"77313","Montmachoux",24
"77314","Montolivet",12
"77315","Montry",379
"77316","Moret-sur-Loing",434
"77317","Mormant",162
"77318","Mortcerf",131
"77319","Mortery",4
"77320","Mouroux",294
"77321","Mousseaux-les-Bray",19
"77322","Moussy-le-Neuf",258
"77323","Moussy-le-Vieux",36
"77325","Mouy-sur-Seine",0
"77326","Nandy",473
"77327","Nangis",328
"77328","Nanteau-sur-Essonne",31
"77329","Nanteau-sur-Lunain",40
"77330","Nanteuil-les-Meaux",418
"77331","Nanteuil-sur-Marne",20
"77332","Nantouillet",8
"77333","Nemours",508
"77335","Chauconin-Neufmontiers",123
"77336","Neufmoutiers-en-Brie",92
"77337","Noisiel",1345
"77338","Noisy-Rudignon",33
"77339","Noisy-sur-Ecole",295
"77340","Nonville",32
"77341","Noyen-sur-Seine",17
"77342","Obsonville",0
"77343","Ocquerre",21
"77344","Oissery",128
"77345","Orly-sur-Morin",40
"77347","Les Ormes-sur-Voulzie",28
"77348","Ormesson",20
"77349","Othis",456
"77350","Ozoir-la-Ferriere",2144
"77352","Ozouer-le-Voulgis",112
"77353","Paley",48
"77354","Pamfou",47
"77355","Paroy",4
"77356","Passy-sur-Seine",0
"77357","Pecy",40
"77358","Penchard",65
"77359","Perthes",236
"77360","Pezarches",23
"77361","Pierre-Levee",32
"77363","Le Pin",107
"77364","Le Plessis-aux-Bois",0
"77365","Le Plessis-Feu-Aussoux",48
"77366","Le Plessis-l'Eveque",37
"77367","Le Plessis-Placy",35
"77368","Poigny",24
"77369","Poincy",59
"77370","Poligny",52
"77371","Pommeuse",204
"77372","Pomponne",291
"77373","Pontault-Combault",2836
"77374","Pontcarre",209
"77376","Precy-sur-Marne",72
"77377","Presles-en-Brie",187
"77378","Pringy",228
"77379","Provins",555
"77380","Puisieux",4
"77381","Quiers",33
"77382","Quincy-Voisins",520
"77383","Rampillon",16
"77384","Reau",86
"77385","Rebais",36
"77386","Recloses",88
"77387","Remauville",4
"77388","Reuil-en-Brie",68
"77389","La Rochette",372
"77390","Roissy-en-Brie",1543
"77391","Rouilly",16
"77392","Rouvres",84
"77393","Rozay-en-Brie",191
"77394","Rubelles",176
"77395","Rumont",24
"77396","Rupereux",0
"77397","Saacy-sur-Marne",60
"77398","Sablonnieres",49
"77399","Saint-Ange-le-Viel",4
"77400","Saint-Augustin",132
"77401","Sainte-Aulde",34
"77402","Saint-Barthelemy",26
"77403","Saint-Brice",24
"77404","Sainte-Colombe",48
"77405","Saint-Cyr-sur-Morin",94
"77406","Saint-Denis-les-Rebais",85
"77407","Saint-Fargeau-Ponthierry",1058
"77408","Saint-Fiacre",27
"77409","Saint-Germain-Laval",120
"77410","Saint-Germain-Laxis",24
"77411","Saint-Germain-sous-Doue",32
"77412","Saint-Germain-sur-Ecole",37
"77413","Saint-Germain-sur-Morin",305
"77414","Saint-Hilliers",4
"77415","Saint-Jean-les-Deux-Jumeaux",75
"77416","Saint-Just-en-Brie",8
"77417","Saint-Leger",8
"77418","Saint-Loup-de-Naud",28
"77419","Saint-Mammes",256
"77420","Saint-Mard",265
"77421","Saint-Mars-Vieux-Maisons",8
"77423","Saint-Martin-des-Champs",24
"77424","Saint-Martin-du-Boschet",16
"77425","Saint-Martin-en-Biere",103
"77426","Saint-Mery",49
"77427","Saint-Mesmes",27
"77428","Saint-Ouen-en-Brie",44
"77429","Saint-Ouen-sur-Morin",28
"77430","Saint-Pathus",424
"77431","Saint-Pierre-les-Nemours",320
"77432","Saint-Remy-la-Vanne",57
"77433","Saints",84
"77434","Saint-Sauveur-les-Bray",12
"77435","Saint-Sauveur-sur-Ecole",141
"77436","Saint-Simeon",35
"77437","Saint-Soupplets",204
"77438","Saint-Thibault-des-Vignes",627
"77439","Salins",48
"77440","Sammeron",54
"77441","Samois-sur-Seine",315
"77442","Samoreau",269
"77443","Sancy",40
"77444","Sancy-les-Provins",16
"77445","Savigny-le-Temple",1906
"77446","Savins",25
"77447","Seine-Port",281
"77448","Sept-Sorts",28
"77449","Serris",952
"77450","Servon",380
"77451","Signy-Signets",32
"77452","Sigy",8
"77453","Sivry-Courtry",97
"77454","Sognolles-en-Montois",21
"77455","Soignolles-en-Brie",168
"77456","Soisy-Bouy",32
"77457","Solers",111
"77458","Souppes-sur-Loing",200
"77459","Sourdun",41
"77460","Tancrou",13
"77461","Thenisy",12
"77462","Thieux",20
"77463","Thomery",424
"77464","Thorigny-sur-Marne",896
"77465","Thoury-Ferottes",24
"77466","Tigeaux",28
"77467","La Tombe",0
"77468","Torcy",1905
"77469","Touquin",124
"77470","Tournan-en-Brie",569
"77471","Tousson",12
"77472","La Tretoire",32
"77473","Treuzy-Levelay",28
"77474","Trilbardou",61
"77475","Trilport",327
"77476","Trocy-en-Multien",17
"77477","Ury",82
"77478","Ussy-sur-Marne",64
"77479","Vaires-sur-Marne",1094
"77480","Valence-en-Brie",28
"77481","Vanville",12
"77482","Varennes-sur-Seine",101
"77483","Varreddes",148
"77484","Vaucourtois",12
"77485","Le Vaudoue",102
"77486","Vaudoy-en-Brie",64
"77487","Vaux-le-Penil",1113
"77489","Vaux-sur-Lunain",16
"77490","Vendrest",36
"77491","Veneux-les-Sablons",623
"77492","Verdelot",27
"77493","Verneuil-l'Etang",203
"77494","Vernou-la-Celle-sur-Seine",193
"77495","Vert-Saint-Denis",539
"77496","Vieux-Champagne",16
"77498","Vignely",32
"77500","Villebeon",36
"77501","Villecerf",60
"77504","Villemarechal",80
"77505","Villemareuil",29
"77506","Villemer",44
"77507","Villenauxe-la-Petite",12
"77508","Villeneuve-le-Comte",198
"77509","Villeneuve-les-Bordes",29
"77510","Villeneuve-Saint-Denis",76
"77511","Villeneuve-sous-Dammartin",39
"77512","Villeneuve-sur-Bellot",56
"77513","Villenoy",344
"77514","Villeparisis",1619
"77515","Villeroy",57
"77516","Ville-Saint-Jacques",64
"77517","Villevaude",158
"77518","Villiers-en-Biere",36
"77519","Villiers-Saint-Georges",48
"77520","Villiers-sous-Grez",80
"77521","Villiers-sur-Morin",195
"77522","Villiers-sur-Seine",12
"77523","Villuis",8
"77524","Vimpelles",32
"77525","Vinantes",20
"77526","Vincy-Manoeuvre",0
"77527","Voinsles",28
"77528","Voisenon",109
"77529","Voulangis",97
"77530","Voulton",16
"77531","Voulx",36
"77532","Vulaines-les-Provins",0
"77533","Vulaines-sur-Seine",320
"77534","Yebles",44
"78003","Ablis",277
"78005","Acheres",1826
"78006","Adainville",94
"78007","Aigremont",268
"78009","Allainville",24
"78010","Les Alluets-le-Roi",211
"78013","Andelu",81
"78015","Andresy",1832
"78020","Arnouville-les-Mantes",96
"78029","Aubergenville",723
"78030","Auffargis",313
"78031","Auffreville-Brasseuil",48
"78033","Aulnay-sur-Mauldre",172
"78034","Auteuil",138
"78036","Autouillet",73
"78043","Bailly",835
"78048","Bazainville",207
"78049","Bazemont",223
"78050","Bazoches-sur-Guyonne",106
"78053","Behoust",53
"78057","Bennecourt",104
"78062","Beynes",951
"78068","Blaru",64
"78070","Boinville-en-Mantois",8
"78071","Boinville-le-Gaillard",64
"78072","Boinvilliers",28
"78073","Bois-d'Arcy",1821
"78076","Boissets",29
"78077","La Boissiere-Ecole",78
"78082","Boissy-Mauvoisin",40
"78084","Boissy-sans-Avoir",84
"78087","Bonnelles",298
"78089","Bonnieres-sur-Seine",179
"78090","Bouafle",268
"78092","Bougival",1543
"78096","Bourdonne",84
"78104","Breuil-Bois-Robert",71
"78107","Breval",170
"78108","Les Breviaires",180
"78113","Brueil-en-Vexin",84
"78117","Buc",1112
"78118","Buchelay",244
"78120","Bullion",328
"78123","Carrieres-sous-Poissy",1635
"78124","Carrieres-sur-Seine",3055
"78125","La Celle-les-Bordes",190
"78126","La Celle-Saint-Cloud",3416
"78128","Cernay-la-Ville",356
"78133","Chambourcy",1072
"78138","Chanteloup-les-Vignes",531
"78140","Chapet",269
"78143","Chateaufort",391
"78146","Chatou",6110
"78147","Chaufour-les-Bonnieres",16
"78152","Chavenay",382
"78158","Le Chesnay",5842
"78160","Chevreuse",1002
"78162","Choisel",102
"78163","Civry-la-Foret",32
"78164","Clairefontaine-en-Yvelines",144
"78165","Les Clayes-sous-Bois",1832
"78168","Coignieres",357
"78171","Conde-sur-Vesgre",161
"78172","Conflans-Sainte-Honorine",4180
"78185","Courgent",43
"78188","Cravent",55
"78189","Crespieres",259
"78190","Croissy-sur-Seine",2272
"78192","Dammartin-en-Serve",99
"78193","Dampierre-en-Yvelines",209
"78194","Dannemarie",48
"78196","Davron",23
"78202","Drocourt",45
"78206","Ecquevilly",472
"78208","Elancourt",3473
"78209","Emance",133
"78217","Epone",593
"78220","Les Essarts-le-Roi",816
"78224","L'Etang-la-Ville",1106
"78227","Evecquemont",172
"78230","La Falaise",54
"78231","Favrieux",8
"78233","Feucherolles",624
"78234","Flacourt",16
"78236","Flexanville",80
"78237","Flins-Neuve-Eglise",4
"78238","Flins-sur-Seine",301
"78239","Follainville-Dennemont",100
"78242","Fontenay-le-Fleury",1979
"78245","Fontenay-Mauvoisin",44
"78246","Fontenay-Saint-Pere",139
"78251","Fourqueux",874
"78255","Freneuse",184
"78261","Gaillon-sur-Montcient",71
"78262","Galluis",180
"78263","Gambais",415
"78264","Gambaiseuil",20
"78265","Garancieres",368
"78267","Gargenville",512
"78269","Gazeran",158
"78276","Gommecourt",40
"78278","Goupillieres",124
"78281","Goussonville",76
"78283","Grandchamp",24
"78285","Gressey",72
"78289","Grosrouvre",175
"78290","Guernes",92
"78291","Guerville",138
"78296","Guitrancourt",52
"78297","Guyancourt",4524
"78299","Hardricourt",215
"78300","Hargeville",56
"78302","La Hauteville",31
"78305","Herbeville",36
"78307","Hermeray",134
"78310","Houdan",322
"78311","Houilles",5157
"78314","Issou",248
"78317","Jambville",103
"78320","Jeufosse",24
"78321","Jouars-Pontchartrain",954
"78322","Jouy-en-Josas",1539
"78324","Jouy-Mauvoisin",40
"78325","Jumeauville",82
"78327","Juziers",365
"78329","Lainville-en-Vexin",128
"78334","Levis-Saint-Nom",348
"78335","Limay",725
"78337","Limetz-Villez",115
"78343","Les Loges-en-Josas",320
"78344","Lommoye",68
"78346","Longnes",131
"78349","Longvilliers",106
"78350","Louveciennes",1315
"78354","Magnanville",359
"78356","Magny-les-Hameaux",1276
"78358","Maisons-Laffitte",5366
"78361","Mantes-la-Jolie",2132
"78362","Mantes-la-Ville",1050
"78364","Marcq",108
"78366","Mareil-le-Guyon",63
"78367","Mareil-Marly",832
"78368","Mareil-sur-Mauldre",339
"78372","Marly-le-Roi",2995
"78380","Maule",752
"78381","Maulette",63
"78382","Maurecourt",534
"78383","Maurepas",2271
"78384","Medan",235
"78385","Menerville",12
"78389","Mere",255
"78391","Mericourt",36
"78396","Le Mesnil-le-Roi",1128
"78397","Le Mesnil-Saint-Denis",1204
"78398","Les Mesnuls",140
"78401","Meulan-en-Yvelines",563
"78402","Mezieres-sur-Seine",448
"78403","Mezy-sur-Seine",231
"78404","Millemont",29
"78406","Milon-la-Chapelle",60
"78407","Mittainville",98
"78410","Moisson",104
"78413","Mondreville",34
"78415","Montainville",98
"78416","Montalet-le-Bois",24
"78417","Montchauvet",37
"78418","Montesson",2898
"78420","Montfort-l'Amaury",462
"78423","Montigny-le-Bretonneux",7429
"78431","Morainvilliers",454
"78437","Mousseaux-sur-Seine",60
"78439","Mulcent",4
"78440","Les Mureaux",1152
"78442","Neauphle-le-Chateau",597
"78443","Neauphle-le-Vieux",161
"78444","Neauphlette",60
"78451","Nezel",97
"78455","Noisy-le-Roi",1454
"78460","Oinville-sur-Montcient",136
"78464","Orcemont",148
"78465","Orgerus",255
"78466","Orgeval",1205
"78470","Orphin",124
"78472","Orsonville",20
"78474","Orvilliers",53
"78475","Osmoy",43
"78478","Paray-Douaville",4
"78481","Le Pecq",2851
"78484","Perdreauville",80
"78486","Le Perray-en-Yvelines",792
"78490","Plaisir",3514
"78497","Poigny-la-Foret",226
"78498","Poissy",4775
"78499","Ponthevrard",76
"78501","Porcheville",148
"78502","Le Port-Marly",802
"78503","Port-Villez",12
"78505","Prunay-le-Temple",62
"78506","Prunay-en-Yvelines",120
"78513","La Queue-les-Yvelines",223
"78516","Raizeux",119
"78517","Rambouillet",3196
"78518","Rennemoulin",36
"78520","Richebourg",200
"78522","Rochefort-en-Yvelines",164
"78524","Rocquencourt",529
"78528","Rolleboise",29
"78530","Rosay",44
"78531","Rosny-sur-Seine",358
"78536","Sailly",36
"78537","Saint-Arnoult-en-Yvelines",695
"78545","Saint-Cyr-l'Ecole",2725
"78548","Saint-Forget",98
"78550","Saint-Germain-de-la-Grange",376
"78551","Saint-Germain-en-Laye",7550
"78557","Saint-Hilarion",100
"78558","Saint-Illiers-la-Ville",48
"78559","Saint-Illiers-le-Bois",45
"78561","Saint-Lambert",113
"78562","Saint-Leger-en-Yvelines",213
"78564","Saint-Martin-de-Brethencourt",92
"78565","Saint-Martin-des-Champs",24
"78567","Saint-Martin-la-Garenne",115
"78569","Sainte-Mesme",106
"78571","Saint-Nom-la-Breteche",1153
"78575","Saint-Remy-les-Chevreuse",1699
"78576","Saint-Remy-l'Honore",252
"78586","Sartrouville",5351
"78588","Saulx-Marchais",130
"78590","Senlisse",127
"78591","Septeuil",268
"78597","Soindres",53
"78601","Sonchamp",254
"78605","Tacoignieres",148
"78606","Le Tartre-Gaudran",4
"78608","Le Tertre-Saint-Denis",20
"78609","Tessancourt-sur-Aubette",128
"78615","Thiverval-Grignon",126
"78616","Thoiry",154
"78618","Tilly",64
"78620","Toussus-le-Noble",236
"78621","Trappes",1081
"78623","Le Tremblay-sur-Mauldre",139
"78624","Triel-sur-Seine",1740
"78638","Vaux-sur-Seine",741
"78640","Velizy-Villacoublay",3056
"78642","Verneuil-sur-Seine",2304
"78643","Vernouillet",1440
"78644","La Verriere",375
"78646","Versailles",16606
"78647","Vert",103
"78650","Le Vesinet",3531
"78653","Vicq",69
"78655","Vieille-Eglise-en-Yvelines",149
"78668","La Villeneuve-en-Chevrie",76
"78672","Villennes-sur-Seine",1185
"78674","Villepreux",1473
"78677","Villette",96
