"ID","NAMES","ouvrier_AsTheCowRolls_POT_15"
"75101","Paris 1er Arrondissement",291323.73146188
"75102","Paris 2e  Arrondissement",291879.4553048
"75103","Paris 3e  Arrondissement",307692.82222566
"75104","Paris 4e  Arrondissement",303784.31093974
"75105","Paris 5e  Arrondissement",291311.79299561
"75106","Paris 6e  Arrondissement",279796.68904219
"75107","Paris 7e  Arrondissement",265291.17769931
"75108","Paris 8e  Arrondissement",298508.58406802
"75109","Paris 9e  Arrondissement",311659.90340406
"75110","Paris 10e  Arrondissement",329819.19550739
"75111","Paris 11e  Arrondissement",309345.99983519
"75112","Paris 12e  Arrondissement",308030.10945588
"75113","Paris 13e  Arrondissement",287315.99096914
"75114","Paris 14e  Arrondissement",266091.90953401
"75115","Paris 15e  Arrondissement",235295.38601558
"75116","Paris 16e  Arrondissement",249763.97727184
"75117","Paris 17e  Arrondissement",298954.30014814
"75118","Paris 18e  Arrondissement",307228.16664207
"75119","Paris 19e  Arrondissement",313626.00591639
"75120","Paris 20e  Arrondissement",318881.81755554
"77001","Acheres-la-Foret",4982.48327161
"77002","Amillis",4444.98874336
"77003","Amponville",2855.17120204
"77004","Andrezel",8129.86901056
"77005","Annet-sur-Marne",49237.38686072
"77006","Arbonne-la-Foret",9524.28502696
"77007","Argentieres",5528.35130865
"77008","Armentieres-en-Brie",7480.97887138
"77009","Arville",2128.62315554
"77010","Aubepierre-Ozouer-le-Repos",5449.43544093
"77011","Aufferville",3744.13481433
"77012","Augers-en-Brie",1640.68220766
"77013","Aulnoy",6027.30004086
"77014","Avon",10874.47170385
"77015","Baby",1331.74285412
"77016","Bagneaux-sur-Loing",5405.7622742
"77018","Bailly-Romainvilliers",27187.24107656
"77019","Balloy",3756.98228421
"77020","Bannost-Villegagnon",2365.81677878
"77021","Barbey",4659.71400344
"77022","Barbizon",15560.77466561
"77023","Barcy",13710.35000343
"77024","Bassevelle",2068.43536902
"77025","Bazoches-les-Bray",3405.76516785
"77026","Beauchery-Saint-Martin",1819.74191084
"77027","Beaumont-du-Gatinais",729.32160161
"77028","Beautheil",4442.98114595
"77029","Beauvoir",6400.14572131
"77030","Bellot",2706.97342271
"77031","Bernay-Vilbert",5384.41493317
"77032","Beton-Bazoches",2907.90810112
"77033","Bezalles",2011.27506435
"77034","Blandy",13431.34424895
"77035","Blennes",1204.79184134
"77036","Boisdon",2278.1428065
"77037","Bois-le-Roi",16902.70975139
"77038","Boissettes",20556.77988489
"77039","Boissise-la-Bertrand",21026.75778306
"77040","Boissise-le-Roi",26786.64264783
"77041","Boissy-aux-Cailles",2103.12137133
"77042","Boissy-le-Chatel",5588.6937653
"77043","Boitron",2237.0366801
"77044","Bombon",4859.85224101
"77045","Bougligny",3660.27862316
"77046","Boulancourt",887.84023538
"77047","Bouleurs",16990.08853995
"77048","Bourron-Marlotte",6616.65474591
"77049","Boutigny",13836.22216422
"77050","Bransles",2971.31273532
"77051","Bray-sur-Seine",2838.83447739
"77052","Breau",7193.57189362
"77053","Brie-Comte-Robert",52426.51716844
"77054","La Brosse-Montceaux",4972.29495545
"77055","Brou-sur-Chantereine",89453.06289676
"77056","Burcy",2010.70050279
"77057","Bussieres",3469.26687306
"77058","Bussy-Saint-Georges",74950.26968033
"77059","Bussy-Saint-Martin",68981.79790387
"77060","Buthiers",1460.93582933
"77061","Cannes-Ecluse",6052.24912512
"77062","Carnetin",39403.33226244
"77063","La Celle-sur-Morin",6527.21561122
"77065","Cely",20886.60866126
"77066","Cerneux",1926.65172552
"77067","Cesson",35447.95075968
"77068","Cessoy-en-Montois",2743.94830222
"77069","Chailly-en-Biere",21414.30292941
"77070","Chailly-en-Brie",6802.43458559
"77071","Chaintreaux",3866.13616228
"77072","Chalautre-la-Grande",850.89555989
"77073","Chalautre-la-Petite",3469.36477875
"77075","Chalifert",33099.02111987
"77076","Chalmaison",3391.01324302
"77077","Chambry",15123.08831959
"77078","Chamigny",4288.06131996
"77079","Champagne-sur-Seine",8144.67685691
"77080","Champcenest",2360.81224702
"77081","Champdeuil",18893.54541239
"77082","Champeaux",10124.95604403
"77083","Champs-sur-Marne",129810.7596242
"77084","Changis-sur-Marne",10611.01656853
"77085","Chanteloup-en-Brie",48910.94867717
"77086","La Chapelle-Gauthier",7494.00822745
"77087","La Chapelle-Iger",3803.13992995
"77088","La Chapelle-la-Reine",6257.11704023
"77089","La Chapelle-Rablais",3471.56361936
"77090","La Chapelle-Saint-Sulpice",4041.83067665
"77091","Les Chapelles-Bourbon",10233.91726024
"77093","La Chapelle-Moutils",1735.872511
"77094","Charmentray",22619.99793825
"77095","Charny",21536.08912082
"77096","Chartrettes",14227.37748043
"77097","Chartronges",2764.85520044
"77098","Chateaubleau",2866.40235942
"77099","Chateau-Landon",3006.03010598
"77100","Le Chatelet-en-Brie",13161.67431984
"77101","Chatenay-sur-Seine",3520.27179522
"77102","Chatenoy",4194.75798286
"77103","Chatillon-la-Borde",9736.06440595
"77104","Chatres",13534.9500555
"77106","Chauffry",4349.5177368
"77107","Chaumes-en-Brie",9088.3577263
"77108","Chelles",128587.50470446
"77109","Chenoise",3276.77252784
"77110","Chenou",2660.62723378
"77111","Chessy",39628.46199603
"77112","Chevrainvilliers",4183.05753312
"77113","Chevru",3446.76583749
"77114","Chevry-Cossigny",35766.45791253
"77115","Chevry-en-Sereine",2291.05474985
"77116","Choisy-en-Brie",4237.84565033
"77117","Citry",2174.22134939
"77118","Claye-Souilly",78295.5344877
"77119","Clos-Fontaine",3478.59326343
"77120","Cocherel",4229.34247407
"77121","Collegien",100632.1696171
"77122","Combs-la-Ville",50106.90537534
"77123","Compans",55475.89470957
"77124","Conches-sur-Gondoire",53592.71766501
"77125","Conde-Sainte-Libiaire",19525.21104865
"77126","Congis-sur-Therouanne",7961.9137416
"77127","Coubert",26898.08771187
"77128","Couilly-Pont-aux-Dames",29517.05332887
"77129","Coulombs-en-Valois",1895.16788597
"77130","Coulommes",14755.18322579
"77131","Coulommiers",7412.42635238
"77132","Coupvray",28767.53931084
"77133","Courcelles-en-Bassee",3932.46094474
"77134","Courchamp",2751.66626476
"77135","Courpalay",5121.31729253
"77136","Courquetaine",10963.95713208
"77137","Courtacon",3032.02290869
"77138","Courtomer",4471.39097567
"77139","Courtry",102503.15533101
"77140","Coutencon",3472.55309173
"77141","Coutevroult",23598.95915611
"77142","Crecy-la-Chapelle",14513.65337493
"77143","Cregy-les-Meaux",19293.97995566
"77144","Crevecoeur-en-Brie",7448.60513303
"77145","Crisenoy",20841.41152375
"77146","Croissy-Beaubourg",107340.50094854
"77147","La Croix-en-Brie",2930.89126496
"77148","Crouy-sur-Ourcq",2044.22442496
"77149","Cucharmoy",3133.36239101
"77150","Cuisy",10864.44573571
"77151","Dagny",3876.40904329
"77152","Dammarie-les-Lys",23172.91045797
"77153","Dammartin-en-Goele",21510.42075471
"77154","Dammartin-sur-Tigeaux",8795.21193761
"77155","Dampmart",37653.09474593
"77156","Darvault",6574.5633216
"77157","Dhuisy",3506.05533519
"77158","Diant",2409.44384895
"77159","Donnemarie-Dontilly",3371.64727518
"77161","Dormelles",4599.20802107
"77162","Doue",4418.93934582
"77163","Douy-la-Ramee",5201.25638673
"77164","Echouboulains",4090.74174593
"77165","Les Ecrennes",7542.54977178
"77166","Ecuelles",8171.32831548
"77167","Egligny",2742.5957511
"77168","Egreville",3318.52552514
"77169","Emerainville",111465.94893544
"77170","Episy",8251.69535418
"77171","Esbly",25222.03808762
"77172","Esmans",6124.31410575
"77173","Etrepilly",9959.15002082
"77174","Everly",3259.13865322
"77175","Evry-Gregy-sur-Yerre",40271.14083485
"77176","Faremoutiers",6949.72028832
"77177","Favieres",20459.85541597
"77178","Fay-les-Nemours",4675.90065184
"77179","Fericy",7381.72037551
"77180","Ferolles-Attilly",48858.00078951
"77181","Ferrieres-en-Brie",88352.21474673
"77182","La Ferte-Gaucher",3611.91865634
"77183","La Ferte-sous-Jouarre",7294.35276984
"77184","Flagy",3981.37224843
"77185","Fleury-en-Biere",18902.56795911
"77186","Fontainebleau",12940.99412932
