"ID","NAMES","employe_AsTheCrowFlies_ACC_0.05"
"75101","Paris 1er Arrondissement",3000.94717087769
"75102","Paris 2e  Arrondissement",2863.82815247781
"75103","Paris 3e  Arrondissement",2764.26262050771
"75104","Paris 4e  Arrondissement",2879.7475607063
"75105","Paris 5e  Arrondissement",2954.27124902635
"75106","Paris 6e  Arrondissement",3042.91390148011
"75107","Paris 7e  Arrondissement",3172.99121672546
"75108","Paris 8e  Arrondissement",3118.23788836338
"75109","Paris 9e  Arrondissement",2807.07871610378
"75110","Paris 10e  Arrondissement",2551.8176965307
"75111","Paris 11e  Arrondissement",2693.70182464472
"75112","Paris 12e  Arrondissement",3329.26529676228
"75113","Paris 13e  Arrondissement",3053.67642069055
"75114","Paris 14e  Arrondissement",3035.02931877
"75115","Paris 15e  Arrondissement",3261.52434427058
"75116","Paris 16e  Arrondissement",3680.29349345359
"75117","Paris 17e  Arrondissement",3032.4292084371
"75118","Paris 18e  Arrondissement",2748.52452440881
"75119","Paris 19e  Arrondissement",2588.73718795577
"75120","Paris 20e  Arrondissement",2692.81529023977
"77001","Acheres-la-Foret",27094.4752014447
"77002","Amillis",29505.0240192068
"77003","Amponville",31291.8100055612
"77004","Andrezel",19644.7420807845
"77005","Annet-sur-Marne",11193.686143844
"77006","Arbonne-la-Foret",22832.8386307291
"77007","Argentieres",20936.8827784743
"77008","Armentieres-en-Brie",25043.2828906479
"77009","Arville",39311.8810542288
"77010","Aubepierre-Ozouer-le-Repos",22875.3730070198
"77011","Aufferville",37873.0901379169
"77012","Augers-en-Brie",40166.0306041705
"77013","Aulnoy",26619.1956153647
"77014","Avon",25507.9184473746
"77015","Baby",47573.6892973894
"77016","Bagneaux-sur-Loing",37755.3719361488
"77018","Bailly-Romainvilliers",15013.4330296079
"77019","Balloy",39707.0004391896
"77020","Bannost-Villegagnon",32858.0038225614
"77021","Barbey",37534.2018219135
"77022","Barbizon",20838.0400581284
"77023","Barcy",20464.149024426
"77024","Bassevelle",36168.5059678478
"77025","Bazoches-les-Bray",41158.7949737428
"77026","Beauchery-Saint-Martin",44403.4847224103
"77027","Beaumont-du-Gatinais",42124.818356518
"77028","Beautheil",27562.2865284323
"77029","Beauvoir",20918.3966096946
"77030","Bellot",37630.6517807239
"77031","Bernay-Vilbert",22589.8393082398
"77032","Beton-Bazoches",34762.1336935289
"77033","Bezalles",35140.6262109493
"77034","Blandy",20770.2777197604
"77035","Blennes",43005.9122514926
"77036","Boisdon",34325.1611555607
"77037","Bois-le-Roi",21359.6978794856
"77038","Boissettes",16969.9210142729
"77039","Boissise-la-Bertrand",15815.440823433
"77040","Boissise-le-Roi",16613.8345676811
"77041","Boissy-aux-Cailles",29417.0278658248
"77042","Boissy-le-Chatel",28823.5091711481
"77043","Boitron",35028.2994208238
"77044","Bombon",23019.9260332223
"77045","Bougligny",38932.7800705008
"77046","Boulancourt",33125.2853758627
"77047","Bouleurs",18560.8886076848
"77048","Bourron-Marlotte",29803.6848210795
"77049","Boutigny",19851.3604398288
"77050","Bransles",44986.4878198225
"77051","Bray-sur-Seine",42559.8631288242
"77052","Breau",23705.8178954096
"77053","Brie-Comte-Robert",11172.6674429698
"77054","La Brosse-Montceaux",38001.5169069011
"77055","Brou-sur-Chantereine",8061.02592537302
"77056","Burcy",35340.4505301091
"77057","Bussieres",34131.0494015663
"77058","Bussy-Saint-Georges",11161.1027972158
"77059","Bussy-Saint-Martin",9275.94524524077
"77060","Buthiers",31227.3158171684
"77061","Cannes-Ecluse",35594.7463530361
"77062","Carnetin",10520.8590919604
"77063","La Celle-sur-Morin",21819.8465612235
"77065","Cely",19268.0046290019
"77066","Cerneux",39297.3550751731
"77067","Cesson",14460.2033322228
"77068","Cessoy-en-Montois",34964.234096687
"77069","Chailly-en-Biere",19826.7349314437
"77070","Chailly-en-Brie",28825.3248204814
"77071","Chaintreaux",41772.7385369973
"77072","Chalautre-la-Grande",46721.0454247989
"77073","Chalautre-la-Petite",41584.7123922819
"77075","Chalifert",13163.639146908
"77076","Chalmaison",40289.9904326333
"77077","Chambry",20470.1751847958
"77078","Chamigny",30762.8583277224
"77079","Champagne-sur-Seine",27664.1281605506
"77080","Champcenest",36632.415932813
"77081","Champdeuil",16748.5939636671
"77082","Champeaux",20407.22277575
"77083","Champs-sur-Marne",6378.07988228725
"77084","Changis-sur-Marne",25095.5890731203
"77085","Chanteloup-en-Brie",11739.5161411953
"77086","La Chapelle-Gauthier",23986.8072800859
"77087","La Chapelle-Iger",25359.7316591694
"77088","La Chapelle-la-Reine",29432.7564223829
"77089","La Chapelle-Rablais",28220.5028236595
"77090","La Chapelle-Saint-Sulpice",35068.8215292348
"77091","Les Chapelles-Bourbon",17613.0779887148
"77093","La Chapelle-Moutils",40426.6477975421
"77094","Charmentray",14451.4137215236
"77095","Charny",14205.751422244
"77096","Chartrettes",20816.9910317249
"77097","Chartronges",35052.6119919828
"77098","Chateaubleau",31396.2862280515
"77099","Chateau-Landon",43016.5627040046
"77100","Le Chatelet-en-Brie",23129.2215413119
"77101","Chatenay-sur-Seine",36531.6537778355
"77102","Chatenoy",36163.8461649302
"77103","Chatillon-la-Borde",22627.5008342053
"77104","Chatres",17587.0564743834
"77106","Chauffry",30860.2302933649
"77107","Chaumes-en-Brie",19702.5247322743
"77108","Chelles",6528.40165497492
"77109","Chenoise",33883.4158755984
"77110","Chenou",41248.4481871938
"77111","Chessy",12958.2274719509
"77112","Chevrainvilliers",34885.0691420929
"77113","Chevru",32186.2565431849
"77114","Chevry-Cossigny",12397.9122563659
"77115","Chevry-en-Sereine",41329.0637362486
"77116","Choisy-en-Brie",32677.3815768961
"77117","Citry",35120.8271889582
"77118","Claye-Souilly",10637.6403001542
"77119","Clos-Fontaine",27301.5794422126
"77120","Cocherel",30114.1161010682
"77121","Collegien",9419.46660110905
"77122","Combs-la-Ville",10883.6553642449
"77123","Compans",11773.1237367729
"77124","Conches-sur-Gondoire",10860.9609241856
"77125","Conde-Sainte-Libiaire",15733.5856097815
"77126","Congis-sur-Therouanne",24355.3643590938
"77127","Coubert",14568.3417740848
"77128","Couilly-Pont-aux-Dames",16825.5613525573
"77129","Coulombs-en-Valois",32936.9769340042
"77130","Coulommes",19605.0637681281
"77131","Coulommiers",26825.342189284
"77132","Coupvray",13879.5408023269
"77133","Courcelles-en-Bassee",35374.8962268176
"77134","Courchamp",37761.3714538306
"77135","Courpalay",24099.3123800619
"77136","Courquetaine",15844.0819443626
"77137","Courtacon",36793.0942313818
"77138","Courtomer",21711.2678458698
"77139","Courtry",7324.54337464159
"77140","Coutencon",30765.086543232
"77141","Coutevroult",16106.1308952034
"77142","Crecy-la-Chapelle",19702.294513677
"77143","Cregy-les-Meaux",18922.4627893429
"77144","Crevecoeur-en-Brie",20030.5571907965
"77145","Crisenoy",17799.7361853588
"77146","Croissy-Beaubourg",8741.36366047799
"77147","La Croix-en-Brie",29665.9111111277
"77148","Crouy-sur-Ourcq",31224.3684447301
"77149","Cucharmoy",34122.350719284
"77150","Cuisy",17019.9858677014
"77151","Dagny",31056.0916197102
"77152","Dammarie-les-Lys",17802.5989642978
"77153","Dammartin-en-Goele",15687.8096432356
"77154","Dammartin-sur-Tigeaux",18822.894965857
"77155","Dampmart",12144.2616250702
"77156","Darvault",34250.9921596991
"77157","Dhuisy",33111.7804410911
"77158","Diant",40107.2828507609
"77159","Donnemarie-Dontilly",35172.0472458133
"77161","Dormelles",35458.4441850625
"77162","Doue",30419.9167357121
"77163","Douy-la-Ramee",22674.3493949004
"77164","Echouboulains",28760.7860363328
"77165","Les Ecrennes",25678.7781707504
"77166","Ecuelles",31178.5244982252
"77167","Egligny",36834.6988103333
"77168","Egreville",43782.6534645078
"77169","Emerainville",7186.66849371157
"77170","Episy",31898.4714084903
"77171","Esbly",14845.8907243953
"77172","Esmans",36023.1191473762
"77173","Etrepilly",23503.6888933076
"77174","Everly",41578.0103229018
"77175","Evry-Gregy-sur-Yerre",12917.6532177098
"77176","Faremoutiers",23240.7796108079
"77177","Favieres",14013.9043737147
"77178","Fay-les-Nemours",36828.4162083984
"77179","Fericy",24724.9142639999
"77180","Ferolles-Attilly",10724.7181588418
"77181","Ferrieres-en-Brie",10719.9210621142
"77182","La Ferte-Gaucher",36680.3036980683
"77183","La Ferte-sous-Jouarre",29454.8992069604
"77184","Flagy",36419.4814353104
"77185","Fleury-en-Biere",20371.1173083151
"77186","Fontainebleau",24768.9620062676
"77187","Fontaine-Fourches",48672.7969688133
"77188","Fontaine-le-Port",22793.8735882514
"77190","Fontains",29349.8292122402
"77191","Fontenailles",26126.8680513178
"77192","Fontenay-Tresigny",19591.8596645684
"77193","Forfry",21007.6468551559
"77194","Forges",31282.465770019
"77195","Fouju",18916.748689652
"77196","Fresnes-sur-Marne",12811.3375872274
"77197","Fretoy",32835.9097362418
"77198","Fromont",33729.1485423025
"77199","Fublaines",20712.0664258948
"77200","Garentreville",35426.9661454083
"77201","Gastins",26925.5551015411
"77202","La Genevraye",32136.4641711091
"77203","Germigny-l'Eveque",22711.1005221624
"77204","Germigny-sous-Coulombs",33855.0271688688
"77205","Gesvres-le-Chapitre",20077.9491543038
"77206","Giremoutiers",24048.661241307
"77207","Gironville",40590.3053953688
"77208","Gouaix",42465.1182522159
"77209","Gouvernes",9962.29800494217
"77210","La Grande-Paroisse",31181.2244389751
"77211","Grandpuits-Bailly-Carrois",26380.9658925001
"77212","Gravon",39063.1028118426
"77214","Gressy",11027.9733942173
"77215","Gretz-Armainvilliers",13254.6074211023
"77216","Grez-sur-Loing",31289.9343497286
"77217","Grisy-Suisnes",13320.5456142759
"77218","Grisy-sur-Seine",44559.3760590344
"77219","Guerard",20693.7116045908
"77220","Guercheville",33478.2952352487
"77221","Guermantes",10612.5911464281
"77222","Guignes",18815.6523043612
"77223","Gurcy-le-Chatel",33425.9624607076
"77224","Hautefeuille",21971.152022597
"77225","La Haute-Maison",22908.4763364893
"77226","Hericy",25413.9821227354
"77227","Herme",44140.0939619068
"77228","Hondevilliers",37453.2625978561
"77229","La Houssaye-en-Brie",18421.376336597
"77230","Ichy",37430.0400211643
"77231","Isles-les-Meldeuses",25351.6380357402
"77232","Isles-les-Villenoy",15726.1367867247
"77233","Iverny",16421.1948923324
"77234","Jablines",12811.3562794481
"77235","Jaignes",27792.0612337461
"77236","Jaulnes",43784.532138967
"77237","Jossigny",12905.2621262213
"77238","Jouarre",28006.8867762161
"77239","Jouy-le-Chatel",30631.9043228093
"77240","Jouy-sur-Morin",35225.1244593936
"77241","Juilly",14865.917136121
"77242","Jutigny",38887.9233410252
"77243","Lagny-sur-Marne",10543.8644953954
"77244","Larchant",32114.1977265425
"77245","Laval-en-Brie",30718.9826263462
"77246","Lechelle",43640.1801371387
"77247","Lescherolles",38970.3251810011
"77248","Lesches",14170.7567964663
"77249","Lesigny",9493.14035211437
"77250","Leudon-en-Brie",35456.7875927635
