"ID","NAMES","ouvrier_AsTheCrowFlies_ACC_0.05"
"75101","Paris 1er Arrondissement",3440.69219459719
"75102","Paris 2e  Arrondissement",3232.14180714141
"75103","Paris 3e  Arrondissement",3130.20527433231
"75104","Paris 4e  Arrondissement",3315.70557738331
"75105","Paris 5e  Arrondissement",3503.08294540657
"75106","Paris 6e  Arrondissement",3637.11320120568
"75107","Paris 7e  Arrondissement",3830.97440615411
"75108","Paris 8e  Arrondissement",3617.22425196891
"75109","Paris 9e  Arrondissement",3128.57215931706
"75110","Paris 10e  Arrondissement",2832.77295974587
"75111","Paris 11e  Arrondissement",3037.26823811824
"75112","Paris 12e  Arrondissement",3695.3670600328
"75113","Paris 13e  Arrondissement",3602.49470996601
"75114","Paris 14e  Arrondissement",3846.28511160639
"75115","Paris 15e  Arrondissement",4317.44763474573
"75116","Paris 16e  Arrondissement",4774.22308153033
"75117","Paris 17e  Arrondissement",3455.66806841045
"75118","Paris 18e  Arrondissement",2883.718953818
"75119","Paris 19e  Arrondissement",2715.87250478866
"75120","Paris 20e  Arrondissement",2953.32267422267
"77001","Acheres-la-Foret",25576.1128087632
"77002","Amillis",28138.982966935
"77003","Amponville",29806.7476106857
"77004","Andrezel",18822.338781788
"77005","Annet-sur-Marne",10818.4313523435
"77006","Arbonne-la-Foret",21511.5516323219
"77007","Argentieres",20333.2580415047
"77008","Armentieres-en-Brie",23842.0873491456
"77009","Arville",37753.0402347542
"77010","Aubepierre-Ozouer-le-Repos",21977.1390625482
"77011","Aufferville",36159.2347638013
"77012","Augers-en-Brie",38317.8706604421
"77013","Aulnoy",25440.775293091
"77014","Avon",23656.9997304391
"77015","Baby",45420.1785783493
"77016","Bagneaux-sur-Loing",35827.3960550503
"77018","Bailly-Romainvilliers",14690.2660917561
"77019","Balloy",37509.7646385805
"77020","Bannost-Villegagnon",31212.8695234839
"77021","Barbey",35208.4737704155
"77022","Barbizon",19602.0317786847
"77023","Barcy",19600.1554401623
"77024","Bassevelle",34798.6995528376
"77025","Bazoches-les-Bray",38956.8767071189
"77026","Beauchery-Saint-Martin",42565.2197699724
"77027","Beaumont-du-Gatinais",40661.7254389328
"77028","Beautheil",26270.7675874012
"77029","Beauvoir",20285.859261821
"77030","Bellot",36010.0462039848
"77031","Bernay-Vilbert",21810.3835330708
"77032","Beton-Bazoches",33085.3888453529
"77033","Bezalles",33377.7176597772
"77034","Blandy",19724.0880446501
"77035","Blennes",40739.7848584594
"77036","Boisdon",32704.2121053584
"77037","Bois-le-Roi",20030.5460901021
"77038","Boissettes",15829.9594706687
"77039","Boissise-la-Bertrand",14759.9079962662
"77040","Boissise-le-Roi",15514.5726905152
"77041","Boissy-aux-Cailles",28006.4403667714
"77042","Boissy-le-Chatel",27598.2715762008
"77043","Boitron",33484.9927385306
"77044","Bombon",21869.5081202889
"77045","Bougligny",37181.5813833693
"77046","Boulancourt",31729.6936915006
"77047","Bouleurs",17967.2659943387
"77048","Bourron-Marlotte",27847.7214177998
"77049","Boutigny",18983.7627398753
"77050","Bransles",42998.2499540757
"77051","Bray-sur-Seine",40366.7915481377
"77052","Breau",22552.5569151197
"77053","Brie-Comte-Robert",10991.1365291494
"77054","La Brosse-Montceaux",35666.9363749929
"77055","Brou-sur-Chantereine",7772.28628475339
"77056","Burcy",33755.6418355133
"77057","Bussieres",32771.0134575217
"77058","Bussy-Saint-Georges",11064.2421679872
"77059","Bussy-Saint-Martin",9148.42789463382
"77060","Buthiers",29909.9853501879
"77061","Cannes-Ecluse",33281.5174780291
"77062","Carnetin",10253.6199815988
"77063","La Celle-sur-Morin",21052.0965705701
"77065","Cely",18176.0333087672
"77066","Cerneux",37611.7510363378
"77067","Cesson",13380.8404383968
"77068","Cessoy-en-Montois",32940.7676032749
"77069","Chailly-en-Biere",18544.3176725699
"77070","Chailly-en-Brie",27604.9526460044
"77071","Chaintreaux",39811.2117714704
"77072","Chalautre-la-Grande",44828.8962455123
"77073","Chalautre-la-Petite",39635.8020343081
"77075","Chalifert",12885.7948751723
"77076","Chalmaison",38212.2338787023
"77077","Chambry",19619.9551942312
"77078","Chamigny",29509.1097555087
"77079","Champagne-sur-Seine",25602.1820590528
"77080","Champcenest",34971.520361274
"77081","Champdeuil",16045.8211968498
"77082","Champeaux",19492.7403196663
"77083","Champs-sur-Marne",6273.57213873965
"77084","Changis-sur-Marne",23884.5499336287
"77085","Chanteloup-en-Brie",11579.4478383605
"77086","La Chapelle-Gauthier",22653.948481785
"77087","La Chapelle-Iger",24312.8767169875
"77088","La Chapelle-la-Reine",27861.9076848129
"77089","La Chapelle-Rablais",26464.2803936684
"77090","La Chapelle-Saint-Sulpice",33143.5947054651
"77091","Les Chapelles-Bourbon",17302.1334846236
"77093","La Chapelle-Moutils",38730.89104035
"77094","Charmentray",13855.6322251501
"77095","Charny",13570.6333699327
"77096","Chartrettes",19502.8243068202
"77097","Chartronges",33374.834228194
"77098","Chateaubleau",29781.8774763774
"77099","Chateau-Landon",41220.3002623312
"77100","Le Chatelet-en-Brie",21625.2137870202
"77101","Chatenay-sur-Seine",34346.0941017435
"77102","Chatenoy",34441.2785786265
"77103","Chatillon-la-Borde",21254.8424637486
"77104","Chatres",17242.2542399732
"77106","Chauffry",29485.7420900009
"77107","Chaumes-en-Brie",19110.094038052
"77108","Chelles",6220.42063465809
"77109","Chenoise",32218.0204725949
"77110","Chenou",39553.1448777949
"77111","Chessy",12755.6433255965
"77112","Chevrainvilliers",33132.6161234607
"77113","Chevru",30642.3102558483
"77114","Chevry-Cossigny",12228.0517891673
"77115","Chevry-en-Sereine",39096.0702219056
"77116","Choisy-en-Brie",31101.2287969655
"77117","Citry",33660.699387812
"77118","Claye-Souilly",10154.353222182
"77119","Clos-Fontaine",25919.7868121626
"77120","Cocherel",28814.9950681336
"77121","Collegien",9311.42881176698
"77122","Combs-la-Ville",10559.7877284833
"77123","Compans",10999.6564197199
"77124","Conches-sur-Gondoire",10740.4214969448
"77125","Conde-Sainte-Libiaire",15321.8630599824
"77126","Congis-sur-Therouanne",23308.9032375682
"77127","Coubert",14201.3265836355
"77128","Couilly-Pont-aux-Dames",16301.3114748977
"77129","Coulombs-en-Valois",31744.2475712772
"77130","Coulommes",18807.8006015492
"77131","Coulommiers",25634.0833743598
"77132","Coupvray",13562.105081749
"77133","Courcelles-en-Bassee",33132.4639863864
"77134","Courchamp",35918.9845577801
"77135","Courpalay",23189.1867745287
"77136","Courquetaine",15513.610955181
"77137","Courtacon",35143.8771218756
"77138","Courtomer",21013.4068608942
"77139","Courtry",6713.42493580186
"77140","Coutencon",28778.2525700053
"77141","Coutevroult",15738.723099408
"77142","Crecy-la-Chapelle",18950.5709768778
"77143","Cregy-les-Meaux",18158.5337327142
"77144","Crevecoeur-en-Brie",19469.7230741031
"77145","Crisenoy",16973.6092559795
"77146","Croissy-Beaubourg",8646.27524711572
"77147","La Croix-en-Brie",28100.7673520503
"77148","Crouy-sur-Ourcq",30178.1290208885
"77149","Cucharmoy",32407.8905227805
"77150","Cuisy",16174.0829883241
"77151","Dagny",29640.126254981
"77152","Dammarie-les-Lys",16627.8307185232
"77153","Dammartin-en-Goele",14925.0819585687
"77154","Dammartin-sur-Tigeaux",18330.1022513346
"77155","Dampmart",11849.6729591121
"77156","Darvault",32306.0267896122
"77157","Dhuisy",31868.4752161497
"77158","Diant",37777.2436125946
"77159","Donnemarie-Dontilly",33078.4569655819
"77161","Dormelles",33176.3292966031
"77162","Doue",29008.5648199057
"77163","Douy-la-Ramee",21665.7922314187
"77164","Echouboulains",26849.1682515471
"77165","Les Ecrennes",24009.2639234087
"77166","Ecuelles",29002.4881782069
"77167","Egligny",34710.793209445
"77168","Egreville",41734.1896874748
"77169","Emerainville",7115.14549615867
"77170","Episy",29791.0310479962
"77171","Esbly",14378.1220334341
"77172","Esmans",33708.6908864369
"77173","Etrepilly",22622.052757189
"77174","Everly",39512.3153794819
"77175","Evry-Gregy-sur-Yerre",12556.4363213165
"77176","Faremoutiers",22495.7981294299
"77177","Favieres",13875.5091369107
"77178","Fay-les-Nemours",35059.3401293937
"77179","Fericy",22971.4996195722
"77180","Ferolles-Attilly",10631.2915782908
"77181","Ferrieres-en-Brie",10639.6685674152
"77182","La Ferte-Gaucher",35142.1856617872
"77183","La Ferte-sous-Jouarre",28148.3470444803
"77184","Flagy",34142.145204907
"77185","Fleury-en-Biere",19206.9357654671
"77186","Fontainebleau",23047.4719233023
"77187","Fontaine-Fourches",46603.2122896699
"77188","Fontaine-le-Port",21213.2148581331
"77190","Fontains",27649.9415741225
"77191","Fontenailles",24667.4312996365
"77192","Fontenay-Tresigny",19087.1959654122
"77193","Forfry",20184.7897703606
"77194","Forges",29150.3244324367
"77195","Fouju",18040.4899003184
"77196","Fresnes-sur-Marne",12360.2773376144
"77197","Fretoy",31222.3304428994
"77198","Fromont",32262.4020795862
"77199","Fublaines",19937.3239792903
"77200","Garentreville",33782.1039005315
"77201","Gastins",25684.5930439628
"77202","La Genevraye",30097.1405271244
"77203","Germigny-l'Eveque",21673.9648054123
"77204","Germigny-sous-Coulombs",32711.6082167128
"77205","Gesvres-le-Chapitre",19108.3972089053
"77206","Giremoutiers",23025.2565411813
"77207","Gironville",39047.8801600587
"77208","Gouaix",40369.1938170286
"77209","Gouvernes",9808.03731914993
"77210","La Grande-Paroisse",28992.0259935876
"77211","Grandpuits-Bailly-Carrois",25134.4506546003
"77212","Gravon",36827.0715407825
"77214","Gressy",10419.2521426329
"77215","Gretz-Armainvilliers",13144.4819441443
"77216","Grez-sur-Loing",29433.5472657244
"77217","Grisy-Suisnes",13070.9151783448
"77218","Grisy-sur-Seine",42505.6371346695
"77219","Guerard",20080.6957905764
"77220","Guercheville",31885.6744787529
"77221","Guermantes",10509.2895550634
"77222","Guignes",18196.719688031
"77223","Gurcy-le-Chatel",31415.4979630829
"77224","Hautefeuille",21237.8644850235
"77225","La Haute-Maison",21892.2768834729
"77226","Hericy",23553.1430006863
"77227","Herme",42138.856457461
"77228","Hondevilliers",35898.2733418487
"77229","La Houssaye-en-Brie",18074.6707706184
"77230","Ichy",35798.3619852381
"77231","Isles-les-Meldeuses",24225.9340441697
"77232","Isles-les-Villenoy",15276.3864654488
"77233","Iverny",15694.992308287
"77234","Jablines",12500.4284075908
"77235","Jaignes",26538.430697785
"77236","Jaulnes",41650.9922038401
"77237","Jossigny",12782.665227798
"77238","Jouarre",26702.0423035941
"77239","Jouy-le-Chatel",29137.6346699168
"77240","Jouy-sur-Morin",33604.2158206787
"77241","Juilly",13993.9158040859
"77242","Jutigny",36871.3748245532
"77243","Lagny-sur-Marne",10398.0826731109
"77244","Larchant",30411.1902864531
"77245","Laval-en-Brie",28672.3599641148
"77246","Lechelle",41728.6365327658
"77247","Lescherolles",37373.6661346529
"77248","Lesches",13732.6693437306
"77249","Lesigny",9422.18372629613
"77250","Leudon-en-Brie",33786.1102814345
"77251","Lieusaint",10394.5705079168
"77252","Limoges-Fourches",13872.7638737095
"77253","Lissy",15189.9987188347
"77254","Liverdy-en-Brie",16289.3905934202
"77255","Livry-sur-Seine",18380.6230464247
"77256","Lizines",33348.972042113
"77257","Lizy-sur-Ourcq",25726.2125996277
"77258","Lognes",7654.58972942415
"77259","Longperrier",13945.546880644
"77260","Longueville",36731.8752556829
"77261","Lorrez-le-Bocage-Preaux",38103.1654640512
"77262","Louan-Villegruis-Fontaine",45413.4652758046
"77263","Luisetaines",36280.6479139707
"77264","Lumigny-Nesles-Ormeaux",21781.5475011631
"77265","Luzancy",31031.7708449618
"77266","Machault",24861.0620190279
"77267","La Madeleine-sur-Loing",37113.4038668262
"77268","Magny-le-Hongre",14409.7531890816
"77269","Maincy",17124.9446187122
"77270","Maisoncelles-en-Brie",21344.6226828196
"77271","Maisoncelles-en-Gatinais",37972.8835821685
"77272","Maison-Rouge",32100.501378566
"77273","Marchemoret",16917.7515132438
"77274","Marcilly",20516.9232051734
"77275","Les Marets",36631.1274484829
"77276","Mareuil-les-Meaux",16838.6466303561
"77277","Marles-en-Brie",19457.9541352366
"77278","Marolles-en-Brie",28815.1257208936
"77279","Marolles-sur-Seine",33672.7232745112
