"ID","NAMES","artisans_AsTheCowRolls_POT_15"
"75101","Paris 1er Arrondissement",115347.30804685
"75102","Paris 2e  Arrondissement",114277.73453924
"75103","Paris 3e  Arrondissement",116411.4119585
"75104","Paris 4e  Arrondissement",117682.97913505
"75105","Paris 5e  Arrondissement",114819.88089236
"75106","Paris 6e  Arrondissement",113473.8914271
"75107","Paris 7e  Arrondissement",110122.02222694
"75108","Paris 8e  Arrondissement",117136.97528959
"75109","Paris 9e  Arrondissement",118669.84169924
"75110","Paris 10e  Arrondissement",121018.67641639
"75111","Paris 11e  Arrondissement",113853.61864698
"75112","Paris 12e  Arrondissement",112418.58078828
"75113","Paris 13e  Arrondissement",111927.42156039
"75114","Paris 14e  Arrondissement",109653.97461903
"75115","Paris 15e  Arrondissement",102625.44661036
"75116","Paris 16e  Arrondissement",106344.02275561
"75117","Paris 17e  Arrondissement",115102.71873323
"75118","Paris 18e  Arrondissement",112933.98761078
"75119","Paris 19e  Arrondissement",110547.73387901
"75120","Paris 20e  Arrondissement",111917.38495397
"77001","Acheres-la-Foret",1713.39419219
"77002","Amillis",1070.46330307
"77003","Amponville",943.26235348
"77004","Andrezel",1857.87706726
"77005","Annet-sur-Marne",11429.71764177
"77006","Arbonne-la-Foret",2917.02259374
"77007","Argentieres",1342.21379035
"77008","Armentieres-en-Brie",1334.07804678
"77009","Arville",516.91330323
"77010","Aubepierre-Ozouer-le-Repos",1262.36929416
"77011","Aufferville",890.90890494
"77012","Augers-en-Brie",390.22918561
"77013","Aulnoy",1435.38087801
"77014","Avon",2979.29887689
"77015","Baby",286.42556953
"77016","Bagneaux-sur-Loing",1227.97742134
"77018","Bailly-Romainvilliers",7637.08605376
"77019","Balloy",634.53810244
"77020","Bannost-Villegagnon",574.75543355
"77021","Barbey",755.41701119
"77022","Barbizon",3850.63458536
"77023","Barcy",2715.53255656
"77024","Bassevelle",496.24829779
"77025","Bazoches-les-Bray",592.23716461
"77026","Beauchery-Saint-Martin",359.29258824
"77027","Beaumont-du-Gatinais",227.42805996
"77028","Beautheil",1116.07216552
"77029","Beauvoir",1548.0402243
"77030","Bellot",633.76230595
"77031","Bernay-Vilbert",1352.04763806
"77032","Beton-Bazoches",700.84588955
"77033","Bezalles",471.64499446
"77034","Blandy",2607.54612067
"77035","Blennes",336.7363096
"77036","Boisdon",558.69532546
"77037","Bois-le-Roi",3911.76141542
"77038","Boissettes",4128.32875494
"77039","Boissise-la-Bertrand",4228.1466001
"77040","Boissise-le-Roi",5715.86489956
"77041","Boissy-aux-Cailles",794.77612
"77042","Boissy-le-Chatel",1350.0505164
"77043","Boitron",549.74566083
"77044","Bombon",960.00842796
"77045","Bougligny",773.14917025
"77046","Boulancourt",367.27909181
"77047","Bouleurs",4520.39847445
"77048","Bourron-Marlotte",1806.7403143
"77049","Boutigny",3498.76536511
"77050","Bransles",622.32379704
"77051","Bray-sur-Seine",534.48365492
"77052","Breau",1386.76296668
"77053","Brie-Comte-Robert",12803.59610458
"77054","La Brosse-Montceaux",898.70734346
"77055","Brou-sur-Chantereine",22941.57753692
"77056","Burcy",571.73428735
"77057","Bussieres",793.49262589
"77058","Bussy-Saint-Georges",21272.31610961
"77059","Bussy-Saint-Martin",18983.35826584
"77060","Buthiers",590.84878814
"77061","Cannes-Ecluse",1110.79416528
"77062","Carnetin",10097.80274686
"77063","La Celle-sur-Morin",1988.50730578
"77065","Cely",4911.96251021
"77066","Cerneux",454.39436984
"77067","Cesson",7058.24737473
"77068","Cessoy-en-Montois",508.48040541
"77069","Chailly-en-Biere",5070.10129185
"77070","Chailly-en-Brie",1700.61494293
"77071","Chaintreaux",878.4945543
"77072","Chalautre-la-Grande",179.80265949
"77073","Chalautre-la-Petite",604.00148297
"77075","Chalifert",8956.77849919
"77076","Chalmaison",591.52393661
"77077","Chambry",3106.01084322
"77078","Chamigny",872.27145052
"77079","Champagne-sur-Seine",2146.28075158
"77080","Champcenest",484.69589683
"77081","Champdeuil",3978.54545117
"77082","Champeaux",1991.43961723
"77083","Champs-sur-Marne",37590.67606744
"77084","Changis-sur-Marne",2147.3104845
"77085","Chanteloup-en-Brie",13224.34773851
"77086","La Chapelle-Gauthier",1407.6577182
"77087","La Chapelle-Iger",881.76954719
"77088","La Chapelle-la-Reine",2009.09127787
"77089","La Chapelle-Rablais",651.80202597
"77090","La Chapelle-Saint-Sulpice",708.59664758
"77091","Les Chapelles-Bourbon",3016.64541011
"77093","La Chapelle-Moutils",384.27969285
"77094","Charmentray",5064.66061235
"77095","Charny",4708.50157993
"77096","Chartrettes",3063.79017341
"77097","Chartronges",635.18598856
"77098","Chateaubleau",549.74695922
"77099","Chateau-Landon",590.84110127
"77100","Le Chatelet-en-Brie",2751.37773524
"77101","Chatenay-sur-Seine",581.76510472
"77102","Chatenoy",1006.26783933
"77103","Chatillon-la-Borde",1921.62285559
"77104","Chatres",3735.71775028
"77106","Chauffry",994.42644413
"77107","Chaumes-en-Brie",2296.64255617
"77108","Chelles",33429.0128714
"77109","Chenoise",646.0310605
"77110","Chenou",547.07403789
"77111","Chessy",10623.07511248
"77112","Chevrainvilliers",1023.61043332
"77113","Chevru",830.40775205
"77114","Chevry-Cossigny",9657.47706645
"77115","Chevry-en-Sereine",590.53364632
"77116","Choisy-en-Brie",973.40882157
"77117","Citry",505.60906202
"77118","Claye-Souilly",17451.26379205
"77119","Clos-Fontaine",676.49359938
"77120","Cocherel",776.57200223
"77121","Collegien",28332.92226506
"77122","Combs-la-Ville",10743.94100181
"77123","Compans",11497.88733006
"77124","Conches-sur-Gondoire",14396.68322187
"77125","Conde-Sainte-Libiaire",5256.02463365
"77126","Congis-sur-Therouanne",1334.18002901
"77127","Coubert",6896.32466614
"77128","Couilly-Pont-aux-Dames",7984.06409784
"77129","Coulombs-en-Valois",287.5279256
"77130","Coulommes",3827.3082965
"77131","Coulommiers",1963.73764207
"77132","Coupvray",7664.24411545
"77133","Courcelles-en-Bassee",620.57587498
"77134","Courchamp",516.84078832
"77135","Courpalay",1178.33198621
"77136","Courquetaine",2881.07487226
"77137","Courtacon",680.35623023
"77138","Courtomer",1058.63496736
"77139","Courtry",24248.0866959
"77140","Coutencon",575.85780696
"77141","Coutevroult",6445.42738866
"77142","Crecy-la-Chapelle",4144.90033139
"77143","Cregy-les-Meaux",4273.50798773
"77144","Crevecoeur-en-Brie",2299.33952728
"77145","Crisenoy",4075.7722559
"77146","Croissy-Beaubourg",31066.81552199
"77147","La Croix-en-Brie",563.62768296
"77148","Crouy-sur-Ourcq",280.2156899
"77149","Cucharmoy",568.45064439
"77150","Cuisy",2165.33422265
"77151","Dagny",936.53592445
"77152","Dammarie-les-Lys",5056.44441788
"77153","Dammartin-en-Goele",4073.69709355
"77154","Dammartin-sur-Tigeaux",2651.49462751
"77155","Dampmart",9908.75856543
"77156","Darvault",1696.0140355
"77157","Dhuisy",665.8337347
"77158","Diant",558.88958982
"77159","Donnemarie-Dontilly",586.8252045
"77161","Dormelles",1023.13133781
"77162","Doue",980.1705641
"77163","Douy-la-Ramee",876.35874743
"77164","Echouboulains",735.93151021
"77165","Les Ecrennes",1541.76053119
"77166","Ecuelles",1988.19727348
"77167","Egligny",486.05007514
"77168","Egreville",761.68573192
"77169","Emerainville",33030.28139771
"77170","Episy",2139.01022592
"77171","Esbly",6620.69180884
"77172","Esmans",1176.91987743
"77173","Etrepilly",1720.07652406
"77174","Everly",584.33716227
"77175","Evry-Gregy-sur-Yerre",8925.62894042
"77176","Faremoutiers",2051.68777767
"77177","Favieres",5838.81884557
"77178","Fay-les-Nemours",1051.37210948
"77179","Fericy",1901.37151583
"77180","Ferolles-Attilly",13764.55933817
"77181","Ferrieres-en-Brie",25484.33667241
"77182","La Ferte-Gaucher",814.57188724
"77183","La Ferte-sous-Jouarre",1501.934233
"77184","Flagy",887.60321394
"77185","Fleury-en-Biere",4573.86144513
"77186","Fontainebleau",3476.34671792
"77187","Fontaine-Fourches",284.52048784
"77188","Fontaine-le-Port",2489.47078051
"77190","Fontains",547.11011876
"77191","Fontenailles",973.12303408
"77192","Fontenay-Tresigny",2522.17323273
"77193","Forfry",1209.34481648
"77194","Forges",1169.42653252
"77195","Fouju",2495.58346391
"77196","Fresnes-sur-Marne",9818.11566247
"77197","Fretoy",628.13679297
"77198","Fromont",612.42123153
"77199","Fublaines",2675.84589198
"77200","Garentreville",647.86818242
"77201","Gastins",764.02092513
"77202","La Genevraye",1806.25037676
"77203","Germigny-l'Eveque",1908.53441232
"77204","Germigny-sous-Coulombs",225.34450339
"77205","Gesvres-le-Chapitre",1508.74367892
"77206","Giremoutiers",2026.59490212
"77207","Gironville",496.64037935
"77208","Gouaix",504.51877538
"77209","Gouvernes",19107.32542866
"77210","La Grande-Paroisse",1176.50135808
"77211","Grandpuits-Bailly-Carrois",915.46672934
"77212","Gravon",541.88924034
"77214","Gressy",12624.27799761
"77215","Gretz-Armainvilliers",9657.26513551
"77216","Grez-sur-Loing",2003.22019062
"77217","Grisy-Suisnes",7990.27452076
"77218","Grisy-sur-Seine",435.89401574
"77219","Guerard",2589.15721094
"77220","Guercheville",769.94741012
"77221","Guermantes",17293.81326364
"77222","Guignes",3176.55938646
"77223","Gurcy-le-Chatel",544.06531471
"77224","Hautefeuille",1461.66545493
"77225","La Haute-Maison",2252.3492476
"77226","Hericy",2515.30660972
"77227","Herme",617.90983344
"77228","Hondevilliers",621.84435178
"77229","La Houssaye-en-Brie",2910.10741828
"77230","Ichy",542.34607622
"77231","Isles-les-Meldeuses",1581.34476957
"77232","Isles-les-Villenoy",5069.12271292
"77233","Iverny",3696.14625906
"77234","Jablines",5570.80879084
"77235","Jaignes",1139.92896737
"77236","Jaulnes",524.96651302
"77237","Jossigny",15261.58160696
"77238","Jouarre",1417.66289406
"77239","Jouy-le-Chatel",962.98470797
"77240","Jouy-sur-Morin",815.94042206
"77241","Juilly",3589.44205815
"77242","Jutigny",718.09220809
"77243","Lagny-sur-Marne",17636.44627908
"77244","Larchant",1334.30161696
"77245","Laval-en-Brie",942.41239474
"77246","Lechelle",451.42637271
"77247","Lescherolles",534.64201819
"77248","Lesches",6224.3776822
"77249","Lesigny",19179.34982882
"77250","Leudon-en-Brie",597.93651473
"77251","Lieusaint",11339.11851123
"77252","Limoges-Fourches",7403.49479296
"77253","Lissy",5915.00246059
"77254","Liverdy-en-Brie",3229.91847803
"77255","Livry-sur-Seine",4030.29770386
"77256","Lizines",600.58388839
"77257","Lizy-sur-Ourcq",1314.42247811
"77258","Lognes",35388.33840052
"77259","Longperrier",3827.67785506
"77260","Longueville",708.93898363
