"ID","NAMES","cadres_AsTheCowRolls_POT_15"
"75101","Paris 1er Arrondissement",847362.0774627
"75102","Paris 2e  Arrondissement",832050.20372476
"75103","Paris 3e  Arrondissement",832319.61198497
"75104","Paris 4e  Arrondissement",852438.60546417
"75105","Paris 5e  Arrondissement",848623.42847665
"75106","Paris 6e  Arrondissement",851212.15346631
"75107","Paris 7e  Arrondissement",834815.94881894
"75108","Paris 8e  Arrondissement",851883.9722993
"75109","Paris 9e  Arrondissement",847890.60941644
"75110","Paris 10e  Arrondissement",845503.76507735
"75111","Paris 11e  Arrondissement",796449.97761739
"75112","Paris 12e  Arrondissement",785308.02997829
"75113","Paris 13e  Arrondissement",825409.55375572
"75114","Paris 14e  Arrondissement",837456.0669323
"75115","Paris 15e  Arrondissement",803000.79788737
"75116","Paris 16e  Arrondissement",813070.40429026
"75117","Paris 17e  Arrondissement",824312.57549499
"75118","Paris 18e  Arrondissement",785157.2705871
"75119","Paris 19e  Arrondissement",745892.69371283
"75120","Paris 20e  Arrondissement",755430.5569541
"77001","Acheres-la-Foret",5573.29155105
"77002","Amillis",2043.16107273
"77003","Amponville",2787.11907564
"77004","Andrezel",5456.57725811
"77005","Annet-sur-Marne",41073.64384601
"77006","Arbonne-la-Foret",10655.94170982
"77007","Argentieres",3348.6346928
"77008","Armentieres-en-Brie",3743.93013656
"77009","Arville",911.43272878
"77010","Aubepierre-Ozouer-le-Repos",3077.11222282
"77011","Aufferville",1916.47068214
"77012","Augers-en-Brie",545.21678952
"77013","Aulnoy",3092.70832687
"77014","Avon",11725.84257499
"77015","Baby",330.39362339
"77016","Bagneaux-sur-Loing",3048.75809489
"77018","Bailly-Romainvilliers",32651.33571811
"77019","Balloy",1088.18293518
"77020","Bannost-Villegagnon",1041.68256403
"77021","Barbey",1650.54393733
"77022","Barbizon",14845.84735463
"77023","Barcy",8471.77471651
"77024","Bassevelle",973.13674791
"77025","Bazoches-les-Bray",933.98463957
"77026","Beauchery-Saint-Martin",648.12037882
"77027","Beaumont-du-Gatinais",312.2713061
"77028","Beautheil",2235.03203319
"77029","Beauvoir",3949.28828985
"77030","Bellot",931.08820294
"77031","Bernay-Vilbert",3153.39219715
"77032","Beton-Bazoches",1122.64903838
"77033","Bezalles",764.44781937
"77034","Blandy",9568.9838724
"77035","Blennes",592.10970705
"77036","Boisdon",949.66814437
"77037","Bois-le-Roi",15960.82370556
"77038","Boissettes",16275.64156953
"77039","Boissise-la-Bertrand",16670.564609
"77040","Boissise-le-Roi",22954.84715845
"77041","Boissy-aux-Cailles",2258.99235012
"77042","Boissy-le-Chatel",2670.81724733
"77043","Boitron",993.68601816
"77044","Bombon",2954.09745564
"77045","Bougligny",1569.65259847
"77046","Boulancourt",689.60020334
"77047","Bouleurs",16341.97708936
"77048","Bourron-Marlotte",6495.59264826
"77049","Boutigny",12165.23785988
"77050","Bransles",1201.56432036
"77051","Bray-sur-Seine",779.82517178
"77052","Breau",4385.22721291
"77053","Brie-Comte-Robert",52515.4427753
"77054","La Brosse-Montceaux",2299.08973764
"77055","Brou-sur-Chantereine",96406.31863209
"77056","Burcy",1183.41753044
"77057","Bussieres",1680.70855943
"77058","Bussy-Saint-Georges",101796.16977205
"77059","Bussy-Saint-Martin",86255.86527988
"77060","Buthiers",1384.39825194
"77061","Cannes-Ecluse",2974.4266852
"77062","Carnetin",41191.00334845
"77063","La Celle-sur-Morin",5187.89921063
"77065","Cely",18587.75939631
"77066","Cerneux",626.70512427
"77067","Cesson",28694.97032703
"77068","Cessoy-en-Montois",952.91335428
"77069","Chailly-en-Biere",19762.76703755
"77070","Chailly-en-Brie",3321.26338983
"77071","Chaintreaux",1738.08712634
"77072","Chalautre-la-Grande",300.71575094
"77073","Chalautre-la-Petite",1115.61837143
"77075","Chalifert",37566.10154411
"77076","Chalmaison",1025.92741173
"77077","Chambry",9779.05397307
"77078","Chamigny",2156.98322863
"77079","Champagne-sur-Seine",8773.89304994
"77080","Champcenest",771.86639961
"77081","Champdeuil",14200.5558911
"77082","Champeaux",6821.37368887
"77083","Champs-sur-Marne",192876.10149028
"77084","Changis-sur-Marne",6331.29500159
"77085","Chanteloup-en-Brie",57769.43273626
"77086","La Chapelle-Gauthier",4553.40340038
"77087","La Chapelle-Iger",2042.24840771
"77088","La Chapelle-la-Reine",6607.69245624
"77089","La Chapelle-Rablais",1629.94970896
"77090","La Chapelle-Saint-Sulpice",1395.69623908
"77091","Les Chapelles-Bourbon",9548.04301443
"77093","La Chapelle-Moutils",404.69458318
"77094","Charmentray",16189.73050129
"77095","Charny",14866.16654728
"77096","Chartrettes",12798.79827136
"77097","Chartronges",830.39545146
"77098","Chateaubleau",1059.53127604
"77099","Chateau-Landon",1081.20952817
"77100","Le Chatelet-en-Brie",11068.08326419
"77101","Chatenay-sur-Seine",1111.11131628
"77102","Chatenoy",2345.72638251
"77103","Chatillon-la-Borde",7221.85685782
"77104","Chatres",12146.61744613
"77106","Chauffry",1687.36361371
"77107","Chaumes-en-Brie",6393.36322498
"77108","Chelles",150564.51646995
"77109","Chenoise",1247.28260734
"77110","Chenou",969.43341289
"77111","Chessy",44585.4644634
"77112","Chevrainvilliers",2428.54658538
"77113","Chevru",1318.63259147
"77114","Chevry-Cossigny",38381.35196099
"77115","Chevry-en-Sereine",1092.87936073
"77116","Choisy-en-Brie",1496.8110458
"77117","Citry",1052.78064146
"77118","Claye-Souilly",60970.50272572
"77119","Clos-Fontaine",1503.58153109
"77120","Cocherel",2034.00441883
"77121","Collegien",136042.87761902
"77122","Combs-la-Ville",45427.9054204
"77123","Compans",36664.81159661
"77124","Conches-sur-Gondoire",62760.63252121
"77125","Conde-Sainte-Libiaire",20697.87586962
"77126","Congis-sur-Therouanne",3784.98217375
"77127","Coubert",25898.1067616
"77128","Couilly-Pont-aux-Dames",32403.71808549
"77129","Coulombs-en-Valois",783.67966135
"77130","Coulommes",13205.798121
"77131","Coulommiers",4280.62426588
"77132","Coupvray",31702.30199232
"77133","Courcelles-en-Bassee",1275.21201579
"77134","Courchamp",910.20584395
"77135","Courpalay",2768.69680832
"77136","Courquetaine",9311.88226916
"77137","Courtacon",1029.78642087
"77138","Courtomer",2497.38963889
"77139","Courtry",95573.81255033
"77140","Coutencon",1288.04471782
"77141","Coutevroult",24983.15838331
"77142","Crecy-la-Chapelle",14774.33756844
"77143","Cregy-les-Meaux",13791.07470867
"77144","Crevecoeur-en-Brie",7232.70071091
"77145","Crisenoy",15364.03824723
"77146","Croissy-Beaubourg",157880.74986823
"77147","La Croix-en-Brie",1134.57076104
"77148","Crouy-sur-Ourcq",789.56475882
"77149","Cucharmoy",1096.21676502
"77150","Cuisy",6721.51026294
"77151","Dagny",1642.18716828
"77152","Dammarie-les-Lys",19765.56741048
"77153","Dammartin-en-Goele",11973.10248368
"77154","Dammartin-sur-Tigeaux",8489.37857731
"77155","Dampmart",41753.91545991
"77156","Darvault",4799.19967041
"77157","Dhuisy",1749.14927987
"77158","Diant",1072.62150796
"77159","Donnemarie-Dontilly",1146.08577552
"77161","Dormelles",2748.59216113
"77162","Doue",1857.86000756
"77163","Douy-la-Ramee",2679.82890479
"77164","Echouboulains",1879.98783946
"77165","Les Ecrennes",5507.05532461
"77166","Ecuelles",7244.87342771
"77167","Egligny",875.86022508
"77168","Egreville",1531.7359981
"77169","Emerainville",171823.65840029
"77170","Episy",7759.33509944
"77171","Esbly",26584.24348144
"77172","Esmans",3224.59130369
"77173","Etrepilly",5100.42204661
"77174","Everly",969.06663993
"77175","Evry-Gregy-sur-Yerre",35859.68969601
"77176","Faremoutiers",5138.18713338
"77177","Favieres",22729.06329537
"77178","Fay-les-Nemours",2488.09301685
"77179","Fericy",7928.11758463
"77180","Ferolles-Attilly",59889.49997399
"77181","Ferrieres-en-Brie",125821.06273502
"77182","La Ferte-Gaucher",1095.26534942
"77183","La Ferte-sous-Jouarre",3850.20932674
"77184","Flagy",2262.0206533
"77185","Fleury-en-Biere",17306.46874738
"77186","Fontainebleau",13476.8665626
"77187","Fontaine-Fourches",318.49958086
"77188","Fontaine-le-Port",10523.69506346
"77190","Fontains",1266.97017964
"77191","Fontenailles",2651.68154486
"77192","Fontenay-Tresigny",7368.42871477
"77193","Forfry",3754.99024626
"77194","Forges",3211.87311249
"77195","Fouju",8887.74901495
"77196","Fresnes-sur-Marne",32366.49517639
"77197","Fretoy",1073.50659548
"77198","Fromont",1520.01341117
"77199","Fublaines",8229.6299818
"77200","Garentreville",1282.80778732
"77201","Gastins",1698.3525808
"77202","La Genevraye",6179.23429432
"77203","Germigny-l'Eveque",5521.96108826
"77204","Germigny-sous-Coulombs",632.59429841
"77205","Gesvres-le-Chapitre",4648.26483313
"77206","Giremoutiers",4965.78335012
"77207","Gironville",854.19609766
"77208","Gouaix",816.54465411
"77209","Gouvernes",84556.114115
"77210","La Grande-Paroisse",3486.45932569
"77211","Grandpuits-Bailly-Carrois",2203.49262919
"77212","Gravon",944.80723229
"77214","Gressy",40967.677735
"77215","Gretz-Armainvilliers",38268.11004393
"77216","Grez-sur-Loing",6974.93342084
"77217","Grisy-Suisnes",30701.84380589
"77218","Grisy-sur-Seine",578.13497354
"77219","Guerard",7906.73220604
"77220","Guercheville",1940.77242372
"77221","Guermantes",77482.67733536
"77222","Guignes",10129.08351753
"77223","Gurcy-le-Chatel",1098.97853993
"77224","Hautefeuille",3697.27563113
"77225","La Haute-Maison",6584.69706422
"77226","Hericy",10580.26120627
"77227","Herme",1024.07493097
"77228","Hondevilliers",1081.64957635
"77229","La Houssaye-en-Brie",9230.83082666
"77230","Ichy",955.33295411
"77231","Isles-les-Meldeuses",4495.10986621
"77232","Isles-les-Villenoy",19444.12073127
"77233","Iverny",11479.89527273
"77234","Jablines",21573.98729811
"77235","Jaignes",3018.5810221
"77236","Jaulnes",732.12560107
"77237","Jossigny",69415.30383583
"77238","Jouarre",3303.3068748
"77239","Jouy-le-Chatel",1894.51933286
"77240","Jouy-sur-Morin",1124.40569026
"77241","Juilly",10473.37599793
"77242","Jutigny",1339.00556925
"77243","Lagny-sur-Marne",76111.86211784
"77244","Larchant",3743.54896174
"77245","Laval-en-Brie",2327.77677002
"77246","Lechelle",845.58608177
"77247","Lescherolles",612.47350819
"77248","Lesches",25371.19121816
"77249","Lesigny",87034.57720915
