"ID","NAMES","population_AsTheCrowFlies_POT_7500"
"77141","Coutevroult",84892.7571645
"77142","Crecy-la-Chapelle",47057.9736125
"77143","Cregy-les-Meaux",90200.21413143
"77144","Crevecoeur-en-Brie",22913.33895343
"77145","Crisenoy",44885.72232549
"77146","Croissy-Beaubourg",368617.059453
"77147","La Croix-en-Brie",12281.1174292
"77148","Crouy-sur-Ourcq",7812.14485494
"77149","Cucharmoy",12669.94113783
"77150","Cuisy",39811.50719837
"77151","Dagny",9943.37428809
"77152","Dammarie-les-Lys",139069.01598329
"77153","Dammartin-en-Goele",43991.90202569
"77154","Dammartin-sur-Tigeaux",35811.15792597
"77155","Dampmart",155559.45185753
"77156","Darvault",32680.38362998
"77157","Dhuisy",10489.01028238
"77158","Diant",10091.75991654
"77159","Donnemarie-Dontilly",12812.70158702
"77161","Dormelles",22446.91026089
"77162","Doue",25686.83476984
"77163","Douy-la-Ramee",21054.82208345
"77164","Echouboulains",20835.55191196
"77165","Les Ecrennes",17986.8834053
"77166","Ecuelles",43725.28521453
"77167","Egligny",12808.23534484
"77168","Egreville",6983.47175368
"77169","Emerainville",570874.18373928
"77170","Episy",35931.87468105
"77171","Esbly",115618.73948129
"77172","Esmans",30727.8436702
"77173","Etrepilly",31360.74703518
"77174","Everly",14700.86876825
"77175","Evry-Gregy-sur-Yerre",111482.35440134
"77176","Faremoutiers",29299.00319471
"77177","Favieres",91657.66884033
"77178","Fay-les-Nemours",26975.97418803
"77179","Fericy",44332.87092146
"77180","Ferolles-Attilly",185829.94655095
"77181","Ferrieres-en-Brie",229762.31549524
"77182","La Ferte-Gaucher",14088.47725852
"77183","La Ferte-sous-Jouarre",26987.18008572
"77184","Flagy",20547.95428087
"77185","Fleury-en-Biere",30742.13776076
"77186","Fontainebleau",48671.52165112
"77187","Fontaine-Fourches",3020.58759211
"77188","Fontaine-le-Port",55043.43123208
"77190","Fontains",15860.99063311
"77191","Fontenailles",17046.19746197
"77192","Fontenay-Tresigny",28225.92440936
"77193","Forfry",26598.37232621
"77194","Forges",34576.41633226
"77195","Fouju",41151.99444205
"77196","Fresnes-sur-Marne",95000.48983807
"77197","Fretoy",8523.57605696
"77198","Fromont",5447.30563301
"77199","Fublaines",89346.22393474
"77200","Garentreville",8394.09723082
"77201","Gastins",13269.27138106
"77202","La Genevraye",34360.74168295
"77203","Germigny-l'Eveque",72719.71855566
"77204","Germigny-sous-Coulombs",6067.36107307
"77205","Gesvres-le-Chapitre",38046.01764227
"77206","Giremoutiers",33440.93689239
"77207","Gironville",2925.63091176
"77208","Gouaix",15501.71315303
"77209","Gouvernes",275819.08824854
"77210","La Grande-Paroisse",46044.68196652
"77211","Grandpuits-Bailly-Carrois",18442.39602092
"77212","Gravon",9925.17543357
"77214","Gressy",151780.33103634
"77215","Gretz-Armainvilliers",97100.58513016
"77216","Grez-sur-Loing",31245.17471935
"77217","Grisy-Suisnes",80688.29441488
"77218","Grisy-sur-Seine",9657.04192998
"77219","Guerard",32749.75085588
"77220","Guercheville",10600.42885471
"77221","Guermantes",235265.22200811
"77222","Guignes",28088.4186132
"77223","Gurcy-le-Chatel",13493.90360701
"77224","Hautefeuille",23888.69941267
"77225","La Haute-Maison",33915.17076661
"77226","Hericy",56005.25956753
"77227","Herme",12309.59353434
"77228","Hondevilliers",8504.37027529
"77229","La Houssaye-en-Brie",27331.98951005
"77230","Ichy",4590.62692449
"77231","Isles-les-Meldeuses",40035.957967
"77232","Isles-les-Villenoy",111263.77412466
"77233","Iverny",51955.34904918
"77234","Jablines",123738.77211355
"77235","Jaignes",28290.94671196
"77236","Jaulnes",9434.95106717
"77237","Jossigny",146125.7012193
"77238","Jouarre",27198.05192123
