"ID","NAMES","artisans_AsTheCrowFlies_POT_0"
"75101","Paris 1er Arrondissement",763
"75102","Paris 2e  Arrondissement",832
"75103","Paris 3e  Arrondissement",1326
"75104","Paris 4e  Arrondissement",1036
"75105","Paris 5e  Arrondissement",1388
"75106","Paris 6e  Arrondissement",1551
"75107","Paris 7e  Arrondissement",2196
"75108","Paris 8e  Arrondissement",1656
"75109","Paris 9e  Arrondissement",2116
"75110","Paris 10e  Arrondissement",2585
"75111","Paris 11e  Arrondissement",3918
"75112","Paris 12e  Arrondissement",2897
"75113","Paris 13e  Arrondissement",3335
"75114","Paris 14e  Arrondissement",2669
"75115","Paris 15e  Arrondissement",5120
"75116","Paris 16e  Arrondissement",6485
"75117","Paris 17e  Arrondissement",5005
"75118","Paris 18e  Arrondissement",4886
"75119","Paris 19e  Arrondissement",4346
"75120","Paris 20e  Arrondissement",3926
"77001","Acheres-la-Foret",48
"77002","Amillis",15
"77003","Amponville",28
"77004","Andrezel",20
"77005","Annet-sur-Marne",128
"77006","Arbonne-la-Foret",36
"77007","Argentieres",4
"77008","Armentieres-en-Brie",12
"77009","Arville",8
"77010","Aubepierre-Ozouer-le-Repos",45
"77011","Aufferville",20
"77012","Augers-en-Brie",16
"77013","Aulnoy",4
"77014","Avon",193
"77015","Baby",0
"77016","Bagneaux-sur-Loing",24
"77018","Bailly-Romainvilliers",156
"77019","Balloy",12
"77020","Bannost-Villegagnon",19
"77021","Barbey",8
"77022","Barbizon",73
"77023","Barcy",11
"77024","Bassevelle",16
"77025","Bazoches-les-Bray",33
"77026","Beauchery-Saint-Martin",8
"77027","Beaumont-du-Gatinais",44
"77028","Beautheil",16
"77029","Beauvoir",4
"77030","Bellot",8
"77031","Bernay-Vilbert",32
"77032","Beton-Bazoches",30
"77033","Bezalles",0
"77034","Blandy",37
"77035","Blennes",29
"77036","Boisdon",4
"77037","Bois-le-Roi",167
"77038","Boissettes",20
"77039","Boissise-la-Bertrand",23
"77040","Boissise-le-Roi",119
"77041","Boissy-aux-Cailles",8
"77042","Boissy-le-Chatel",72
"77043","Boitron",16
"77044","Bombon",8
"77045","Bougligny",43
"77046","Boulancourt",24
"77047","Bouleurs",44
"77048","Bourron-Marlotte",134
"77049","Boutigny",52
"77050","Bransles",16
"77051","Bray-sur-Seine",47
"77052","Breau",8
"77053","Brie-Comte-Robert",397
"77054","La Brosse-Montceaux",0
"77055","Brou-sur-Chantereine",83
"77056","Burcy",4
"77057","Bussieres",16
"77058","Bussy-Saint-Georges",604
"77059","Bussy-Saint-Martin",16
"77060","Buthiers",40
"77061","Cannes-Ecluse",56
"77062","Carnetin",30
"77063","La Celle-sur-Morin",36
"77065","Cely",45
"77066","Cerneux",12
"77067","Cesson",136
"77068","Cessoy-en-Montois",8
"77069","Chailly-en-Biere",63
"77070","Chailly-en-Brie",60
"77071","Chaintreaux",20
"77072","Chalautre-la-Grande",31
"77073","Chalautre-la-Petite",16
"77075","Chalifert",36
"77076","Chalmaison",12
"77077","Chambry",12
"77078","Chamigny",16
"77079","Champagne-sur-Seine",117
"77080","Champcenest",0
"77081","Champdeuil",15
"77082","Champeaux",13
"77083","Champs-sur-Marne",505
"77084","Changis-sur-Marne",39
"77085","Chanteloup-en-Brie",45
"77086","La Chapelle-Gauthier",37
"77087","La Chapelle-Iger",8
"77088","La Chapelle-la-Reine",61
"77089","La Chapelle-Rablais",20
"77090","La Chapelle-Saint-Sulpice",4
"77091","Les Chapelles-Bourbon",12
"77093","La Chapelle-Moutils",20
"77094","Charmentray",12
"77095","Charny",12
"77096","Chartrettes",115
"77097","Chartronges",4
"77098","Chateaubleau",12
"77099","Chateau-Landon",68
"77100","Le Chatelet-en-Brie",83
"77101","Chatenay-sur-Seine",20
"77102","Chatenoy",4
"77103","Chatillon-la-Borde",8
"77104","Chatres",34
"77106","Chauffry",58
"77107","Chaumes-en-Brie",145
"77108","Chelles",1149
"77109","Chenoise",36
"77110","Chenou",8
"77111","Chessy",79
"77112","Chevrainvilliers",8
"77113","Chevru",40
"77114","Chevry-Cossigny",89
"77115","Chevry-en-Sereine",40
"77116","Choisy-en-Brie",51
"77117","Citry",32
"77118","Claye-Souilly",314
"77119","Clos-Fontaine",4
"77120","Cocherel",4
"77121","Collegien",91
"77122","Combs-la-Ville",316
"77123","Compans",17
"77124","Conches-sur-Gondoire",44
"77125","Conde-Sainte-Libiaire",72
"77126","Congis-sur-Therouanne",40
"77127","Coubert",41
"77128","Couilly-Pont-aux-Dames",82
"77129","Coulombs-en-Valois",8
"77130","Coulommes",12
"77131","Coulommiers",255
"77132","Coupvray",83
"77133","Courcelles-en-Bassee",0
"77134","Courchamp",4
"77135","Courpalay",52
"77136","Courquetaine",4
"77137","Courtacon",11
"77138","Courtomer",16
"77139","Courtry",212
"77140","Coutencon",8
"77141","Coutevroult",29
"77142","Crecy-la-Chapelle",140
"77143","Cregy-les-Meaux",56
"77144","Crevecoeur-en-Brie",16
"77145","Crisenoy",16
"77146","Croissy-Beaubourg",63
"77147","La Croix-en-Brie",24
"77148","Crouy-sur-Ourcq",28
"77149","Cucharmoy",8
"77150","Cuisy",8
"77151","Dagny",0
"77152","Dammarie-les-Lys",446
"77153","Dammartin-en-Goele",183
"77154","Dammartin-sur-Tigeaux",33
"77155","Dampmart",76
"77156","Darvault",23
"77157","Dhuisy",4
"77158","Diant",4
"77159","Donnemarie-Dontilly",58
"77161","Dormelles",46
"77162","Doue",24
"77163","Douy-la-Ramee",4
"77164","Echouboulains",8
"77165","Les Ecrennes",32
"77166","Ecuelles",48
"77167","Egligny",8
"77168","Egreville",89
"77169","Emerainville",134
"77170","Episy",15
"77171","Esbly",125
"77172","Esmans",12
"77173","Etrepilly",24
"77174","Everly",16
"77175","Evry-Gregy-sur-Yerre",151
"77176","Faremoutiers",59
"77177","Favieres",52
"77178","Fay-les-Nemours",29
"77179","Fericy",20
"77180","Ferolles-Attilly",35
"77181","Ferrieres-en-Brie",82
"77182","La Ferte-Gaucher",112
"77183","La Ferte-sous-Jouarre",220
"77184","Flagy",12
"77185","Fleury-en-Biere",28
"77186","Fontainebleau",418
"77187","Fontaine-Fourches",56
"77188","Fontaine-le-Port",28
"77190","Fontains",8
"77191","Fontenailles",32
"77192","Fontenay-Tresigny",180
"77193","Forfry",20
"77194","Forges",12
"77195","Fouju",12
"77196","Fresnes-sur-Marne",8
"77197","Fretoy",4
"77198","Fromont",8
"77199","Fublaines",41
"77200","Garentreville",8
"77201","Gastins",20
"77202","La Genevraye",28
"77203","Germigny-l'Eveque",60
"77204","Germigny-sous-Coulombs",0
"77205","Gesvres-le-Chapitre",0
"77206","Giremoutiers",8
"77207","Gironville",17
"77208","Gouaix",32
"77209","Gouvernes",44
"77210","La Grande-Paroisse",49
"77211","Grandpuits-Bailly-Carrois",20
"77212","Gravon",0
"77214","Gressy",29
"77215","Gretz-Armainvilliers",142
"77216","Grez-sur-Loing",41
"77217","Grisy-Suisnes",109
"77218","Grisy-sur-Seine",4
"77219","Guerard",100
"77220","Guercheville",20
"77221","Guermantes",42
"77222","Guignes",88
"77223","Gurcy-le-Chatel",16
"77224","Hautefeuille",4
"77225","La Haute-Maison",20
"77226","Hericy",68
"77227","Herme",16
"77228","Hondevilliers",12
"77229","La Houssaye-en-Brie",64
"77230","Ichy",11
"77231","Isles-les-Meldeuses",20
"77232","Isles-les-Villenoy",36
"77233","Iverny",20
"77234","Jablines",20
"77235","Jaignes",4
"77236","Jaulnes",0
"77237","Jossigny",48
"77238","Jouarre",76
"77239","Jouy-le-Chatel",50
"77240","Jouy-sur-Morin",53
"77241","Juilly",28
"77242","Jutigny",16
"77243","Lagny-sur-Marne",450
"77244","Larchant",32
"77245","Laval-en-Brie",12
"77246","Lechelle",0
"77247","Lescherolles",28
"77248","Lesches",20
"77249","Lesigny",320
"77250","Leudon-en-Brie",4
"77251","Lieusaint",209
"77252","Limoges-Fourches",29
"77253","Lissy",4
"77254","Liverdy-en-Brie",65
"77255","Livry-sur-Seine",40
"77256","Lizines",0
"77257","Lizy-sur-Ourcq",56
"77258","Lognes",328
"77259","Longperrier",52
"77260","Longueville",8
"77261","Lorrez-le-Bocage-Preaux",23
"77262","Louan-Villegruis-Fontaine",28
"77263","Luisetaines",8
"77264","Lumigny-Nesles-Ormeaux",60
"77265","Luzancy",28
"77266","Machault",21
"77267","La Madeleine-sur-Loing",19
"77268","Magny-le-Hongre",172
"77269","Maincy",40
"77270","Maisoncelles-en-Brie",56
"77271","Maisoncelles-en-Gatinais",4
"77272","Maison-Rouge",29
"77273","Marchemoret",0
"77274","Marcilly",4
"77275","Les Marets",4
"77276","Mareuil-les-Meaux",57
"77277","Marles-en-Brie",48
"77278","Marolles-en-Brie",16
"77279","Marolles-sur-Seine",52
"77280","Mary-sur-Marne",44
"77281","Mauperthuis",16
"77282","Mauregard",4
"77283","May-en-Multien",8
"77284","Meaux",845
"77285","Le Mee-sur-Seine",306
"77286","Meigneux",23
"77287","Meilleray",12
"77288","Melun",556
"77289","Melz-sur-Seine",33
"77290","Mery-sur-Marne",16
"77291","Le Mesnil-Amelot",12
"77292","Messy",20
"77293","Misy-sur-Yonne",25
"77294","Mitry-Mory",419
"77295","Moisenay",56
"77296","Moissy-Cramayel",249
"77297","Mondreville",16
"77298","Mons-en-Montois",8
"77299","Montarlot",4
"77300","Montceaux-les-Meaux",28
"77301","Montceaux-les-Provins",19
"77302","Montcourt-Fromonville",28
"77303","Montdauphin",8
"77304","Montenils",0
"77305","Montereau-Fault-Yonne",226
"77306","Montereau-sur-le-Jard",12
"77307","Montevrain",206
"77308","Montge-en-Goele",16
"77309","Monthyon",48
"77310","Montigny-le-Guesdier",12
"77311","Montigny-Lencoup",12
"77312","Montigny-sur-Loing",89
"77313","Montmachoux",8
"77314","Montolivet",4
"77315","Montry",98
"77316","Moret-sur-Loing",72
"77317","Mormant",40
"77318","Mortcerf",52
"77319","Mortery",4
"77320","Mouroux",137
"77321","Mousseaux-les-Bray",11
"77322","Moussy-le-Neuf",72
"77323","Moussy-le-Vieux",16
"77325","Mouy-sur-Seine",8
"77326","Nandy",107
"77327","Nangis",121
"77328","Nanteau-sur-Essonne",19
"77329","Nanteau-sur-Lunain",16
"77330","Nanteuil-les-Meaux",151
"77331","Nanteuil-sur-Marne",4
"77332","Nantouillet",8
"77333","Nemours",250
"77335","Chauconin-Neufmontiers",66
"77336","Neufmoutiers-en-Brie",34
"77337","Noisiel",247
"77338","Noisy-Rudignon",20
"77339","Noisy-sur-Ecole",129
"77340","Nonville",32
"77341","Noyen-sur-Seine",21
"77342","Obsonville",4
"77343","Ocquerre",0
"77344","Oissery",28
"77345","Orly-sur-Morin",28
"77347","Les Ormes-sur-Voulzie",20
"77348","Ormesson",8
"77349","Othis",44
"77350","Ozoir-la-Ferriere",581
"77352","Ozouer-le-Voulgis",68
"77353","Paley",20
"77354","Pamfou",28
"77355","Paroy",16
"77356","Passy-sur-Seine",4
"77357","Pecy",36
"77358","Penchard",37
"77359","Perthes",140
"77360","Pezarches",12
"77361","Pierre-Levee",20
"77363","Le Pin",39
"77364","Le Plessis-aux-Bois",15
"77365","Le Plessis-Feu-Aussoux",12
"77366","Le Plessis-l'Eveque",0
"77367","Le Plessis-Placy",12
"77368","Poigny",12
"77369","Poincy",27
"77370","Poligny",36
"77371","Pommeuse",108
"77372","Pomponne",85
"77373","Pontault-Combault",880
"77374","Pontcarre",44
"77376","Precy-sur-Marne",32
"77377","Presles-en-Brie",69
"77378","Pringy",80
"77379","Provins",228
"77380","Puisieux",8
"77381","Quiers",37
"77382","Quincy-Voisins",189
"77383","Rampillon",36
"77384","Reau",23
"77385","Rebais",64
"77386","Recloses",16
"77387","Remauville",8
"77388","Reuil-en-Brie",28
"77389","La Rochette",36
"77390","Roissy-en-Brie",408
"77391","Rouilly",8
"77392","Rouvres",32
"77393","Rozay-en-Brie",35
"77394","Rubelles",80
"77395","Rumont",12
"77396","Rupereux",4
"77397","Saacy-sur-Marne",52
"77398","Sablonnieres",20
"77399","Saint-Ange-le-Viel",12
"77400","Saint-Augustin",68
"77401","Sainte-Aulde",19
"77402","Saint-Barthelemy",13
"77403","Saint-Brice",32
"77404","Sainte-Colombe",24
"77405","Saint-Cyr-sur-Morin",53
"77406","Saint-Denis-les-Rebais",49
"77407","Saint-Fargeau-Ponthierry",333
"77408","Saint-Fiacre",4
"77409","Saint-Germain-Laval",56
"77410","Saint-Germain-Laxis",12
"77411","Saint-Germain-sous-Doue",12
"77412","Saint-Germain-sur-Ecole",24
"77413","Saint-Germain-sur-Morin",128
"77414","Saint-Hilliers",16
"77415","Saint-Jean-les-Deux-Jumeaux",36
"77416","Saint-Just-en-Brie",12
"77417","Saint-Leger",16
"77418","Saint-Loup-de-Naud",24
"77419","Saint-Mammes",66
"77420","Saint-Mard",109
"77421","Saint-Mars-Vieux-Maisons",12
"77423","Saint-Martin-des-Champs",16
"77424","Saint-Martin-du-Boschet",16
"77425","Saint-Martin-en-Biere",36
"77426","Saint-Mery",8
"77427","Saint-Mesmes",34
"77428","Saint-Ouen-en-Brie",28
"77429","Saint-Ouen-sur-Morin",4
"77430","Saint-Pathus",120
"77431","Saint-Pierre-les-Nemours",120
"77432","Saint-Remy-la-Vanne",28
"77433","Saints",65
"77434","Saint-Sauveur-les-Bray",4
"77435","Saint-Sauveur-sur-Ecole",64
"77436","Saint-Simeon",55
"77437","Saint-Soupplets",59
"77438","Saint-Thibault-des-Vignes",141
"77439","Salins",12
"77440","Sammeron",31
"77441","Samois-sur-Seine",40
"77442","Samoreau",48
"77443","Sancy",12
"77444","Sancy-les-Provins",12
"77445","Savigny-le-Temple",414
"77446","Savins",21
"77447","Seine-Port",76
"77448","Sept-Sorts",16
"77449","Serris",205
"77450","Servon",76
"77451","Signy-Signets",12
"77452","Sigy",0
"77453","Sivry-Courtry",25
"77454","Sognolles-en-Montois",8
"77455","Soignolles-en-Brie",100
"77456","Soisy-Bouy",16
"77457","Solers",67
"77458","Souppes-sur-Loing",92
"77459","Sourdun",37
"77460","Tancrou",0
"77461","Thenisy",16
"77462","Thieux",28
"77463","Thomery",112
"77464","Thorigny-sur-Marne",184
"77465","Thoury-Ferottes",24
"77466","Tigeaux",20
"77467","La Tombe",8
"77468","Torcy",336
"77469","Touquin",64
"77470","Tournan-en-Brie",159
"77471","Tousson",24
"77472","La Tretoire",8
"77473","Treuzy-Levelay",24
"77474","Trilbardou",15
"77475","Trilport",79
"77476","Trocy-en-Multien",4
"77477","Ury",19
"77478","Ussy-sur-Marne",16
"77479","Vaires-sur-Marne",260
"77480","Valence-en-Brie",28
"77481","Vanville",4
"77482","Varennes-sur-Seine",56
"77483","Varreddes",84
"77484","Vaucourtois",4
"77485","Le Vaudoue",39
"77486","Vaudoy-en-Brie",36
"77487","Vaux-le-Penil",228
"77489","Vaux-sur-Lunain",0
"77490","Vendrest",4
"77491","Veneux-les-Sablons",80
"77492","Verdelot",39
"77493","Verneuil-l'Etang",44
"77494","Vernou-la-Celle-sur-Seine",87
"77495","Vert-Saint-Denis",124
"77496","Vieux-Champagne",8
"77498","Vignely",12
"77500","Villebeon",4
"77501","Villecerf",16
"77504","Villemarechal",48
"77505","Villemareuil",4
"77506","Villemer",12
"77507","Villenauxe-la-Petite",12
"77508","Villeneuve-le-Comte",73
"77509","Villeneuve-les-Bordes",12
"77510","Villeneuve-Saint-Denis",8
"77511","Villeneuve-sous-Dammartin",12
"77512","Villeneuve-sur-Bellot",24
"77513","Villenoy",72
"77514","Villeparisis",473
"77515","Villeroy",29
"77516","Ville-Saint-Jacques",24
"77517","Villevaude",111
"77518","Villiers-en-Biere",16
"77519","Villiers-Saint-Georges",32
"77520","Villiers-sous-Grez",16
"77521","Villiers-sur-Morin",65
"77522","Villiers-sur-Seine",8
"77523","Villuis",4
"77524","Vimpelles",20
"77525","Vinantes",16
"77526","Vincy-Manoeuvre",4
"77527","Voinsles",20
"77528","Voisenon",36
"77529","Voulangis",81
"77530","Voulton",4
"77531","Voulx",68
"77532","Vulaines-les-Provins",0
"77533","Vulaines-sur-Seine",92
"77534","Yebles",28
"78003","Ablis",64
"78005","Acheres",290
"78006","Adainville",39
"78007","Aigremont",32
"78009","Allainville",8
"78010","Les Alluets-le-Roi",68
"78013","Andelu",4
"78015","Andresy",228
"78020","Arnouville-les-Mantes",32
"78029","Aubergenville",177
"78030","Auffargis",80
"78031","Auffreville-Brasseuil",24
