"ID","NAMES","intermediaires_AsTheCowRolls_POT_20"
"75101","Paris 1er Arrondissement",828249.49293427
"75102","Paris 2e  Arrondissement",816970.79541951
"75103","Paris 3e  Arrondissement",831885.57358227
"75104","Paris 4e  Arrondissement",842484.26890928
"75105","Paris 5e  Arrondissement",834701.27526033
"75106","Paris 6e  Arrondissement",827312.0614221
"75107","Paris 7e  Arrondissement",809231.51867346
"75108","Paris 8e  Arrondissement",831214.17638255
"75109","Paris 9e  Arrondissement",835086.82712769
"75110","Paris 10e  Arrondissement",849456.95249604
"75111","Paris 11e  Arrondissement",820636.81890491
"75112","Paris 12e  Arrondissement",829912.13637081
"75113","Paris 13e  Arrondissement",833480.85406165
"75114","Paris 14e  Arrondissement",820811.23438305
"75115","Paris 15e  Arrondissement",776849.01268458
"75116","Paris 16e  Arrondissement",786382.10157045
"75117","Paris 17e  Arrondissement",816521.91703305
"75118","Paris 18e  Arrondissement",807900.65038477
"75119","Paris 19e  Arrondissement",797361.49813765
"75120","Paris 20e  Arrondissement",812407.43335318
"77001","Acheres-la-Foret",21071.4746333
"77002","Amillis",9611.19209889
"77003","Amponville",11817.45455717
"77004","Andrezel",34566.01039231
"77005","Annet-sur-Marne",183570.39757119
"77006","Arbonne-la-Foret",40653.03118312
"77007","Argentieres",23430.36569905
"77008","Armentieres-en-Brie",18750.25908575
"77009","Arville",4180.6033589
"77010","Aubepierre-Ozouer-le-Repos",19320.56010222
"77011","Aufferville",7244.13483687
"77012","Augers-en-Brie",3302.00911486
"77013","Aulnoy",14446.68782928
"77014","Avon",31976.65150084
"77015","Baby",2598.16909354
"77016","Bagneaux-sur-Loing",10614.2429315
"77018","Bailly-Romainvilliers",137251.132808
"77019","Balloy",6660.56173016
"77020","Bannost-Villegagnon",6823.01782434
"77021","Barbey",8983.49215056
"77022","Barbizon",58693.80483864
"77023","Barcy",42751.51661669
"77024","Bassevelle",5309.64372427
"77025","Bazoches-les-Bray",6022.42446554
"77026","Beauchery-Saint-Martin",2658.06720545
"77027","Beaumont-du-Gatinais",2083.65529133
"77028","Beautheil",9931.61583976
"77029","Beauvoir",27136.89230247
"77030","Bellot",4904.3698589
"77031","Bernay-Vilbert",19836.28615146
"77032","Beton-Bazoches",6774.1342653
"77033","Bezalles",4918.58548056
"77034","Blandy",43471.39531527
"77035","Blennes",3693.88378495
"77036","Boisdon",6168.33171074
"77037","Bois-le-Roi",47740.65077179
"77038","Boissettes",66801.16971752
"77039","Boissise-la-Bertrand",68824.84209332
"77040","Boissise-le-Roi",91542.27756422
"77041","Boissy-aux-Cailles",9528.74459358
"77042","Boissy-le-Chatel",11796.32805636
"77043","Boitron",5422.03832874
"77044","Bombon",18694.07586467
"77045","Bougligny",6064.28175148
"77046","Boulancourt",3922.06709928
"77047","Bouleurs",75937.44646192
"77048","Bourron-Marlotte",17149.54433915
"77049","Boutigny",57611.22465209
"77050","Bransles",5427.9674865
"77051","Bray-sur-Seine",4864.4917826
"77052","Breau",25396.48635184
"77053","Brie-Comte-Robert",207519.98688351
"77054","La Brosse-Montceaux",10088.62301308
"77055","Brou-sur-Chantereine",295075.36850446
"77056","Burcy",5503.88643555
"77057","Bussieres",9138.84310379
"77058","Bussy-Saint-Georges",305910.94825059
"77059","Bussy-Saint-Martin",269865.09572649
"77060","Buthiers",6814.34026542
"77061","Cannes-Ecluse",12029.94857784
