"ID","NAMES","artisans_AsTheCowRolls_ACC_0.01"
"77136","Courquetaine",14.5770489522555
"77137","Courtacon",24.5187706160403
"77138","Courtomer",19.6771914417237
"77139","Courtry",6.29973758435066
"77140","Coutencon",24.5171155359554
"77141","Coutevroult",10.4140429843461
"77142","Crecy-la-Chapelle",12.4173223361949
"77143","Cregy-les-Meaux",11.8233488063063
"77144","Crevecoeur-en-Brie",15.3762402905653
"77145","Crisenoy",12.7571918376609
"77146","Croissy-Beaubourg",6.29235427820575
"77147","La Croix-en-Brie",24.9403931540166
"77148","Crouy-sur-Ourcq",26.1665353430958
"77149","Cucharmoy",26.4768276449105
"77150","Cuisy",15.5593460762493
"77151","Dagny",21.1971169880918
"77152","Dammarie-les-Lys",10.5415823761709
"77153","Dammartin-en-Goele",12.9477168356977
"77154","Dammartin-sur-Tigeaux",15.048428843998
"77155","Dampmart",9.91513911102929
"77156","Darvault",18.0098806863573
"77157","Dhuisy",21.0417120123509
"77158","Diant",27.8574783381278
"77159","Donnemarie-Dontilly",26.5419879424341
"77161","Dormelles",22.9353143523229
"77162","Doue",22.2747529386374
"77163","Douy-la-Ramee",20.4957797245146
"77164","Echouboulains",22.090735159149
"77165","Les Ecrennes",17.5616833307682
"77166","Ecuelles",17.7088593824647
"77167","Egligny",28.4291956255076
"77168","Egreville",24.2811069065148
"77169","Emerainville",5.95339149247305
"77170","Episy",16.7494252977212
"77171","Esbly",10.2579382823388
"77172","Esmans",21.920661778706
"77173","Etrepilly",17.3921532176785
"77174","Everly",31.7861260108428
"77175","Evry-Gregy-sur-Yerre",10.564855326862
"77176","Faremoutiers",16.278814634169
"77177","Favieres",11.6777999767255
"77178","Fay-les-Nemours",22.1781513025618
"77179","Fericy",16.9594320489163
"77180","Ferolles-Attilly",8.61249333007118
"77181","Ferrieres-en-Brie",6.61647216862051
"77182","La Ferte-Gaucher",25.8100178499256
"77183","La Ferte-sous-Jouarre",17.7697955815783
"77184","Flagy",24.0609465668564
"77185","Fleury-en-Biere",12.3007247645458
"77186","Fontainebleau",12.9815563878287
"77187","Fontaine-Fourches",34.7953264194843
"77188","Fontaine-le-Port",15.4223897841985
"77190","Fontains",23.5744114607105
"77191","Fontenailles",20.0264894016646
"77192","Fontenay-Tresigny",15.1533575903215
"77193","Forfry",18.6496559050697
"77194","Forges",20.2107040498516
"77195","Fouju",15.229324106268
"77196","Fresnes-sur-Marne",10.555619757899
"77197","Fretoy",22.8836273701837
"77198","Fromont",22.3542757531013
"77199","Fublaines",15.0358099536621
"77200","Garentreville",25.36757915802
"77201","Gastins",21.6111316521126
"77202","La Genevraye",18.3609401194159
"77203","Germigny-l'Eveque",16.9190537593063
"77204","Germigny-sous-Coulombs",25.3215215438494
"77205","Gesvres-le-Chapitre",17.4519916280348
"77206","Giremoutiers",16.3855115759693
"77207","Gironville",27.745013160987
"77208","Gouaix",33.7118394392393
"77209","Gouvernes",6.61648321873215
"77210","La Grande-Paroisse",21.374468460366
"77211","Grandpuits-Bailly-Carrois",20.6143794142394
"77212","Gravon",26.7814517256885
"77214","Gressy",10.018747233275
"77215","Gretz-Armainvilliers",10.1293453133214
"77216","Grez-sur-Loing",17.1858730124307
"77217","Grisy-Suisnes",10.638827704948
